Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00592832825390625,0.086669921875,0.0,0.0,0.0,0.0,0.0,0.005982786329296875,0.0867919921875,0.00177001953125,3.74913215637207e-05,0.00016260147094726562,0.004169464111328125,0.005504608154296875,0.00010520219802856445,0.00011146068572998047,0.003296923464453125,-2.855062484741211e-05,0.00982666015625,0.0100555419921875,0.01653932590765381,0.02042659375135498,0.00411224365234375,0.003910064697265625,0.02754062596640625,0.02977350537109375,0.006256103515625,0.0027561187744140625,9.435415267944336e-05,0.0004778666503173828,8.255243301391602e-05,0.00017523765563964844,0.01103973388671875,0.0091705322265625,0.0008188455193786622,0.0004765178571228027,1.0669231414794922e-05,-3.2961368560791016e-05,0.083872463565625,0.091971203728125,0.092027071884375,0.00023114681243896484,0.00391387939453125,0.00494384765625,6.67572021484375e-05,6.80685043334961e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,-2.980232238769531e-07,1.5497207641601562e-06,-1.1324882507324219e-06,20.046875,0.003612518310546875,0.004589080810546875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0095440302921875,0.177734375,0.0,0.0,0.0,0.0,0.0,0.00963164884296875,0.177978515625,0.003627777099609375,7.49826431274414e-05,0.00027823448181152344,0.00792694091796875,0.01076507568359375,0.0001552104949951172,0.00022125244140625,0.006365687460546875,-5.2928924560546875e-05,0.019195556640625,0.019561767578125,0.016356499897277832,0.020325660742877196,0.00836181640625,0.00791168212890625,0.042166208828124996,0.042774222746875,0.01334381103515625,0.005702972412109375,0.00017964839935302734,0.0004726580503662109,0.00017404556274414062,0.0003745555877685547,0.022186279296875,0.0182342529296875,0.0009343561600952149,0.0005736936530395508,1.8477439880371094e-06,-8.547306060791016e-05,0.124771066025,0.14304552976875,0.14322375873749998,0.0005059242248535156,0.007488250732421875,0.00960540771484375,0.0001418590545654297,0.0001304149627685547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,-1.1324882507324219e-06,0.0,-2.1457672119140625e-06,40.09375,0.00673675537109375,0.0078125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0130981205015625,0.271240234375,0.0,0.0,0.0,0.0,0.0,0.0132382586140625,0.271240234375,0.005519866943359375,0.00011235475540161133,0.0004372596740722656,0.01153564453125,0.015869140625,0.0001811981201171875,0.0002589225769042969,0.0098129358859375,-9.22083854675293e-05,0.028961181640625,0.0288238525390625,0.016154214753839113,0.020164193621551512,0.01268768310546875,0.0119781494140625,0.058935305109375,0.058252371890625,0.0211639404296875,0.0083770751953125,0.000247955322265625,0.0004743118564086914,0.00021839141845703125,0.0005011558532714844,0.034088134765625,0.0277099609375,0.0010901300928710938,0.000687447450592041,8.64267349243164e-06,-0.00011646747589111328,0.16606374834374998,0.19686362895,0.1969814188625,0.000705718994140625,0.01123046875,0.014404296875,0.00025963783264160156,0.00030994415283203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.993511199951172e-06,-2.0265579223632812e-06,2.2649765014648438e-06,-3.2186508178710938e-06,60.125,0.01039886474609375,0.01230621337890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0164185731296875,0.356201171875,0.0,0.0,0.0,0.0,0.0,0.01659608141484375,0.3564453125,0.00746917724609375,0.00014984607696533203,0.00054931640625,0.0151519775390625,0.0214080810546875,0.00022602081298828125,0.0003333091735839844,0.01300471267265625,-0.00012803077697753906,0.039306640625,0.039154052734375,0.016095476245098876,0.02010317889230957,0.017364501953125,0.0164031982421875,0.07805518151875,0.07626604843125,0.0298309326171875,0.01140594482421875,0.00032520294189453125,0.0004337919695800781,0.0002982616424560547,0.0006766319274902344,0.04852294921875,0.040069580078125,0.001151304458996582,0.000769322438293457,-4.172325134277344e-06,-0.00018656253814697266,0.209809746575,0.252875194,0.253115452825,0.0009946823120117188,0.01513671875,0.019500732421875,0.0003783702850341797,0.0003917217254638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.947185516357422e-06,-2.2649765014648438e-06,-3.039836883544922e-06,-4.172325134277344e-06,80.125,0.0124969482421875,0.0167999267578125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.021340598853125,0.398681640625,0.0,0.0,0.0,0.0,0.0,0.0215856654890625,0.399169921875,0.00955963134765625,0.00018739700317382812,0.0006823539733886719,0.019683837890625,0.0280914306640625,0.0003333091735839844,0.0003364086151123047,0.015907853334375,-0.00015151500701904297,0.053619384765625,0.05352783203125,0.016038123507678224,0.02002523840161133,0.0223388671875,0.0212860107421875,0.10043714941875,0.09802923355625,0.038055419921875,0.01470947265625,0.00037789344787597656,0.0004023372865722656,0.00035190582275390625,0.0008144378662109375,0.068115234375,0.058868408203125,0.0012191574587341308,0.0009409557642028808,-6.377696990966797e-05,-0.0002868175506591797,0.2580883949875,0.309322968175,0.3095633984,0.0012788772583007812,0.0206451416015625,0.0261688232421875,0.0004706382751464844,0.00037479400634765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-2.6226043701171875e-06,-1.9073486328125e-06,-4.649162292480469e-06,100.25,0.017822265625,0.02294921875
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0290183889078125,0.29296875,0.0,0.0,0.0,0.0,0.0,0.0293234519,0.293212890625,0.0096893310546875,0.00018727779388427734,0.0008864402770996094,0.022247314453125,0.031280517578125,0.0006256103515625,0.0002925395965576172,0.014845363234375,-0.00014543533325195312,0.064208984375,0.0640869140625,0.016040984510424804,0.01993488897514038,0.0228271484375,0.022186279296875,0.10605369605000001,0.10513772438124999,0.0361328125,0.01493072509765625,0.000301361083984375,0.0003888768204589844,0.00034372013095703124,0.0007185935974121094,0.08056640625,0.0736083984375,0.0012234660152709961,0.001138778203149414,-0.00015163421630859375,-0.00034046173095703125,0.2696122080375,0.3115082569,0.31174835562500003,0.0011959075927734375,0.02520751953125,0.0303955078125,0.0007262229919433594,0.0001989603042602539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-2.384185791015625e-06,-7.62939453125e-06,-3.6954879760742188e-06,100.375,0.01806640625,0.02490234375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.045634349109375,0.1595458984375,0.0,0.0,0.0,0.0,0.0,0.046045035325,0.1597900390625,0.009552001953125,0.00018703937530517578,0.001407623291015625,0.02581787109375,0.03399658203125,0.0010766983032226562,0.0002453327178955078,0.013345740140625,-0.00018322467803955078,0.07696533203125,0.07666015625,0.015849092989685058,0.01959381996126709,0.022674560546875,0.022613525390625,0.10782722201875,0.10896055774999999,0.03033447265625,0.014678955078125,0.0002791881561279297,0.0003051214259765625,0.00045210209975585935,0.0006384849548339844,0.09515380859375,0.09130859375,0.0016326032041015625,0.0012017043927246094,-0.0002884864807128906,-0.00040411949157714844,0.2807386853,0.315154671625,0.31539462875,0.0009398460388183594,0.0316162109375,0.035552978515625,0.003551483154296875,0.00046753883361816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-1.7881393432617188e-06,-1.33514404296875e-05,-2.384185791015625e-06,100.4375,0.0146484375,0.02685546875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0673142772125,0.031890869140625,0.0,0.0,0.0,0.0,0.0,0.0678156226625,0.031982421875,0.00940704345703125,0.00018703937530517578,0.0033817291259765625,0.0295562744140625,0.03338623046875,0.00799560546875,0.0004668235778808594,0.01165008544921875,-0.00019943714141845703,0.0911865234375,0.09014892578125,0.015893125948156738,0.019557028970831298,0.0217742919921875,0.0224151611328125,0.1031252835125,0.107070621075,0.0199737548828125,0.01378631591796875,0.00035452842712402344,0.0002321824751953125,0.0006189270417480469,0.0005431175231933594,0.1085205078125,0.10791015625,0.0022182140135742186,0.0011508143085693359,-0.00027871131896972656,-0.000335693359375,0.287484213675,0.31618136915,0.316421382175,0.0005640983581542969,0.03839111328125,0.04046630859375,0.00846099853515625,0.0017004013061523438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-4.76837158203125e-07,0.0,0.0,100.4375,-0.0009765625,0.01318359375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.079519466475,-0.0007715225219726562,0.0,0.0,0.0,0.0,0.0,0.080019854225,-0.0007152557373046875,0.00965118408203125,0.00018656253814697266,0.00777435302734375,0.037017822265625,0.0295867919921875,0.0291748046875,0.0004875659942626953,0.01035308837890625,-0.0001976490020751953,0.10247802734375,0.1002197265625,0.01602668127055664,0.01962571779460449,0.0214691162109375,0.02239990234375,0.0970651395375,0.10321348346875,0.0109405517578125,0.012542724609375,0.000179290771484375,0.00025589551562499996,0.0006496057963867188,0.00040030479431152344,0.1251220703125,0.1263427734375,0.009095939903125,0.007577066221875,-0.00027871131896972656,-0.0003247261047363281,0.2917852476125,0.31585042175,0.316090356575,0.0003204345703125,0.04180908203125,0.04229736328125,0.0101470947265625,0.001987457275390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-07,-1.430511474609375e-06,-1.52587890625e-05,1.5497207641601562e-06,100.375,0.0048828125,0.01220703125
