Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.005016615607421875,0.08184814453125,0.0,0.0,0.0,0.0,0.0,0.005065351636914062,0.0819091796875,0.0016384124755859375,3.74913215637207e-05,0.00012230873107910156,0.00213623046875,0.0029277801513671875,2.562999725341797e-05,0.00010454654693603516,0.0034514187037109375,-2.294778823852539e-05,0.00864410400390625,0.008575439453125,0.016539683535522463,0.020431958169384767,0.00360107421875,0.003398895263671875,0.02364963475546875,0.02646234814453125,0.00722503662109375,0.0023212432861328125,0.0001392364501953125,0.00047369432518310547,0.0001327991485595703,0.00022220611572265625,0.00421142578125,0.002635955810546875,0.00079714942868042,0.00048206108908691405,1.8477439880371094e-05,-3.0994415283203125e-05,0.08207192645625,0.089712902946875,0.08979928868125,0.000400543212890625,0.0028896331787109375,0.003818511962890625,5.173683166503906e-05,5.1856040954589844e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0265579223632812e-06,-5.960464477539062e-07,-3.5762786865234375e-07,-1.0132789611816406e-06,20.03125,0.005126953125,0.00400543212890625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.007869378192578125,0.165771484375,0.0,0.0,0.0,0.0,0.0,0.007941737954296875,0.166015625,0.003238677978515625,7.50422477722168e-05,0.00024056434631347656,0.00397491455078125,0.00559234619140625,5.120038986206055e-05,0.0002187490463256836,0.00659838399375,-4.76837158203125e-05,0.015655517578125,0.015899658203125,0.016363354431427002,0.02034693960106201,0.007183074951171875,0.00677490234375,0.033987497890624996,0.0359840616140625,0.01480865478515625,0.004642486572265625,0.0002727508544921875,0.0004683665159423828,0.00025963783264160156,0.0004374980926513672,0.00798797607421875,0.004886627197265625,0.0009322699975280762,0.0005895484885498047,3.30805778503418e-05,-6.783008575439453e-05,0.1206206754,0.13718615476875,0.13724231342499998,0.000823974609375,0.00542449951171875,0.007305145263671875,9.334087371826172e-05,0.00011789798736572266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4570693969726562e-06,-1.2516975402832031e-06,2.2649765014648438e-06,-2.3245811462402344e-06,40.0625,0.00937652587890625,0.0068359375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0105956790953125,0.250244140625,0.0,0.0,0.0,0.0,0.0,0.01069767023515625,0.250732421875,0.004852294921875,0.00011259317398071289,0.0003743171691894531,0.00567626953125,0.00821685791015625,9.113550186157227e-05,0.00031948089599609375,0.00963745981171875,-7.975101470947266e-05,0.02081298828125,0.021820068359375,0.016158208265039064,0.020190658083831785,0.0107269287109375,0.0101318359375,0.044897219171875,0.046289481265625,0.022613525390625,0.006931304931640625,0.00040030479431152344,0.0004367609302001953,0.0003724098205566406,0.0006380081176757812,0.01171112060546875,0.007171630859375,0.0010593740961669922,0.0007183822612304687,3.49879264831543e-05,-0.00010472536087036133,0.16069265459374998,0.18612144145,0.186361301675,0.0012769699096679688,0.0077667236328125,0.0106658935546875,0.00012165307998657227,0.00019693374633789062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.424022674560547e-06,-2.1457672119140625e-06,4.589557647705078e-06,-3.159046173095703e-06,60.0625,0.0149383544921875,0.01084136962890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.013641473520312499,0.324951171875,0.0,0.0,0.0,0.0,0.0,0.0137808348328125,0.32568359375,0.00661468505859375,0.0001500844955444336,0.0005087852478027344,0.007678985595703125,0.0113525390625,9.21487808227539e-05,0.0004329681396484375,0.0124019905046875,-0.00010901689529418945,0.0251922607421875,0.027435302734375,0.016104774569683837,0.02013548460977783,0.014404296875,0.0136260986328125,0.0572421932375,0.058169124603125,0.030670166015625,0.0092315673828125,0.0005044937133789062,0.00039922127561035155,0.0004730224609375,0.0008263587951660156,0.0160675048828125,0.01027679443359375,0.0010914613956420898,0.0008120589685974121,3.88026237487793e-05,-0.00013959407806396484,0.202973809075,0.235052928375,0.2351711168875,0.0017757415771484375,0.01035308837890625,0.0145111083984375,0.0001533031463623047,0.00032711029052734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.172325134277344e-06,-2.7418136596679688e-06,-4.589557647705078e-06,-3.516674041748047e-06,80.125,0.0183563232421875,0.0164031982421875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0176632306890625,0.346923828125,0.0,0.0,0.0,0.0,0.0,0.01784726216875,0.34716796875,0.0085906982421875,0.0001876354217529297,0.0005450248718261719,0.01043701171875,0.0158843994140625,0.00010973215103149414,0.0004742145538330078,0.01463374444765625,-0.00012433528900146484,0.030426025390625,0.0345458984375,0.016055826087176515,0.020066127187927246,0.0183258056640625,0.0175018310546875,0.072330459965625,0.073096372228125,0.0389404296875,0.01158905029296875,0.0005707740783691406,0.0003496467805908203,0.000530242919921875,0.0009608268737792969,0.0226898193359375,0.01629638671875,0.0010653178705688476,0.000932134276776123,-3.933906555175781e-05,-0.00021851062774658203,0.2474682778,0.2816130072375,0.2818534374625,0.00234222412109375,0.01336669921875,0.0186920166015625,0.00011307001113891602,0.0003323554992675781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-3.0994415283203125e-06,-7.62939453125e-06,-4.172325134277344e-06,100.25,0.025390625,0.02197265625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.02155684105625,0.2259521484375,0.0,0.0,0.0,0.0,0.0,0.021785610103125,0.22607421875,0.00901031494140625,0.00018787384033203125,0.0005478858947753906,0.01338958740234375,0.020294189453125,0.00036263465881347656,0.0004100799560546875,0.01347207221875,-9.626150131225586e-05,0.035736083984375,0.040985107421875,0.016069654344561767,0.019973333971020506,0.01898193359375,0.01849365234375,0.07675682105000001,0.07861794899062499,0.038970947265625,0.01206207275390625,0.00046515464782714844,0.0003705185898681641,0.000510613136328125,0.0008654594421386719,0.0302734375,0.02532958984375,0.0009793253902709961,0.001072855466027832,-0.00019073486328125,-0.0003063678741455078,0.2547196299125,0.278060991275,0.27830109000000003,0.002429962158203125,0.015960693359375,0.0203704833984375,0.00011610984802246094,0.00024175643920898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-2.5033950805664062e-06,7.62939453125e-06,-4.0531158447265625e-06,100.3125,0.028076171875,0.0244140625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.040507395984375,0.09771728515625,0.0,0.0,0.0,0.0,0.0,0.040826529465625,0.097900390625,0.00909423828125,0.00018799304962158203,0.0006470680236816406,0.0185699462890625,0.027069091796875,0.0004565715789794922,0.00029015541076660156,0.01190378457421875,-0.00012218952178955078,0.04718017578125,0.0521240234375,0.015894273310424804,0.019679293021875,0.0189361572265625,0.0189361572265625,0.0794458743625,0.08271544056249999,0.038238525390625,0.012481689453125,0.0003070831298828125,0.0003535203975341797,0.0005870470155273438,0.0008130073547363281,0.042266845703125,0.039154052734375,0.0010270200131835938,0.0011102708676391602,-0.00027871131896972656,-0.0003650188446044922,0.2573011853,0.2730404138125,0.2732803709375,0.002353668212890625,0.0207672119140625,0.0240631103515625,0.0004210472106933594,-0.00016117095947265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-2.2649765014648438e-06,0.0,-1.5497207641601562e-06,100.375,0.021240234375,0.0234375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.06542218736875,-0.0008153915405273438,0.0,0.0,0.0,0.0,0.0,0.0658624976625,-0.0006895065307617188,0.009246826171875,0.00018799304962158203,0.0010099411010742188,0.0263671875,0.03594970703125,0.0005869865417480469,0.00014483928680419922,0.010589599609375,-0.00013959407806396484,0.057373046875,0.060943603515625,0.01589866918012085,0.019569247923010253,0.0186767578125,0.01910400390625,0.0809084866375,0.0852200351375,0.035400390625,0.012786865234375,0.0001329183578491211,0.0002565011702636719,0.0006790085236816406,0.000762939453125,0.053192138671875,0.0517578125,0.0009631786131835938,0.0008746659893249511,-0.0003421306610107422,-0.0003991127014160156,0.2583094089875,0.266132541025,0.2664946243625,0.0021305084228515625,0.024749755859375,0.026641845703125,0.0005354881286621094,-0.0006098747253417969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-1.430511474609375e-06,-5.7220458984375e-06,9.5367431640625e-07,100.375,0.0224609375,0.02099609375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.08165569694375,-0.0009775161743164062,0.0,0.0,0.0,0.0,0.0,0.08215608469375,-0.0008921623229980469,0.00907135009765625,0.00018787384033203125,0.0013942718505859375,0.035675048828125,0.0460205078125,0.0007734298706054688,0.0002143383026123047,0.0098114013671875,-0.0001685619354248047,0.06182861328125,0.064208984375,0.015982693042712402,0.01963543335170288,0.0186920166015625,0.0192413330078125,0.0849801786,0.09039610065625,0.03131103515625,0.01325225830078125,-7.331371307373047e-06,0.0002949961625976562,0.0007077799296875,0.0006957054138183594,0.06451416015625,0.0640869140625,0.000922414569720459,0.0006456420809448242,-0.0003273487091064453,-0.00034046173095703125,0.2578497007375,0.2622615545625,0.2625014893875,0.0018911361694335938,0.0268096923828125,0.02777099609375,0.0004699230194091797,-0.0008826255798339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-1.7881393432617188e-06,1.9073486328125e-06,1.9073486328125e-06,100.375,0.03125,0.0263671875
