Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.007511427619140625,0.0810546875,0.0,0.0,0.0,0.0,0.0,0.00755062690546875,0.0811767578125,0.0015010833740234375,3.725290298461914e-05,0.000782012939453125,0.007720947265625,0.004154205322265625,0.006927490234375,0.00011909008026123047,0.0027113674341796875,-3.0875205993652344e-05,0.004058837890625,0.0045623779296875,0.01654761095327759,0.02043839547102051,0.0027332305908203125,0.0025234222412109375,0.02693027440390625,0.03021601025390625,0.0010929107666015625,0.0017642974853515625,4.738569259643555e-05,0.0005544586188537598,3.361701965332031e-05,6.848573684692383e-05,0.0182647705078125,0.01715087890625,0.0012575953095703126,0.000842311562109375,6.794929504394531e-06,-1.9311904907226562e-05,0.08744302020625,0.08821754161875,0.088242892196875,8.505582809448242e-05,0.0037021636962890625,0.00455474853515625,2.2590160369873047e-05,0.00016164779663085938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7881393432617188e-06,1.1920928955078125e-07,-7.748603820800781e-07,-4.76837158203125e-07,20.03125,0.002147674560546875,0.00244140625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01284755812421875,0.1658935546875,0.0,0.0,0.0,0.0,0.0,0.01291228849140625,0.1661376953125,0.002979278564453125,7.450580596923828e-05,0.0015401840209960938,0.0152435302734375,0.0081024169921875,0.01381683349609375,0.00023424625396728516,0.00515642842734375,-6.270408630371094e-05,0.007762908935546875,0.00878143310546875,0.01637849401119995,0.020351946391223143,0.005558013916015625,0.005107879638671875,0.040640329921874996,0.0433387979421875,0.002582550048828125,0.0036163330078125,9.435415267944336e-05,0.0005853704336364746,6.16908073425293e-05,0.0001481771469116211,0.03680419921875,0.034454345703125,0.00170266003125,0.0012077678641601564,1.1563301086425781e-05,-3.4689903259277344e-05,0.1313628629,0.1339512914875,0.13406848529999998,0.0002014636993408203,0.007110595703125,0.0088958740234375,7.05718994140625e-05,0.0003998279571533203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2186508178710938e-06,-1.1920928955078125e-07,3.039836883544922e-06,-8.344650268554688e-07,40.0625,0.00527191162109375,0.004100799560546875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.018423437884375,0.25439453125,0.0,0.0,0.0,0.0,0.0,0.018502540840625,0.254638671875,0.004573822021484375,0.00011157989501953125,0.0022487640380859375,0.022674560546875,0.01226806640625,0.019866943359375,0.000324249267578125,0.007905587253125,-9.971857070922852e-05,0.0108642578125,0.01209259033203125,0.01619188488933716,0.0202083010586853,0.00852203369140625,0.007801055908203125,0.056402346125,0.0587101355625,0.0038089752197265625,0.00545501708984375,0.00015246868133544922,0.0006917496005493164,6.264448165893555e-05,0.00019180774688720703,0.055877685546875,0.05194091796875,0.0015483706019042969,0.0009429725627441406,1.7404556274414062e-05,-5.1975250244140625e-05,0.17528005693749998,0.1816048398875,0.1816005594875,0.0002472400665283203,0.01025390625,0.0128173828125,6.23464584350586e-05,0.00043201446533203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-1.0132789611816406e-06,-4.589557647705078e-06,-1.3709068298339844e-06,60.0625,0.00791168212890625,0.007617950439453125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0238953797703125,0.344970703125,0.0,0.0,0.0,0.0,0.0,0.023988964715625,0.34521484375,0.006084442138671875,0.00014901161193847656,0.0028018951416015625,0.030120849609375,0.016845703125,0.0258331298828125,0.0004372596740722656,0.0104488655046875,-0.00013899803161621094,0.01214599609375,0.0141448974609375,0.01614262351911621,0.02017184344309082,0.01146697998046875,0.01045989990234375,0.07268408776875,0.07455706405625,0.005584716796875,0.00736236572265625,0.00017833709716796875,0.0006627930148071289,5.9485435485839844e-05,0.0002357959747314453,0.0751953125,0.06988525390625,0.0016299297565429687,0.0008813791704711914,2.7060508728027344e-05,-6.93202018737793e-05,0.221040215325,0.23090253775,0.2310207262625,0.00032520294189453125,0.0132598876953125,0.016693115234375,8.89897346496582e-05,0.0005235671997070312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.172325134277344e-06,-7.748603820800781e-07,6.079673767089844e-06,-1.9073486328125e-06,80.125,0.0085906982421875,0.01132965087890625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.02942775705625,0.4384765625,0.0,0.0,0.0,0.0,0.0,0.02956601216875,0.438720703125,0.0075531005859375,0.0001862049102783203,0.0031719207763671875,0.0379638671875,0.02178955078125,0.0330810546875,0.0005474090576171875,0.012978165834375,-0.00018084049224853516,0.0113677978515625,0.01436614990234375,0.01610035075682373,0.020138725645263672,0.014434814453125,0.0131378173828125,0.090732559575,0.092352964025,0.007457733154296875,0.00928497314453125,0.00021564960479736328,0.0006877243257568359,4.607439041137695e-05,0.0002727508544921875,0.0953369140625,0.08843994140625,0.0017589967264648437,0.0009223591150329589,4.363059997558594e-05,-6.711483001708984e-05,0.2683423012375,0.281979218175,0.2823417187125,0.0003991127014160156,0.016021728515625,0.0203704833984375,0.00010633468627929688,0.0006475448608398438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.430511474609375e-06,-1.9073486328125e-06,-2.6226043701171875e-06,100.125,0.013427734375,0.01611328125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0293235646890625,0.446044921875,0.0,0.0,0.0,0.0,0.0,0.0294607810015625,0.4462890625,0.007495880126953125,0.00018596649169921875,0.0029582977294921875,0.038787841796875,0.0225830078125,0.035888671875,0.0005311965942382812,0.01294564399609375,-0.0001857280731201172,0.00690460205078125,0.01029205322265625,0.016120914339068603,0.02009731163215332,0.0145111083984375,0.01318359375,0.09421287573750001,0.09647073219374999,0.007572174072265625,0.009368896484375,0.00019884109497070312,0.0006745022782226563,2.721946719970703e-05,0.0002574920654296875,0.097900390625,0.0909423828125,0.0016761036876953126,0.0008909420901733399,5.829334259033203e-05,-7.68899917602539e-05,0.271443262725,0.2862397022125,0.28660187125000003,0.0003883838653564453,0.01544952392578125,0.0198974609375,0.00010329484939575195,0.000629425048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.430511474609375e-06,-3.814697265625e-06,-1.6689300537109375e-06,100.0625,0.013427734375,0.0146484375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0293074448125,0.453125,0.0,0.0,0.0,0.0,0.0,0.0294282140359375,0.453857421875,0.00746917724609375,0.00018596649169921875,0.002956390380859375,0.040313720703125,0.02349853515625,0.040618896484375,0.0005469322204589844,0.012949011625,-0.00019550323486328125,0.0034427642822265625,0.0064697265625,0.01598731616091919,0.019868001327233886,0.01461029052734375,0.01322174072265625,0.09787849155,0.10096495228124999,0.007293701171875,0.00942230224609375,0.00015914440155029297,0.000681941990246582,2.1160518029785156e-05,0.00023615360260009766,0.10162353515625,0.094482421875,0.0016779027341308594,0.0009237679341369629,5.829334259033203e-05,-7.200241088867188e-05,0.2748793103,0.289764046625,0.2901260740625,0.0003685951232910156,0.014984130859375,0.0195159912109375,0.00010269880294799805,0.0005464553833007812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-2.1457672119140625e-06,3.814697265625e-06,-1.3113021850585938e-06,100.125,0.01318359375,0.00927734375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.02959455065,0.460205078125,0.0,0.0,0.0,0.0,0.0,0.0297296851625,0.460693359375,0.0074920654296875,0.00018596649169921875,0.0031280517578125,0.042266845703125,0.024688720703125,0.0460205078125,0.0005602836608886719,0.013031005859375,-0.00020253658294677734,0.001308441162109375,0.00373077392578125,0.01670506041928711,0.02020379897128906,0.0146942138671875,0.01328277587890625,0.101782510075,0.10578888279375,0.006893157958984375,0.009490966796875,0.0001404285430908203,0.0006682500563720703,2.6158849456787106e-05,0.00021505355834960938,0.10540771484375,0.09820556640625,0.0016283664488769532,0.0009140050548767089,4.851818084716797e-05,-9.1552734375e-05,0.279671713675,0.29372043165,0.29371630405,0.0003380775451660156,0.01464080810546875,0.0193023681640625,4.839897155761719e-05,0.0002942085266113281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-1.7881393432617188e-06,-3.814697265625e-06,-1.6689300537109375e-06,100.125,0.017822265625,0.0087890625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0300352135453125,0.466552734375,0.0,0.0,0.0,0.0,0.0,0.0301693903578125,0.466796875,0.0075836181640625,0.00018584728240966797,0.0035400390625,0.044677734375,0.0263519287109375,0.052490234375,0.0005631446838378906,0.0129852294921875,-0.00020611286163330078,0.000598907470703125,0.0027637481689453125,0.020914738979296875,0.02364760080546875,0.01464080810546875,0.01319122314453125,0.105243850475,0.11041563190625,0.006298065185546875,0.0094757080078125,0.00010031461715698242,0.0006770619356079101,3.275732760620117e-05,0.00017881393432617188,0.10882568359375,0.10186767578125,0.0015185206221191407,0.0008502052218139648,3.8743019104003906e-05,-8.666515350341797e-05,0.28629208355,0.29827229675,0.29826809095,0.00029850006103515625,0.014495849609375,0.019287109375,1.9669532775878906e-06,0.00014889240264892578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-1.430511474609375e-06,-3.814697265625e-06,-1.7881393432617188e-06,100.125,0.014404296875,0.01171875
