Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,-0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.007679274298828125,0.08392333984375,0.0,0.0,0.0,0.0,0.0,0.00771847358515625,0.083984375,0.0020084381103515625,3.725290298461914e-05,0.0013608932495117188,0.01200103759765625,0.0079193115234375,0.01218414306640625,0.00011605024337768555,0.002778124636328125,-1.8596649169921875e-05,8.940696716308594e-06,0.0004317760467529297,0.017954220965332033,0.02180858704511719,0.003269195556640625,0.0029449462890625,0.035604895985937496,0.038936408203125,0.00202178955078125,0.0022640228271484375,2.7060508728027344e-05,0.0005012316710693359,1.811981201171875e-05,4.607439041137695e-05,0.0233917236328125,0.02227783203125,0.0008283822625427247,0.0005181815038208008,6.020069122314453e-06,-1.8298625946044922e-05,0.090830471378125,0.092581555290625,0.09260690586875,0.0001176595687866211,0.0030078887939453125,0.0036220550537109375,-3.2782554626464844e-06,1.5914440155029297e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,-1.1920928955078125e-07,2.682209014892578e-06,-3.5762786865234375e-07,20.03125,0.002147674560546875,0.0029296875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01344265089765625,0.174072265625,0.0,0.0,0.0,0.0,0.0,0.013515010659375,0.1744384765625,0.00408172607421875,7.456541061401367e-05,0.0024127960205078125,0.0227508544921875,0.015777587890625,0.0205230712890625,0.0002390146255493164,0.0053013869234375,-3.409385681152344e-05,0.00014960765838623047,0.00176239013671875,0.019513996349609375,0.023560941256640624,0.00658416748046875,0.00591278076171875,0.057394480312499996,0.059986136809375,0.005451202392578125,0.00476837158203125,6.538629531860352e-05,0.0005084208372314453,3.9517879486083984e-05,0.0001214742660522461,0.04388427734375,0.041534423828125,0.000914686627319336,0.0006559480628295899,7.152557373046875e-07,-5.424022674560547e-05,0.1380767300875,0.14243517820625,0.14249133686249998,0.00031113624572753906,0.00585174560546875,0.007244110107421875,-2.2172927856445312e-05,5.543231964111328e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2186508178710938e-06,-3.5762786865234375e-07,1.5497207641601562e-06,-1.3113021850585938e-06,40.0625,0.006153106689453125,0.00624847412109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0198119876890625,0.269775390625,0.0,0.0,0.0,0.0,0.0,0.019906349434375,0.269775390625,0.00612640380859375,0.00011169910430908203,0.0034694671630859375,0.031646728515625,0.023193359375,0.025787353515625,0.00030732154846191406,0.0082412806125,-5.835294723510742e-05,0.0002720355987548828,0.0019683837890625,0.01829825343105469,0.022780897131835936,0.00989532470703125,0.00885009765625,0.0799619164375,0.08220867071875,0.00782012939453125,0.007110595703125,8.666515350341797e-05,0.0005306978503662109,1.996755599975586e-05,0.00013828277587890625,0.06207275390625,0.058380126953125,0.001081010582220459,0.000767258069946289,3.349781036376953e-05,-4.798173904418945e-05,0.18492361162499998,0.1934456602,0.1934413798,0.0004360675811767578,0.008880615234375,0.010955810546875,-7.212162017822266e-06,9.632110595703125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.424022674560547e-06,-1.0728836059570312e-06,-2.2649765014648438e-06,-1.4901161193847656e-06,60.0625,0.0112762451171875,0.0084991455078125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.026107904184375,0.36669921875,0.0,0.0,0.0,0.0,0.0,0.0262014891296875,0.366943359375,0.008148193359375,0.00014901161193847656,0.004673004150390625,0.04144287109375,0.0303497314453125,0.033477783203125,0.0004227161407470703,0.01099055251640625,-7.873773574829102e-05,0.0004086494445800781,0.0029964447021484375,0.019915597533398437,0.024612866316015624,0.0132293701171875,0.0117950439453125,0.103506841675,0.1057460289,0.0106964111328125,0.0094757080078125,0.00013267993927001953,0.0005159271700805664,2.0742416381835938e-05,0.00017833709716796875,0.0836181640625,0.0787353515625,0.0011283566707580566,0.0008291655016479492,2.9027462005615234e-05,-4.976987838745117e-05,0.233247246575,0.246283397125,0.2466457262625,0.0006327629089355469,0.01157379150390625,0.01450347900390625,-5.9604644775390625e-06,0.0001327991485595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.271766662597656e-06,-7.748603820800781e-07,1.0669231414794922e-05,-2.86102294921875e-06,80.125,0.01210784912109375,0.0128936767578125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.032906760962500003,0.461181640625,0.0,0.0,0.0,0.0,0.0,0.033075533653125,0.461669921875,0.0104522705078125,0.0001862049102783203,0.00640106201171875,0.0540771484375,0.03790283203125,0.0465087890625,0.0005321502685546875,0.01368769952578125,-9.995698928833008e-05,0.0004570484161376953,0.003765106201171875,0.023198667903125,0.02788685262890625,0.0167236328125,0.01490020751953125,0.13052748145,0.13361272965,0.01276397705078125,0.0117645263671875,0.00018298625946044922,0.0005022346712158203,9.59634780883789e-06,0.00020503997802734375,0.111572265625,0.10565185546875,0.00121981310982666,0.0009779106439636231,5.0961971282958984e-05,-9.644031524658203e-05,0.2816479653,0.2998014838,0.300041914025,0.0008268356323242188,0.01436614990234375,0.0182342529296875,-2.485513687133789e-05,0.0001989603042602539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.430511474609375e-06,3.814697265625e-06,-2.5033950805664062e-06,100.125,0.0146484375,0.013671875
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.03486250511875,0.450927734375,0.0,0.0,0.0,0.0,0.0,0.035030239009375,0.45166015625,0.01105499267578125,0.0001862049102783203,0.0075225830078125,0.0596923828125,0.03912353515625,0.056732177734375,0.0005292892456054688,0.0137009540546875,-9.870529174804688e-05,0.0003571510314941406,0.0033740997314453125,0.02540153634453125,0.0298140608234375,0.0172119140625,0.01537322998046875,0.13724266089375,0.1419419236,0.011322021484375,0.01171875,0.00016164779663085938,0.0004999798783203125,-2.4815387689208985e-05,0.00016546249389648438,0.1241455078125,0.11834716796875,0.0012124391559875489,0.0010282711917358398,-2.473592758178711e-05,-0.0001404285430908203,0.2825516611625,0.299545366275,0.30002960562500003,0.0008192062377929688,0.01495361328125,0.0191192626953125,-2.3663043975830078e-05,0.00028252601623535156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-1.430511474609375e-06,9.5367431640625e-06,-1.7881393432617188e-06,100.125,0.01123046875,0.01123046875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.038310130359375,0.425048828125,0.0,0.0,0.0,0.0,0.0,0.038446158371875,0.42529296875,0.0118560791015625,0.00018596649169921875,0.008941650390625,0.06671142578125,0.041748046875,0.06787109375,0.0004973411560058594,0.01371958047265625,-9.995698928833008e-05,0.00023746490478515625,0.0024776458740234375,0.02542267182421875,0.029719576225,0.0179901123046875,0.01611328125,0.1438989993625,0.14997618275,0.00939178466796875,0.01183319091796875,0.00012862682342529297,0.0005268507045410156,-6.168993820800781e-05,0.0001232624053955078,0.1378173828125,0.1322021484375,0.001315148866027832,0.001124575982385254,-0.00010037422180175781,-0.00022089481353759766,0.2840345837375,0.295135140375,0.2953750975,0.0007696151733398438,0.0161590576171875,0.0205535888671875,-5.9664249420166016e-05,0.00021541118621826172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-1.9073486328125e-06,-7.62939453125e-06,-1.1920928955078125e-07,100.1875,0.0087890625,0.0029296875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.043296943228125,0.383544921875,0.0,0.0,0.0,0.0,0.0,0.043493112896875,0.3837890625,0.01263427734375,0.00018596649169921875,0.0103607177734375,0.07177734375,0.045654296875,0.071044921875,0.0004534721374511719,0.01374053955078125,-9.936094284057617e-05,0.00010800361633300781,0.00150299072265625,0.02197554152890625,0.026248186788671874,0.0187835693359375,0.0169677734375,0.1480471585125,0.1555325351375,0.0080108642578125,0.01213836669921875,6.395578384399414e-05,0.0005445108138183594,-8.416934802246093e-05,8.791685104370117e-05,0.145263671875,0.140380859375,0.0013324889922119141,0.0011047995228027343,-0.0001785755157470703,-0.0002574920654296875,0.2867517918,0.2883493379,0.2887114212375,0.0007262229919433594,0.01751708984375,0.0220184326171875,-0.00011736154556274414,9.763240814208984e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-1.430511474609375e-06,-7.62939453125e-06,3.5762786865234375e-07,100.1875,0.0048828125,0.00830078125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.049337581709375,0.333984375,0.0,0.0,0.0,0.0,0.0,0.049532793678125,0.33447265625,0.0137176513671875,0.00018596649169921875,0.01168060302734375,0.07452392578125,0.05108642578125,0.0667724609375,0.00043272972106933594,0.0134735107421875,-7.128715515136719e-05,0.0003936290740966797,0.00237274169921875,0.016914075221972656,0.021393114721484374,0.019378662109375,0.017669677734375,0.14992158485,0.1588165108125,0.007549285888671875,0.01251220703125,4.887580871582031e-06,0.0006074437105102539,-7.518668408203125e-05,5.888938903808594e-05,0.1456298828125,0.141845703125,0.0013356535719482423,0.0010911271959960938,-0.00018584728240966797,-0.0002624988555908203,0.290930755425,0.28264729675,0.2830093018875,0.0007266998291015625,0.018951416015625,0.023223876953125,-0.00017011165618896484,2.7179718017578125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-1.1920928955078125e-06,0.0,1.1920928955078125e-07,100.25,0.01025390625,0.01025390625
