Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.007145216681640625,0.08050537109375,0.0,0.0,0.0,0.0,0.0,0.00718441596796875,0.08056640625,0.0014791488647460938,3.731250762939453e-05,0.0007390975952148438,0.00775909423828125,0.005283355712890625,0.00646209716796875,0.00013303756713867188,0.0027609584986328125,-2.9146671295166016e-05,0.0019054412841796875,0.0026187896728515625,0.01654296179098511,0.020438276261730958,0.00270843505859375,0.002490997314453125,0.0273956674703125,0.0306508857421875,0.0013113021850585938,0.0017986297607421875,4.8220157623291016e-05,0.0005971355445129395,3.510713577270508e-05,6.330013275146484e-05,0.0174102783203125,0.016265869140625,0.001150545367553711,0.0007345463643554687,6.794929504394531e-06,-2.2232532501220703e-05,0.0877481959875,0.092398449821875,0.09248483555625,0.0001239776611328125,0.003238677978515625,0.00397491455078125,3.814697265625e-05,0.0002219676971435547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-07,-5.960464477539063e-08,-7.748603820800781e-07,-4.76837158203125e-07,20.03125,0.002147674560546875,0.002635955810546875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01216091261640625,0.1639404296875,0.0,0.0,0.0,0.0,0.0,0.01222564298359375,0.164306640625,0.00292205810546875,7.450580596923828e-05,0.0013608932495117188,0.014892578125,0.01029205322265625,0.01175689697265625,0.0002586841583251953,0.00521746358359375,-5.739927291870117e-05,0.00411224365234375,0.0055084228515625,0.01637515615109253,0.020360708274005126,0.0054779052734375,0.00501251220703125,0.041037058437499996,0.043628714934375,0.0031986236572265625,0.003681182861328125,9.840726852416992e-05,0.0006300143125732422,6.73532485961914e-05,0.00014460086822509766,0.033966064453125,0.03155517578125,0.0014651951264648437,0.000991045375756836,7.68899917602539e-06,-6.008148193359375e-05,0.13166803868125,0.14170275633125,0.14181995014374998,0.0002930164337158203,0.00621795654296875,0.00782012939453125,0.0001035928726196289,0.000530242919921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.960464477539062e-07,-3.5762786865234375e-07,-4.589557647705078e-06,-8.344650268554688e-07,40.0625,0.005565643310546875,0.005664825439453125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0174773929625,0.250732421875,0.0,0.0,0.0,0.0,0.0,0.01755649591875,0.2509765625,0.00443267822265625,0.00011181831359863281,0.0017957687377929688,0.02142333984375,0.0156402587890625,0.0147705078125,0.00035953521728515625,0.007909401950390626,-9.22083854675293e-05,0.00679779052734375,0.008575439453125,0.016176387681695558,0.020203949919616698,0.00833892822265625,0.007617950439453125,0.05597510003125,0.0579777136875,0.005153656005859375,0.005542755126953125,0.00016105175018310547,0.0008184690753417969,7.486343383789062e-05,0.00019681453704833984,0.04931640625,0.045440673828125,0.0013817160151123047,0.0008346709231872558,3.2067298889160156e-05,-6.079673767089844e-05,0.17405935381249998,0.191248394575,0.1913661844875,0.00039196014404296875,0.00905609130859375,0.01140594482421875,0.00011652708053588867,0.0006856918334960938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-4.172325134277344e-07,7.987022399902344e-06,-2.1457672119140625e-06,60.0625,0.006591796875,0.006153106689453125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0226441590671875,0.33935546875,0.0,0.0,0.0,0.0,0.0,0.022768261590625,0.340087890625,0.005832672119140625,0.00014901161193847656,0.002109527587890625,0.027008056640625,0.021087646484375,0.015869140625,0.0004792213439941406,0.01041071853203125,-0.000125885009765625,0.0086822509765625,0.0111541748046875,0.016127007102185058,0.02017053214090576,0.01111602783203125,0.01013946533203125,0.07036475183125,0.07187151718125,0.00792694091796875,0.00746917724609375,0.0002155303955078125,0.0007927311404174805,8.738040924072266e-05,0.0002601146697998047,0.0626220703125,0.057373046875,0.0014647056812255859,0.0008296423388061523,5.447864532470703e-05,-5.370378494262695e-05,0.2179884575125,0.2412785143125,0.241396702825,0.0005512237548828125,0.01165771484375,0.0148162841796875,0.0001442432403564453,0.0007944107055664062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.172325134277344e-06,-1.2516975402832031e-06,3.039836883544922e-06,-2.384185791015625e-06,80.125,0.01406097412109375,0.0078125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0279476545171875,0.431640625,0.0,0.0,0.0,0.0,0.0,0.028070650840625,0.431884765625,0.007152557373046875,0.00018644332885742188,0.0024204254150390625,0.0323486328125,0.0269317626953125,0.0167083740234375,0.0006008148193359375,0.01292476007265625,-0.0001552104949951172,0.00960540771484375,0.01282501220703125,0.016094449896990968,0.020151838667114258,0.01385498046875,0.012603759765625,0.08566664160625,0.0868597999625,0.011016845703125,0.0093994140625,0.0002593994140625,0.0007316529489562988,0.00010329484939575195,0.00032591819763183594,0.07513427734375,0.068603515625,0.001581136466455078,0.0008796225847290039,6.318092346191406e-05,-9.644031524658203e-05,0.2619946449875,0.292233124425,0.2923514843375,0.0007200241088867188,0.01398468017578125,0.01800537109375,0.0001533031463623047,0.0008149147033691406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-2.384185791015625e-06,7.62939453125e-06,-2.7418136596679688e-06,100.0625,0.018310546875,0.01123046875
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.027996050040625,0.43896484375,0.0,0.0,0.0,0.0,0.0,0.0281180075640625,0.439453125,0.00702667236328125,0.0001863241195678711,0.002292633056640625,0.031494140625,0.0276336669921875,0.01513671875,0.0006160736083984375,0.01293038520703125,-0.0001569986343383789,0.007587432861328125,0.0110321044921875,0.01612484824562378,0.020113762514111327,0.013824462890625,0.012542724609375,0.08725486792500001,0.08896340797499999,0.01177978515625,0.0094757080078125,0.0002493858337402344,0.0006780785569091797,9.67184830078125e-05,0.00032329559326171875,0.07342529296875,0.0667724609375,0.001517316914013672,0.0008818225795227051,7.295608520507812e-05,-9.644031524658203e-05,0.2630204111625,0.2939301319,0.29441437125000003,0.0007395744323730469,0.01343536376953125,0.0175018310546875,0.00013256072998046875,0.0007004737854003906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-2.1457672119140625e-06,9.5367431640625e-06,-3.5762786865234375e-06,100.125,0.01708984375,0.01318359375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0280714828984375,0.447509765625,0.0,0.0,0.0,0.0,0.0,0.0281769933328125,0.44775390625,0.006927490234375,0.0001863241195678711,0.0022602081298828125,0.0311737060546875,0.028472900390625,0.014892578125,0.0005998611450195312,0.012918494046875,-0.0001628398895263672,0.00481414794921875,0.00839996337890625,0.015972772627593994,0.019864544257836913,0.01377105712890625,0.01242828369140625,0.089333569675,0.09168760853124999,0.01218414306640625,0.00952911376953125,0.00023603439331054688,0.0006715707820556641,0.00010824290404663086,0.0003204345703125,0.072998046875,0.06634521484375,0.0015172086118164063,0.0008914622166687012,9.733438491821289e-05,-6.222724914550781e-05,0.2645033337375,0.296599984125,0.29683994125,0.0007534027099609375,0.01287841796875,0.0169677734375,0.000110626220703125,0.0005626678466796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-1.6689300537109375e-06,-3.814697265625e-06,-3.0994415283203125e-06,100.125,0.021484375,0.0087890625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0282060008453125,0.4560546875,0.0,0.0,0.0,0.0,0.0,0.0283411353578125,0.45654296875,0.006893157958984375,0.0001863241195678711,0.0022449493408203125,0.031280517578125,0.029998779296875,0.01442718505859375,0.0006122589111328125,0.01306915283203125,-0.00016796588897705078,0.002490997314453125,0.0053253173828125,0.016027117189611816,0.01981315012943115,0.01373291015625,0.01232147216796875,0.0921389553875,0.095351871075,0.01271820068359375,0.00960540771484375,0.00022029876708984375,0.0006495341979125977,0.00012259916470336914,0.0003097057342529297,0.0723876953125,0.06561279296875,0.0014395389342285157,0.0008254921573852539,9.733438491821289e-05,-4.762411117553711e-05,0.2680750339875,0.300312228525,0.300796382175,0.0007691383361816406,0.012298583984375,0.016357421875,5.692243576049805e-05,0.00026035308837890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0967254638671875e-05,-1.6689300537109375e-06,5.7220458984375e-06,-3.933906555175781e-06,100.0625,0.018798828125,0.01513671875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.02855511100625,0.4638671875,0.0,0.0,0.0,0.0,0.0,0.02868928781875,0.46435546875,0.006893157958984375,0.0001863241195678711,0.0022563934326171875,0.0316162109375,0.0316162109375,0.01617431640625,0.0005965232849121094,0.0131378173828125,-0.0001780986785888672,0.000591278076171875,0.002719879150390625,0.016689484920458984,0.020165497457690428,0.01363372802734375,0.01216888427734375,0.09523408485,0.0997344795625,0.01297760009765625,0.0095977783203125,0.0002372264862060547,0.0006715783082885742,0.00014678101306152345,0.0002987384796142578,0.0718994140625,0.06524658203125,0.0013294546888916016,0.0007746861368835449,6.318092346191406e-05,-0.00010132789611816406,0.2734747007375,0.3055965155,0.305836450325,0.0007786750793457031,0.0117950439453125,0.015838623046875,5.692243576049805e-05,0.00017881393432617188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-2.1457672119140625e-06,1.1444091796875e-05,-2.86102294921875e-06,100.0625,0.015380859375,0.01611328125
