Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,-0.0,0.0005064599,-0.0,-0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00943022034375,0.10791015625,0.0,0.0,0.0,0.0,0.0,0.009469419630078125,0.1080322265625,0.0038814544677734375,3.701448440551758e-05,0.00484466552734375,0.030792236328125,0.0034847259521484375,0.03765869140625,6.973743438720703e-05,0.0029898403345703125,-1.71661376953125e-05,2.7954578399658203e-05,0.0003592967987060547,0.017488827898925783,0.02146240326826172,0.0050506591796875,0.00450897216796875,0.043341102040624996,0.047786505859375,1.823902130126953e-05,0.0023136138916015625,-3.552436828613281e-05,0.0005031986243469238,-8.803606033325195e-05,-4.565715789794922e-05,0.0626220703125,0.05999755859375,0.007179912814453125,0.00700304764609375,2.5570392608642578e-05,-7.212162017822266e-06,0.09989419208125,0.102591320915625,0.102586153915625,-0.00018918514251708984,0.004161834716796875,0.00461578369140625,-7.152557373046875e-06,2.09808349609375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0728836059570312e-06,-1.1920928955078125e-07,2.682209014892578e-06,2.980232238769531e-07,20.0,-0.002147674560546875,-0.0018558502197265625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0168072138859375,0.219970703125,0.0,0.0,0.0,0.0,0.0,0.01686431485859375,0.2200927734375,0.007904052734375,7.402896881103516e-05,0.009674072265625,0.061767578125,0.006702423095703125,0.0745849609375,0.0001323223114013672,0.005762965292578125,-3.4332275390625e-05,9.500980377197266e-05,0.0009584426879882812,0.019649418102539062,0.023700177706835936,0.0102081298828125,0.0090789794921875,0.073965525234375,0.079029105559375,4.971027374267578e-05,0.0047149658203125,-7.474422454833984e-05,0.0005211762312133789,-0.00018358230590820312,-8.255243301391602e-05,0.1256103515625,0.1199951171875,0.01344429821484375,0.01341384543984375,3.30805778503418e-05,-3.7610530853271484e-05,0.1567534879,0.16172228758125,0.16177844623749998,-0.0003666877746582031,0.00817108154296875,0.00908660888671875,-1.9073486328125e-05,3.248453140258789e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.589557647705078e-06,-1.7881393432617188e-07,9.179115295410156e-06,3.5762786865234375e-07,40.03125,-0.00390625,-0.00390625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0243133304625,0.33642578125,0.0,0.0,0.0,0.0,0.0,0.02439243341875,0.336669921875,0.0119171142578125,0.00011086463928222656,0.01470184326171875,0.09130859375,0.0097503662109375,0.1092529296875,0.00014257431030273438,0.0089889612765625,-5.7756900787353516e-05,0.0002655982971191406,0.00125885009765625,0.021332845105859376,0.02603292655078125,0.01556396484375,0.0138092041015625,0.10663427971875,0.11260417853125,8.463859558105469e-05,0.0070953369140625,-0.00010114908218383789,0.0005639572421508789,-0.0002760887145996094,-0.00012612342834472656,0.1876220703125,0.178955078125,0.0194626657984375,0.0194304260234375,7.891654968261719e-05,-1.7404556274414062e-05,0.21568533037499998,0.2223763242625,0.222494114175,-0.0005803108215332031,0.0123443603515625,0.01369476318359375,-3.838539123535156e-05,5.710124969482422e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.993511199951172e-06,-7.748603820800781e-07,4.589557647705078e-06,1.0728836059570312e-06,60.0,-0.007030487060546875,-0.006153106689453125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0318299500828125,0.45166015625,0.0,0.0,0.0,0.0,0.0,0.031923535028125,0.451904296875,0.0159759521484375,0.00014781951904296875,0.0195770263671875,0.12188720703125,0.01287841796875,0.143310546875,0.00018477439880371094,0.01198237380546875,-8.118152618408203e-05,0.0003733634948730469,0.0018157958984375,0.02458669433515625,0.02962156382578125,0.0209503173828125,0.0186004638671875,0.1389072323,0.145540950775,0.00013554096221923828,0.00957489013671875,-0.00012421607971191406,0.0005754126055664062,-0.0003685951232910156,-0.0001723766326904297,0.2493896484375,0.2379150390625,0.0246602108234375,0.02470928959375,5.27501106262207e-05,-7.808208465576172e-05,0.2735304497,0.2811955065,0.281435765325,-0.0007686614990234375,0.016021728515625,0.0179290771484375,-4.3332576751708984e-05,5.125999450683594e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-1.2516975402832031e-06,6.079673767089844e-06,1.430511474609375e-06,79.9375,-0.00547027587890625,-0.0085906982421875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.039498557837500003,0.5673828125,0.0,0.0,0.0,0.0,0.0,0.039606295371875,0.56787109375,0.020111083984375,0.00018477439880371094,0.0242919921875,0.1534423828125,0.0166473388671875,0.1763916015625,0.0002448558807373047,0.01498469659609375,-0.00010633468627929688,0.0005207061767578125,0.00251007080078125,0.02872234954375,0.0339674800703125,0.026580810546875,0.02362060546875,0.1720313877,0.1793890968375,0.00019240379333496094,0.0122528076171875,-0.0001270771026611328,0.000600463125805664,-0.00045228004455566406,-0.00021147727966308594,0.311279296875,0.296630859375,0.0290808122171875,0.0291764508546875,0.00010037422180175781,-7.873773574829102e-05,0.3304760903,0.33837570255,0.338616132775,-0.0009555816650390625,0.01947021484375,0.0219879150390625,-3.218650817871094e-05,6.836652755737305e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-2.0265579223632812e-06,-3.814697265625e-06,2.2649765014648438e-06,100.0,-0.01318359375,-0.00634765625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.039592729728125,0.568359375,0.0,0.0,0.0,0.0,0.0,0.039729946040625,0.56884765625,0.020294189453125,0.00018477439880371094,0.0240631103515625,0.15576171875,0.01788330078125,0.1728515625,0.00024127960205078125,0.01502083930859375,-0.00010973215103149414,0.0005083084106445312,0.0026912689208984375,0.030734483121875,0.035780247346875,0.02716064453125,0.0241851806640625,0.1735585788625,0.1811264939125,0.00019681453704833984,0.012664794921875,-0.00013506412506103516,0.0005810421952148438,-0.00044592220302734376,-0.00021183490753173828,0.31005859375,0.29541015625,0.0268206807140625,0.027000279896875,8.028745651245117e-05,-8.302927017211914e-05,0.328572168975,0.334701616275,0.33494171500000003,-0.0009474754333496094,0.0186614990234375,0.021392822265625,-2.4259090423583984e-05,7.56978988647461e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-2.0265579223632812e-06,-3.814697265625e-06,1.9073486328125e-06,100.0,-0.00830078125,-0.00927734375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.04023273778125,0.5654296875,0.0,0.0,0.0,0.0,0.0,0.040338248215625,0.5654296875,0.0205230712890625,0.00018489360809326172,0.0238494873046875,0.158447265625,0.0201416015625,0.1661376953125,0.00029730796813964844,0.01492502480859375,-0.00011217594146728516,0.0005035400390625,0.0029201507568359375,0.031838992625,0.0366012900921875,0.0279541015625,0.0250396728515625,0.1749048587375,0.182935167125,0.00024020671844482422,0.01325225830078125,-0.0001366138458251953,0.0005745344203613281,-0.0004205098997558594,-0.00020444393157958984,0.30712890625,0.29296875,0.02391615728125,0.024180010209375,9.1552734375e-05,-0.00010800361633300781,0.3256605603,0.329314827875,0.329554785,-0.0009202957153320312,0.017669677734375,0.0205535888671875,-4.076957702636719e-05,8.726119995117188e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-2.86102294921875e-06,-3.814697265625e-06,2.0265579223632812e-06,100.0,-0.009765625,-0.01123046875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.041832099478125,0.5537109375,0.0,0.0,0.0,0.0,0.0,0.042058786725,0.55419921875,0.0208587646484375,0.00018489360809326172,0.0235595703125,0.1602783203125,0.0245361328125,0.1527099609375,0.0002913475036621094,0.01488494873046875,-0.00010728836059570312,0.0007109642028808594,0.0033740997314453125,0.02933027785703125,0.033621996603124996,0.0291595458984375,0.0263214111328125,0.1761233303875,0.1845852695125,0.0002639293670654297,0.0141143798828125,-0.00015878677368164062,0.0005397424422363281,-0.0004098491270751953,-0.00021147727966308594,0.300048828125,0.287109375,0.0202512416625,0.0206613218921875,3.510713577270508e-05,-0.00016236305236816406,0.323128744925,0.32301730665,0.323257319675,-0.0008678436279296875,0.0171966552734375,0.0202178955078125,-9.870529174804688e-05,8.589029312133789e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-1.7881393432617188e-06,7.62939453125e-06,2.384185791015625e-06,100.0,-0.0087890625,-0.00634765625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0466825524125,0.51513671875,0.0,0.0,0.0,0.0,0.0,0.04687776438125,0.515625,0.02130126953125,0.00018489360809326172,0.02294921875,0.158447265625,0.0328369140625,0.12890625,0.0003936290740966797,0.014801025390625,-8.988380432128906e-05,0.0012235641479492188,0.0036182403564453125,0.020403569545703125,0.02450209299296875,0.0305328369140625,0.0278472900390625,0.17531220985,0.18359678425,0.00036406517028808594,0.01534271240234375,-0.0001569986343383789,0.00053055371875,-0.00038465399975585936,-0.00021970272064208984,0.2841796875,0.274169921875,0.01583269527421875,0.01637375811640625,9.47713851928711e-06,-0.00017821788787841797,0.321204192925,0.316338703,0.316578637825,-0.0007848739624023438,0.0179290771484375,0.0208740234375,-4.5180320739746094e-05,0.00010865926742553711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-2.6226043701171875e-06,3.814697265625e-06,2.6226043701171875e-06,100.0625,0.0009765625,-0.00634765625
