Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.005924513556640625,0.07208251953125,0.0,0.0,0.0,0.0,0.0,0.0059713422375,0.0721435546875,0.00116729736328125,3.74913215637207e-05,0.0006666183471679688,0.006664276123046875,0.0036525726318359375,0.00750732421875,0.00012636184692382812,0.00212581140390625,-3.314018249511719e-05,0.0017833709716796875,0.0030536651611328125,0.016545345976776125,0.020426832169934083,0.0025157928466796875,0.0024261474609375,0.02490085545859375,0.0286672431640625,0.0013818740844726562,0.0013761520385742188,6.073713302612305e-05,0.0005492134101135254,8.887052536010742e-05,0.00013148784637451172,0.015960693359375,0.01529693603515625,0.0009252398103027344,0.0005694414983276367,7.748603820800781e-06,-2.1755695343017578e-05,0.069346096378125,0.0718753785328125,0.0719159879,0.0001723766326904297,0.0030536651611328125,0.0040283203125,1.049041748046875e-05,5.793571472167969e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-5.960464477539063e-08,1.9073486328125e-06,-6.556510925292969e-07,20.03125,0.002685546875,0.003223419189453125
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0097881709171875,0.1474609375,0.0,0.0,0.0,0.0,0.0,0.00986053067890625,0.147705078125,0.0023021697998046875,7.49826431274414e-05,0.0011501312255859375,0.0139923095703125,0.007282257080078125,0.0159454345703125,0.00024771690368652344,0.0040139265962890625,-6.914138793945312e-05,0.0023040771484375,0.004608154296875,0.01637759994152832,0.020332276858447264,0.0050811767578125,0.004871368408203125,0.036367868984374996,0.0399513467703125,0.0032291412353515625,0.002857208251953125,0.00013256072998046875,0.0005997947576721191,0.00018894672393798828,0.0002880096435546875,0.033721923828125,0.0322265625,0.001134270138671875,0.0007213939627929688,1.2576580047607422e-05,-5.078315734863281e-05,0.095138497665625,0.10007677976875,0.100132938425,0.0003829002380371094,0.005859375,0.0078887939453125,1.5437602996826172e-05,0.00010454654693603516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.039836883544922e-06,-3.5762786865234375e-07,2.2649765014648438e-06,-8.940696716308594e-07,40.09375,0.00732421875,0.00722503662109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.014212012103125,0.2257080078125,0.0,0.0,0.0,0.0,0.0,0.0143063738484375,0.225830078125,0.003635406494140625,0.00011235475540161133,0.001575469970703125,0.021820068359375,0.0111846923828125,0.0243682861328125,0.0003421306610107422,0.006299599704296875,-0.00011861324310302734,0.0020198822021484375,0.00489044189453125,0.016178593053552247,0.02017224024859619,0.00778961181640625,0.007442474365234375,0.050024172296875,0.05352214728125,0.0045318603515625,0.00434112548828125,0.00017940998077392578,0.0006785769740539551,0.0002570152282714844,0.0004019737243652344,0.054351806640625,0.051605224609375,0.0014103262446044922,0.0008918317775268554,4.231929779052734e-06,-9.012222290039062e-05,0.12321706865625,0.12990806254375,0.1299648173,0.0005207061767578125,0.00897216796875,0.0119781494140625,2.7298927307128906e-05,0.00017011165618896484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.020069122314453e-06,0.0,1.0311603546142578e-05,-1.6689300537109375e-06,60.125,0.00732421875,0.00937652587890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0191346375828125,0.291748046875,0.0,0.0,0.0,0.0,0.0,0.0192434813171875,0.2919921875,0.004795074462890625,0.00014984607696533203,0.002048492431640625,0.032440185546875,0.0155029296875,0.037841796875,0.0004496574401855469,0.00833552321953125,-0.00016486644744873047,0.00115203857421875,0.0050201416015625,0.016130642985516357,0.020103715334112548,0.010650634765625,0.01019287109375,0.06462744714375,0.06814837265,0.005619049072265625,0.0058135986328125,0.0002294778823852539,0.000736047123236084,0.0003409385681152344,0.0005331039428710938,0.0802001953125,0.0765380859375,0.0017162372821777343,0.0012355499697265624,-1.7821788787841797e-05,-0.0001494884490966797,0.14785906298125,0.15503583853125,0.1550929918875,0.0007119178771972656,0.01221466064453125,0.0165557861328125,0.00010794401168823242,0.0005283355712890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-1.1324882507324219e-06,0.0,-1.0728836059570312e-06,80.125,0.0119171142578125,0.017181396484375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0263607404546875,0.3095703125,0.0,0.0,0.0,0.0,0.0,0.02651425435625,0.309814453125,0.00577545166015625,0.00018727779388427734,0.00237274169921875,0.045074462890625,0.0210418701171875,0.0528564453125,0.0006475448608398438,0.0100789959125,-0.00021255016326904297,0.0007200241088867188,0.0052947998046875,0.016138199706256105,0.020059391863067627,0.013275146484375,0.012847900390625,0.07895277441875,0.0827094093375,0.005889892578125,0.007190704345703125,0.0002574920654296875,0.0008047878480957031,0.00041985511779785156,0.0006237030029296875,0.10516357421875,0.10174560546875,0.002432290793847656,0.0021435986818359376,-8.577108383178711e-05,-0.0002282857894897461,0.16659669576875,0.1718717963,0.1719901562125,0.0008845329284667969,0.01540374755859375,0.02093505859375,0.00022935867309570312,0.0006008148193359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-8.344650268554688e-07,1.52587890625e-05,-3.5762786865234375e-07,100.1875,0.021728515625,0.021484375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.039806352775,0.228759765625,0.0,0.0,0.0,0.0,0.0,0.0400656394,0.2288818359375,0.005615234375,0.00018739700317382812,0.0029735565185546875,0.049224853515625,0.02374267578125,0.054595947265625,0.0006756782531738281,0.00905465278515625,-0.00022137165069580078,0.002124786376953125,0.00811767578125,0.016115430711749267,0.019987996713635253,0.01262664794921875,0.01248931884765625,0.07712303198750001,0.08170022438124999,0.00464630126953125,0.006977081298828125,0.000164031982421875,0.0007580679901977539,0.0005110899734863282,0.0006275177001953125,0.1046142578125,0.10272216796875,0.002924463367871094,0.0026262717181640624,-0.00023472309112548828,-0.00034546852111816406,0.15675820413125,0.15727241705625,0.1573294103125,0.0007824897766113281,0.017852783203125,0.023651123046875,0.0002875328063964844,0.00019037723541259766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-5.960464477539062e-07,0.0,8.344650268554688e-07,100.3125,0.02734375,0.02587890625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.06611164403125,0.14892578125,0.0,0.0,0.0,0.0,0.0,0.066552847825,0.14892578125,0.005512237548828125,0.0001876354217529297,0.004817962646484375,0.052642822265625,0.0261077880859375,0.054229736328125,0.0006852149963378906,0.00776865273828125,-0.0002009868621826172,0.007328033447265625,0.01244354248046875,0.015891829519989013,0.019664630279260253,0.01165771484375,0.011810302734375,0.0733423587375,0.07871763782812499,0.0030765533447265625,0.00673675537109375,5.507469177246094e-05,0.0006880216640136719,0.0006876596559082032,0.0006628036499023438,0.10107421875,0.10076904296875,0.003044994866699219,0.0023084434369140625,-0.00040078163146972656,-0.0004432201385498047,0.14871964233125,0.145721077875,0.14571689437500002,0.0006346702575683594,0.0209197998046875,0.02691650390625,0.0005621910095214844,-0.00018548965454101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,0.0,3.814697265625e-06,1.7881393432617188e-06,100.5,0.029296875,0.040283203125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.090873847525,0.0804443359375,0.0,0.0,0.0,0.0,0.0,0.0912531226625,0.0804443359375,0.005741119384765625,0.0001876354217529297,0.006927490234375,0.0577392578125,0.02947998046875,0.053680419921875,0.000965118408203125,0.0067138671875,-0.0001780986785888672,0.01318359375,0.016754150390625,0.015888238367285156,0.019570499620550536,0.01111602783203125,0.01148223876953125,0.069891640934375,0.07551544529375,0.0018434524536132812,0.00673675537109375,5.9604644775390625e-06,0.0006416663848022461,0.0009384079377441406,0.0007762908935546875,0.100341796875,0.1011962890625,0.004052129724023437,0.002842870964453125,-0.0004544258117675781,-0.000457763671875,0.14875130351875,0.14180392774375,0.14179980014375,0.0005497932434082031,0.02471923828125,0.0300750732421875,0.00112152099609375,-0.0002624988555908203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-7.152557373046875e-07,-5.7220458984375e-06,3.4570693969726562e-06,100.5,0.015869140625,0.03466796875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.109792903975,0.019744873046875,0.0,0.0,0.0,0.0,0.0,0.110293291725,0.0197296142578125,0.006450653076171875,0.00018787384033203125,0.0095062255859375,0.06439208984375,0.0330810546875,0.056121826171875,0.0015926361083984375,0.005706787109375,-0.00015151500701904297,0.019775390625,0.0225372314453125,0.015996402111010742,0.01963424125880737,0.010955810546875,0.01153564453125,0.066578078990625,0.07294004596875,0.000888824462890625,0.0068206787109375,3.129243850708008e-05,0.0006529816591186523,0.0012618647075195312,0.0009765625,0.10174560546875,0.1041259765625,0.00620439937578125,0.004643564024609375,-0.0004153251647949219,-0.00040411949157714844,0.1521368101125,0.141778156125,0.141773950325,0.0004897117614746094,0.027984619140625,0.032196044921875,0.0009765625,-0.00042366981506347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0013580322265625e-05,0.0,1.1444091796875e-05,2.9802322387695312e-06,100.4375,0.00927734375,0.0283203125
