Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,-0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.01099424622265625,-0.00018775463104248047,0.0,0.0,0.0,0.0,0.0,0.01109066596796875,-0.00017523765563964844,0.0009145736694335938,3.7729740142822266e-05,0.0004622936248779297,0.0033473968505859375,0.002544403076171875,0.0026874542236328125,0.0001621246337890625,0.0007987735926269532,-2.2470951080322266e-05,0.018646240234375,0.0193634033203125,0.016538253024047853,0.020391546220227052,0.002536773681640625,0.002872467041015625,0.016479911244726562,0.02017572705078125,0.0010318756103515625,0.0009813308715820312,7.015466690063477e-05,0.0005724592215759277,0.0004930496215820312,0.0004963874816894531,0.01480865478515625,0.0151519775390625,0.002960857638671875,0.0028145100484374998,0.00743865966796875,0.00740814208984375,0.0524240993078125,0.04368929569284668,0.04368788378546753,0.00019609928131103516,0.0086212158203125,0.0101776123046875,0.003360748291015625,0.002208709716796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.556510925292969e-07,2.384185791015625e-07,1.5497207641601562e-06,-5.364418029785156e-07,20.046875,0.0017576217651367188,0.0005860328674316406
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.02628292189375,-0.0002789497375488281,0.0,0.0,0.0,0.0,0.0,0.026454463784375,-0.0002582073211669922,0.0018024444580078125,7.545948028564453e-05,0.0008368492126464844,0.005413055419921875,0.00518035888671875,0.0022335052490234375,0.0003113746643066406,0.0012106009432128906,-6.562471389770508e-05,0.04339599609375,0.04388427734375,0.016356499897277832,0.020246565379260253,0.004787445068359375,0.00543975830078125,0.0166687723046875,0.019996665373828125,0.003345489501953125,0.0020351409912109375,0.000194549560546875,0.0006567767980773926,0.0011806488037109375,0.0011777877807617188,0.026275634765625,0.0269317626953125,0.004819267697265625,0.004460750957421875,0.0115203857421875,0.01146697998046875,0.0616454556734375,0.04343281690864258,0.043424840967114256,0.0003833770751953125,0.019989013671875,0.0227813720703125,0.01068878173828125,0.00615692138671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.993511199951172e-06,7.748603820800781e-07,5.364418029785156e-06,-4.172325134277344e-07,40.125,0.0023441314697265625,0.006053924560546875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.05251157265,-0.000335693359375,0.0,0.0,0.0,0.0,0.0,0.052773781075,-0.0003170967102050781,0.002613067626953125,0.00011324882507324219,0.001377105712890625,0.00655364990234375,0.007030487060546875,0.0004601478576660156,0.00033354759216308594,0.002258881625683594,-0.00011742115020751953,0.07244873046875,0.06982421875,0.01613418759319458,0.020024718752777098,0.00689697265625,0.0078277587890625,0.016655107965820315,0.01954654608496094,0.00617218017578125,0.003192901611328125,0.000225067138671875,0.0006630797664123535,0.0018978118896484375,0.0018606185913085938,0.037689208984375,0.038116455078125,0.006420215847265625,0.00579669799609375,0.01560211181640625,0.01556396484375,0.073015652640625,0.04325447234141846,0.04324756933704834,0.0005750656127929688,0.035003662109375,0.03948974609375,0.0211181640625,0.0128631591796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.562999725341797e-06,4.172325134277344e-07,-2.2649765014648438e-06,2.384185791015625e-07,60.1875,0.0105438232421875,0.00937652587890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.088760492075,-0.0004200935363769531,0.0,0.0,0.0,0.0,0.0,0.0891439940125,-0.0003795623779296875,0.0033817291259765625,0.00015115737915039062,0.0022716522216796875,0.00807952880859375,0.00937652587890625,0.0003917217254638672,0.0003724098205566406,0.002739362330859375,-0.0001837015151977539,0.10418701171875,0.0970458984375,0.01603736171644287,0.019931875143225097,0.00896453857421875,0.01019287109375,0.016409673706250003,0.01851916122421875,0.00981903076171875,0.00424957275390625,0.00030803680419921875,0.000691641662878418,0.0030460357666015625,0.002918243408203125,0.048431396484375,0.048187255859375,0.007566552376171875,0.006478851361328125,0.02197265625,0.02191162109375,0.0822462700125,0.043037518905395505,0.04300973564284057,0.0008039474487304688,0.05230712890625,0.05877685546875,0.0325927734375,0.020599365234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-4.76837158203125e-07,0.0,5.960464477539062e-07,80.25,0.0095672607421875,0.0148468017578125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.1261684797125,-0.0006084442138671875,0.0,0.0,0.0,0.0,0.0,0.126795016075,-0.0005674362182617188,0.00441741943359375,0.00018906593322753906,0.0032062530517578125,0.00928497314453125,0.011962890625,0.00020611286163330078,0.0003936290740966797,0.0030504162005859374,-0.00023996829986572266,0.1387939453125,0.12646484375,0.015935603518664552,0.019824370748718262,0.011199951171875,0.01273345947265625,0.015912994755664062,0.017836190801123048,0.01438140869140625,0.0052642822265625,0.0004379749298095703,0.0007701575494812011,0.00472259521484375,0.004505157470703125,0.058837890625,0.05792236328125,0.008523408652734375,0.007127500659375,0.0311126708984375,0.0310516357421875,0.091492936003125,0.04309524600703125,0.043056726494482424,0.0011119842529296875,0.069580078125,0.078125,0.045196533203125,0.0300750732421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-1.430511474609375e-06,-5.7220458984375e-06,2.1457672119140625e-06,100.3125,0.0244140625,0.01806640625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.13624189965,-0.0006957054138183594,0.0,0.0,0.0,0.0,0.0,0.1368673972125,-0.0006361007690429688,0.0049591064453125,0.00018918514251708984,0.003498077392578125,0.0091705322265625,0.01265716552734375,0.0001347064971923828,0.0003418922424316406,0.0027851978291015627,-0.0002536773681640625,0.1458740234375,0.1312255859375,0.015981141447070312,0.01979666580390625,0.0116424560546875,0.013214111328125,0.014581070317578125,0.017506975632470702,0.0170745849609375,0.00527191162109375,0.0005059242248535156,0.00075747194375,0.00594655673984375,0.0056915283203125,0.058013916015625,0.056640625,0.0077471943859375,0.006435246937890625,0.03466796875,0.03460693359375,0.090779200225,0.043060082900213625,0.043010264633026124,0.001239776611328125,0.07232666015625,0.080810546875,0.04803466796875,0.0328369140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.430511474609375e-06,1.9073486328125e-06,2.2649765014648438e-06,100.3125,0.015625,0.02099609375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.146128733875,-0.0007300376892089844,0.0,0.0,0.0,0.0,0.0,0.1467530431375,-0.0007042884826660156,0.005603790283203125,0.0001895427703857422,0.00388336181640625,0.00982666015625,0.013580322265625,0.00011944770812988281,0.0002949237823486328,0.0025062778603515625,-0.0002548694610595703,0.152587890625,0.1363525390625,0.015822270899536132,0.019556269035058593,0.0122528076171875,0.013885498046875,0.013399159579785156,0.017061162760986327,0.020172119140625,0.005374908447265625,0.0008745193481445312,0.0008035354655883789,0.00760704365859375,0.007320404052734375,0.058135986328125,0.056488037109375,0.00707808355078125,0.005972460160546875,0.036865234375,0.036834716796875,0.089240882565625,0.042515337423187256,0.04246186088195801,0.0013742446899414062,0.0750732421875,0.08319091796875,0.0494384765625,0.03448486328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-1.6689300537109375e-06,-3.814697265625e-06,2.5033950805664062e-06,100.3125,0.021484375,0.02587890625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.151909003775,-0.0006861686706542969,0.0,0.0,0.0,0.0,0.0,0.152410349225,-0.0006923675537109375,0.00629425048828125,0.00018966197967529297,0.004390716552734375,0.01149749755859375,0.014801025390625,0.0001304149627685547,0.0003046989440917969,0.0022792816162109375,-0.00024306774139404297,0.1585693359375,0.14208984375,0.015850329813208008,0.019511908254736327,0.0128631591796875,0.014556884765625,0.013004014286425782,0.016876634182299805,0.023345947265625,0.005550384521484375,0.00348663330078125,0.001140318842993164,0.00949238971875,0.009185791015625,0.059661865234375,0.058349609375,0.00702950093984375,0.006146398796484375,0.036712646484375,0.036651611328125,0.088753744925,0.04216922076972046,0.042137615428479006,0.001552581787109375,0.0770263671875,0.08453369140625,0.05035400390625,0.036041259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.430511474609375e-06,-1.9073486328125e-06,1.7881393432617188e-06,100.375,0.01953125,0.0244140625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.150808528975,-0.0006737709045410156,0.0,0.0,0.0,0.0,0.0,0.1514309870375,-0.0006737709045410156,0.0069427490234375,0.00018978118896484375,0.00518035888671875,0.01377105712890625,0.01617431640625,0.00042724609375,0.0004317760467529297,0.002056121826171875,-0.00023818016052246094,0.163330078125,0.14794921875,0.015980189647631836,0.019593888914294432,0.01345062255859375,0.01525115966796875,0.012395549541162109,0.016582900659301757,0.0250244140625,0.006011962890625,0.007030487060546875,0.0015915163957519532,0.01116767983203125,0.0108795166015625,0.06256103515625,0.062103271484375,0.00818804195390625,0.007535104551953125,0.0328369140625,0.032806396484375,0.09021664409687499,0.04184190925305176,0.04181272910689087,0.0017175674438476562,0.0784912109375,0.0850830078125,0.051605224609375,0.038421630859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-1.6689300537109375e-06,-3.814697265625e-06,2.0265579223632812e-06,100.3125,0.0263671875,0.021484375
