Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.008495619513671875,0.09124755859375,0.0,0.0,0.0,0.0,0.0,0.0085348188,0.09130859375,0.0013942718505859375,3.731250762939453e-05,0.0006418228149414062,0.00836944580078125,0.003108978271484375,0.01035308837890625,9.322166442871094e-05,0.0029249904810546875,-3.343820571899414e-05,0.0007238388061523438,0.0014200210571289062,0.01655535955709839,0.02044095847074585,0.0028629302978515625,0.002574920654296875,0.0293793100484375,0.0326040107421875,0.0012149810791015625,0.0017805099487304688,5.4001808166503906e-05,0.0005296630866271973,2.5153160095214844e-05,9.703636169433594e-05,0.0205841064453125,0.019195556640625,0.0011228888123779297,0.0008089329610351562,4.291534423828125e-06,-2.1696090698242188e-05,0.074656154971875,0.0788791627125,0.078904513290625,6.258487701416016e-05,0.002651214599609375,0.003665924072265625,1.1920928955078125e-06,3.2782554626464844e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.364418029785156e-07,-2.384185791015625e-07,-1.9669532775878906e-06,-1.7881393432617188e-07,20.03125,0.0017137527465820312,0.0016813278198242188
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01509060011640625,0.184326171875,0.0,0.0,0.0,0.0,0.0,0.01515533048359375,0.1844482421875,0.0027599334716796875,7.474422454833984e-05,0.0011119842529296875,0.0162811279296875,0.006633758544921875,0.0182037353515625,0.00018715858459472656,0.005572230429296875,-6.93202018737793e-05,0.0012340545654296875,0.0024852752685546875,0.01639518331173706,0.02035909894859619,0.00576019287109375,0.00516510009765625,0.045553659999999996,0.048145316496875,0.0030193328857421875,0.0036373138427734375,0.00011479854583740234,0.0005793503645141601,4.8160552978515625e-05,0.00019502639770507812,0.03936767578125,0.036529541015625,0.0010815796326904296,0.0006604184111877442,1.3947486877441406e-05,-3.737211227416992e-05,0.105331368759375,0.11496935789375,0.11508655170625,0.00014257431030273438,0.00499725341796875,0.00702667236328125,6.139278411865234e-06,5.370378494262695e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3974647521972656e-06,-4.76837158203125e-07,2.86102294921875e-06,-4.76837158203125e-07,40.0625,0.0033779144287109375,0.0037021636962890625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.021719336321875,0.279052734375,0.0,0.0,0.0,0.0,0.0,0.021798439278125,0.279296875,0.00408172607421875,0.0001119375228881836,0.0012969970703125,0.0235137939453125,0.01092529296875,0.022552490234375,0.0002772808074951172,0.00826416879609375,-0.00010341405868530273,0.001560211181640625,0.0032749176025390625,0.01620648802730713,0.02021026801196289,0.00865936279296875,0.00774383544921875,0.061773439875,0.06353191290625,0.005680084228515625,0.00562286376953125,0.00016748905181884766,0.0006066341678100586,7.194280624389648e-05,0.0002987384796142578,0.055267333984375,0.050933837890625,0.0012250750086425781,0.0007128390292663574,3.731250762939453e-05,-3.981590270996094e-05,0.13652273271874998,0.15224692973125,0.15248678995625,0.00025463104248046875,0.007049560546875,0.0101165771484375,3.057718276977539e-05,9.703636169433594e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3974647521972656e-06,-5.960464477539062e-07,2.9802322387695312e-06,-7.748603820800781e-07,60.0625,0.004375457763671875,0.00756072998046875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.028366204965625,0.375,0.0,0.0,0.0,0.0,0.0,0.028444531121875,0.375244140625,0.005382537841796875,0.0001494884490966797,0.0013332366943359375,0.02978515625,0.016082763671875,0.022735595703125,0.0003764629364013672,0.01102107009453125,-0.0001361370086669922,0.0019321441650390625,0.004016876220703125,0.016169207190686034,0.02016600218790283,0.0115814208984375,0.010345458984375,0.0777500057375,0.07834124374375,0.00940704345703125,0.00775146484375,0.00022661685943603516,0.0006290567858642578,0.00010317564010620117,0.0004165172576904297,0.067138671875,0.061279296875,0.0012645532840698242,0.0006955318880615234,3.081560134887695e-05,-7.50422477722168e-05,0.1684279106375,0.190619334625,0.1907375231375,0.0004107952117919922,0.00876617431640625,0.01285552978515625,4.565715789794922e-05,0.00012373924255371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.543231964111328e-06,-1.6093254089355469e-06,5.364418029785156e-07,-1.3113021850585938e-06,80.125,0.0128021240234375,0.0095062255859375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.035073509009375003,0.472900390625,0.0,0.0,0.0,0.0,0.0,0.035211764121875,0.47314453125,0.00662994384765625,0.00018680095672607422,0.0012655258178710938,0.034698486328125,0.02197265625,0.018798828125,0.0004830360412597656,0.01382502862734375,-0.00016164779663085938,0.002605438232421875,0.00494384765625,0.016133371730029298,0.020123824484069824,0.01451873779296875,0.012908935546875,0.09323500098125,0.09241399918125,0.014495849609375,0.009979248046875,0.0002999305725097656,0.0006445705629394531,0.00014531612396240234,0.0005536079406738281,0.07415771484375,0.0667724609375,0.0012770931734558105,0.0006787549318359375,4.291534423828125e-05,-9.59634780883789e-05,0.2012036293625,0.229733124425,0.2298514843375,0.0006194114685058594,0.01013946533203125,0.0152435302734375,5.739927291870117e-05,0.00014281272888183594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.172325134277344e-06,-1.4901161193847656e-06,8.285045623779297e-06,-2.384185791015625e-06,100.125,0.01561737060546875,0.01141357421875
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.035076128165625,0.4775390625,0.0,0.0,0.0,0.0,0.0,0.035213344478125,0.477783203125,0.006504058837890625,0.00018680095672607422,0.0009160041809082031,0.031494140625,0.023529052734375,0.008575439453125,0.0004916191101074219,0.013929835890625,-0.00015163421630859375,0.0031585693359375,0.005229949951171875,0.016153756498339843,0.02008968223762207,0.01446533203125,0.01279449462890625,0.09158836401875001,0.09030618141249999,0.0176544189453125,0.01018524169921875,0.0003337860107421875,0.0006344479569335938,0.00016764801029052733,0.0005898475646972656,0.06292724609375,0.05535888671875,0.0011862727169311524,0.0006378607684570313,6.23464584350586e-05,-8.636713027954102e-05,0.203083887725,0.2315522022125,0.231670230625,0.0007390975952148438,0.0094757080078125,0.01453399658203125,8.547306060791016e-05,0.00016820430755615234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.827976226806641e-06,-1.3113021850585938e-06,1.1265277862548828e-05,-2.086162567138672e-06,100.125,0.019622802734375,0.016082763671875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0351668198125,0.4833984375,0.0,0.0,0.0,0.0,0.0,0.035302847825,0.483642578125,0.0063629150390625,0.000186920166015625,0.0007014274597167969,0.02789306640625,0.0248260498046875,0.00188446044921875,0.000492095947265625,0.01405527383203125,-0.0001392364501953125,0.003505706787109375,0.005336761474609375,0.016036788016082763,0.019908890113549804,0.01436614990234375,0.01263427734375,0.0889673587375,0.08747618274999999,0.02099609375,0.01035308837890625,0.0003573894500732422,0.0006306819957397461,0.00019556370864257813,0.0006232261657714844,0.052001953125,0.0440673828125,0.001139374768585205,0.0006306918957763672,2.771615982055664e-05,-0.0001347064971923828,0.204810950925,0.232879281,0.23311923812500002,0.0008654594421386719,0.00891876220703125,0.01393890380859375,5.930662155151367e-05,0.00016582012176513672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.708766937255859e-06,-2.384185791015625e-06,6.794929504394531e-06,-2.682209014892578e-06,100.125,0.016387939453125,0.01290130615234375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.03539289049375,0.490234375,0.0,0.0,0.0,0.0,0.0,0.035558542584375,0.49072265625,0.006282806396484375,0.00018703937530517578,0.000522613525390625,0.024810791015625,0.0259246826171875,0.0008625984191894531,0.0005035400390625,0.014251708984375,-0.0001308917999267578,0.0034275054931640625,0.005130767822265625,0.016136551317419433,0.019932240209692382,0.01436614990234375,0.01259613037109375,0.08670682648125,0.08528107029375,0.0245361328125,0.01053619384765625,0.0003910064697265625,0.0006173476897338867,0.00022803978131103516,0.0006666183471679688,0.04278564453125,0.03448486328125,0.001037207581994629,0.0006073391575073242,4.9591064453125e-05,-0.00012683868408203125,0.2072840183625,0.2347604707125,0.234878413425,0.0009975433349609375,0.00836944580078125,0.01340484619140625,1.4066696166992188e-05,0.000164031982421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-07,-2.5033950805664062e-06,-5.841255187988281e-06,-2.2649765014648438e-06,100.0625,0.01325225830078125,0.02154541015625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.036092952803125,0.49560546875,0.0,0.0,0.0,0.0,0.0,0.036227129615625,0.496337890625,0.006366729736328125,0.00018703937530517578,0.0004858970642089844,0.0230865478515625,0.0268402099609375,0.0007405281066894531,0.0004906654357910156,0.01439666748046875,-0.00012242794036865234,0.003650665283203125,0.005420684814453125,0.01627201398845215,0.020028883611865233,0.0145111083984375,0.01270294189453125,0.0858346707875,0.08502500690625,0.02703857421875,0.0106964111328125,0.00040340423583984375,0.0006123312913818359,0.0002673016047973633,0.0007004737854003906,0.037109375,0.0290069580078125,0.0009546606825439454,0.0006058261782348632,4.0411949157714844e-05,-0.00014889240264892578,0.2106084898,0.2366267889375,0.2368667237625,0.0011224746704101562,0.00815582275390625,0.01316070556640625,-1.2874603271484375e-05,0.00015079975128173828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-2.7418136596679688e-06,3.874301910400391e-06,-3.0994415283203125e-06,100.125,0.0160064697265625,0.0166015625
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.03678849995625,0.499755859375,0.0,0.0,0.0,0.0,0.0,0.03692156246875,0.5,0.00653839111328125,0.00018727779388427734,0.0005440711975097656,0.0221099853515625,0.0272064208984375,0.000652313232421875,0.0004754066467285156,0.0138702392578125,-0.00011795759201049805,0.0048370361328125,0.00727081298828125,0.016556855263067626,0.020232094420666504,0.0148162841796875,0.01300811767578125,0.08617538209375,0.08678046609375001,0.0292510986328125,0.01100921630859375,0.0003986358642578125,0.0005723802509765625,0.00031291764959716795,0.000720977783203125,0.03277587890625,0.0263824462890625,0.0007369364481811523,0.0005569433918701171,-1.3172626495361328e-05,-0.00020587444305419922,0.21456610780000002,0.23738890145,0.2375066876625,0.00136566162109375,0.00807952880859375,0.01316070556640625,-5.322694778442383e-05,0.00013113021850585938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.589557647705078e-06,-1.3709068298339844e-06,7.68899917602539e-06,-3.3974647521972656e-06,100.1875,0.014312744140625,0.01416015625
