Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.007007887580078125,0.06243896484375,0.0,0.0,0.0,0.0,0.0,0.007058530958203125,0.06256103515625,0.0012359619140625,3.74913215637207e-05,0.00014030933380126953,0.0034580230712890625,0.004489898681640625,0.0001049041748046875,0.00013113021850585938,0.002143931215917969,-3.254413604736328e-05,0.01100921630859375,0.011474609375,0.01653944511694336,0.020422183007641603,0.0029201507568359375,0.0028591156005859375,0.02110141698203125,0.02356317822265625,0.00431060791015625,0.0018968582153320312,0.00011301040649414062,0.0004969997412902832,0.00013744831085205078,0.00018703937530517578,0.00853729248046875,0.007476806640625,0.0008283822625427247,0.0004960085759643555,1.0251998901367188e-05,-1.5139579772949219e-05,0.08268227801875,0.084341809196875,0.084367159775,0.0002846717834472656,0.004001617431640625,0.004978179931640625,5.78761100769043e-05,3.5762786865234375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0728836059570312e-06,-2.384185791015625e-07,-1.5497207641601562e-06,-8.344650268554688e-07,20.03125,0.0030765533447265625,0.003612518310546875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01180996046796875,0.13134765625,0.0,0.0,0.0,0.0,0.0,0.0118823202296875,0.131591796875,0.00243377685546875,7.49826431274414e-05,0.00022542476654052734,0.006622314453125,0.0087432861328125,0.00020122528076171875,0.0002636909484863281,0.0040864058443359375,-6.341934204101562e-05,0.020751953125,0.02166748046875,0.016368718849456787,0.020327389277575682,0.00582122802734375,0.00565338134765625,0.028982615078125,0.03001024569609375,0.0090179443359375,0.0038852691650390625,0.00022149085998535156,0.0004895857694824219,0.00027298927307128906,0.0003910064697265625,0.016754150390625,0.0144195556640625,0.0009556946229248047,0.0005881179770751954,1.2814998626708984e-05,-4.0531158447265625e-05,0.1212310269625,0.1261387914875,0.12619495014374998,0.0006127357482910156,0.007568359375,0.00959014892578125,0.00010585784912109375,5.1140785217285156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.682209014892578e-06,-6.556510925292969e-07,0.0,-1.7881393432617188e-06,40.0625,0.007617950439453125,0.00644683837890625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0169891117125,0.2066650390625,0.0,0.0,0.0,0.0,0.0,0.0170834734578125,0.206787109375,0.0036716461181640625,0.00011241436004638672,0.0003638267517089844,0.010162353515625,0.0129241943359375,0.0003085136413574219,0.00035881996154785156,0.00660096078828125,-0.00010883808135986328,0.0287322998046875,0.0296630859375,0.016173943891259767,0.020169319621002196,0.0087127685546875,0.0083465576171875,0.0389920678046875,0.0385837927890625,0.013275146484375,0.00574493408203125,0.0003230571746826172,0.0006207008639770508,0.00036787986755371094,0.0005340576171875,0.025848388671875,0.0217132568359375,0.0011680929682373047,0.0007277401904602051,2.6166439056396484e-05,-4.9054622650146484e-05,0.15867849443749998,0.1693978086375,0.1696376688625,0.0008730888366699219,0.01094818115234375,0.01373291015625,0.00016951560974121094,7.510185241699219e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.424022674560547e-06,-1.0132789611816406e-06,2.2649765014648438e-06,-2.9206275939941406e-06,60.0625,0.0098114013671875,0.00673675537109375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0216675965671875,0.28564453125,0.0,0.0,0.0,0.0,0.0,0.021791699090625,0.286376953125,0.00482940673828125,0.00014984607696533203,0.0004601478576660156,0.01351165771484375,0.016998291015625,0.0003974437713623047,0.0004684925079345703,0.0089382453875,-0.0001519918441772461,0.03424072265625,0.035797119140625,0.01612480173032837,0.020128093633825683,0.0115203857421875,0.01096343994140625,0.048727788940625,0.046877620696875,0.017974853515625,0.00768280029296875,0.0004248619079589844,0.000549901817602539,0.0004634857177734375,0.0006933212280273438,0.034820556640625,0.0289306640625,0.0012506057971923828,0.0007761769724426269,1.7344951629638672e-05,-8.106231689453125e-05,0.197114434075,0.2141789049375,0.21429709345,0.0011882781982421875,0.0137481689453125,0.017425537109375,0.0002244710922241211,0.00010251998901367188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5762786865234375e-07,-2.2649765014648438e-06,-6.079673767089844e-06,-3.4570693969726562e-06,80.125,0.01523590087890625,0.01328277587890625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.026223411353125,0.369140625,0.0,0.0,0.0,0.0,0.0,0.0263769252546875,0.369384765625,0.0059967041015625,0.0001875162124633789,0.0005817413330078125,0.0173797607421875,0.021636962890625,0.0005702972412109375,0.0006031990051269531,0.01130732843203125,-0.000194549560546875,0.036956787109375,0.039306640625,0.016090098757922364,0.02009479702206421,0.014312744140625,0.0135345458984375,0.060001358403124996,0.057105161290625,0.0224761962890625,0.0096282958984375,0.0005230903625488281,0.00049150583515625,0.0005488395690917969,0.0008397102355957031,0.04449462890625,0.03692626953125,0.001331512214135742,0.0008271704973266601,5.5849552154541016e-05,-9.888410568237305e-05,0.235993668425,0.2598844916125,0.260002851525,0.0015115737915039062,0.016204833984375,0.02081298828125,0.0002739429473876953,0.00013530254364013672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-06,-1.5497207641601562e-06,1.9073486328125e-05,-5.602836608886719e-06,100.125,0.0146484375,0.01806640625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0256614553140625,0.379638671875,0.0,0.0,0.0,0.0,0.0,0.025813930415625,0.3798828125,0.00600433349609375,0.00018739700317382812,0.0006337165832519531,0.01849365234375,0.022735595703125,0.0006237030029296875,0.0006170272827148438,0.0114731708515625,-0.00019729137420654297,0.030364990234375,0.033233642578125,0.0161126888980896,0.02006548275184326,0.01427459716796875,0.013427734375,0.06326805151875001,0.060917753678125,0.0220947265625,0.00965118408203125,0.0005121231079101562,0.0004892510422607422,0.000525871925390625,0.0008115768432617188,0.04632568359375,0.038787841796875,0.00130643568079834,0.000821681492944336,5.340576171875e-05,-8.302927017211914e-05,0.2366532236625,0.2628022022125,0.26316437125000003,0.001522064208984375,0.015350341796875,0.0199737548828125,0.0002639293670654297,0.0001480579376220703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-1.7881393432617188e-06,7.62939453125e-06,-4.649162292480469e-06,100.125,0.023681640625,0.01513671875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.025065501453125,0.388671875,0.0,0.0,0.0,0.0,0.0,0.0252167882546875,0.38916015625,0.0060272216796875,0.00018739700317382812,0.0006909370422363281,0.0200347900390625,0.024322509765625,0.0007581710815429688,0.0006275177001953125,0.01161386758203125,-0.00019788742065429688,0.0235748291015625,0.026947021484375,0.01596287825656128,0.019840106353479003,0.014312744140625,0.01342010498046875,0.067025220065625,0.06535093860937499,0.021575927734375,0.00970458984375,0.0004987716674804688,0.0004994325679443359,0.0005169519532714844,0.0007805824279785156,0.0487060546875,0.04119873046875,0.0012455902455749512,0.000780955205255127,5.5849552154541016e-05,-0.00011110305786132812,0.23630509155,0.2649837731875,0.26510166,0.0015392303466796875,0.014556884765625,0.019134521484375,0.0002543926239013672,0.0001385211944580078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-2.2649765014648438e-06,9.5367431640625e-06,-3.933906555175781e-06,100.125,0.0166015625,0.01806640625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0248338084625,0.39306640625,0.0,0.0,0.0,0.0,0.0,0.024999460553125,0.3935546875,0.006092071533203125,0.00018739700317382812,0.000675201416015625,0.02154541015625,0.0264129638671875,0.0008673667907714844,0.0006732940673828125,0.01186370849609375,-0.00019669532775878906,0.018310546875,0.0220184326171875,0.01600726884290161,0.019830197057836913,0.01451873779296875,0.01357269287109375,0.070501992496875,0.0693508945125,0.02178955078125,0.009857177734375,0.00047969818115234375,0.0004903897963623047,0.0005226059357910156,0.0007696151733398438,0.04962158203125,0.042266845703125,0.001101759412286377,0.0006699240345214843,3.629922866821289e-05,-0.00010985136032104492,0.2356043308625,0.26637668165,0.2664946243625,0.00159454345703125,0.01395416259765625,0.018463134765625,0.0002315044403076172,0.00013303756713867188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-2.384185791015625e-06,-3.814697265625e-06,-3.933906555175781e-06,100.1875,0.014404296875,0.01806640625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.02635784538125,0.38623046875,0.0,0.0,0.0,0.0,0.0,0.0265377985609375,0.386962890625,0.00624847412109375,0.00018739700317382812,0.0006079673767089844,0.0224456787109375,0.028472900390625,0.000896453857421875,0.000644683837890625,0.011993408203125,-0.00019669532775878906,0.016754150390625,0.0201416015625,0.01614386400218506,0.01991837660045166,0.014739990234375,0.0138092041015625,0.07100312781875,0.070223981515625,0.022613525390625,0.010040283203125,0.0004875659942626953,0.0004840620958251953,0.0005380259013671875,0.0007615089416503906,0.046966552734375,0.040008544921875,0.000899526386126709,0.000534539023083496,0.00013637542724609375,1.4662742614746094e-05,0.2350225523,0.2651912420625,0.2655532472,0.0016813278198242188,0.01378631591796875,0.018218994140625,0.00015115737915039062,2.0742416381835938e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-2.6226043701171875e-06,0.0,-3.6954879760742188e-06,100.1875,0.015625,0.01904296875
