Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00751524231640625,0.10186767578125,0.0,0.0,0.0,0.0,0.0,0.00755062690546875,0.1019287109375,0.0017671585083007812,3.725290298461914e-05,0.0001800060272216797,0.003116607666015625,0.003932952880859375,7.700920104980469e-05,8.028745651245117e-05,0.004296374148046875,-4.0531158447265625e-05,0.0097503662109375,0.00769805908203125,0.01655458469671631,0.020458005399151612,0.003330230712890625,0.0028553009033203125,0.024908484853125,0.0265310126953125,0.00580596923828125,0.0024623870849609375,0.00010728836059570312,0.0004927082068664551,3.975629806518555e-05,0.00016796588897705078,0.00798797607421875,0.005512237548828125,0.0007844536393432618,0.0004473711858276367,2.7298927307128906e-05,-1.8775463104248047e-05,0.09598794208125,0.089255139275,0.08931100743125,0.0002818107604980469,0.003131866455078125,0.00400543212890625,-2.390146255493164e-05,-2.6345252990722656e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.344650268554688e-07,-5.364418029785156e-07,-7.748603820800781e-07,-6.556510925292969e-07,20.015625,0.0037593841552734375,0.002735137939453125
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0133282099796875,0.2066650390625,0.0,0.0,0.0,0.0,0.0,0.0133776815578125,0.206787109375,0.0035037994384765625,7.43865966796875e-05,0.0003333091735839844,0.006317138671875,0.00820159912109375,0.00015676021575927734,0.00015842914581298828,0.00842180928671875,-8.159875869750977e-05,0.018707275390625,0.0146331787109375,0.016397329078948975,0.020399868525622557,0.0067138671875,0.00574493408203125,0.036489939296874996,0.03590776766875,0.01202392578125,0.005096435546875,0.0002079010009765625,0.0005071095350463867,7.092952728271484e-05,0.0003311634063720703,0.01629638671875,0.0112152099609375,0.0008917388390808106,0.0005168308219238282,5.066394805908203e-05,-3.8564205169677734e-05,0.1485747769625,0.1351719946125,0.13528918842499998,0.0005636215209960938,0.00603485107421875,0.00780487060546875,-5.2928924560546875e-05,-5.8591365814208984e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3113021850585938e-06,-1.430511474609375e-06,-7.748603820800781e-07,-1.7881393432617188e-06,40.03125,0.007129669189453125,0.00449371337890625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.019400000384375,0.313720703125,0.0,0.0,0.0,0.0,0.0,0.0194638445515625,0.314453125,0.005245208740234375,0.00011157989501953125,0.00048351287841796875,0.0101318359375,0.0133056640625,0.00025773048400878906,0.0002295970916748047,0.0126205530734375,-0.00012165307998657227,0.026458740234375,0.0204315185546875,0.016218289746972658,0.0202729720982666,0.0101776123046875,0.0086822509765625,0.0487119164375,0.04595378790625,0.018463134765625,0.00792694091796875,0.00029778480529785156,0.0004992265979248047,9.369850158691406e-05,0.0004849433898925781,0.02569580078125,0.01800537109375,0.0009891002199768067,0.0005984577159423828,8.040666580200195e-05,-5.054473876953125e-05,0.20225759599999998,0.18221519145,0.182455051675,0.0008440017700195312,0.00882720947265625,0.01149749755859375,-8.541345596313477e-05,-9.191036224365234e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.159046173095703e-06,-1.7285346984863281e-06,0.0,-2.384185791015625e-06,60.03125,0.01406097412109375,0.005565643310546875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0257569520359375,0.42236328125,0.0,0.0,0.0,0.0,0.0,0.02585053698125,0.422607421875,0.00702667236328125,0.00014865398406982422,0.0006561279296875,0.0152587890625,0.01995849609375,0.0003769397735595703,0.0002980232238769531,0.016735486598437502,-0.00015854835510253906,0.033111572265625,0.0251007080078125,0.016183929537945556,0.02026482668894043,0.0137481689453125,0.0117034912109375,0.06243018151875,0.05783343124375,0.024932861328125,0.01096343994140625,0.0003733634948730469,0.0004986418230957031,0.0001042485237121582,0.0006222724914550781,0.03741455078125,0.0272674560546875,0.0009950806850402831,0.0006255560350952148,0.0001150369644165039,-5.370378494262695e-05,0.2575392387625,0.2305363268125,0.23089865595,0.0011157989501953125,0.011627197265625,0.01511383056640625,-0.00011855363845825195,-0.0001201629638671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2649765014648438e-06,-2.2649765014648438e-06,-3.039836883544922e-06,-2.562999725341797e-06,80.0625,0.01523590087890625,0.0085906982421875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.032448997290625003,0.53173828125,0.0,0.0,0.0,0.0,0.0,0.032556734825,0.53173828125,0.00885772705078125,0.00018584728240966797,0.0008559226989746094,0.0226898193359375,0.02899169921875,0.0005946159362792969,0.00036978721618652344,0.0206838543109375,-0.00019240379333496094,0.03802490234375,0.0281982421875,0.01616812123793335,0.020265802747924805,0.0174560546875,0.0148468017578125,0.0792579502,0.073706723790625,0.031158447265625,0.01418304443359375,0.0004284381866455078,0.00048149225483398435,9.244680404663086e-05,0.0007371902465820312,0.0533447265625,0.041168212890625,0.00099093127388916,0.0006379853548095703,0.0001437664031982422,-7.200241088867188e-05,0.3138745278,0.2802702338,0.2806327343375,0.0013647079467773438,0.0145111083984375,0.01873779296875,-0.00014328956604003906,-0.00015747547149658203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-2.384185791015625e-06,-3.814697265625e-06,-2.9802322387695312e-06,100.0625,0.017333984375,0.01513671875
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.033184038321875,0.5341796875,0.0,0.0,0.0,0.0,0.0,0.033321254634375,0.53466796875,0.0089874267578125,0.00018584728240966797,0.0009288787841796875,0.02752685546875,0.033935546875,0.0008020401000976562,0.0004143714904785156,0.0204148212421875,-0.00019061565399169922,0.0330810546875,0.023712158203125,0.016196910261157226,0.020236786500927733,0.0177154541015625,0.0150909423828125,0.08609519995625001,0.08218850563124999,0.0302734375,0.0146484375,0.0003981590270996094,0.0004835289963623047,5.362432483520508e-05,0.0006885528564453125,0.06280517578125,0.0513916015625,0.0009329529766357422,0.0005875544482666016,0.00013637542724609375,-5.4955482482910156e-05,0.316853418975,0.282943803775,0.28342804312500003,0.0013036727905273438,0.0147247314453125,0.018798828125,-0.00014078617095947266,-0.00014591217041015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-2.384185791015625e-06,-1.9073486328125e-06,-3.4570693969726562e-06,100.0625,0.02099609375,0.013671875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0344343979375,0.53662109375,0.0,0.0,0.0,0.0,0.0,0.03450939079375,0.537109375,0.0091552734375,0.00018584728240966797,0.001102447509765625,0.03399658203125,0.038787841796875,0.0016508102416992188,0.0004930496215820312,0.02021219521875,-0.00018966197967529297,0.0260009765625,0.0173797607421875,0.01604072192263794,0.02000282703371582,0.017974853515625,0.015350341796875,0.09494880405,0.09327452259374999,0.027618408203125,0.0150299072265625,0.0003924369812011719,0.0005034856837890625,2.4796401361083984e-05,0.0006284713745117188,0.07763671875,0.06732177734375,0.0009256921170654297,0.0005224498608642578,0.00012177228927612305,-9.1552734375e-05,0.320045325925,0.28512537475,0.285365331875,0.0012063980102539062,0.01523590087890625,0.019134521484375,-8.958578109741211e-05,-0.00012755393981933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-1.7881393432617188e-06,-1.9073486328125e-06,-2.5033950805664062e-06,100.0625,0.0185546875,0.01123046875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.036338935415625,0.5380859375,0.0,0.0,0.0,0.0,0.0,0.036474069928125,0.53857421875,0.009490966796875,0.0001857280731201172,0.0015735626220703125,0.04351806640625,0.04180908203125,0.016448974609375,0.0005855560302734375,0.019989013671875,-0.0001976490020751953,0.0160675048828125,0.0090484619140625,0.016184473451818848,0.02013942595493164,0.018280029296875,0.01568603515625,0.10513944366875,0.1059719882625,0.023223876953125,0.01509857177734375,0.0003192424774169922,0.0005006417952636719,-8.471449157714847e-06,0.0005388259887695312,0.0980224609375,0.0885009765625,0.0009277734541870118,0.00046750666086425776,0.00013399124145507812,-6.592273712158203e-05,0.324593588675,0.2872507050875,0.287612788425,0.00106048583984375,0.0157012939453125,0.01959228515625,-0.00013959407806396484,-0.0001647472381591797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-1.9073486328125e-06,7.62939453125e-06,-2.0265579223632812e-06,100.0625,0.0166015625,0.0166015625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.038534359053125,0.53759765625,0.0,0.0,0.0,0.0,0.0,0.038668535865625,0.5380859375,0.00994110107421875,0.00018548965454101562,0.003124237060546875,0.053680419921875,0.043426513671875,0.032958984375,0.0006079673767089844,0.019622802734375,-0.00018024444580078125,0.006122589111328125,0.002010345458984375,0.016950791683154297,0.022835070287890624,0.018707275390625,0.0161590576171875,0.11507051063125,0.118411237375,0.01885986328125,0.01500701904296875,0.00022220611572265625,0.0005439051591796875,-3.698010678100586e-05,0.00043773651123046875,0.11669921875,0.10797119140625,0.0009117453383056641,0.0004693315416992187,9.065866470336914e-05,-0.00011414289474487305,0.3297491148,0.28948323425,0.289723169075,0.0008778572082519531,0.01617431640625,0.0201568603515625,-0.00015544891357421875,-0.00018548965454101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-1.7881393432617188e-06,3.814697265625e-06,-5.960464477539062e-07,100.125,0.01318359375,0.009765625
