Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0074313189765625,0.0853271484375,0.0,0.0,0.0,0.0,0.0,0.00747433296015625,0.0853271484375,0.0014009475708007812,3.731250762939453e-05,0.0003707408905029297,0.005985260009765625,0.00443267822265625,0.003765106201171875,0.00010412931442260742,0.00294215661875,-3.0159950256347656e-05,0.00438690185546875,0.004894256591796875,0.01655071039480591,0.020437203378125,0.003078460693359375,0.0028438568115234375,0.0269379037984375,0.0299947578125,0.002658843994140625,0.0019683837890625,7.301568984985352e-05,0.0005235834128601074,4.225969314575195e-05,0.00010699033737182617,0.0140533447265625,0.01279449462890625,0.0008409588425903321,0.0004925515065673828,7.748603820800781e-06,-1.8298625946044922e-05,0.08024087176875,0.084860608025,0.084885958603125,0.00013649463653564453,0.003101348876953125,0.004058837890625,1.4066696166992188e-05,0.00012552738189697266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1324882507324219e-06,-4.172325134277344e-07,7.748603820800781e-07,-5.960464477539062e-07,20.03125,0.0025386810302734375,0.0030269622802734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0129314814640625,0.1728515625,0.0,0.0,0.0,0.0,0.0,0.0129809530421875,0.173095703125,0.00278472900390625,7.462501525878906e-05,0.0006685256958007812,0.01142120361328125,0.0090789794921875,0.0054931640625,0.0002092123031616211,0.005610377401953125,-5.936622619628906e-05,0.0080108642578125,0.00911712646484375,0.016385944591796875,0.02035599950706787,0.00616455078125,0.005680084228515625,0.040518259609374996,0.042835257903125,0.006000518798828125,0.003997802734375,0.00014841556549072266,0.0005768469694335937,8.016824722290039e-05,0.0002142190933227539,0.026519775390625,0.023956298828125,0.0010086831521301269,0.0005805481871887208,2.9206275939941406e-05,-3.272294998168945e-05,0.1168364957125,0.1272374243,0.12735461811249998,0.0002932548522949219,0.005886077880859375,0.0078277587890625,2.9087066650390625e-05,0.00023293495178222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2186508178710938e-06,-4.76837158203125e-07,0.0,-1.0728836059570312e-06,40.0625,0.00673675537109375,0.00429534912109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.01839292030625,0.262451171875,0.0,0.0,0.0,0.0,0.0,0.0184720232625,0.2626953125,0.00415802001953125,0.0001119375228881836,0.0008945465087890625,0.0162200927734375,0.0140380859375,0.004924774169921875,0.000301361083984375,0.00830231576875,-8.797645568847656e-05,0.01062774658203125,0.01241302490234375,0.01619355381939087,0.020196499339019774,0.0092315673828125,0.00847625732421875,0.054235598078125,0.05571941290625,0.0101470947265625,0.0060882568359375,0.00022935867309570312,0.000617064980645752,0.00011223554611206055,0.0003192424774169922,0.037017822265625,0.0330810546875,0.0011571853182434082,0.0006709369639892578,3.2067298889160156e-05,-4.6133995056152344e-05,0.15428396318749998,0.1711067930125,0.1713466532375,0.00047469139099121094,0.00836944580078125,0.01129150390625,1.800060272216797e-05,0.0002753734588623047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.887580871582031e-06,-7.152557373046875e-07,9.179115295410156e-06,-2.0265579223632812e-06,60.0625,0.0112762451171875,0.005859375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0238343446140625,0.35400390625,0.0,0.0,0.0,0.0,0.0,0.0239126707703125,0.354248046875,0.00548553466796875,0.00014925003051757812,0.0010137557983398438,0.0202484130859375,0.019256591796875,0.0025730133056640625,0.0004024505615234375,0.0110134407,-0.00011652708053588867,0.0122222900390625,0.01468658447265625,0.01614882240217285,0.02015992251413574,0.01226806640625,0.01122283935546875,0.067953863159375,0.068484066009375,0.01519775390625,0.0082244873046875,0.0003070831298828125,0.000626195762915039,0.00014519691467285156,0.0004315376281738281,0.04547119140625,0.040069580078125,0.001209895824810791,0.0006914787722167968,4.661083221435547e-05,-8.499622344970703e-05,0.192719902825,0.21625410025,0.216494359075,0.0006914138793945312,0.0105743408203125,0.01444244384765625,-6.258487701416016e-06,0.0002722740173339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.947185516357422e-06,-1.6093254089355469e-06,1.5497207641601562e-06,-2.205371856689453e-06,80.125,0.0124969482421875,0.0124969482421875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.029214134009375,0.4482421875,0.0,0.0,0.0,0.0,0.0,0.02932187154375,0.448486328125,0.00678253173828125,0.00018656253814697266,0.0010852813720703125,0.02362060546875,0.02471923828125,0.001007080078125,0.0005049705505371094,0.01374873468203125,-0.00014507770538330078,0.012664794921875,0.015716552734375,0.016096059222399903,0.020123466856201172,0.0152435302734375,0.013916015625,0.08200453223125,0.08167181168125,0.02105712890625,0.01036834716796875,0.0003838539123535156,0.0006096422411010742,0.00017714500427246094,0.0005464553833007812,0.052459716796875,0.04534912109375,0.0012798945917602538,0.0007393132509277343,7.784366607666016e-05,-5.739927291870117e-05,0.23233155905,0.2628141791125,0.26317667965,0.0009350776672363281,0.012481689453125,0.017242431640625,-1.7523765563964844e-05,0.0002808570861816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-2.1457672119140625e-06,0.0,-2.2649765014648438e-06,100.125,0.02197265625,0.0107421875
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0291099416421875,0.4541015625,0.0,0.0,0.0,0.0,0.0,0.029231899165625,0.454345703125,0.006717681884765625,0.00018680095672607422,0.0009794235229492188,0.022369384765625,0.0251312255859375,0.0008988380432128906,0.000499725341796875,0.013807765578125,-0.00015056133270263672,0.01004791259765625,0.01291656494140625,0.016130033849719238,0.020093258516308592,0.01517486572265625,0.01380157470703125,0.08249412573750001,0.08218850563124999,0.0228729248046875,0.0104522705078125,0.0003857612609863281,0.0005624455460449219,0.00018469493869628905,0.0005602836608886719,0.049102783203125,0.041595458984375,0.0012169095043457032,0.0007201151782470703,6.318092346191406e-05,-9.644031524658203e-05,0.2350663096,0.266342241275,0.26658234000000003,0.0010042190551757812,0.011749267578125,0.0164031982421875,-1.996755599975586e-05,0.0002484321594238281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.1457672119140625e-06,7.62939453125e-06,-3.4570693969726562e-06,100.125,0.0234375,0.015625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0291701157109375,0.4609375,0.0,0.0,0.0,0.0,0.0,0.0292756261453125,0.461669921875,0.006679534912109375,0.00018680095672607422,0.0009312629699707031,0.02154541015625,0.0254669189453125,0.0008149147033691406,0.0004949569702148438,0.0138797977578125,-0.00015056133270263672,0.007762908935546875,0.010345458984375,0.015983978300811767,0.019874438628869628,0.015106201171875,0.01369476318359375,0.08280280795625,0.08271544056249999,0.024322509765625,0.01050567626953125,0.0003833770751953125,0.0005564146083496094,0.00020104733596191407,0.000568389892578125,0.046600341796875,0.0386962890625,0.001201602017730713,0.0007293971875244141,6.318092346191406e-05,-0.0001062154769897461,0.23825821655,0.2696224450625,0.269740331875,0.0010671615600585938,0.0111541748046875,0.015716552734375,-2.1219253540039062e-05,0.0002551078796386719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-2.0265579223632812e-06,7.62939453125e-06,-3.2186508178710938e-06,100.125,0.022216796875,0.01953125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.029502997915625,0.468505859375,0.0,0.0,0.0,0.0,0.0,0.02960761485,0.468994140625,0.006717681884765625,0.00018680095672607422,0.0009474754333496094,0.021331787109375,0.02606201171875,0.000762939453125,0.0004754066467285156,0.014068603515625,-0.00015366077423095703,0.005443572998046875,0.0076751708984375,0.016036594328131103,0.019837826452368163,0.0150909423828125,0.01363372802734375,0.08353299835625,0.0837551913875,0.025482177734375,0.0106048583984375,0.00037360191345214844,0.0005385503493408203,0.00021707252667236328,0.0005717277526855469,0.044525146484375,0.036346435546875,0.00109383199453125,0.0006580031055664062,3.8743019104003906e-05,-0.00013065338134765625,0.2431726902375,0.2730905488375,0.2733305618625,0.0011224746704101562,0.01070404052734375,0.015106201171875,-4.8041343688964844e-05,0.00019109249114990234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-3.337860107421875e-06,-5.7220458984375e-06,-3.4570693969726562e-06,100.125,0.02197265625,0.02001953125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.030172542646875,0.474609375,0.0,0.0,0.0,0.0,0.0,0.03027620188125,0.47509765625,0.00687408447265625,0.00018680095672607422,0.0010290145874023438,0.0217132568359375,0.027069091796875,0.0007395744323730469,0.000492095947265625,0.014190673828125,-0.00016224384307861328,0.00362396240234375,0.00516510009765625,0.016162758674578857,0.019914442693896483,0.0151824951171875,0.013671875,0.08491914344375,0.08594053425,0.02630615234375,0.010711669921875,0.0003948211669921875,0.0005465277635498046,0.00024238686328125,0.0005660057067871094,0.042938232421875,0.034698486328125,0.001006039886340332,0.000626091757458496,4.363059997558594e-05,-0.00012576580047607422,0.249915130425,0.277032062375,0.2772719972,0.00116729736328125,0.01064300537109375,0.014923095703125,-5.537271499633789e-05,0.00015866756439208984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-2.9802322387695312e-06,7.62939453125e-06,-3.2186508178710938e-06,100.125,0.024658203125,0.01806640625
