Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,-0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0096285846015625,0.0946044921875,0.0,0.0,0.0,0.0,0.0,0.00967159858515625,0.09466552734375,0.0021190643310546875,3.725290298461914e-05,0.0009398460388183594,0.0102386474609375,0.00649261474609375,0.005352020263671875,5.704164505004883e-05,0.0037813900171875,-2.9802322387695312e-05,0.005382537841796875,0.0047607421875,0.016549339487976076,0.020454071492596437,0.004238128662109375,0.0038356781005859375,0.035162391103124996,0.037837775390625,0.0030460357666015625,0.0025920867919921875,3.045797348022461e-05,0.0004887146956665039,-1.2636184692382812e-05,4.661083221435547e-05,0.023345947265625,0.0213775634765625,0.0008066861718444825,0.0004385496984008789,6.258487701416016e-06,-2.855062484741211e-05,0.091501858096875,0.094046399040625,0.09407174961875,0.0001112222671508789,0.0032405853271484375,0.00402069091796875,5.781650543212891e-06,-2.0325183868408203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,-4.172325134277344e-07,0.0,-2.980232238769531e-07,20.03125,0.004344940185546875,0.003711700439453125
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.017799035175,0.1932373046875,0.0,0.0,0.0,0.0,0.0,0.01787902433125,0.1934814453125,0.004299163818359375,7.450580596923828e-05,0.001964569091796875,0.0214385986328125,0.01338958740234375,0.01125335693359375,0.000118255615234375,0.00733843526328125,-5.8770179748535156e-05,0.00913238525390625,0.008209228515625,0.016390355335510254,0.020393013991473388,0.00861358642578125,0.00777435302734375,0.058706736171874996,0.060382865325,0.006137847900390625,0.00528717041015625,6.16312026977539e-05,0.0004992417219360351,-3.522634506225586e-05,8.350610733032227e-05,0.04852294921875,0.0445556640625,0.0009456810426025391,0.0004928697547241211,1.7464160919189453e-05,-5.424022674560547e-05,0.13850397618125,0.14432726805,0.14444446186249998,0.0002181529998779297,0.006237030029296875,0.00780487060546875,5.900859832763672e-06,-3.9577484130859375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.635883331298828e-06,-8.344650268554688e-07,3.039836883544922e-06,-5.364418029785156e-07,40.0625,0.01015472412109375,0.007617950439453125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0265258548765625,0.294677734375,0.0,0.0,0.0,0.0,0.0,0.026681251778125,0.294921875,0.006572723388671875,0.00011169910430908203,0.003307342529296875,0.03497314453125,0.020660400390625,0.0204010009765625,0.0001583099365234375,0.01093445688203125,-9.381771087646484e-05,0.01080322265625,0.0099334716796875,0.01620183886501465,0.020266415587341307,0.01319122314453125,0.01190185546875,0.085210939875,0.08623699103125,0.0086822509765625,0.00800323486328125,8.082389831542969e-05,0.0004763384143310547,-6.747245788574219e-05,0.00010472536087036133,0.07861328125,0.0726318359375,0.0010985939524291992,0.0005739006022949219,1.7404556274414062e-05,-8.428096771240234e-05,0.18504568193749998,0.1947884336375,0.19490622355,0.0003161430358886719,0.009124755859375,0.0114593505859375,-1.3709068298339844e-06,-4.6133995056152344e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.020069122314453e-06,-1.0132789611816406e-06,5.7220458984375e-06,-1.0728836059570312e-06,60.0625,0.01318359375,0.01084136962890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0359040467625,0.39404296875,0.0,0.0,0.0,0.0,0.0,0.036043408075,0.39453125,0.0090789794921875,0.00014901161193847656,0.005451202392578125,0.053619384765625,0.0279083251953125,0.037567138671875,0.00020956993103027344,0.0144771858171875,-0.0001289844512939453,0.0095672607421875,0.00913238525390625,0.016157047843151855,0.020242772970373534,0.0182342529296875,0.01641845703125,0.1160800838625,0.11715960311875,0.00974273681640625,0.01068115234375,8.678436279296875e-05,0.0004504812701171875,-0.00011336803436279297,0.0001024007797241211,0.11865234375,0.11102294921875,0.0012279560321777343,0.0006528549624023437,-4.5180320739746094e-05,-0.0001533031463623047,0.231294121575,0.245306834625,0.2454250231375,0.0003993511199951172,0.0120697021484375,0.01515960693359375,-4.4286251068115234e-05,-2.9265880584716797e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.589557647705078e-06,-1.5497207641601562e-06,-4.589557647705078e-06,-8.344650268554688e-07,80.125,0.01132965087890625,0.013671875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.046212425025000003,0.47412109375,0.0,0.0,0.0,0.0,0.0,0.04641171529375,0.474365234375,0.01190185546875,0.00018596649169921875,0.0086822509765625,0.07891845703125,0.034759521484375,0.0657958984375,0.00025153160095214844,0.0180288250140625,-0.0001569986343383789,0.004486083984375,0.00496673583984375,0.016151014704882814,0.02028487623425293,0.0237884521484375,0.0214691162109375,0.1516456455125,0.15412054215,0.00868988037109375,0.013458251953125,9.691715240478516e-05,0.0004488289094970703,-0.0001976490020751953,6.0439109802246094e-05,0.1695556640625,0.1607666015625,0.001510802985620117,0.0009031068147705078,-5.888938903808594e-05,-0.00018918514251708984,0.27725343405,0.2939421088,0.29442667965,0.00045752525329589844,0.01517486572265625,0.0190582275390625,-9.322166442871094e-05,-8.851289749145508e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-1.430511474609375e-06,-5.7220458984375e-06,-7.152557373046875e-07,100.1875,0.01904296875,0.01416015625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.048442827384375,0.433349609375,0.0,0.0,0.0,0.0,0.0,0.04867159643125,0.433837890625,0.01259613037109375,0.00018584728240966797,0.01108551025390625,0.090087890625,0.033966064453125,0.08404541015625,0.0002772808074951172,0.01798867378125,-0.00014972686767578125,0.0012989044189453125,0.001316070556640625,0.016133133291247558,0.020142253534313963,0.0247802734375,0.0223846435546875,0.1586660007375,0.1635483689125,0.004825592041015625,0.0136260986328125,5.5670738220214844e-05,0.0004835289963623047,-0.0002716382217041016,-1.5556812286376953e-05,0.1885986328125,0.18115234375,0.0017104359630859376,0.0012365298205810546,-9.799003601074219e-05,-0.00022089481353759766,0.2774247080375,0.2896576709625,0.29001984000000003,0.00043964385986328125,0.0163421630859375,0.0200653076171875,-0.00013959407806396484,-0.00015413761138916016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-9.5367431640625e-07,-1.9073486328125e-06,3.5762786865234375e-07,100.1875,0.0224609375,0.01806640625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0522566635625,0.3916015625,0.0,0.0,0.0,0.0,0.0,0.0525147618875,0.391845703125,0.01354217529296875,0.0001857280731201172,0.014312744140625,0.10076904296875,0.032318115234375,0.1015625,0.00028824806213378906,0.0175419071328125,-0.00010484457015991211,0.0009183883666992188,0.000823974609375,0.016004541903259277,0.019932493552880858,0.02593994140625,0.0235595703125,0.1626978274875,0.1708502061875,0.0014820098876953125,0.01378631591796875,2.0742416381835938e-05,0.0005585603755615234,-0.00031202944626464846,-7.170438766479492e-05,0.206298828125,0.199951171875,0.0029887280820312502,0.0030256065228515625,-0.00016629695892333984,-0.0002601146697998047,0.2759779431125,0.2830501794375,0.283412206875,0.00044345855712890625,0.0183258056640625,0.0214996337890625,-0.00021159648895263672,-0.0001901388168334961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-1.0728836059570312e-06,-7.62939453125e-06,2.0265579223632812e-06,100.25,0.019775390625,0.02490234375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.06151593736875,0.37353515625,0.0,0.0,0.0,0.0,0.0,0.06177314219375,0.373779296875,0.0146026611328125,0.0001857280731201172,0.01788330078125,0.111328125,0.0287933349609375,0.11572265625,0.00021314620971679688,0.0169219970703125,-0.00010603666305541992,0.0010538101196289062,0.0010671615600585938,0.015982890543188476,0.019843906126135253,0.02703857421875,0.024749755859375,0.16501493195,0.1757962070125,0.0005664825439453125,0.0138397216796875,1.3887882232666016e-05,0.0005170926772216797,-0.00029636188342285156,-7.903575897216797e-05,0.224365234375,0.21875,0.005721059777734375,0.005558935417578125,-0.00019311904907226562,-0.00029659271240234375,0.272835776175,0.2743112519625,0.2745512649875,0.0003960132598876953,0.0196533203125,0.022308349609375,-0.0002818107604980469,-0.00032258033752441406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-2.1457672119140625e-06,-5.7220458984375e-06,3.2186508178710938e-06,100.3125,0.02734375,0.01953125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0699979821,0.3720703125,0.0,0.0,0.0,0.0,0.0,0.07031526438125,0.37255859375,0.0158843994140625,0.00018584728240966797,0.02081298828125,0.12188720703125,0.02471923828125,0.1282958984375,0.00017404556274414062,0.0163726806640625,-0.00010544061660766602,0.0009965896606445312,0.0010652542114257812,0.01608282884593506,0.019915038740344237,0.0279693603515625,0.0257415771484375,0.16652314735,0.1790801826875,0.00039577484130859375,0.0135955810546875,-3.516674041748047e-06,0.00048668470019531246,-0.0002363576435546875,-6.407499313354492e-05,0.24365234375,0.23779296875,0.01075151851640625,0.01020920733515625,-0.00020051002502441406,-0.0002989768981933594,0.271399505425,0.267510578,0.2678725831375,0.0003256797790527344,0.0206298828125,0.0228729248046875,-0.00030541419982910156,-0.00040030479431152344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76837158203125e-07,-1.430511474609375e-06,-7.62939453125e-06,4.172325134277344e-06,100.25,0.023681640625,0.02294921875
