Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.007236769416015625,0.0758056640625,0.0,0.0,0.0,0.0,0.0,0.00727596870234375,0.07586669921875,0.0010395050048828125,3.731250762939453e-05,0.0004208087921142578,0.006031036376953125,0.00250244140625,0.00901031494140625,0.0001289844512939453,0.0024080990015625,-2.777576446533203e-05,0.0012302398681640625,0.0018739700317382812,0.016555776789611818,0.020437799424572755,0.00209808349609375,0.0019378662109375,0.02541965428671875,0.02898004833984375,0.000885009765625,0.0014133453369140625,6.42538070678711e-05,0.0005451602942687988,7.37309455871582e-05,0.00011622905731201172,0.015838623046875,0.0148468017578125,0.0010016529649047852,0.0007047440419677734,2.86102294921875e-06,-1.633167266845703e-05,0.077585842471875,0.079336926384375,0.07942331211875,0.00010335445404052734,0.0025272369384765625,0.003414154052734375,-5.7220458984375e-06,4.756450653076172e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-2.980232238769531e-07,0.0,-3.5762786865234375e-07,20.03125,0.004199981689453125,0.0029296875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01257289992109375,0.155029296875,0.0,0.0,0.0,0.0,0.0,0.01262237149921875,0.1553955078125,0.002044677734375,7.462501525878906e-05,0.0007691383361816406,0.01207733154296875,0.005344390869140625,0.017730712890625,0.0002560615539550781,0.004511744589453125,-5.739927291870117e-05,0.0016727447509765625,0.0030059814453125,0.016398461567199707,0.020359575785754393,0.00421142578125,0.0038700103759765625,0.038214182460937496,0.041675589934375,0.0021839141845703125,0.002887725830078125,0.00012946128845214844,0.0006122521284301758,0.0001392364501953125,0.00022602081298828125,0.0316162109375,0.029541015625,0.0011738476228027343,0.0008007873496337891,7.68899917602539e-06,-3.6597251892089844e-05,0.1117095425875,0.1173497289875,0.11740588764375,0.00021076202392578125,0.00479888916015625,0.00662994384765625,-1.1086463928222656e-05,9.322166442871094e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2186508178710938e-06,-4.172325134277344e-07,5.364418029785156e-06,-8.344650268554688e-07,40.0625,0.00839996337890625,0.006053924560546875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0179656742125,0.23779296875,0.0,0.0,0.0,0.0,0.0,0.0180295183796875,0.2379150390625,0.0030345916748046875,0.0001119375228881836,0.0010614395141601562,0.0184173583984375,0.008636474609375,0.02667236328125,0.0003921985626220703,0.006665810641796875,-9.113550186157227e-05,0.0016946792602539062,0.00347137451171875,0.016207441701623537,0.020200075617706297,0.00635528564453125,0.00580596923828125,0.052007814875,0.055322684390625,0.0037860870361328125,0.004405975341796875,0.00020396709442138672,0.0006599207202392578,0.00020051002502441406,0.0003314018249511719,0.04791259765625,0.044647216796875,0.001344522716772461,0.0008544596652526855,1.1563301086425781e-05,-4.029273986816406e-05,0.14659353349999998,0.15780112895,0.1579189188625,0.00032591819763183594,0.006824493408203125,0.0096435546875,2.562999725341797e-06,0.00013315677642822266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-6.556510925292969e-07,-1.1324882507324219e-06,-7.748603820800781e-07,60.0625,0.01230621337890625,0.007617950439453125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0233155457859375,0.322265625,0.0,0.0,0.0,0.0,0.0,0.02340913073125,0.322509765625,0.004016876220703125,0.00014925003051757812,0.0012655258178710938,0.024932861328125,0.01239013671875,0.03460693359375,0.00051116943359375,0.0088619514421875,-0.00012242794036865234,0.001384735107421875,0.0033931732177734375,0.01618828067701416,0.020189128790075683,0.0085601806640625,0.00778961181640625,0.06658057214375,0.06979632186875,0.005840301513671875,0.0059814453125,0.0002758502960205078,0.0007035625918334961,0.0002651214599609375,0.0004444122314453125,0.06390380859375,0.059326171875,0.0014527847522705078,0.0008718424273071289,2.3186206817626953e-05,-7.325410842895508e-05,0.18222185595,0.200140819,0.200381077825,0.0004627704620361328,0.0085296630859375,0.0123138427734375,3.516674041748047e-06,0.00015354156494140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.496906280517578e-06,-1.5497207641601562e-06,6.079673767089844e-06,-1.0728836059570312e-06,80.125,0.013671875,0.00937652587890625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0285122297125,0.406494140625,0.0,0.0,0.0,0.0,0.0,0.028619967246875,0.4072265625,0.004955291748046875,0.00018680095672607422,0.001285552978515625,0.0302581787109375,0.0165252685546875,0.0374755859375,0.0006647109985351562,0.01111659356875,-0.00015306472778320312,0.0011720657348632812,0.0035648345947265625,0.016256276507556153,0.020322069532592774,0.0108489990234375,0.00982666015625,0.0813331455125,0.0841742530875,0.00893402099609375,0.007602691650390625,0.0003838539123535156,0.0007539450861022949,0.00034999847412109375,0.000583648681640625,0.07562255859375,0.0697021484375,0.0015530030741210937,0.0008930932344482421,1.9252300262451172e-05,-8.666515350341797e-05,0.217927262175,0.243404999425,0.24364542965,0.0006690025329589844,0.0098114013671875,0.01458740234375,1.6629695892333984e-05,0.0002065896987915039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-06,-1.5497207641601562e-06,1.9073486328125e-06,-1.1920928955078125e-06,100.125,0.021728515625,0.01416015625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0283775197671875,0.403076171875,0.0,0.0,0.0,0.0,0.0,0.0284689597125,0.4033203125,0.004878997802734375,0.00018680095672607422,0.0009474754333496094,0.0268402099609375,0.017425537109375,0.0249481201171875,0.0006756782531738281,0.01122140083203125,-0.000133514404296875,0.0016222000122070312,0.004207611083984375,0.016327802061083984,0.020361956254956053,0.0109405517578125,0.0098724365234375,0.08109031714375001,0.08340920875624999,0.01169586181640625,0.007781982421875,0.0004730224609375,0.0007541340836425782,0.0003866354751953125,0.0006432533264160156,0.064208984375,0.058502197265625,0.0014065714840209961,0.0007853226596313477,1.9252300262451172e-05,-0.0001062154769897461,0.217732325225,0.245346147525,0.2454641759375,0.0008449554443359375,0.0091094970703125,0.0138397216796875,-2.6226043701171875e-06,0.0002124309539794922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-1.430511474609375e-06,1.9073486328125e-06,-1.1920928955078125e-06,100.125,0.017822265625,0.01416015625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0296889145390625,0.396240234375,0.0,0.0,0.0,0.0,0.0,0.0298096837625,0.396240234375,0.004810333251953125,0.000186920166015625,0.0006699562072753906,0.021881103515625,0.017974853515625,0.00920867919921875,0.000682830810546875,0.01121713906640625,-0.000118255615234375,0.0025177001953125,0.005474090576171875,0.016113976031066894,0.020067438468652343,0.01087188720703125,0.0097808837890625,0.07938483920625,0.08118956165624999,0.01541900634765625,0.008026123046875,0.0005397796630859375,0.0007551960986755371,0.00043422070632324216,0.0006947517395019531,0.049285888671875,0.04351806640625,0.0012629351972045899,0.0007317813733154297,1.436471939086914e-05,-0.00012576580047607422,0.2168959118625,0.2449642419375,0.24508212875000002,0.0010023117065429688,0.008392333984375,0.01287841796875,-3.522634506225586e-05,0.00015020370483398438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-1.7881393432617188e-06,0.0,-1.430511474609375e-06,100.1875,0.020263671875,0.02099609375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.031883369009375,0.38818359375,0.0,0.0,0.0,0.0,0.0,0.0320032447328125,0.388427734375,0.004657745361328125,0.00018727779388427734,0.0004100799560546875,0.0162506103515625,0.0177001953125,0.0008921623229980469,0.0006303787231445312,0.01120758056640625,-0.00012350082397460938,0.00412750244140625,0.00711822509765625,0.01604881328031006,0.019840925893896483,0.01055908203125,0.00946807861328125,0.0762698147625,0.077773746075,0.0197601318359375,0.008148193359375,0.0006079673767089844,0.000726483794317627,0.0004970951478271484,0.0007505416870117188,0.033721923828125,0.02734375,0.0011774573111511231,0.000740674747869873,-5.4001808166503906e-05,-0.0001647472381591797,0.218148276175,0.243671603525,0.2437895462375,0.0011568069458007812,0.00787353515625,0.01214599609375,-5.418062210083008e-05,6.955862045288086e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.384185791015625e-06,1.9073486328125e-06,-2.5033950805664062e-06,100.1875,0.025390625,0.01953125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.034506038740625,0.374755859375,0.0,0.0,0.0,0.0,0.0,0.034640215553125,0.375,0.004642486572265625,0.00018727779388427734,0.00040221214294433594,0.0130767822265625,0.0157318115234375,0.0006437301635742188,0.0005536079406738281,0.01116180419921875,-0.0001347064971923828,0.00667572021484375,0.008880615234375,0.016171937789874267,0.019911939298815916,0.01035308837890625,0.009246826171875,0.0736276395375,0.07513731159375,0.0224761962890625,0.0080413818359375,0.0006079673767089844,0.0007918008768005371,0.0005609140849609375,0.0007843971252441406,0.024139404296875,0.017486572265625,0.0011408655928222657,0.0007289097696960449,-6.866455078125e-05,-0.00018918514251708984,0.2223272398,0.2429744451875,0.2432143800125,0.00127410888671875,0.00811767578125,0.011993408203125,-3.403425216674805e-05,2.0742416381835938e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-07,-2.7418136596679688e-06,-3.814697265625e-06,-1.6689300537109375e-06,100.25,0.022705078125,0.02197265625
