Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.008301069953125,0.0009512901306152344,0.0,0.0,0.0,0.0,0.0,0.00838986030390625,0.000965118408203125,0.0006766319274902344,3.7729740142822266e-05,0.00038909912109375,0.003376007080078125,0.0015287399291992188,0.0028820037841796875,0.0001780986785888672,0.0010433910547851563,-3.2782554626464844e-05,0.01273345947265625,0.0133819580078125,0.016538729861206056,0.020401440591259767,0.002231597900390625,0.0025234222412109375,0.016704978383398437,0.0203054267578125,0.0005507469177246094,0.0009398460388183594,0.00010061264038085938,0.0006435079581481934,0.0002849102020263672,0.00025391578674316406,0.01303863525390625,0.0132904052734375,0.001557049044921875,0.0011942173848632812,0.0007190704345703125,0.0007090568542480469,0.0562693141515625,0.051504895134375,0.05152261631796875,0.00015091896057128906,0.005031585693359375,0.00608062744140625,0.0002696514129638672,8.213520050048828e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.980232238769531e-07,1.7881393432617188e-07,0.0,-1.7881393432617188e-07,20.0625,-0.002246856689453125,0.0029296875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.021308556659375,-0.00030422210693359375,0.0,0.0,0.0,0.0,0.0,0.0214953573390625,-0.0002894401550292969,0.0014057159423828125,7.545948028564453e-05,0.0008215904235839844,0.005519866943359375,0.003086090087890625,0.002468109130859375,0.0003311634063720703,0.0016259261080078125,-7.56382942199707e-05,0.030548095703125,0.0309295654296875,0.016362758384979248,0.020254135169146727,0.004322052001953125,0.0048980712890625,0.017212366665039062,0.020210288420703125,0.0021228790283203125,0.0019378662109375,0.00016450881958007812,0.0006591013792236328,0.0006947517395019531,0.0006384849548339844,0.0232696533203125,0.023834228515625,0.0025743183564453124,0.0019449581107421877,9.751319885253906e-05,8.83340835571289e-05,0.0682982877046875,0.05818377439765625,0.05820178608125,0.00031304359436035156,0.0116424560546875,0.0136566162109375,0.0019168853759765625,0.00030517578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3113021850585938e-06,4.172325134277344e-07,-2.2649765014648438e-06,2.384185791015625e-07,40.15625,0.007030487060546875,0.00917816162109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.046987891009375,-0.00036787986755371094,0.0,0.0,0.0,0.0,0.0,0.047250099434375,-0.0003581047058105469,0.00212860107421875,0.00011307001113891602,0.0017414093017578125,0.006988525390625,0.00447845458984375,0.0006203651428222656,0.00036144256591796875,0.002839669284375,-0.0001386404037475586,0.054718017578125,0.05218505859375,0.016139671220513917,0.02003967951861572,0.0064697265625,0.00728607177734375,0.017675539484375002,0.0198765173984375,0.0036754608154296875,0.003162384033203125,0.00018525123596191406,0.0005756397525268555,0.0010290145874023438,0.0008816719055175781,0.03314208984375,0.03363037109375,0.00357063698984375,0.00262286987109375,-6.020069122314453e-05,-5.1975250244140625e-05,0.08867117021875,0.07805869730937501,0.07808493448750001,0.0003478527069091797,0.0207977294921875,0.02398681640625,0.006549835205078125,0.0020542144775390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2649765014648438e-06,-4.172325134277344e-07,-3.4570693969726562e-06,7.748603820800781e-07,60.1875,0.00966644287109375,0.0105438232421875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0783845155125,-0.0004553794860839844,0.0,0.0,0.0,0.0,0.0,0.07876801745,-0.0004322528839111328,0.0026702880859375,0.00015091896057128906,0.0029430389404296875,0.0080413818359375,0.00498199462890625,0.0005288124084472656,0.0003998279571533203,0.0034698768572265625,-0.00020694732666015625,0.0811767578125,0.07501220703125,0.01605548152845459,0.019948862466986083,0.008453369140625,0.00959014892578125,0.016840734497265628,0.018238780975195313,0.00579071044921875,0.004169464111328125,0.00024962425231933594,0.0005153311236328125,0.0015277862548828125,0.0012683868408203125,0.043670654296875,0.043975830078125,0.004619698738476562,0.0031047516298828124,-4.7087669372558594e-05,-4.297494888305664e-05,0.10379168016875,0.08960615103125,0.0896633043875,0.0004677772521972656,0.0303192138671875,0.03497314453125,0.01251220703125,0.0047454833984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.496906280517578e-06,-5.960464477539062e-07,1.5497207641601562e-06,1.6093254089355469e-06,80.25,0.015625,0.01523590087890625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.11090969065,-0.000637054443359375,0.0,0.0,0.0,0.0,0.0,0.11147519185625,-0.0006208419799804688,0.003330230712890625,0.00018858909606933594,0.004520416259765625,0.00952911376953125,0.005748748779296875,0.0004737377166748047,0.0004534721374511719,0.003912537782617188,-0.0002777576446533203,0.109130859375,0.09942626953125,0.016005162139117433,0.01987265051098633,0.01052093505859375,0.011962890625,0.016042694462695312,0.017924405675390626,0.00803375244140625,0.0051727294921875,0.0003662109375,0.0004900753236816406,0.0021533966064453125,0.0017652511596679688,0.0557861328125,0.056182861328125,0.005914155723046875,0.003917432910351563,-2.962350845336914e-05,-7.331371307373047e-06,0.11807374655,0.09859909122187499,0.098656415978125,0.0005784034729003906,0.0401611328125,0.045989990234375,0.018646240234375,0.0077667236328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-1.6689300537109375e-06,-1.9073486328125e-06,3.2186508178710938e-06,100.3125,0.02734375,0.02099609375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.1195182668375,-0.0006470680236816406,0.0,0.0,0.0,0.0,0.0,0.12008272924375,-0.0006504058837890625,0.0034961700439453125,0.00018858909606933594,0.005420684814453125,0.01031494140625,0.006191253662109375,0.00030159950256347656,0.0004546642303466797,0.00363778266796875,-0.0002760887145996094,0.1148681640625,0.1043701171875,0.01603120934868164,0.019837852613446044,0.01061248779296875,0.012115478515625,0.014611587895703125,0.017619032364648436,0.00841522216796875,0.0052337646484375,0.00040030479431152344,0.0005047482499023438,0.0024885336685546875,0.0020503997802734375,0.058563232421875,0.059326171875,0.006145021534375,0.004114003651757812,9.489059448242188e-05,0.0001232624053955078,0.11793984475625,0.095535356509375,0.095592349765625,0.0005717277526855469,0.041168212890625,0.046478271484375,0.0197601318359375,0.00820159912109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-1.5497207641601562e-06,1.9073486328125e-06,3.4570693969726562e-06,100.3125,0.025390625,0.025390625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.12311847996875,-0.0007004737854003906,0.0,0.0,0.0,0.0,0.0,0.12362071891875,-0.0007042884826660156,0.0037899017333984375,0.00018858909606933594,0.00641632080078125,0.0121612548828125,0.007083892822265625,0.00027561187744140625,0.0004963874816894531,0.00331308633203125,-0.00026988983154296875,0.11834716796875,0.10821533203125,0.01586613991809082,0.019595071658807372,0.01084136962890625,0.01238250732421875,0.013453519015820313,0.017248559764160155,0.0085296630859375,0.00530242919921875,0.0004436969757080078,0.0005506925624511719,0.0030046114076171873,0.0025310516357421875,0.06207275390625,0.06353759765625,0.006612690484375,0.0046201499798828125,0.0021419525146484375,0.002166748046875,0.1182630993625,0.092773079828125,0.092829931484375,0.000583648681640625,0.040863037109375,0.04534912109375,0.019256591796875,0.00732421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-2.1457672119140625e-06,-9.5367431640625e-06,3.337860107421875e-06,100.375,0.019287109375,0.03173828125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.12041486315,-0.0007152557373046875,0.0,0.0,0.0,0.0,0.0,0.12085517344375,-0.0007143020629882812,0.004215240478515625,0.00018858909606933594,0.00737762451171875,0.014984130859375,0.00818634033203125,0.000514984130859375,0.0005974769592285156,0.0030517578125,-0.00027108192443847656,0.12030029296875,0.111083984375,0.01592674296781006,0.019538730344885253,0.011199951171875,0.01279449462890625,0.013035485538867188,0.017183002056445313,0.00821685791015625,0.005405426025390625,0.0005016326904296875,0.000601373644934082,0.0035166664521484375,0.00301361083984375,0.06634521484375,0.0684814453125,0.00762459371328125,0.00573059679453125,0.0037689208984375,0.0037937164306640625,0.12055306133125,0.092762179696875,0.09284960483125,0.0005946159362792969,0.039764404296875,0.0433349609375,0.0180511474609375,0.006107330322265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.430511474609375e-06,5.7220458984375e-06,2.7418136596679688e-06,100.3125,0.02099609375,0.0263671875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.114675716475,-0.0006132125854492188,0.0,0.0,0.0,0.0,0.0,0.1150540339125,-0.0006556510925292969,0.004871368408203125,0.00018846988677978516,0.008544921875,0.0187225341796875,0.00885009765625,0.0010814666748046875,0.000659942626953125,0.002765655517578125,-0.0002598762512207031,0.12200927734375,0.11407470703125,0.016074245777087402,0.019617134725756834,0.011566162109375,0.01319122314453125,0.012572456126855468,0.017007047311523436,0.00730133056640625,0.005405426025390625,0.0005106925964355469,0.0006522664033813476,0.003961716697265625,0.0034332275390625,0.07177734375,0.0748291015625,0.00971392086015625,0.0079585359484375,0.00424957275390625,0.004276275634765625,0.12454891948749999,0.09508626159375,0.09517360852812501,0.00060272216796875,0.039794921875,0.042449951171875,0.017578125,0.006191253662109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-1.6689300537109375e-06,1.9073486328125e-06,2.0265579223632812e-06,100.3125,0.031494140625,0.0224609375
