Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,-0.0,0.0005064599,-0.0,-0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.01071958801953125,0.1087646484375,0.0,0.0,0.0,0.0,0.0,0.01077023139765625,0.1087646484375,0.003772735595703125,3.695487976074219e-05,0.004695892333984375,0.029052734375,0.0032196044921875,0.034027099609375,4.4226646423339844e-05,0.00322444421640625,-2.086162567138672e-05,0.0002262592315673828,0.0005846023559570312,0.01658820171636963,0.020499728650494386,0.005157470703125,0.004619598388671875,0.043234290517187496,0.047786505859375,1.811981201171875e-05,0.00225830078125,-2.7000904083251953e-05,0.0005017085082275391,-8.809566497802734e-05,-4.6372413635253906e-05,0.05987548828125,0.057525634765625,0.006428417453125,0.006091334999609375,2.580881118774414e-05,-8.046627044677734e-06,0.09952798114375,0.102591320915625,0.10267770665,-0.0001779794692993164,0.0045318603515625,0.005176544189453125,-1.0848045349121094e-05,3.159046173095703e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,0.0,7.748603820800781e-07,4.76837158203125e-07,20.0,-0.0018558502197265625,-0.001953125
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.019660607440625,0.2200927734375,0.0,0.0,0.0,0.0,0.0,0.019740596596875,0.2203369140625,0.007740020751953125,7.396936416625977e-05,0.00943756103515625,0.05865478515625,0.006366729736328125,0.06634521484375,7.68899917602539e-05,0.006228358358984375,-4.1961669921875e-05,0.00064849853515625,0.0013828277587890625,0.016445549236572266,0.02047020200645752,0.0106048583984375,0.00946807861328125,0.073965525234375,0.07918169345,5.5789947509765625e-05,0.004642486572265625,-5.167722702026367e-05,0.0005181959989746094,-0.00018775463104248047,-9.143352508544922e-05,0.1204833984375,0.11572265625,0.01168953747265625,0.0113005031546875,3.504753112792969e-05,-2.7835369110107422e-05,0.15547174961875,0.16208849851875,0.16226672748749998,-0.0003578662872314453,0.00882720947265625,0.01010894775390625,-2.944469451904297e-05,-9.298324584960938e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.682209014892578e-06,-4.76837158203125e-07,1.5497207641601562e-06,7.152557373046875e-07,40.0,-0.0023441314697265625,-0.003711700439453125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0286315677671875,0.33251953125,0.0,0.0,0.0,0.0,0.0,0.02878696466875,0.332763671875,0.0118408203125,0.00011080503463745117,0.01447296142578125,0.088134765625,0.01021575927734375,0.09674072265625,8.761882781982422e-05,0.0096298304171875,-5.906820297241211e-05,0.0015001296997070312,0.00215911865234375,0.016229197396966554,0.020325304976379393,0.016265869140625,0.01451873779296875,0.1058408226875,0.112054862125,8.767843246459961e-05,0.007114410400390625,-9.08970832824707e-05,0.0005236645022827148,-0.0002930164337158203,-0.00015735626220703125,0.1802978515625,0.173095703125,0.0166855661890625,0.01611163940234375,8.147954940795898e-05,-6.973743438720703e-06,0.21202322099999998,0.22225425395,0.2223720438625,-0.0005750656127929688,0.013336181640625,0.015106201171875,-5.519390106201172e-05,-2.193450927734375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-1.3113021850585938e-06,4.589557647705078e-06,1.0132789611816406e-06,60.0,-0.0029296875,-0.00791168212890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.03804027723125,0.44580078125,0.0,0.0,0.0,0.0,0.0,0.038149120965625,0.446044921875,0.016021728515625,0.00014781951904296875,0.019561767578125,0.1181640625,0.01361083984375,0.125732421875,8.755922317504883e-05,0.0128444953875,-7.456541061401367e-05,0.0030269622802734375,0.003726959228515625,0.016163246726208495,0.02028628436105957,0.02215576171875,0.019805908203125,0.1379306698,0.145052669525,0.0001404285430908203,0.00965118408203125,-0.00012373924255371094,0.0005129469378417969,-0.0004076957702636719,-0.00023615360260009766,0.240966796875,0.2314453125,0.02113543055,0.0203605347109375,9.083747863769531e-05,-3.319978713989258e-05,0.267915215325,0.2818058580625,0.281924046575,-0.0007963180541992188,0.0175323486328125,0.0198516845703125,-5.650520324707031e-05,-3.123283386230469e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.987022399902344e-06,-1.6093254089355469e-06,9.179115295410156e-06,1.2516975402832031e-06,79.9375,-0.002735137939453125,-0.00820159912109375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.047646751196875003,0.5595703125,0.0,0.0,0.0,0.0,0.0,0.047846041465625,0.5595703125,0.020294189453125,0.00018477439880371094,0.0247039794921875,0.1488037109375,0.0170745849609375,0.15380859375,0.00010943412780761719,0.01612147638125,-0.00010025501251220703,0.005023956298828125,0.0057373046875,0.016103688616931153,0.02026198805065918,0.0283203125,0.0253448486328125,0.1709327548875,0.179267026525,0.00018548965454101562,0.01227569580078125,-0.00016009807586669922,0.0004972278810546875,-0.0005164146423339844,-0.00031375885009765625,0.302490234375,0.29052734375,0.0250830094828125,0.0241410504640625,0.00010436773300170898,-2.8073787689208984e-05,0.32315187155,0.3408171088,0.341057539025,-0.001026153564453125,0.0215301513671875,0.0244140625,-6.818771362304688e-05,-6.592273712158203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.9073486328125e-06,7.62939453125e-06,1.3113021850585938e-06,99.9375,-0.001953125,-0.00830078125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.048107134025,0.56103515625,0.0,0.0,0.0,0.0,0.0,0.048274867915625,0.5615234375,0.02056884765625,0.00018465518951416016,0.0249481201171875,0.150146484375,0.0172119140625,0.150634765625,7.766485214233398e-05,0.0162339130390625,-0.00010329484939575195,0.0064849853515625,0.007045745849609375,0.016139510988238525,0.02023344864082031,0.0290069580078125,0.0260162353515625,0.17245994605,0.1810044236,0.00021147727966308594,0.0124969482421875,-0.00015425682067871094,0.0004925889023681641,-0.0005131562423339843,-0.00032138824462890625,0.303955078125,0.292236328125,0.0239825459484375,0.0230177359515625,0.0001062154769897461,-3.784894943237305e-05,0.3219803721,0.339584428775,0.33982452750000003,-0.001049041748046875,0.0210723876953125,0.02398681640625,-5.906820297241211e-05,-6.103515625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-2.5033950805664062e-06,0.0,1.5497207641601562e-06,100.0,-0.01025390625,-0.00537109375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.048258860828125,0.56298828125,0.0,0.0,0.0,0.0,0.0,0.048455923996875,0.56298828125,0.02081298828125,0.00018477439880371094,0.025238037109375,0.15234375,0.0174407958984375,0.14794921875,9.47713851928711e-05,0.01630594521875,-0.00010329484939575195,0.008087158203125,0.00856781005859375,0.015983978300811767,0.019993051871972655,0.029693603515625,0.026702880859375,0.173317944675,0.1823248155625,0.00020229816436767578,0.012725830078125,-0.00015056133270263672,0.0005001478236816406,-0.0004939428221191406,-0.00031757354736328125,0.305908203125,0.294189453125,0.023031147515625,0.022043779740625,9.644031524658203e-05,-5.6743621826171875e-05,0.321021888425,0.338348031,0.338587988125,-0.001056671142578125,0.0206298828125,0.0235748291015625,-4.929304122924805e-05,-6.777048110961914e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.58306884765625e-06,-1.7881393432617188e-06,7.62939453125e-06,1.6689300537109375e-06,99.9375,-0.00244140625,-0.00830078125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.04833234361875,0.56396484375,0.0,0.0,0.0,0.0,0.0,0.0485285132875,0.564453125,0.021148681640625,0.00018477439880371094,0.02557373046875,0.1552734375,0.0176239013671875,0.1453857421875,0.00010454654693603516,0.0164031982421875,-9.936094284057617e-05,0.0093536376953125,0.0098419189453125,0.01602240842267456,0.01995632048618164,0.030364990234375,0.0273895263671875,0.1739260647625,0.1833645663875,0.000217437744140625,0.01293182373046875,-0.00014841556549072266,0.00048180672751464845,-0.0004551486571044922,-0.00030541419982910156,0.308349609375,0.296630859375,0.022234884240625,0.021256414665625,0.00010317564010620117,-6.777048110961914e-05,0.32239632305,0.337909884775,0.3381498978,-0.001056671142578125,0.020111083984375,0.02313232421875,-6.395578384399414e-05,-9.888410568237305e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0013580322265625e-05,-2.384185791015625e-06,3.814697265625e-06,1.3113021850585938e-06,99.9375,-0.00146484375,-0.01171875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.048238948896875,0.564453125,0.0,0.0,0.0,0.0,0.0,0.048434160865625,0.56494140625,0.0217437744140625,0.00018477439880371094,0.0260009765625,0.1591796875,0.0176239013671875,0.1431884765625,0.00011551380157470703,0.01641845703125,-0.00010114908218383789,0.00951385498046875,0.01013946533203125,0.01613039335246582,0.020023638403125,0.0310516357421875,0.0280914306640625,0.1739694364125,0.1840850655,0.00020873546600341797,0.013092041015625,-0.00014209747314453125,0.0004976519548339843,-0.00041278739208984374,-0.00029349327087402344,0.31103515625,0.29931640625,0.0217149584578125,0.0206843660265625,9.799003601074219e-05,-5.370378494262695e-05,0.32633114605,0.338555499875,0.3387954347,-0.0010585784912109375,0.0195770263671875,0.02264404296875,-7.367134094238281e-05,-0.00012755393981933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-2.1457672119140625e-06,0.0,2.0265579223632812e-06,100.0,-0.00439453125,-0.00341796875
