Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00624876282421875,0.09710693359375,0.0,0.0,0.0,0.0,0.0,0.00629940620234375,0.0972900390625,0.0018367767333984375,3.737211227416992e-05,0.0003027915954589844,0.00818634033203125,0.0076904296875,0.001922607421875,8.26120376586914e-05,0.0034704921900390625,-3.1054019927978516e-05,0.00489044189453125,0.005496978759765625,0.016549518301910402,0.020433567494793702,0.004474639892578125,0.004169464111328125,0.032583655751562496,0.035457404296875,0.004810333251953125,0.002918243408203125,5.6862831115722656e-05,0.0004928274161560059,5.841255187988281e-06,0.00012445449829101562,0.017486572265625,0.0157928466796875,0.0008043019860534668,0.0004957105527404785,2.092123031616211e-05,-1.537799835205078e-05,0.07938637958125,0.08626441661875,0.086320284775,0.0001289844512939453,0.003063201904296875,0.004070281982421875,2.491474151611328e-05,7.18832015991211e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0728836059570312e-06,-4.76837158203125e-07,-4.172325134277344e-06,-4.76837158203125e-07,20.03125,0.0033206939697265625,0.003223419189453125
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0109173213078125,0.1962890625,0.0,0.0,0.0,0.0,0.0,0.010982051675,0.196533203125,0.0037078857421875,7.474422454833984e-05,0.0005712509155273438,0.0176239013671875,0.01708984375,0.0038204193115234375,0.0001760721206665039,0.006678492636328125,-6.145238876342773e-05,0.0052642822265625,0.006633758544921875,0.01638344119671631,0.020351529158709716,0.00901031494140625,0.0083770751953125,0.054037546718749996,0.0563545450125,0.0098419189453125,0.00611114501953125,9.679794311523438e-05,0.0005065134885986328,1.1563301086425781e-05,0.0002498626708984375,0.036376953125,0.03302001953125,0.0009266671609191895,0.0005792964896484376,3.796815872192383e-05,-3.170967102050781e-05,0.11470026524375,0.1293126196125,0.12942981342499998,0.0002582073211669922,0.005985260009765625,0.00803375244140625,6.473064422607422e-05,0.0001519918441772461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-9.5367431640625e-07,-1.5497207641601562e-06,-1.4901161193847656e-06,40.0625,0.007617950439453125,0.007030487060546875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0162414310484375,0.297119140625,0.0,0.0,0.0,0.0,0.0,0.01632816339921875,0.29736328125,0.00563812255859375,0.00011205673217773438,0.0008869171142578125,0.0297698974609375,0.028594970703125,0.00786590576171875,0.00025844573974609375,0.009858712253125,-9.185075759887695e-05,0.003589630126953125,0.00556182861328125,0.016178235425683595,0.020187081805145262,0.01358795166015625,0.01262664794921875,0.0789853539375,0.08123210821875,0.01432037353515625,0.00951385498046875,0.00012445449829101562,0.00048289492525634766,9.59634780883789e-06,0.0003573894500732422,0.06005859375,0.055084228515625,0.001061162235510254,0.0006530555705566406,4.965066909790039e-05,-4.029273986816406e-05,0.15043874834374998,0.17342612895,0.173665989175,0.00036907196044921875,0.00881195068359375,0.01189422607421875,0.00016677379608154297,0.00026869773864746094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.1324882507324219e-06,5.7220458984375e-06,-1.8477439880371094e-06,60.0625,0.0114288330078125,0.0084991455078125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.02253734754375,0.39892578125,0.0,0.0,0.0,0.0,0.0,0.0226614500671875,0.399169921875,0.0076904296875,0.00014925003051757812,0.0014667510986328125,0.04742431640625,0.0416259765625,0.0200653076171875,0.0003476142883300781,0.01292841872734375,-0.0001214742660522461,0.0026569366455078125,0.00464630126953125,0.016102449988537597,0.02007289973276367,0.01837158203125,0.01708984375,0.1082675838625,0.11154436874375,0.0170745849609375,0.0129547119140625,0.0001220703125,0.00045143494443359374,1.1086463928222656e-05,0.0004439353942871094,0.09393310546875,0.0875244140625,0.0011274029964416503,0.0006102972460327148,2.3186206817626953e-05,-0.00010061264038085938,0.187348809075,0.21918378775,0.2193019762625,0.0004215240478515625,0.0115203857421875,0.01556396484375,0.0003039836883544922,0.0003705024719238281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-1.7285346984863281e-06,-1.5497207641601562e-06,-1.3113021850585938e-06,80.125,0.016021728515625,0.01210784912109375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.030068626196875,0.498779296875,0.0,0.0,0.0,0.0,0.0,0.0302221400984375,0.4990234375,0.0100860595703125,0.00018644332885742188,0.0032253265380859375,0.0758056640625,0.05487060546875,0.049957275390625,0.0005202293395996094,0.0159231121234375,-0.00014781951904296875,0.0006742477416992188,0.0030078887939453125,0.016555611033618165,0.020302280790527344,0.023590087890625,0.02197265625,0.1421241611375,0.147528745275,0.01666259765625,0.01617431640625,0.00010496377944946289,0.00041664240131835935,-6.854534149169922e-06,0.00048828125,0.1444091796875,0.1365966796875,0.001319889308404541,0.0006825696291015625,8.225440979003906e-06,-0.0001367330551147461,0.2258618324875,0.2654997259875,0.2657401562125,0.0003693103790283203,0.01441192626953125,0.0193328857421875,0.00041985511779785156,0.0005431175231933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-2.384185791015625e-06,-3.814697265625e-06,-8.344650268554688e-07,100.125,0.013671875,0.021484375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0328483449625,0.472900390625,0.0,0.0,0.0,0.0,0.0,0.03304659643125,0.47314453125,0.010833740234375,0.0001863241195678711,0.00637054443359375,0.0960693359375,0.055145263671875,0.0848388671875,0.0006961822509765625,0.01579140815625,-0.000141143798828125,3.4809112548828125e-05,0.0023040771484375,0.02588981759453125,0.030439671175,0.0243377685546875,0.0226593017578125,0.15097557105,0.15903176735,0.01062774658203125,0.015777587890625,1.7404556274414062e-05,0.00040651979531250004,-7.6850242578125e-05,0.00037407875061035156,0.17236328125,0.165771484375,0.0019469471935546876,0.0020235495501953124,-6.92605972290039e-05,-0.0002124309539794922,0.2293290049125,0.26414497565,0.26450714468750003,0.0002219676971435547,0.01544189453125,0.0203857421875,0.0006513595581054688,0.0008540153503417969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.6689300537109375e-06,3.814697265625e-06,-7.152557373046875e-07,100.25,0.013671875,0.0146484375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.039286692859375,0.365966796875,0.0,0.0,0.0,0.0,0.0,0.039483756028125,0.3662109375,0.011993408203125,0.0001862049102783203,0.01039886474609375,0.11328125,0.052032470703125,0.1119384765625,0.0007877349853515625,0.0156345585,-0.0001289844512939453,-0.00028014183044433594,0.00099945068359375,0.02494201996875,0.030665621146875,0.025177001953125,0.0235595703125,0.1524439212375,0.162427354625,0.0050201416015625,0.0153045654296875,-6.210803985595703e-05,0.00046581554829101563,-0.00011247309555664062,0.00031638145446777344,0.1925048828125,0.1884765625,0.0084590039609375,0.009165361771875,-0.00015783309936523438,-0.0003113746643066406,0.2344740368625,0.2549740075625,0.2552139646875,0.00018596649169921875,0.0186309814453125,0.0234832763671875,0.0002646446228027344,0.0002837181091308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-9.5367431640625e-07,1.33514404296875e-05,2.384185791015625e-07,100.3125,0.01025390625,0.017578125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0623093944,0.1925048828125,0.0,0.0,0.0,0.0,0.0,0.0626886695375,0.192626953125,0.01389312744140625,0.0001862049102783203,0.0161285400390625,0.129638671875,0.045867919921875,0.1259765625,0.0006546974182128906,0.01401519775390625,-0.00011640787124633789,0.000896453857421875,0.001995086669921875,0.015826607164587402,0.019688874445074462,0.0253143310546875,0.0239410400390625,0.14646024445,0.1590725742,0.0004591941833496094,0.01471710205078125,-0.00015914440155029297,0.0005411729537109375,-4.9360235473632816e-05,0.00023066997528076172,0.2066650390625,0.20751953125,0.01580330465078125,0.01595398546640625,-0.0003445148468017578,-0.00039196014404296875,0.2407312839875,0.2452585175875,0.2453764603,3.904104232788086e-05,0.0244140625,0.027923583984375,0.0019893646240234375,0.0003509521484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-7.152557373046875e-07,0.0,3.6954879760742188e-06,100.4375,0.01123046875,0.0224609375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.10594768913125,0.055084228515625,0.0,0.0,0.0,0.0,0.0,0.10644807688125,0.055145263671875,0.0173797607421875,0.00018644332885742188,0.0228118896484375,0.1441650390625,0.03662109375,0.138671875,0.0005974769592285156,0.01183319091796875,-9.59634780883789e-05,0.01031494140625,0.0113983154296875,0.015869086589770508,0.019642764723010252,0.025115966796875,0.024261474609375,0.13484590125625,0.1502715889375,0.00014925003051757812,0.01412200927734375,-0.0001609325408935547,0.0004742869340820312,0.00018027882342529298,0.0002601146697998047,0.2236328125,0.227294921875,0.02694872310625,0.0251704500109375,-0.00031280517578125,-0.0003490447998046875,0.2429571226125,0.2336971014375,0.2339370362625,-0.00011259317398071289,0.032684326171875,0.034881591796875,0.0034885406494140625,0.0005478858947753906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-5.960464477539062e-07,1.9073486328125e-06,4.410743713378906e-06,100.375,0.0048828125,0.017578125
