Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.009582808234375,0.09326171875,0.0,0.0,0.0,0.0,0.0,0.00962582221796875,0.09332275390625,0.0018186569213867188,3.719329833984375e-05,0.0011873245239257812,0.01137542724609375,0.002681732177734375,0.0148773193359375,8.654594421386719e-05,0.00314815027109375,-3.606081008911133e-05,0.0004379749298095703,0.0006990432739257812,0.016559591486877443,0.020453415841503907,0.0031337738037109375,0.002819061279296875,0.031729163564062496,0.035213263671875,0.00035500526428222656,0.0018568038940429688,2.658367156982422e-05,0.0005267424590332031,6.556510925292969e-07,5.7816505432128906e-05,0.02783203125,0.026153564453125,0.0017773478120117188,0.0014574314961914062,1.430511474609375e-06,-1.9311904907226562e-05,0.08542886005,0.086783215446875,0.08686960118125,1.531839370727539e-05,0.003414154052734375,0.004364013671875,-5.602836608886719e-06,3.832578659057617e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0265579223632812e-06,-1.1920928955078125e-07,1.5497207641601562e-06,-0.0,20.03125,0.002391815185546875,0.001953125
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.017402306659375,0.1878662109375,0.0,0.0,0.0,0.0,0.0,0.017482295815625,0.18798828125,0.00360107421875,7.432699203491211e-05,0.0021610260009765625,0.022247314453125,0.005702972412109375,0.027374267578125,0.00016307830810546875,0.005999476523046875,-7.319450378417969e-05,0.0007333755493164062,0.0013103485107421875,0.016414912449157715,0.02039891485130615,0.00634002685546875,0.00569915771484375,0.050497507656249996,0.053638480559375,0.0011796951293945312,0.003795623779296875,6.16908073425293e-05,0.000572913062878418,-1.3113021850585938e-06,0.00011479854583740234,0.053955078125,0.05059814453125,0.0022271809052734374,0.0018801082572265627,9.655952453613281e-06,-3.8564205169677734e-05,0.12666315586875,0.13071642820625,0.13077258686249998,3.653764724731445e-05,0.006561279296875,0.008514404296875,-1.1920928955078125e-05,6.532669067382812e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-07,-3.5762786865234375e-07,0.0,-2.384185791015625e-07,40.0625,0.00547027587890625,0.0035152435302734375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.025381445696875,0.28271484375,0.0,0.0,0.0,0.0,0.0,0.0255063250203125,0.283203125,0.005290985107421875,0.00011157989501953125,0.0027675628662109375,0.031890869140625,0.0092620849609375,0.03564453125,0.00025844573974609375,0.00881348520234375,-0.00011146068572998047,0.000972747802734375,0.0019006729125976562,0.01626960934612427,0.020284296980773924,0.00960540771484375,0.008636474609375,0.069555422296875,0.072046317203125,0.0027256011962890625,0.0058135986328125,0.00011616945266723633,0.0005884547511535645,3.5762786865234375e-07,0.000179290771484375,0.0760498046875,0.071044921875,0.0017095415613769531,0.0013892921428222656,1.4424324035644531e-05,-4.6133995056152344e-05,0.16771169756249998,0.17537925395,0.175619114175,7.987022399902344e-05,0.009429931640625,0.01245880126953125,-2.2590160369873047e-05,8.678436279296875e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.125999450683594e-06,-7.152557373046875e-07,9.179115295410156e-06,-5.960464477539062e-07,60.0625,0.00791168212890625,0.00644683837890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0334626405125,0.376708984375,0.0,0.0,0.0,0.0,0.0,0.033602001825,0.376953125,0.00685882568359375,0.000148773193359375,0.002880096435546875,0.03924560546875,0.0135040283203125,0.03729248046875,0.0003485679626464844,0.01156275710625,-0.000148773193359375,0.0015211105346679688,0.002773284912109375,0.016234891509228515,0.02029987422006836,0.0128936767578125,0.01160430908203125,0.08794287683125,0.08969378280625,0.005565643310546875,0.00791168212890625,0.0002008676528930664,0.0006085527880615234,1.9788742065429688e-05,0.00027298927307128906,0.09100341796875,0.0845947265625,0.0014470627063720703,0.0009053402376708984,2.3186206817626953e-05,-6.93202018737793e-05,0.208833184075,0.2202824205625,0.2205226793875,0.00019097328186035156,0.012054443359375,0.01611328125,-2.9206275939941406e-05,0.00012111663818359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.172325134277344e-06,-1.5497207641601562e-06,3.039836883544922e-06,-2.980232238769531e-07,80.125,0.01113128662109375,0.01132965087890625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.041512717993750003,0.46435546875,0.0,0.0,0.0,0.0,0.0,0.0417120082625,0.465087890625,0.0083160400390625,0.0001862049102783203,0.0023479461669921875,0.043060302734375,0.0184783935546875,0.03057861328125,0.0004863739013671875,0.01431330987734375,-0.00017380714416503906,0.0028514862060546875,0.00437164306640625,0.016210857768237306,0.02028654516430664,0.0160980224609375,0.01450347900390625,0.1050147861375,0.1056586280875,0.010345458984375,0.01012420654296875,0.00029850006103515625,0.0006239473558471679,5.173683166503906e-05,0.00039577484130859375,0.0950927734375,0.08758544921875,0.00145477461953125,0.0008497010530517578,2.1457672119140625e-06,-0.00012576580047607422,0.2500317543625,0.2646452338,0.2650077343375,0.0004057884216308594,0.01434326171875,0.01947021484375,-3.343820571899414e-05,0.000213623046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-1.6689300537109375e-06,1.9073486328125e-06,-4.76837158203125e-07,100.125,0.0146484375,0.01611328125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0426139699625,0.448486328125,0.0,0.0,0.0,0.0,0.0,0.04281222143125,0.44873046875,0.008148193359375,0.0001863241195678711,0.001430511474609375,0.035614013671875,0.019989013671875,0.012969970703125,0.0005316734313964844,0.014357081984375,-0.00015819072723388672,0.004364013671875,0.0063629150390625,0.0161432064762146,0.020119961397167967,0.016021728515625,0.01442718505859375,0.10172019995625001,0.10165872047499999,0.01458740234375,0.01047515869140625,0.0003948211669921875,0.0006454152115722657,7.692974094238282e-05,0.00044226646423339844,0.073974609375,0.06689453125,0.001242658710888672,0.0006974654132324219,-4.4226646423339844e-05,-0.00016963481903076172,0.25117959085,0.2645111865875,0.26499542593750003,0.0005955696105957031,0.0135955810546875,0.018463134765625,-3.999471664428711e-05,0.00010329484939575195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-2.384185791015625e-06,-7.62939453125e-06,-1.430511474609375e-06,100.125,0.017822265625,0.02001953125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.044962962390625,0.432861328125,0.0,0.0,0.0,0.0,0.0,0.0451905431375,0.43310546875,0.00794219970703125,0.00018644332885742188,0.0010471343994140625,0.0283966064453125,0.0207672119140625,0.0013370513916015625,0.000507354736328125,0.01420786172265625,-0.00015544891357421875,0.007602691650390625,0.00933074951171875,0.016001442461730957,0.01988707481356201,0.0157623291015625,0.014190673828125,0.0970239993625,0.09657042103124999,0.0190582275390625,0.0107421875,0.0004334449768066406,0.0006367616695068359,0.00011271325240478516,0.00047779083251953125,0.05633544921875,0.048858642578125,0.001144560372680664,0.0006495269635253906,-4.4226646423339844e-05,-0.00017452239990234375,0.2547377087375,0.2647396325625,0.26510166,0.0007448196411132812,0.0134735107421875,0.01800537109375,-4.6253204345703125e-05,2.7477741241455078e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-2.1457672119140625e-06,5.7220458984375e-06,-2.5033950805664062e-06,100.1875,0.017822265625,0.0234375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.04723371080625,0.421630859375,0.0,0.0,0.0,0.0,0.0,0.047429880475,0.421875,0.00785064697265625,0.00018644332885742188,0.0008115768432617188,0.022613525390625,0.0210418701171875,0.0007319450378417969,0.0004851818084716797,0.01406097412109375,-0.00015425682067871094,0.0100555419921875,0.011199951171875,0.016050303396429443,0.01983293887149658,0.01535797119140625,0.013824462890625,0.092016885075,0.0913235507625,0.02325439453125,0.0108795166015625,0.0004601478576660156,0.0005933866225341797,0.00016533569500732422,0.0005145072937011719,0.04254150390625,0.03448486328125,0.0010526451849914552,0.0006457245487426757,-1.4960765838623047e-05,-0.00014531612396240234,0.2623377293,0.2682077363375,0.2684477493625,0.0008835792541503906,0.01355743408203125,0.017822265625,-9.137392044067383e-05,-6.502866744995117e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-2.5033950805664062e-06,-5.7220458984375e-06,-2.5033950805664062e-06,100.1875,0.025146484375,0.01953125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.047445491865625,0.4208984375,0.0,0.0,0.0,0.0,0.0,0.0476712214125,0.421142578125,0.00792694091796875,0.00018644332885742188,0.0007505416870117188,0.0192718505859375,0.0202789306640625,0.0005984306335449219,0.0005130767822265625,0.013946533203125,-0.00015676021575927734,0.0095062255859375,0.009979248046875,0.016187196578936767,0.019918018972583006,0.01496124267578125,0.01342010498046875,0.08797090125625,0.08746641315625,0.0254058837890625,0.01080322265625,0.00048613548278808594,0.0005782374345703125,0.00021723370318603517,0.0005369186401367188,0.034332275390625,0.0262298583984375,0.000994118957385254,0.0006206081301391601,-2.980232238769531e-07,-0.0001404285430908203,0.271887786675,0.27385823425,0.274098169075,0.00099945068359375,0.013031005859375,0.0170440673828125,-0.00014913082122802734,-0.00013637542724609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-3.337860107421875e-06,-1.9073486328125e-06,-3.0994415283203125e-06,100.1875,0.0224609375,0.02099609375
