Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.008648207404296875,0.0716552734375,0.0,0.0,0.0,0.0,0.0,0.00869503608515625,0.07171630859375,0.00189971923828125,3.707408905029297e-05,0.0011510848999023438,0.01009368896484375,0.00250244140625,0.0144195556640625,9.375810623168945e-05,0.0029135463892578125,-4.088878631591797e-05,0.0007495880126953125,0.000988006591796875,0.016551664069122316,0.020448945493145753,0.0030670166015625,0.0028667449951171875,0.031637610829687496,0.03518274609375,0.00016999244689941406,0.001739501953125,3.7550926208496094e-05,0.0005293650634033203,2.7060508728027344e-05,4.166364669799805e-05,0.0262451171875,0.0247955322265625,0.0017349093049316407,0.00143358963828125,-1.6689300537109375e-05,-3.0994415283203125e-05,0.09586587176875,0.0973117799,0.09736764805625,4.112720489501953e-05,0.00408172607421875,0.004924774169921875,-7.152557373046875e-06,5.835294723510742e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,-1.1920928955078125e-07,0.0,-0.0,20.03125,0.00341796875,0.002635955810546875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01570095167890625,0.132080078125,0.0,0.0,0.0,0.0,0.0,0.01576568204609375,0.1322021484375,0.0037174224853515625,7.420778274536133e-05,0.0019550323486328125,0.018280029296875,0.005390167236328125,0.022308349609375,0.00019359588623046875,0.0054844923921875,-7.611513137817383e-05,0.0030956268310546875,0.003662109375,0.016370208965576172,0.020345985926745604,0.00612640380859375,0.005748748779296875,0.049368357265624996,0.05238725985625,0.0009527206420898438,0.0035457611083984375,0.0001100301742553711,0.0005983642461975097,5.751848220825195e-05,8.33272933959961e-05,0.047576904296875,0.045074462890625,0.0015300449799804687,0.0012697566947265627,-4.8995018005371094e-05,-6.979703903198242e-05,0.1480864957125,0.1527501196125,0.15274524311249998,0.00010263919830322266,0.00786590576171875,0.009490966796875,3.1054019927978516e-05,0.00017380714416503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2649765014648438e-06,-1.7881393432617188e-07,5.364418029785156e-06,-4.172325134277344e-07,40.0625,0.007617950439453125,0.00742340087890625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0250304935484375,0.163818359375,0.0,0.0,0.0,0.0,0.0,0.0251401140828125,0.1639404296875,0.0054779052734375,0.00011146068572998047,0.002353668212890625,0.0234375,0.009368896484375,0.022003173828125,0.0002720355987548828,0.007722481784375,-0.0001277923583984375,0.00980377197265625,0.01047515869140625,0.016159817590448,0.020147087088500975,0.00905609130859375,0.008575439453125,0.064947268,0.067102469546875,0.0030422210693359375,0.0054779052734375,0.00017571449279785156,0.0006078858653503418,0.00010502338409423828,0.00012063980102539062,0.060821533203125,0.057708740234375,0.0014155714533447266,0.0008295449237365722,-0.00012028217315673828,-0.00014865398406982422,0.20152517412499998,0.2090706602,0.2091884501125,0.00018465518951416016,0.01214599609375,0.01415252685546875,9.799003601074219e-05,1.3649463653564453e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.589557647705078e-06,-2.980232238769531e-07,4.589557647705078e-06,-5.960464477539063e-08,60.15625,0.018463134765625,0.0143585205078125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.040634271371875,0.164306640625,0.0,0.0,0.0,0.0,0.0,0.04086518541875,0.1646728515625,0.007038116455078125,0.00014865398406982422,0.002323150634765625,0.0264434814453125,0.01448822021484375,0.015655517578125,0.0003552436828613281,0.00951044997734375,-0.00018537044525146484,0.022857666015625,0.02288818359375,0.016084747409039306,0.02003773299234619,0.01177978515625,0.01134490966796875,0.078116216675,0.079134700775,0.006542205810546875,0.007556915283203125,0.00018537044525146484,0.0005835188372558594,0.00017118453979492188,0.00015616416931152344,0.0682373046875,0.06488037109375,0.0015495826953857421,0.0008706503344116211,-0.0002307891845703125,-0.00024127960205078125,0.2569288872,0.265326365875,0.2655666247,0.00029397010803222656,0.017242431640625,0.0193023681640625,0.000217437744140625,-0.00029587745666503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1324882507324219e-06,-9.5367431640625e-07,-6.079673767089844e-06,3.5762786865234375e-07,80.25,0.026763916015625,0.029693603515625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.062051048071875003,0.15478515625,0.0,0.0,0.0,0.0,0.0,0.062341891075,0.155029296875,0.00827789306640625,0.0001862049102783203,0.00208282470703125,0.0274810791015625,0.0196685791015625,0.006206512451171875,0.0003867149353027344,0.01095637628359375,-0.00024271011352539062,0.039581298828125,0.037994384765625,0.01601720227736206,0.019951984293182373,0.01422119140625,0.01387786865234375,0.0884132236375,0.0882025734,0.0116119384765625,0.0096282958984375,0.00022554397583007812,0.000554686758618164,0.0002880096435546875,0.00022280216217041016,0.07110595703125,0.067138671875,0.001817647696923828,0.00101635563984375,-0.00032258033752441406,-0.0003063678741455078,0.310700699675,0.320065155675,0.3203055859,0.0004546642303466797,0.0221099853515625,0.024017333984375,0.00036072731018066406,-0.0006728172302246094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-9.5367431640625e-07,-5.7220458984375e-06,-2.384185791015625e-07,100.4375,0.03125,0.037841796875
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.07123945824375,0.1285400390625,0.0,0.0,0.0,0.0,0.0,0.071559780025,0.1287841796875,0.0079193115234375,0.0001863241195678711,0.0017518997192382812,0.0231475830078125,0.02020263671875,0.0012760162353515625,0.0003247261047363281,0.01038216743359375,-0.00024187564849853516,0.046844482421875,0.044036865234375,0.016009811281207275,0.01988547672462158,0.01366424560546875,0.013427734375,0.08273826636250001,0.08212747047499999,0.01549530029296875,0.0098114013671875,0.00025653839111328125,0.0004723233231445313,0.0004007021713623047,0.00030112266540527344,0.0595703125,0.055145263671875,0.0017705174450195313,0.0010503249103027343,-0.00030803680419921875,-0.0003161430358886719,0.31172646585,0.3183441944,0.31858429312500003,0.0005908012390136719,0.02313232421875,0.0244903564453125,0.0003337860107421875,-0.0008115768432617188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-1.6689300537109375e-06,-1.9073486328125e-06,-5.960464477539062e-07,100.4375,0.03173828125,0.036376953125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.07599933934375,0.1236572265625,0.0,0.0,0.0,0.0,0.0,0.076318472825,0.1239013671875,0.007781982421875,0.0001863241195678711,0.0014781951904296875,0.01995849609375,0.0197601318359375,0.000957489013671875,0.00033926963806152344,0.010110876859375,-0.00023543834686279297,0.050506591796875,0.047393798828125,0.01589302161288452,0.019679293021875,0.01328277587890625,0.01305389404296875,0.07804206576875,0.07697813587499999,0.018707275390625,0.00998687744140625,0.0003097057342529297,0.00042313862263183594,0.0005164751161132813,0.00040078163146972656,0.050811767578125,0.045806884765625,0.001645477807373047,0.0010010155537658692,-0.00027871131896972656,-0.00026726722717285156,0.314674232175,0.318084359125,0.31832431625,0.0007548332214355469,0.02459716796875,0.0256500244140625,0.00036072731018066406,-0.0007996559143066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-2.5033950805664062e-06,-5.7220458984375e-06,-2.384185791015625e-07,100.375,0.03173828125,0.0322265625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0759812694,0.1307373046875,0.0,0.0,0.0,0.0,0.0,0.0763605445375,0.1309814453125,0.00787353515625,0.0001863241195678711,0.00128936767578125,0.0176849365234375,0.0187835693359375,0.0008420944213867188,0.0003807544708251953,0.010162353515625,-0.00022745132446289062,0.051483154296875,0.048553466796875,0.015957856592382812,0.019654720983618163,0.01300048828125,0.01271820068359375,0.074164101871875,0.07258575779375,0.02130126953125,0.0101165771484375,0.00034880638122558594,0.0003785714827636719,0.0006122513215332031,0.00047779083251953125,0.043121337890625,0.037628173828125,0.0014173660063720704,0.0008715665477966308,-0.00027871131896972656,-0.00024771690368652344,0.3219080418,0.320331759775,0.3205717728,0.0009441375732421875,0.0259552001953125,0.02685546875,0.00041675567626953125,-0.0006580352783203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-1.9073486328125e-06,-5.7220458984375e-06,-2.0265579223632812e-06,100.375,0.0302734375,0.041015625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.07146282585,0.1405029296875,0.0,0.0,0.0,0.0,0.0,0.07178010813125,0.140625,0.008026123046875,0.0001863241195678711,0.0012159347534179688,0.01561737060546875,0.01739501953125,0.0007863044738769531,0.0004107952117919922,0.0102996826171875,-0.00022745132446289062,0.048095703125,0.045654296875,0.01609623989100952,0.01975505987376709,0.0125579833984375,0.01221466064453125,0.07100312781875,0.06915586628125,0.0225982666015625,0.01004791259765625,0.00037407875061035156,0.00040609922045898434,0.0006634340739746094,0.0005116462707519531,0.0355224609375,0.029876708984375,0.0012984602736083985,0.0007768319040954589,-0.0002396106719970703,-0.00024771690368652344,0.331946380425,0.324151203,0.3241469972,0.001129150390625,0.0251312255859375,0.0258331298828125,0.00026798248291015625,-0.0005249977111816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-2.6226043701171875e-06,-7.62939453125e-06,-2.2649765014648438e-06,100.375,0.029052734375,0.03564453125
