Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00731687805859375,0.07183837890625,0.0,0.0,0.0,0.0,0.0,0.00736752143671875,0.0718994140625,0.0010395050048828125,3.7670135498046875e-05,0.0001404285430908203,0.003803253173828125,0.0048675537109375,0.00014901161193847656,0.00011301040649414062,0.0025854824244140625,-2.4616718292236328e-05,0.003162384033203125,0.003833770751953125,0.016551544859832765,0.020445965260906983,0.002838134765625,0.0026454925537109375,0.02422946873984375,0.0268361884765625,0.004695892333984375,0.002017974853515625,9.97781753540039e-05,0.0004887146956665039,0.0001291036605834961,0.0001875162124633789,0.00661468505859375,0.0055389404296875,0.0007459490388183594,0.0004799749265197754,2.2411346435546875e-05,-2.682209014892578e-06,0.0696360133703125,0.0726078004078125,0.072648409775,0.0003113746643066406,0.0016460418701171875,0.00258636474609375,1.7404556274414062e-05,6.556510925292969e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.205371856689453e-06,-2.384185791015625e-07,7.748603820800781e-07,-8.344650268554688e-07,20.03125,0.004444122314453125,0.004100799560546875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0129314814640625,0.1514892578125,0.0,0.0,0.0,0.0,0.0,0.01300384122578125,0.151611328125,0.002170562744140625,7.534027099609375e-05,0.0002548694610595703,0.007476806640625,0.009674072265625,0.00029015541076660156,0.0002224445343017578,0.005038172812109375,-4.9948692321777344e-05,0.00615692138671875,0.00736236572265625,0.016393573986328125,0.020373761691210936,0.00580596923828125,0.005374908447265625,0.035940622890624996,0.037220023528125,0.01006317138671875,0.004230499267578125,0.0001913309097290039,0.0004848173979003906,0.0002465248107910156,0.0003809928894042969,0.0134429931640625,0.0110321044921875,0.0008053717088012696,0.0005688060721679688,2.7239322662353516e-05,-2.7835369110107422e-05,0.097763009384375,0.1057530493,0.10580920795625,0.0006551742553710938,0.003139495849609375,0.005115509033203125,3.641843795776367e-05,-1.9669532775878906e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-1.0728836059570312e-06,1.5497207641601562e-06,-1.1920928955078125e-06,40.0625,0.0094757080078125,0.00917816162109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0194152591734375,0.237548828125,0.0,0.0,0.0,0.0,0.0,0.019540138496875,0.23779296875,0.003376007080078125,0.00011277198791503906,0.00038814544677734375,0.011444091796875,0.01456451416015625,0.0004417896270751953,0.00029659271240234375,0.008069619235546876,-8.177757263183594e-05,0.0094757080078125,0.0106658935546875,0.01621232928249512,0.020235301962768553,0.00872802734375,0.00801849365234375,0.0494443383125,0.04924968634375,0.015472412109375,0.00632476806640625,0.0002837181091308594,0.0005028028766113281,0.00031375885009765625,0.000507354736328125,0.021270751953125,0.0169830322265625,0.0008956997416137695,0.00065448608203125,4.9233436584472656e-05,-3.695487976074219e-05,0.12919851396874998,0.1444954648875,0.1447353251125,0.0009236335754394531,0.004878997802734375,0.00775909423828125,5.6862831115722656e-05,4.291534423828125e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.125999450683594e-06,-1.1920928955078125e-06,0.0,-2.205371856689453e-06,60.03125,0.0165557861328125,0.0149383544921875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.026260492075,0.32470703125,0.0,0.0,0.0,0.0,0.0,0.026430370965625,0.324951171875,0.0045928955078125,0.00015044212341308594,0.0005273818969726562,0.01548004150390625,0.019805908203125,0.000568389892578125,0.0003821849822998047,0.011043958278125,-0.00011336803436279297,0.01265716552734375,0.01401519775390625,0.016169028376751708,0.020207963857824706,0.01194000244140625,0.0109405517578125,0.064352788940625,0.06283831405625,0.0218353271484375,0.008697509765625,0.0003662109375,0.0004471434100097656,0.00038909912109375,0.000644683837890625,0.0301513671875,0.023956298828125,0.000916938995739746,0.0006955318880615234,5.4717063903808594e-05,-4.3451786041259766e-05,0.16250750048125,0.185736522125,0.1860988512625,0.0012540817260742188,0.00630950927734375,0.0102386474609375,7.975101470947266e-05,-7.808208465576172e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-2.2649765014648438e-06,1.2218952178955078e-05,-3.039836883544922e-06,80.0625,0.020904541015625,0.019134521484375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.033547630103125003,0.40869140625,0.0,0.0,0.0,0.0,0.0,0.03371640279375,0.4091796875,0.005908966064453125,0.00018799304962158203,0.0006628036499023438,0.0205078125,0.026702880859375,0.0006585121154785156,0.0004570484161376953,0.0142141277484375,-0.0001475811004638672,0.016510009765625,0.0179290771484375,0.016134861846148683,0.020186409361083985,0.0155487060546875,0.01425933837890625,0.08273695410625,0.080145932775,0.0289306640625,0.0113372802734375,0.00043272972106933594,0.0004149734712646484,0.00046443939208984375,0.0007801055908203125,0.041717529296875,0.0335693359375,0.0008890073313232421,0.0006849538148925781,4.667043685913086e-05,-8.422136306762695e-05,0.195954605925,0.2281462103625,0.228264570275,0.0016117095947265625,0.007793426513671875,0.0128631591796875,0.00010210275650024414,-4.887580871582031e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-2.86102294921875e-06,7.62939453125e-06,-2.5033950805664062e-06,100.125,0.031982421875,0.02490234375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0350456105875,0.3984375,0.0,0.0,0.0,0.0,0.0,0.03524386205625,0.398681640625,0.00629425048828125,0.0001881122589111328,0.0006804466247558594,0.0228729248046875,0.030670166015625,0.0007157325744628906,0.00043392181396484375,0.014784328078125,-0.00016033649444580078,0.0180206298828125,0.019378662109375,0.01616609465980835,0.020165022508618163,0.016510009765625,0.01517486572265625,0.09048973120625001,0.08841409156874999,0.03057861328125,0.0120697021484375,0.0003974437713623047,0.0004017514237304688,0.0004312197494873047,0.0007519721984863281,0.0477294921875,0.039581298828125,0.0008456917766845704,0.0006812529498535156,8.52346420288086e-06,-0.00011473894119262695,0.1992997080375,0.23289497565,0.233135074375,0.0016832351684570312,0.00832366943359375,0.01366424560546875,0.00011771917343139648,4.57763671875e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-3.0994415283203125e-06,5.7220458984375e-06,-2.7418136596679688e-06,100.125,0.031982421875,0.02783203125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0378523666875,0.34033203125,0.0,0.0,0.0,0.0,0.0,0.0381104650125,0.340576171875,0.006824493408203125,0.0001881122589111328,0.0006666183471679688,0.0268707275390625,0.036529541015625,0.0007839202880859375,0.00035953521728515625,0.01516916543359375,-0.0001804828643798828,0.0214996337890625,0.02288818359375,0.015961388140441894,0.01989172397585449,0.01776123046875,0.016448974609375,0.09806159701875,0.09693663196874999,0.0318603515625,0.013153076171875,0.0002906322479248047,0.00039381313740234375,0.0003626951325927734,0.0006666183471679688,0.0548095703125,0.047698974609375,0.0007464013455810547,0.0007031711438232422,-2.5928020477294922e-05,-0.0001842975616455078,0.2026136853,0.2327572106875,0.23311923812500002,0.0017862319946289062,0.0099029541015625,0.015380859375,7.706880569458008e-05,-2.562999725341797e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.1457672119140625e-06,9.5367431640625e-06,-2.5033950805664062e-06,100.1875,0.033203125,0.02880859375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0504685740875,0.2064208984375,0.0,0.0,0.0,0.0,0.0,0.050847849225,0.2066650390625,0.00746917724609375,0.00018835067749023438,0.000789642333984375,0.031768798828125,0.044036865234375,0.0009059906005859375,0.00020945072174072266,0.014739990234375,-0.00019824504852294922,0.0316162109375,0.0323486328125,0.015941405710424805,0.019762128553503417,0.0193023681640625,0.0183258056640625,0.1009280178875,0.10151642185625,0.032806396484375,0.01464080810546875,8.893013000488281e-05,0.00040241334067382813,0.0003461761872558594,0.0005893707275390625,0.0615234375,0.0562744140625,0.0004834804320312501,0.0006885206836914062,-6.377696990966797e-05,-0.00015020370483398438,0.2041101902375,0.2225534394625,0.222671382175,0.0019083023071289062,0.0159149169921875,0.0208740234375,0.00014352798461914062,-0.0001842975616455078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.9073486328125e-06,-3.814697265625e-06,-1.3113021850585938e-06,100.25,0.030029296875,0.0244140625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0813505211625,0.0709228515625,0.0,0.0,0.0,0.0,0.0,0.08178987375625,0.07110595703125,0.00804901123046875,0.00018858909606933594,0.001373291015625,0.035400390625,0.049774169921875,0.00098419189453125,3.8623809814453125e-05,0.01331329345703125,-0.00025773048400878906,0.046630859375,0.044525146484375,0.016025429573016357,0.01975994745463867,0.0197296142578125,0.0192718505859375,0.0951120145375,0.09759824909375,0.032073974609375,0.015716552734375,-0.00012040138244628906,0.0004354247056884765,0.0004972563243408203,0.0005979537963867188,0.06402587890625,0.0609130859375,0.00047853878007812507,0.0006297872454345703,-2.473592758178711e-05,-6.955862045288086e-05,0.20035458355,0.206719562375,0.2070815675125,0.0018100738525390625,0.022796630859375,0.0262908935546875,0.0005054473876953125,-0.0005421638488769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-1.430511474609375e-06,-9.5367431640625e-06,1.430511474609375e-06,100.3125,0.021484375,0.02294921875
