Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00702696106640625,0.08746337890625,0.0,0.0,0.0,0.0,0.0,0.00706234565546875,0.0875244140625,0.0016050338745117188,3.725290298461914e-05,0.00086212158203125,0.00848388671875,0.004047393798828125,0.0103302001953125,9.524822235107422e-05,0.0030050991236328125,-2.8133392333984375e-05,0.001995086669921875,0.002655029296875,0.016547670557922365,0.020438276261730958,0.002956390380859375,0.002681732177734375,0.030096473134375,0.033534796875,0.001094818115234375,0.0017566680908203125,4.4465065002441406e-05,0.0005387229926330566,1.4662742614746094e-05,6.639957427978516e-05,0.0211029052734375,0.019683837890625,0.0012652247041015626,0.0009217049489501953,9.715557098388672e-06,-2.4199485778808594e-05,0.08463540301875,0.089834973259375,0.08992135899375,5.6743621826171875e-05,0.003368377685546875,0.0041961669921875,3.4809112548828125e-05,0.0001977682113647461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,-2.384185791015625e-07,1.5497207641601562e-06,-4.76837158203125e-07,20.03125,0.003124237060546875,0.0016603469848632812
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.012092248065625,0.177734375,0.0,0.0,0.0,0.0,0.0,0.01214171964375,0.177978515625,0.0031490325927734375,7.450580596923828e-05,0.0014753341674804688,0.0159149169921875,0.0083770751953125,0.017425537109375,0.0001970529556274414,0.00572100362265625,-5.620718002319336e-05,0.0036525726318359375,0.005054473876953125,0.016383202778137207,0.020362675227282714,0.00589752197265625,0.00533294677734375,0.046713327968749996,0.049793265715625,0.002964019775390625,0.0035915374755859375,0.0001049041748046875,0.0006051591757019043,2.485513687133789e-05,0.00013375282287597656,0.039031982421875,0.03619384765625,0.001317375607421875,0.0008904327353759766,1.9431114196777344e-05,-4.4465065002441406e-05,0.1256255582125,0.13743029539375,0.13760852436249998,0.0001399517059326172,0.006439208984375,0.0081634521484375,6.866455078125e-05,0.00037479400634765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2649765014648438e-06,-3.5762786865234375e-07,4.589557647705078e-06,-8.940696716308594e-07,40.0625,0.00498199462890625,0.003711700439453125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.01717221718125,0.27099609375,0.0,0.0,0.0,0.0,0.0,0.0172513201375,0.271240234375,0.004642486572265625,0.00011169910430908203,0.00180816650390625,0.022308349609375,0.01322174072265625,0.0211639404296875,0.0002925395965576172,0.0084396448703125,-8.249282836914062e-05,0.00469970703125,0.006885528564453125,0.016186282052728273,0.02020353268710327,0.0088043212890625,0.0079345703125,0.0633603539375,0.065942801578125,0.005741119384765625,0.00553131103515625,0.00017380714416503906,0.0006404896060424805,3.4332275390625e-05,0.00020647048950195312,0.053436279296875,0.049224853515625,0.0013354628107666016,0.0007614168147583008,3.2067298889160156e-05,-6.371736526489258e-05,0.16722341631249998,0.1864876523875,0.1866054423,0.00025582313537597656,0.00923919677734375,0.0118865966796875,0.00010114908218383789,0.00048542022705078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.589557647705078e-06,-1.0132789611816406e-06,-2.2649765014648438e-06,-1.3709068298339844e-06,60.0625,0.00732421875,0.00732421875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.022323724496875,0.3671875,0.0,0.0,0.0,0.0,0.0,0.022402050653125,0.36767578125,0.006084442138671875,0.00014901161193847656,0.0019178390502929688,0.02783203125,0.018646240234375,0.0222015380859375,0.00043487548828125,0.0111355110125,-0.00010710954666137695,0.005046844482421875,0.0079498291015625,0.01614208707731323,0.020171485815222167,0.0116729736328125,0.01047515869140625,0.07988623620625,0.082064388275,0.00933837890625,0.007549285888671875,0.0002372264862060547,0.0006686938746398926,3.6597251892089844e-05,0.0002789497375488281,0.06463623046875,0.058990478515625,0.0013929416889160156,0.0007564478350219726,3.88026237487793e-05,-7.712841033935547e-05,0.2094435356375,0.23676191275,0.237002171575,0.0004048347473144531,0.01177215576171875,0.0153350830078125,0.0001251697540283203,0.0005617141723632812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.947185516357422e-06,-1.5497207641601562e-06,3.039836883544922e-06,-2.205371856689453e-06,80.125,0.0080108642578125,0.01171875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0275509260015625,0.46728515625,0.0,0.0,0.0,0.0,0.0,0.0276586635359375,0.467529296875,0.0075225830078125,0.0001863241195678711,0.0020427703857421875,0.0328369140625,0.0244903564453125,0.021697998046875,0.0005383491516113281,0.01388606378359375,-0.00013172626495361328,0.0047607421875,0.0081329345703125,0.0161030925704834,0.020151600248535156,0.0145111083984375,0.01297760009765625,0.09689711035625,0.09863958511875,0.01367950439453125,0.00963592529296875,0.00029921531677246094,0.0006785452104614258,3.9517879486083984e-05,0.00035452842712402344,0.073974609375,0.0667724609375,0.0014767091288085937,0.0007941495241210937,5.829334259033203e-05,-0.00011110305786132812,0.2524731606125,0.2884489447375,0.28856730465,0.0005841255187988281,0.01403045654296875,0.0184326171875,0.00017404556274414062,0.0006451606750488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-2.384185791015625e-06,3.814697265625e-06,-2.384185791015625e-06,100.0625,0.0126953125,0.01171875
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.02753828636875,0.4755859375,0.0,0.0,0.0,0.0,0.0,0.027644985103125,0.475830078125,0.007442474365234375,0.00018644332885742188,0.0018177032470703125,0.0311279296875,0.0254364013671875,0.016754150390625,0.0005412101745605469,0.01396035346875,-0.00013780593872070312,0.0039043426513671875,0.006587982177734375,0.016132179616931152,0.020114716188427733,0.01441192626953125,0.01282501220703125,0.09714256323750001,0.09903420875624999,0.01556396484375,0.009796142578125,0.0003101825714111328,0.0006488722809692383,4.4445209539794924e-05,0.00036716461181640625,0.068115234375,0.06072998046875,0.0013836833004272461,0.000742645733972168,8.273124694824219e-05,-8.666515350341797e-05,0.253865137725,0.2913666553375,0.29172882437500003,0.0006642341613769531,0.013336181640625,0.017669677734375,0.00016796588897705078,0.0005750656127929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.049041748046875e-05,-1.6689300537109375e-06,9.5367431640625e-06,-3.0994415283203125e-06,100.125,0.01171875,0.009765625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0274306137578125,0.484375,0.0,0.0,0.0,0.0,0.0,0.0275361241921875,0.484619140625,0.00739288330078125,0.0001863241195678711,0.0016384124755859375,0.0293121337890625,0.02630615234375,0.01148223876953125,0.0005621910095214844,0.014078162015625,-0.00013780593872070312,0.003345489501953125,0.005340576171875,0.01599583962512207,0.019881352767663573,0.01430511474609375,0.01263427734375,0.09690192905,0.09895079212499999,0.01739501953125,0.00992584228515625,0.0003325939178466797,0.0006471328776977539,5.7161723474121097e-05,0.0003783702850341797,0.062103271484375,0.054412841796875,0.0013194404004516602,0.0007000717022949219,9.244680404663086e-05,-7.200241088867188e-05,0.2549818493625,0.29391443725,0.294154394375,0.0007457733154296875,0.01259613037109375,0.01690673828125,0.0001728534698486328,0.0004968643188476562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-2.1457672119140625e-06,1.33514404296875e-05,-2.9802322387695312e-06,100.0625,0.013427734375,0.01318359375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0274430613921875,0.4931640625,0.0,0.0,0.0,0.0,0.0,0.0275324195375,0.49365234375,0.007354736328125,0.00018644332885742188,0.0014677047729492188,0.0273284912109375,0.0274658203125,0.005306243896484375,0.0005617141723632812,0.01433563232421875,-0.00014209747314453125,0.0027370452880859375,0.00435638427734375,0.01609274190350952,0.019936054906958007,0.01416015625,0.0124053955078125,0.09647245148125,0.09870880466875,0.0196533203125,0.0100555419921875,0.0003600120544433594,0.0006322488509277344,8.504823849487305e-05,0.00040149688720703125,0.0552978515625,0.047271728515625,0.001241532304284668,0.0006433403629516601,9.733438491821289e-05,-9.644031524658203e-05,0.257210776175,0.296405978525,0.29664599155,0.0008363723754882812,0.01194000244140625,0.016204833984375,0.000171661376953125,0.00040411949157714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-2.384185791015625e-06,-1.9073486328125e-06,-3.4570693969726562e-06,100.0625,0.01416015625,0.00927734375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0275938072953125,0.50146484375,0.0,0.0,0.0,0.0,0.0,0.02771272531875,0.501953125,0.007343292236328125,0.00018644332885742188,0.001346588134765625,0.0253448486328125,0.0283966064453125,0.0018491744995117188,0.0005574226379394531,0.014495849609375,-0.00014483928680419922,0.0019779205322265625,0.0034122467041015625,0.016260450687365723,0.020107323324389647,0.013916015625,0.0121002197265625,0.0960885770375,0.0987579170625,0.0220184326171875,0.0101165771484375,0.00040721893310546875,0.0006080397569580078,0.000125502154876709,0.00042629241943359375,0.0491943359375,0.041015625,0.00112930229173584,0.0006001041323364257,5.340576171875e-05,-0.00014531612396240234,0.260657317925,0.299004718625,0.29924465345,0.000926971435546875,0.0113067626953125,0.0155181884765625,0.00013136863708496094,0.00025582313537597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-2.86102294921875e-06,9.5367431640625e-06,-3.4570693969726562e-06,100.125,0.01416015625,0.01171875
