Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,-0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00904112122265625,0.08831787109375,0.0,0.0,0.0,0.0,0.0,0.009095579298046875,0.08843994140625,0.00189208984375,3.731250762939453e-05,0.0004253387451171875,0.00896453857421875,0.00847625732421875,0.0011730194091796875,0.00010192394256591797,0.003190111941015625,-3.314018249511719e-05,0.00495147705078125,0.00504302978515625,0.01655547876638794,0.020451389283581544,0.003536224365234375,0.003204345703125,0.030157508290625,0.03235224072265625,0.0036220550537109375,0.002532958984375,3.325939178466797e-05,0.0004912180907470703,-8.702278137207031e-06,2.8908252716064453e-05,0.016754150390625,0.01517486572265625,0.0007907121270446778,0.00042233723502197265,2.0682811737060547e-05,-1.2218952178955078e-05,0.091013576846875,0.096731945915625,0.09681833165,9.822845458984375e-05,0.0033321380615234375,0.004070281982421875,2.7120113372802734e-05,-8.940696716308594e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6093254089355469e-06,-2.980232238769531e-07,7.748603820800781e-07,-7.748603820800781e-07,20.03125,0.003223419189453125,0.0033206939697265625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01635707960859375,0.1815185546875,0.0,0.0,0.0,0.0,0.0,0.01645232755390625,0.1817626953125,0.003757476806640625,7.462501525878906e-05,0.0007810592651367188,0.0179290771484375,0.0171966552734375,0.002010345458984375,0.00020825862884521484,0.006140620321875,-6.341934204101562e-05,0.00917816162109375,0.00946044921875,0.01639452766064453,0.020381629504321288,0.00711822509765625,0.00641632080078125,0.046774363124999996,0.047229789153125,0.00766754150390625,0.005237579345703125,5.358457565307617e-05,0.000497692001171875,-2.4199485778808594e-05,6.628036499023438e-05,0.033294677734375,0.030059814453125,0.0008938250016479492,0.00047236575692138677,4.4345855712890625e-05,-3.516674041748047e-05,0.1368560269625,0.14939318601875,0.14951037983124998,0.00021588802337646484,0.006427764892578125,0.0079803466796875,4.6193599700927734e-05,-9.5367431640625e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5033950805664062e-06,-6.556510925292969e-07,7.748603820800781e-07,-1.3113021850585938e-06,40.0625,0.007129669189453125,0.00722503662109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0242065189390625,0.2783203125,0.0,0.0,0.0,0.0,0.0,0.0243313982625,0.278564453125,0.0057373046875,0.0001118779182434082,0.0011119842529296875,0.026947021484375,0.0262908935546875,0.0019512176513671875,0.0002758502960205078,0.00946961313203125,-0.00010025501251220703,0.0125732421875,0.0127716064453125,0.01620738209697876,0.020239116660034178,0.01065826416015625,0.0095367431640625,0.064428469171875,0.063196219546875,0.01103973388671875,0.00791168212890625,6.252527236938477e-05,0.0005243797580200195,-7.480382919311523e-05,6.282329559326172e-05,0.0501708984375,0.04486083984375,0.0010537712595581055,0.0005420717219848633,6.35385513305664e-05,-4.0650367736816406e-05,0.18065115068749998,0.20174644145,0.2018642313625,0.0002491474151611328,0.0095367431640625,0.0118255615234375,5.7220458984375e-05,-3.993511199951172e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.125999450683594e-06,-1.3113021850585938e-06,0.0,-2.205371856689453e-06,60.03125,0.0105438232421875,0.01113128662109375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.032272454965625,0.377685546875,0.0,0.0,0.0,0.0,0.0,0.032411816278125,0.3779296875,0.007610321044921875,0.00014913082122802734,0.0014276504516601562,0.03656005859375,0.036285400390625,0.00299072265625,0.00038123130798339844,0.012569837184375,-0.00013077259063720703,0.01424407958984375,0.0149993896484375,0.01616795549314575,0.020221076879675292,0.01422119140625,0.0126953125,0.082510747925,0.07956194686875,0.01486968994140625,0.01078033447265625,7.021427154541016e-05,0.0005264175875610351,-0.0001207590103149414,6.711483001708984e-05,0.0687255859375,0.061676025390625,0.0011027266735046386,0.0005517654848632812,7.68899917602539e-05,-4.786252975463867e-05,0.224946465325,0.254095897125,0.2542140856375,0.0003147125244140625,0.012451171875,0.01556396484375,7.236003875732422e-05,-4.398822784423828e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.947185516357422e-06,-1.6093254089355469e-06,-1.5497207641601562e-06,-2.384185791015625e-06,80.0625,0.0148468017578125,0.01328277587890625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.040688743384375003,0.479736328125,0.0,0.0,0.0,0.0,0.0,0.040857516075,0.47998046875,0.00943756103515625,0.00018644332885742188,0.0018472671508789062,0.048370361328125,0.04620361328125,0.00910186767578125,0.00048279762268066406,0.01554927179140625,-0.000164031982421875,0.0139617919921875,0.0155792236328125,0.016140762705981446,0.020205006010253906,0.0178070068359375,0.015869140625,0.10318373145,0.09943304215,0.0173797607421875,0.013519287109375,0.00011152029037475586,0.00056779978046875,-0.00017404556274414062,5.799531936645508e-05,0.09356689453125,0.08502197265625,0.0011932294382568358,0.0005745660127685546,0.00011444091796875,-6.711483001708984e-05,0.26944093405,0.307858124425,0.30809855465,0.00036144256591796875,0.01523590087890625,0.01922607421875,0.000125885009765625,0.00013005733489990234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.430511474609375e-06,5.7220458984375e-06,-2.7418136596679688e-06,100.0625,0.02001953125,0.01611328125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.041271196525,0.4873046875,0.0,0.0,0.0,0.0,0.0,0.04146944799375,0.487548828125,0.00949859619140625,0.0001863241195678711,0.00235748291015625,0.055694580078125,0.046417236328125,0.0266265869140625,0.0005021095275878906,0.01537179145703125,-0.0001710653305053711,0.00890350341796875,0.011322021484375,0.0161814726581604,0.020186718599316405,0.0180816650390625,0.016143798828125,0.11069236792500001,0.10855569313124999,0.01385498046875,0.0133514404296875,8.040666580200195e-05,0.0006162089356323243,-0.00020047027584228517,8.225440979003906e-06,0.11517333984375,0.106689453125,0.001203915691784668,0.0005784945422607422,0.00011688470840454102,-4.5180320739746094e-05,0.2703446299125,0.310287553775,0.31052765250000003,0.00025844573974609375,0.01490020751953125,0.018951416015625,0.00013399124145507812,0.00022459030151367188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.9073486328125e-06,0.0,-2.0265579223632812e-06,100.0625,0.01708984375,0.01123046875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.041728099109375,0.49462890625,0.0,0.0,0.0,0.0,0.0,0.041925162278125,0.4951171875,0.00982666015625,0.00018596649169921875,0.00405120849609375,0.06854248046875,0.045318603515625,0.05694580078125,0.00046443939208984375,0.01512338906640625,-0.00018167495727539062,0.0034027099609375,0.006534576416015625,0.016033569365264892,0.019953355178552245,0.0185699462890625,0.0166473388671875,0.12131599155,0.12165587024999999,0.0087127685546875,0.01300048828125,-3.516674041748047e-06,0.0006071977656982422,-0.00023287447800292968,-6.562471389770508e-05,0.148681640625,0.1405029296875,0.0012785516141357422,0.0006824287274414063,0.00010710954666137695,-7.933378219604492e-05,0.2720716931125,0.312957406,0.313197363125,7.599592208862305e-05,0.01471710205078125,0.0187225341796875,4.225969314575195e-05,4.6372413635253906e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-1.430511474609375e-06,-1.33514404296875e-05,-4.76837158203125e-07,100.125,0.01611328125,0.01123046875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.042045722525,0.50146484375,0.0,0.0,0.0,0.0,0.0,0.04224189219375,0.50146484375,0.010406494140625,0.00018584728240966797,0.006839752197265625,0.0831298828125,0.0421142578125,0.090087890625,0.00041937828063964844,0.014984130859375,-0.0001823902130126953,0.000713348388671875,0.002735137939453125,0.01614191573544922,0.019908636770361327,0.0190887451171875,0.0170745849609375,0.13138456085625,0.13417023045,0.00345611572265625,0.01251220703125,-8.195638656616211e-05,0.0006007775984863281,-0.000269420583984375,-0.0001455545425415039,0.1826171875,0.1741943359375,0.0015234622740722657,0.0012550032276367187,9.244680404663086e-05,-6.347894668579102e-05,0.2751551121125,0.315448947275,0.3156889603,-0.00012874603271484375,0.01485443115234375,0.0188140869140625,4.410743713378906e-06,-5.739927291870117e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-06,0.0,7.62939453125e-06,-3.5762786865234375e-07,100.0625,0.00927734375,0.01123046875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0422880211625,0.50634765625,0.0,0.0,0.0,0.0,0.0,0.042513750709375,0.5068359375,0.0111846923828125,0.00018548965454101562,0.0098114013671875,0.0963134765625,0.03875732421875,0.115966796875,0.00037670135498046875,0.0148162841796875,-0.00016736984252929688,0.00020325183868408203,0.001285552978515625,0.016617959346728516,0.0203135553953125,0.0194091796875,0.0172882080078125,0.13917939735,0.143801862375,0.0006284713745117188,0.01207733154296875,-0.00012350082397460938,0.0006355771028442382,-0.0002852334522705078,-0.00019288063049316406,0.2098388671875,0.2008056640625,0.0045812456892578126,0.004933481016796875,7.963180541992188e-05,-7.200241088867188e-05,0.2789678648,0.31682698425,0.317066919075,-0.00027942657470703125,0.01558685302734375,0.01971435546875,-3.0338764190673828e-05,-5.251169204711914e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-07,-7.152557373046875e-07,0.0,1.5497207641601562e-06,100.0625,0.008056640625,0.00634765625
