Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0036166217109375003,0.076416015625,0.0,0.0,0.0,0.0,0.0,0.0036577283458984373,0.0765380859375,0.001255035400390625,3.7550926208496094e-05,0.0002148151397705078,0.003505706787109375,0.004573822021484375,0.00010693073272705078,9.435415267944336e-05,0.002350878542578125,-1.537799835205078e-05,0.0142059326171875,0.0147857666015625,0.016542484953826906,0.020408354730053712,0.00417327880859375,0.00409698486328125,0.02485507909140625,0.02814081494140625,0.006015777587890625,0.0020999908447265625,0.00012433528900146484,0.0005040330893737793,0.0001811981201171875,0.00029349327087402344,0.00978851318359375,0.0087127685546875,0.0008359520524291993,0.000533023060369873,0.0007352828979492188,0.0007047653198242188,0.067087795596875,0.071188733025,0.071183566025,0.0002086162567138672,0.004222869873046875,0.00545501708984375,4.166364669799805e-05,0.00010460615158081055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-5.960464477539062e-07,0.0,-1.0728836059570312e-06,20.03125,0.00439453125,0.00527191162109375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.005195275409375,0.154541015625,0.0,0.0,0.0,0.0,0.0,0.0052600057765625,0.15478515625,0.00250244140625,7.516145706176758e-05,0.0003991127014160156,0.00705718994140625,0.00933837890625,0.00022852420806884766,0.0001842975616455078,0.004404933066015625,-3.170967102050781e-05,0.0278778076171875,0.029205322265625,0.016368480430877685,0.02029627565300293,0.0084228515625,0.00827789306640625,0.036749338710937496,0.039722464934375,0.01227569580078125,0.00428009033203125,0.00024580955505371094,0.0005285076025207519,0.0003750324249267578,0.0005998611450195312,0.020263671875,0.01812744140625,0.0009922918748168945,0.0006836046180053711,0.002132415771484375,0.0020656585693359375,0.09028620274375,0.100290402815625,0.10031604389375,0.0004277229309082031,0.00820159912109375,0.0106658935546875,8.96453857421875e-05,0.0002129077911376953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4570693969726562e-06,-1.0728836059570312e-06,-1.5497207641601562e-06,-2.2649765014648438e-06,40.0625,0.00917816162109375,0.00839996337890625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.006716131976171875,0.2335205078125,0.0,0.0,0.0,0.0,0.0,0.00680667902421875,0.2337646484375,0.00374603271484375,0.00011271238327026367,0.000568389892578125,0.01084136962890625,0.01436614990234375,0.0003478527069091797,0.0002765655517578125,0.0064865198703125,-4.953145980834961e-05,0.04071044921875,0.0428466796875,0.016175493612023927,0.02011442374316406,0.01273345947265625,0.0125274658203125,0.0492001976875,0.052026785953125,0.01861572265625,0.00653076171875,0.0003705024719238281,0.000532843617578125,0.0005640983581542969,0.0008955001831054688,0.031890869140625,0.0287628173828125,0.0011528341791748047,0.0008493336658020019,0.003955841064453125,0.00385284423828125,0.11442800615625,0.1313118711375,0.13136862589375,0.0006504058837890625,0.01198577880859375,0.01568603515625,0.0001494884490966797,0.0003314018249511719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2649765014648438e-06,-1.3113021850585938e-06,-1.1324882507324219e-06,-2.6226043701171875e-06,60.125,0.01611328125,0.0149383544921875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.008236047494921874,0.312255859375,0.0,0.0,0.0,0.0,0.0,0.008344891229296875,0.3125,0.004962921142578125,0.0001500844955444336,0.0007219314575195312,0.0150299072265625,0.0196990966796875,0.0004911422729492188,0.0003821849822998047,0.0085872932390625,-6.92605972290039e-05,0.052490234375,0.055572509765625,0.016112403964215087,0.020043872270758056,0.017120361328125,0.016876220703125,0.062277593628125,0.065005062103125,0.0249481201171875,0.008819580078125,0.00049591064453125,0.0005290401919311523,0.0007333755493164062,0.0011682510375976562,0.04498291015625,0.04083251953125,0.0012274791950195312,0.0009175591898498535,0.00585174560546875,0.005706787109375,0.1403517387625,0.1640080065,0.16418723016875,0.0008788108825683594,0.015625,0.0205535888671875,0.00019490718841552734,0.0004374980926513672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.589557647705078e-06,-2.682209014892578e-06,-9.179115295410156e-06,-3.516674041748047e-06,80.125,0.023040771484375,0.0207061767578125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0098507306890625,0.385009765625,0.0,0.0,0.0,0.0,0.0,0.0099889858015625,0.38525390625,0.00620269775390625,0.00018787384033203125,0.0008497238159179688,0.0196380615234375,0.0252685546875,0.0005979537963867188,0.00048279762268066406,0.01068171808046875,-9.506940841674805e-05,0.0638427734375,0.06781005859375,0.01607090606230469,0.019992336637695313,0.0216827392578125,0.0214080810546875,0.07590101660625,0.0785590187125,0.031768798828125,0.0111541748046875,0.0006122589111328125,0.0005034267641113281,0.0008745193481445312,0.00141143798828125,0.05877685546875,0.053558349609375,0.001271073104333496,0.0009797583879516602,0.00782012939453125,0.007640838623046875,0.16720704733125,0.1968962103625,0.1968924999625,0.0011243820190429688,0.0191802978515625,0.02545166015625,0.00023043155670166016,0.0005464553833007812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-2.6226043701171875e-06,7.62939453125e-06,-3.933906555175781e-06,100.1875,0.023681640625,0.02734375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.009868608634375,0.36279296875,0.0,0.0,0.0,0.0,0.0,0.01001345434140625,0.363037109375,0.00615692138671875,0.00018799304962158203,0.000698089599609375,0.0196533203125,0.02508544921875,0.00047850608825683594,0.0004925727844238281,0.01071786079296875,-0.000102996826171875,0.0640869140625,0.06768798828125,0.01609158885383911,0.019962068693157958,0.0218963623046875,0.0217437744140625,0.07529197730000001,0.07794656227187499,0.033721923828125,0.0111846923828125,0.0006422996520996094,0.0004792374619384766,0.0008443991470703125,0.001373291015625,0.05718994140625,0.052032470703125,0.001173100090435791,0.000908048623223877,0.00760650634765625,0.0074310302734375,0.16817177835,0.195053178775,0.1951712071875,0.0011892318725585938,0.0187530517578125,0.0251007080078125,0.0002486705780029297,0.0005211830139160156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.6689300537109375e-06,0.0,-4.410743713378906e-06,100.25,0.02783203125,0.025390625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.01199634862109375,0.308349609375,0.0,0.0,0.0,0.0,0.0,0.01217052360625,0.308837890625,0.006168365478515625,0.0001881122589111328,0.0005664825439453125,0.0184173583984375,0.0236358642578125,0.00026726722717285156,0.0004730224609375,0.01046945840234375,-0.00011217594146728516,0.0693359375,0.07183837890625,0.01593027451586914,0.01971469818087158,0.0219573974609375,0.02203369140625,0.070321118503125,0.07291929798437499,0.03717041015625,0.01110076904296875,0.0006737709045410156,0.0004462652248046875,0.0008688577760253907,0.001361846923828125,0.050628662109375,0.045745849609375,0.001149745976776123,0.0008948000767761231,0.00588226318359375,0.005756378173828125,0.16751847045625,0.1873470544375,0.18746494125000002,0.0012807846069335938,0.0191192626953125,0.025177001953125,0.00029730796813964844,0.00038814544677734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-2.2649765014648438e-06,1.52587890625e-05,-4.649162292480469e-06,100.25,0.03076171875,0.02587890625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0202103953765625,0.2215576171875,0.0,0.0,0.0,0.0,0.0,0.020421823834375,0.221923828125,0.0063323974609375,0.00018835067749023438,0.0006422996520996094,0.0166778564453125,0.02166748046875,0.00015735626220703125,0.0004487037658691406,0.0098724365234375,-0.00012624263763427734,0.0804443359375,0.0811767578125,0.01594378989621582,0.01964065428745117,0.0219268798828125,0.02239990234375,0.06156034210625,0.063888248028125,0.04022216796875,0.01111602783203125,0.000637054443359375,0.0003797635756591797,0.00103139118359375,0.0014209747314453125,0.042572021484375,0.038299560546875,0.001143244245050049,0.0008483803409790039,0.003696441650390625,0.0035686492919921875,0.16693978008125,0.1773874238375,0.17750536655,0.0013551712036132812,0.021209716796875,0.026580810546875,0.0004608631134033203,0.0001672506332397461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-2.2649765014648438e-06,-3.814697265625e-06,-4.291534423828125e-06,100.3125,0.025390625,0.03173828125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.03417034538125,0.11944580078125,0.0,0.0,0.0,0.0,0.0,0.034396074928125,0.11968994140625,0.006542205810546875,0.00018846988677978516,0.0009436607360839844,0.0150299072265625,0.0195770263671875,0.00020802021026611328,0.0004706382751464844,0.0089874267578125,-0.00013959407806396484,0.0926513671875,0.092041015625,0.016004746761279297,0.019650096094317625,0.0217742919921875,0.022735595703125,0.05037324500625,0.052279645578125,0.041748046875,0.01120758056640625,0.000576019287109375,0.00034124936694335934,0.0012733087993164062,0.0015382766723632812,0.036590576171875,0.03302001953125,0.0011155932234375,0.0007683084398925781,0.001308441162109375,0.0012264251708984375,0.16715145855,0.1688777655,0.1689956300125,0.0013895034790039062,0.0241241455078125,0.0283203125,0.0007710456848144531,-1.710653305053711e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-2.9802322387695312e-06,0.0,-3.4570693969726562e-06,100.3125,0.03076171875,0.02880859375
