Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,-0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0103915240546875,0.09246826171875,0.0,0.0,0.0,0.0,0.0,0.0104421674328125,0.09259033203125,0.0018367767333984375,3.707408905029297e-05,0.0008835792541503906,0.012420654296875,0.004283905029296875,0.0224151611328125,9.143352508544922e-05,0.003052782839453125,-4.267692565917969e-05,9.179115295410156e-06,0.00026416778564453125,0.017021050646728517,0.0213832483,0.0030612945556640625,0.002742767333984375,0.035131873524999996,0.0386770087890625,0.00010281801223754883,0.0017881393432617188,2.205371856689453e-06,0.0005321068770629883,-2.6524066925048828e-05,2.4497509002685547e-05,0.0338134765625,0.031494140625,0.001728710421875,0.0014059330831054687,3.4570693969726562e-06,-2.7239322662353516e-05,0.089914944034375,0.09786109630625,0.097886446884375,-4.696846008300781e-05,0.00395965576171875,0.004734039306640625,2.968311309814453e-05,-1.0967254638671875e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,-2.384185791015625e-07,0.0,1.1920928955078125e-07,20.03125,0.0025882720947265625,0.0008788108825683594
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0191265498234375,0.187744140625,0.0,0.0,0.0,0.0,0.0,0.0192065389796875,0.1878662109375,0.0037288665771484375,7.420778274536133e-05,0.0018672943115234375,0.025909423828125,0.00881195068359375,0.045867919921875,0.00018775463104248047,0.00579729756796875,-8.541345596313477e-05,2.2232532501220703e-05,0.0006718635559082031,0.01803484748486328,0.02329963449394531,0.006168365478515625,0.005504608154296875,0.058065867031249996,0.061573050871875,0.00020623207092285156,0.0036067962646484375,1.9073486328125e-06,0.0005880526426513672,-6.133317947387695e-05,3.975629806518555e-05,0.0694580078125,0.06475830078125,0.0030625996064453124,0.002705990215234375,-2.3245811462402344e-06,-4.786252975463867e-05,0.1361236050875,0.1527501196125,0.15292834858124998,-0.00011175870895385742,0.00787353515625,0.0094451904296875,6.42538070678711e-05,-1.806020736694336e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5033950805664062e-06,-3.5762786865234375e-07,6.079673767089844e-06,4.172325134277344e-07,40.0625,0.00498199462890625,0.003124237060546875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.02809751015,0.28466796875,0.0,0.0,0.0,0.0,0.0,0.028207130684375,0.28466796875,0.0055999755859375,0.0001112818717956543,0.0027618408203125,0.039306640625,0.0137939453125,0.06524658203125,0.0002925395965576172,0.0085617151828125,-0.00012314319610595703,4.941225051879883e-05,0.0012540817260742188,0.018744573011132814,0.024823667517578123,0.0092926025390625,0.008270263671875,0.08136572503125,0.08477214728125,0.0003285408020019531,0.00545501708984375,-6.556510925292969e-07,0.0006207008639770508,-9.98377799987793e-05,4.9054622650146484e-05,0.10302734375,0.095947265625,0.0037594645044921873,0.0033648284892578125,4.76837158203125e-06,-8.463859558105469e-05,0.18236013506249998,0.2080940977,0.208333957925,-0.00016999244689941406,0.01163482666015625,0.014007568359375,8.83340835571289e-05,-2.855062484741211e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.1324882507324219e-06,-4.589557647705078e-06,9.5367431640625e-07,60.0625,0.007030487060546875,0.00527191162109375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.03718578504375,0.3818359375,0.0,0.0,0.0,0.0,0.0,0.037355663934375,0.382080078125,0.007366180419921875,0.00014853477478027344,0.0033512115478515625,0.05108642578125,0.019287109375,0.07659912109375,0.0003921985626220703,0.011288098903125,-0.00015223026275634766,0.0001010894775390625,0.001983642578125,0.018000619506054687,0.02460142222421875,0.0124664306640625,0.01107025146484375,0.1038730526125,0.10702776718125,0.0007157325744628906,0.00733184814453125,8.463859558105469e-06,0.0006550444109863281,-0.00013756752014160156,6.020069122314453e-05,0.1307373046875,0.1214599609375,0.0029831936115234372,0.002558296246582031,-1.9788742065429688e-05,-0.00011622905731201172,0.2282423637625,0.262640819,0.262881077825,-0.0001971721649169922,0.01513671875,0.018310546875,9.930133819580078e-05,-4.786252975463867e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.987022399902344e-06,-6.556510925292969e-07,1.8298625946044922e-05,5.960464477539062e-07,80.125,0.01015472412109375,0.00820159912109375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.046242942603125003,0.47802734375,0.0,0.0,0.0,0.0,0.0,0.046442232871875,0.478515625,0.00907135009765625,0.0001857280731201172,0.0035552978515625,0.06085205078125,0.0254058837890625,0.079833984375,0.0004949569702148438,0.01388606378359375,-0.00018143653869628906,0.00041937828063964844,0.0030231475830078125,0.01661306991118164,0.0221266597578125,0.01568603515625,0.01393890380859375,0.12533949316875,0.127997495275,0.002651214599609375,0.0093231201171875,4.684925079345703e-05,0.0006816446519897461,-0.00016009807586669922,9.554624557495117e-05,0.15234375,0.1407470703125,0.0019139688028808593,0.0011818181337402344,7.033348083496094e-06,-0.00012576580047607422,0.272614762175,0.315182343175,0.3154227734,-0.00015223026275634766,0.018341064453125,0.02227783203125,0.00011670589447021484,-6.407499313354492e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.5497207641601562e-06,1.1444091796875e-05,1.1920928955078125e-07,100.1875,0.011962890625,0.01318359375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.04621504418125,0.477294921875,0.0,0.0,0.0,0.0,0.0,0.046382778071875,0.4775390625,0.00891876220703125,0.00018584728240966797,0.00290679931640625,0.0572509765625,0.02667236328125,0.0650634765625,0.0004608631134033203,0.01367806587109375,-0.00016987323760986328,0.0010824203491210938,0.004268646240234375,0.016205076097491455,0.020333584444042967,0.015777587890625,0.0140533447265625,0.12326561011250001,0.12576760719375,0.00466156005859375,0.00949859619140625,4.225969314575195e-05,0.0006719988831420899,-0.00013120967861328126,0.00013315677642822266,0.1414794921875,0.130126953125,0.0017266484264648438,0.0009527521068054199,2.1696090698242188e-05,-0.00013554096221923828,0.2692459971,0.310775835025,0.31101593375000003,-2.6881694793701172e-05,0.0176849365234375,0.0217437744140625,8.618831634521484e-05,-2.866983413696289e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-1.7881393432617188e-06,0.0,9.5367431640625e-07,100.1875,0.01416015625,0.01318359375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.046061595203125,0.474365234375,0.0,0.0,0.0,0.0,0.0,0.04622814079375,0.474609375,0.00872039794921875,0.00018584728240966797,0.0024700164794921875,0.05438232421875,0.0275726318359375,0.05535888671875,0.0004863739013671875,0.01344492226953125,-0.00016617774963378906,0.002964019775390625,0.0065155029296875,0.015970209627868652,0.019950613364892577,0.015899658203125,0.01422882080078125,0.12076667514375,0.12348692493749999,0.006500244140625,0.00963592529296875,6.270408630371094e-05,0.0006977968257568359,-8.505495895996093e-05,0.00017964839935302734,0.1337890625,0.12249755859375,0.0015834889768066406,0.0008688720562988281,-6.4373016357421875e-06,-0.0001404285430908203,0.2649916149875,0.304900765375,0.3051407225,0.00010973215103149414,0.017181396484375,0.0213470458984375,5.4776668548583984e-05,-5.555152893066406e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.6689300537109375e-06,-3.814697265625e-06,1.0728836059570312e-06,100.1875,0.015869140625,0.0146484375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.046287665884375,0.46875,0.0,0.0,0.0,0.0,0.0,0.04651435313125,0.469482421875,0.008544921875,0.00018596649169921875,0.0021514892578125,0.052734375,0.02801513671875,0.0509033203125,0.0005145072937011719,0.01325225830078125,-0.00016832351684570312,0.005725860595703125,0.00936126708984375,0.015979195055212402,0.019827455244177245,0.0160675048828125,0.01446533203125,0.11911649445,0.12214630466875,0.007720947265625,0.00972747802734375,8.618831634521484e-05,0.0006966218672851563,-3.749891116333008e-05,0.00021541118621826172,0.130126953125,0.118896484375,0.0014629039549804688,0.0007742321628784179,-3.695487976074219e-05,-0.00018680095672607422,0.261605307425,0.299335666025,0.299819819675,0.0002391338348388672,0.0170745849609375,0.0213623046875,5.0067901611328125e-06,-9.125471115112305e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-2.6226043701171875e-06,7.62939453125e-06,1.5497207641601562e-06,100.25,0.013916015625,0.017578125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.047567562178125,0.456298828125,0.0,0.0,0.0,0.0,0.0,0.047793291725,0.45654296875,0.0084228515625,0.0001862049102783203,0.0019216537475585938,0.05133056640625,0.0282440185546875,0.0477294921875,0.0005269050598144531,0.013092041015625,-0.0001780986785888672,0.00861358642578125,0.012359619140625,0.016077941265063476,0.019879633581347655,0.0161590576171875,0.0146484375,0.1172067411,0.12042539753125,0.00890350341796875,0.00982666015625,9.864568710327148e-05,0.00069077100390625,2.7392909576416015e-05,0.0002524852752685547,0.1265869140625,0.11553955078125,0.0013590185927001954,0.0006678746134460449,-8.696317672729492e-05,-0.000213623046875,0.2595586851125,0.294610187375,0.2948501222,0.0003662109375,0.0176544189453125,0.022064208984375,8.106231689453125e-06,-0.00013244152069091797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-2.384185791015625e-06,-7.62939453125e-06,1.0728836059570312e-06,100.25,0.01708984375,0.0166015625
