Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.007313063361328125,0.08526611328125,0.0,0.0,0.0,0.0,0.0,0.00735226264765625,0.0853271484375,0.0014667510986328125,3.731250762939453e-05,0.0006537437438964844,0.0079498291015625,0.00562286376953125,0.00580596923828125,0.000133514404296875,0.0027151821314453125,-2.6702880859375e-05,0.0015773773193359375,0.00252532958984375,0.016547372534698488,0.02044161412183838,0.00293731689453125,0.0027065277099609375,0.02888339940390625,0.03213098828125,0.0018291473388671875,0.00197601318359375,4.851818084716797e-05,0.0006007118231994629,2.1219253540039062e-05,5.137920379638672e-05,0.017333984375,0.016265869140625,0.0008583633988647461,0.0004986311803344726,7.748603820800781e-06,-2.2232532501220703e-05,0.08744302020625,0.091696545525,0.091721896103125,0.00012177228927612305,0.0029163360595703125,0.003749847412109375,3.3974647521972656e-05,0.00016951560974121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0728836059570312e-06,-1.7881393432617188e-07,3.5762786865234375e-07,-5.364418029785156e-07,20.03125,0.002002716064453125,0.00244140625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0124432002140625,0.174072265625,0.0,0.0,0.0,0.0,0.0,0.01251555997578125,0.1741943359375,0.00290679931640625,7.456541061401367e-05,0.00127410888671875,0.0159454345703125,0.01103973388671875,0.0115966796875,0.0002570152282714844,0.0051793166109375,-5.46574592590332e-05,0.0029296875,0.00472259521484375,0.016379507290161133,0.020358741320727538,0.00594329833984375,0.005451202392578125,0.044577097499999996,0.047229789153125,0.003963470458984375,0.004032135009765625,9.709596633911133e-05,0.0006663731458862304,4.374980926513672e-05,0.00012129545211791992,0.03564453125,0.03338623046875,0.0010362801026611327,0.0006198276480957032,9.655952453613281e-06,-5.227327346801758e-05,0.1309966519625,0.14060412351875,0.14072131733124998,0.0002789497375488281,0.00559234619140625,0.00733184814453125,0.0001577138900756836,0.0004439353942871094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-2.980232238769531e-07,3.039836883544922e-06,-8.344650268554688e-07,40.0625,0.004589080810546875,0.0048828125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0176757572203125,0.265869140625,0.0,0.0,0.0,0.0,0.0,0.017770118965625,0.26611328125,0.004459381103515625,0.00011181831359863281,0.0017833709716796875,0.024139404296875,0.0174102783203125,0.01617431640625,0.0003476142883300781,0.0079513636203125,-9.548664093017578e-05,0.0035381317138671875,0.00592803955078125,0.016182348146173097,0.020204903593933104,0.00916290283203125,0.008392333984375,0.06268896721875,0.0649357215,0.0055084228515625,0.0060272216796875,0.0001380443572998047,0.0008872528354125977,3.4689903259277344e-05,0.00014531612396240234,0.055084228515625,0.0513916015625,0.0012576191446899414,0.0007233294467468262,3.2067298889160156e-05,-6.079673767089844e-05,0.17344900224999998,0.1908821836375,0.19099997355,0.0003285408020019531,0.00820159912109375,0.0106658935546875,4.953145980834961e-05,0.00029587745666503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1324882507324219e-06,-1.0132789611816406e-06,-4.589557647705078e-06,-1.0728836059570312e-06,60.0625,0.0105438232421875,0.005859375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.022689935434375,0.35986328125,0.0,0.0,0.0,0.0,0.0,0.02279877916875,0.360107421875,0.0059661865234375,0.00014901161193847656,0.0022945404052734375,0.032928466796875,0.024169921875,0.021087646484375,0.0004668235778808594,0.0105404182390625,-0.0001361370086669922,0.003452301025390625,0.00666046142578125,0.016121106242352294,0.02015271035211792,0.0124053955078125,0.01136016845703125,0.08147315026875,0.08346819686875,0.007518768310546875,0.0081329345703125,0.00012934207916259766,0.0007976187212890625,1.8715858459472656e-05,0.0001666545867919922,0.0762939453125,0.0711669921875,0.0013915111774414062,0.0007915549707946777,3.88026237487793e-05,-6.151199340820312e-05,0.2175001762625,0.2420109361875,0.242373265325,0.0004222393035888672,0.01047515869140625,0.01377105712890625,4.0650367736816406e-05,0.0002148151397705078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-1.5497207641601562e-06,4.589557647705078e-06,-2.086162567138672e-06,80.125,0.0144500732421875,0.0105438232421875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.02796291330625,0.45556640625,0.0,0.0,0.0,0.0,0.0,0.02810116841875,0.456298828125,0.0074615478515625,0.0001863241195678711,0.0027751922607421875,0.042724609375,0.031402587890625,0.028045654296875,0.0005650520324707031,0.01312312433046875,-0.00017380714416503906,0.00290679931640625,0.0066680908203125,0.01607746257322998,0.020112141973693848,0.01568603515625,0.0143585205078125,0.101963028325,0.1041937843375,0.009368896484375,0.01023101806640625,0.00012350082397460938,0.000753051016430664,3.814697265625e-06,0.00018799304962158203,0.0992431640625,0.0928955078125,0.0015389363779541015,0.000868655330090332,5.340576171875e-05,-7.68899917602539e-05,0.2621167153,0.294674530675,0.2949149609,0.0005183219909667969,0.012420654296875,0.016571044921875,4.0411949157714844e-05,0.00020992755889892578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-3.0994415283203125e-06,-2.47955322265625e-05,-7.152557373046875e-07,100.125,0.014404296875,0.01171875
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.028240190665625,0.4619140625,0.0,0.0,0.0,0.0,0.0,0.0283621481890625,0.462158203125,0.0074462890625,0.0001863241195678711,0.0028076171875,0.045318603515625,0.03240966796875,0.0325927734375,0.0005574226379394531,0.0130906024921875,-0.00018107891082763672,0.0014867782592773438,0.004878997802734375,0.016192618726733398,0.02019053329658203,0.0158843994140625,0.01453399658203125,0.10599266089375001,0.10892190406874999,0.0088348388671875,0.01027679443359375,9.262561798095703e-05,0.0006878537186523438,-9.377784692382813e-06,0.00016617774963378906,0.10491943359375,0.098388671875,0.0014877530102050782,0.0008735971385437012,5.829334259033203e-05,-9.644031524658203e-05,0.2639969736625,0.297592241275,0.29783234000000003,0.0004930496215820312,0.01192474365234375,0.0161285400390625,2.8252601623535156e-05,0.00017702579498291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.2649765014648438e-06,3.814697265625e-06,-1.1920928955078125e-06,100.125,0.01318359375,0.01611328125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0287123520390625,0.4677734375,0.0,0.0,0.0,0.0,0.0,0.028863638840625,0.468017578125,0.00748443603515625,0.0001862049102783203,0.00307464599609375,0.048980712890625,0.0333251953125,0.04046630859375,0.0005598068237304688,0.013040564359375,-0.0001875162124633789,0.0005965232849121094,0.0032329559326171875,0.016345838099243164,0.020244821891503905,0.0160980224609375,0.0147247314453125,0.1100855228,0.11396544056249999,0.007801055908203125,0.01029205322265625,6.943941116333008e-05,0.0006870679896972656,-2.2045027221679693e-06,0.00014889240264892578,0.11273193359375,0.10601806640625,0.0015307984708251953,0.0008993896344238281,4.363059997558594e-05,-0.00012576580047607422,0.266822669675,0.300506234125,0.300502050625,0.0004391670227050781,0.01178741455078125,0.016082763671875,3.4928321838378906e-05,0.0001647472381591797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-2.86102294921875e-06,-9.5367431640625e-06,-5.960464477539062e-07,100.125,0.01904296875,0.01416015625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0295182567046875,0.4736328125,0.0,0.0,0.0,0.0,0.0,0.0296533912171875,0.474365234375,0.00760650634765625,0.0001862049102783203,0.0035572052001953125,0.0538330078125,0.034637451171875,0.0499267578125,0.0005550384521484375,0.01305389404296875,-0.00019216537475585938,0.00028133392333984375,0.0023174285888671875,0.019520783838476562,0.0223152339078125,0.016326904296875,0.014892578125,0.114477822575,0.11921661716875,0.00661468505859375,0.01031494140625,3.159046173095703e-05,0.0006633624755004883,1.0125200012207028e-05,0.0001285076141357422,0.12109375,0.11419677734375,0.0015263232970214845,0.000839558853552246,2.4080276489257812e-05,-0.00012576580047607422,0.27259163555,0.3039743379,0.304214350925,0.0003724098205566406,0.0120697021484375,0.016510009765625,4.106760025024414e-05,0.00014400482177734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-2.384185791015625e-06,1.9073486328125e-06,-3.5762786865234375e-07,100.125,0.015380859375,0.01416015625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0304319420609375,0.478759765625,0.0,0.0,0.0,0.0,0.0,0.0305813776625,0.47900390625,0.00791168212890625,0.00018584728240966797,0.004550933837890625,0.05999755859375,0.036590576171875,0.061004638671875,0.0005550384521484375,0.0129852294921875,-0.00019359588623046875,0.0001251697540283203,0.001922607421875,0.02503079732890625,0.027138048803515624,0.01641845703125,0.0149383544921875,0.1187936551625,0.12469785846875,0.00518035888671875,0.01026153564453125,-1.800060272216797e-05,0.0006669291459960937,1.4875934173583984e-05,8.696317672729492e-05,0.1300048828125,0.12298583984375,0.0014756052778808594,0.0008235023409545898,2.4080276489257812e-05,-0.0001404285430908203,0.2807989194875,0.308282062375,0.3085219972,0.0002841949462890625,0.0125579833984375,0.01708984375,2.3365020751953125e-05,0.00013303756713867188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-2.0265579223632812e-06,-5.7220458984375e-06,-1.5497207641601562e-06,100.125,0.019775390625,0.01318359375
