Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,-0.0,0.0005064599,-0.0,-0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00946836731640625,0.09039306640625,0.0,0.0,0.0,0.0,0.0,0.00951901069453125,0.0904541015625,0.002490997314453125,3.719329833984375e-05,0.0021610260009765625,0.017974853515625,0.0089569091796875,0.0144500732421875,7.456541061401367e-05,0.003083300417578125,-1.2040138244628906e-05,0.0019435882568359375,0.0027065277099609375,0.016548981860107424,0.02045466753904419,0.00464630126953125,0.00429534912109375,0.039862098134374996,0.043575080078125,0.0013866424560546875,0.00267791748046875,-6.496906280517578e-06,0.0005304975516540527,-3.594160079956055e-05,-1.5795230865478516e-05,0.03485107421875,0.03350830078125,0.0011610357850341797,0.000779607475805664,8.52346420288086e-06,-1.6629695892333984e-05,0.092508938175,0.09786109630625,0.097886446884375,1.9431114196777344e-05,0.0036220550537109375,0.00429534912109375,-6.198883056640625e-06,-2.4437904357910156e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6093254089355469e-06,-1.1920928955078125e-07,1.5497207641601562e-06,-1.7881393432617188e-07,20.03125,0.002246856689453125,0.0016603469848632812
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.017341271503125,0.1866455078125,0.0,0.0,0.0,0.0,0.0,0.017421260659375,0.1868896484375,0.005138397216796875,7.43865966796875e-05,0.004520416259765625,0.03802490234375,0.0176239013671875,0.0308837890625,0.00014281272888183594,0.005999476523046875,-2.2292137145996094e-05,0.003047943115234375,0.0043792724609375,0.016380639778411865,0.020389676131365966,0.0095367431640625,0.00876617431640625,0.068411326015625,0.07216265048125,0.0035305023193359375,0.005527496337890625,-4.112720489501953e-06,0.0005242160680969238,-7.939338684082031e-05,-2.09808349609375e-05,0.0732421875,0.0703125,0.0020707783173828124,0.0016426433524414064,4.0531158447265625e-06,-3.933906555175781e-05,0.1405181363375,0.1520176977375,0.15213489154999998,7.736682891845703e-05,0.00696563720703125,0.00836181640625,-9.238719940185547e-06,2.682209014892578e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-2.980232238769531e-07,0.0,-1.7881393432617188e-07,40.0625,0.0033206939697265625,0.0048828125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0257629154234375,0.287353515625,0.0,0.0,0.0,0.0,0.0,0.025887794746875,0.287353515625,0.00799560546875,0.00011152029037475586,0.00742340087890625,0.05810546875,0.026763916015625,0.0462646484375,0.0001825094223022461,0.00940857797578125,-4.2557716369628906e-05,0.0031890869140625,0.0047149658203125,0.01620714367839966,0.020266415587341307,0.0145721435546875,0.0133514404296875,0.099859377375,0.1041202918125,0.004467010498046875,0.0083160400390625,-2.682209014892578e-05,0.0007008095065551758,-0.00016033649444580078,-8.040666580200195e-05,0.11279296875,0.10809326171875,0.002788624050390625,0.0023081573466796875,-4.589557647705078e-06,-5.346536636352539e-05,0.18944021318749998,0.2065071836375,0.20662497355,6.210803985595703e-05,0.01056671142578125,0.01251220703125,-3.910064697265625e-05,2.0265579223632812e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.424022674560547e-06,-7.152557373046875e-07,2.2649765014648438e-06,-3.5762786865234375e-07,60.0625,0.0099639892578125,0.00527191162109375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.03498851941875,0.385009765625,0.0,0.0,0.0,0.0,0.0,0.035158398309375,0.38525390625,0.01102447509765625,0.00014865398406982422,0.01122283935546875,0.0843505859375,0.034942626953125,0.07122802734375,0.00018739700317382812,0.012569837184375,-6.532669067382812e-05,0.0014934539794921875,0.003631591796875,0.016242878531628417,0.020348273191625976,0.019989013671875,0.018280029296875,0.1343906307375,0.1400477867125,0.00479888916015625,0.01103973388671875,-3.4809112548828125e-05,0.0006627930148071289,-0.0002510547637939453,-0.0001437664031982422,0.163818359375,0.157958984375,0.004442315315625,0.003984039349609375,-1.3947486877441406e-05,-7.325410842895508e-05,0.2389845512625,0.260931834625,0.2612941637625,8.028745651245117e-05,0.01418304443359375,0.0168304443359375,-8.26120376586914e-05,5.424022674560547e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-1.6093254089355469e-06,0.0,2.980232238769531e-07,80.125,0.00722503662109375,0.0089874267578125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.045510520728125003,0.45654296875,0.0,0.0,0.0,0.0,0.0,0.045740328575,0.456787109375,0.01447296142578125,0.0001857280731201172,0.0163726806640625,0.1175537109375,0.042877197265625,0.10626220703125,0.0002613067626953125,0.01577815362734375,-7.432699203491211e-05,0.0009889602661132812,0.00325775146484375,0.016199234862506105,0.020313248045166016,0.0260162353515625,0.0236968994140625,0.1719093173875,0.1798773780875,0.003124237060546875,0.0138397216796875,-7.891654968261719e-05,0.0005611240602539062,-0.00037670135498046875,-0.00023889541625976562,0.2232666015625,0.2171630859375,0.007012788535546875,0.00681469548359375,-3.933906555175781e-05,-0.00013303756713867188,0.29092530905,0.313229218175,0.3134696484,0.00010728836059570312,0.018890380859375,0.022308349609375,-7.2479248046875e-05,0.00018680095672607422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-9.5367431640625e-07,-3.814697265625e-06,1.0728836059570312e-06,100.125,0.0166015625,0.01025390625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.04804609886875,0.40380859375,0.0,0.0,0.0,0.0,0.0,0.04830538549375,0.404052734375,0.0155181884765625,0.0001857280731201172,0.019378662109375,0.129150390625,0.042144775390625,0.1207275390625,0.0003345012664794922,0.01579140815625,-4.929304122924805e-05,0.0008769035339355469,0.0030364990234375,0.01608693969154663,0.02017205585670166,0.0272064208984375,0.0248565673828125,0.17538963355,0.186131376725,0.000858306884765625,0.01409912109375,-8.654594421386719e-05,0.0005457562455078125,-0.00042756397243652345,-0.0002887248992919922,0.2366943359375,0.2325439453125,0.008498689747265625,0.0084608511859375,-0.00012731552124023438,-0.0002429485321044922,0.2936600596,0.3076020069,0.30759796500000003,0.00015151500701904297,0.0205841064453125,0.0236358642578125,-9.691715240478516e-05,6.973743438720703e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-1.430511474609375e-06,-5.7220458984375e-06,1.0728836059570312e-06,100.1875,0.01416015625,0.01708984375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.05695637059375,0.35791015625,0.0,0.0,0.0,0.0,0.0,0.057244986496875,0.358154296875,0.016632080078125,0.0001857280731201172,0.0232086181640625,0.1383056640625,0.039764404296875,0.131591796875,0.0002512931823730469,0.01518442422265625,-2.7298927307128906e-05,0.0013523101806640625,0.003765106201171875,0.015874722986938476,0.019881829604821776,0.0283660888671875,0.0260772705078125,0.175271069675,0.189282823375,0.00043010711669921875,0.01453399658203125,-7.677078247070312e-05,0.0005390100520751953,-0.00041574152817382815,-0.0003037452697753906,0.2464599609375,0.243896484375,0.01000014165625,0.00987489546328125,-0.00015163421630859375,-0.0002574920654296875,0.292213294675,0.2983089685,0.298548925625,0.00016629695892333984,0.0216064453125,0.0239410400390625,-0.00011706352233886719,-9.763240814208984e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-9.5367431640625e-07,3.814697265625e-06,2.1457672119140625e-06,100.25,0.0224609375,0.0224609375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.069877753775,0.336181640625,0.0,0.0,0.0,0.0,0.0,0.07019599375625,0.336181640625,0.0178070068359375,0.00018584728240966797,0.02667236328125,0.145263671875,0.0357666015625,0.1390380859375,0.000217437744140625,0.0146026611328125,-8.404254913330078e-06,0.00383758544921875,0.005725860595703125,0.01587059539243164,0.019813984594458007,0.0293426513671875,0.027191162109375,0.1733157132,0.1899563632625,0.00025653839111328125,0.0145416259765625,-8.058547973632812e-05,0.0004958734236816406,-0.0003526286680908203,-0.0002856254577636719,0.257080078125,0.2548828125,0.013537374475,0.01293274523203125,-0.00018835067749023438,-0.00026988983154296875,0.2878504246125,0.28883761915,0.289077632175,0.0001251697540283203,0.022125244140625,0.023712158203125,-0.0001609325408935547,-0.00028204917907714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-5.960464477539062e-07,5.7220458984375e-06,3.2186508178710938e-06,100.3125,0.023681640625,0.0341796875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.07970257194375,0.31982421875,0.0,0.0,0.0,0.0,0.0,0.080019854225,0.320068359375,0.0193328857421875,0.00018584728240966797,0.029144287109375,0.150146484375,0.03216552734375,0.144775390625,0.0002105236053466797,0.01390838623046875,6.258487701416016e-06,0.006946563720703125,0.008056640625,0.015984958019213867,0.0198710505125,0.0299835205078125,0.027923583984375,0.1712838895375,0.1890899483125,0.00015652179718017578,0.01425933837890625,-9.840726852416992e-05,0.0004738100969238281,-0.0002413644337158203,-0.00023221969604492188,0.264892578125,0.263671875,0.0185716479109375,0.0176936433703125,-0.0002200603485107422,-0.00026988983154296875,0.286536224175,0.283379718625,0.28361965345,6.711483001708984e-05,0.0236663818359375,0.024688720703125,-0.00010418891906738281,-0.00034046173095703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1920928955078125e-05,-3.5762786865234375e-07,1.52587890625e-05,3.0994415283203125e-06,100.25,0.018798828125,0.0263671875
