Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.007442763068359375,0.0899658203125,0.0,0.0,0.0,0.0,0.0,0.00748959174921875,0.09014892578125,0.0015172958374023438,3.7550926208496094e-05,0.0001533031463623047,0.00510406494140625,0.00643157958984375,0.0001055002212524414,9.751319885253906e-05,0.003174853151953125,-2.4199485778808594e-05,0.0089874267578125,0.009063720703125,0.016552736952728273,0.020444415540142823,0.00403594970703125,0.003810882568359375,0.025030555165625,0.0277517158203125,0.00612640380859375,0.0028018951416015625,0.0001023411750793457,0.0004950327880126953,8.07046890258789e-05,0.0001857280731201172,0.0079193115234375,0.006580352783203125,0.0007625787347106934,0.00047264355521240233,2.9087066650390625e-05,-8.046627044677734e-06,0.07584634051875,0.081412121696875,0.081467989853125,0.0002865791320800781,0.00260162353515625,0.0037078857421875,-7.927417755126953e-06,3.3974647521972656e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6093254089355469e-06,-3.5762786865234375e-07,1.5497207641601562e-06,-7.748603820800781e-07,20.03125,0.003612518310546875,0.003612518310546875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0129619990421875,0.18408203125,0.0,0.0,0.0,0.0,0.0,0.0130419881984375,0.184326171875,0.003070831298828125,7.50422477722168e-05,0.0002980232238769531,0.01043701171875,0.01328277587890625,0.00019502639770507812,0.00019109249114990234,0.00613299092734375,-4.7326087951660156e-05,0.016387939453125,0.016510009765625,0.016387613521850586,0.020364820994494628,0.0080413818359375,0.00754547119140625,0.038107370937499996,0.039905570403125,0.0125732421875,0.005733489990234375,0.00018978118896484375,0.0004913739088256836,0.00014770030975341797,0.0003705024719238281,0.016815185546875,0.01401519775390625,0.0008331474732666016,0.0005465735396667481,4.971027374267578e-05,-2.2470951080322266e-05,0.1090239957125,0.12046252195625,0.1205186806125,0.0006012916564941406,0.004970550537109375,0.007171630859375,-1.990795135498047e-05,6.258487701416016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-4.76837158203125e-07,4.589557647705078e-06,-1.4901161193847656e-06,40.0625,0.00791168212890625,0.00722503662109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0188659427671875,0.28173828125,0.0,0.0,0.0,0.0,0.0,0.0189603045125,0.281982421875,0.0047149658203125,0.00011241436004638672,0.0004782676696777344,0.016815185546875,0.021575927734375,0.0003020763397216797,0.00021791458129882812,0.00956116586640625,-7.480382919311523e-05,0.021514892578125,0.0213623046875,0.01619718970272217,0.02021658610430908,0.01190948486328125,0.0110931396484375,0.055334230890625,0.05632976446875,0.018646240234375,0.00853729248046875,0.000255584716796875,0.0006201048175292969,0.00015807151794433594,0.0004782676696777344,0.02862548828125,0.0240020751953125,0.0009590594790100098,0.0006459030131835937,8.26120376586914e-05,-2.0503997802734375e-05,0.14409109209374998,0.16170737895,0.1618251688625,0.0008020401000976562,0.007411956787109375,0.010498046875,-4.458427429199219e-05,0.00012385845184326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6954879760742188e-06,-1.7285346984863281e-06,6.854534149169922e-06,-2.384185791015625e-06,60.0625,0.0143585205078125,0.0090789794921875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0252991883640625,0.381103515625,0.0,0.0,0.0,0.0,0.0,0.0254232908875,0.38134765625,0.00640869140625,0.00014984607696533203,0.0006961822509765625,0.025482177734375,0.032562255859375,0.0004458427429199219,0.00025916099548339844,0.0127376838640625,-9.85264778137207e-05,0.021820068359375,0.022308349609375,0.016140358542614745,0.0201919898130249,0.016021728515625,0.01486968994140625,0.07756690026875,0.078646419525,0.0247802734375,0.0116424560546875,0.00028443336486816406,0.00049053559140625,0.00018167495727539062,0.0005931854248046875,0.045379638671875,0.0394287109375,0.000982384895703125,0.0006206684542236328,8.225440979003906e-05,-4.7326087951660156e-05,0.1788038872,0.204047069,0.2041652575125,0.0010318756103515625,0.009735107421875,0.0137786865234375,-2.47955322265625e-05,0.0001862049102783203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-2.2649765014648438e-06,-3.039836883544922e-06,-2.086162567138672e-06,80.125,0.017974853515625,0.015625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.032754173071875003,0.481201171875,0.0,0.0,0.0,0.0,0.0,0.0329229457625,0.4814453125,0.008209228515625,0.00018727779388427734,0.001007080078125,0.038726806640625,0.048095703125,0.0006785392761230469,0.0003085136413574219,0.0158315593890625,-0.00011491775512695312,0.01776123046875,0.0193634033203125,0.01608693971174927,0.020157083875854492,0.0204925537109375,0.01898193359375,0.10751722754375,0.10950384293125,0.02972412109375,0.01493072509765625,0.0002963542938232422,0.0004752933717773437,0.0001723766326904297,0.0006690025329589844,0.07147216796875,0.06463623046875,0.0010064284815307616,0.0005745660127685546,0.00012177228927612305,-5.4955482482910156e-05,0.21377687155,0.24755539005,0.247795820275,0.0011987686157226562,0.0123138427734375,0.017425537109375,9.298324584960938e-06,0.00031185150146484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-2.0265579223632812e-06,1.9073486328125e-06,-2.7418136596679688e-06,100.125,0.034423828125,0.017578125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0350456105875,0.484619140625,0.0,0.0,0.0,0.0,0.0,0.035213344478125,0.485107421875,0.00853729248046875,0.00018703937530517578,0.001232147216796875,0.051239013671875,0.056488037109375,0.0023326873779296875,0.0004112720489501953,0.0158371845234375,-0.00012683868408203125,0.01031494140625,0.01303863525390625,0.016085032342913818,0.020077165262219237,0.0212249755859375,0.019683837890625,0.12271629370625001,0.12637795875625,0.0262451171875,0.01535797119140625,0.0002779960632324219,0.00044132890786132816,0.00011817615512695313,0.0005817413330078125,0.0963134765625,0.0902099609375,0.0009274693493164063,0.00046000050844726564,7.784366607666016e-05,-7.933378219604492e-05,0.2156571299125,0.2499848194,0.25034698843750003,0.0010690689086914062,0.012939453125,0.01824951171875,7.051229476928711e-05,0.00035881996154785156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-2.384185791015625e-06,-3.814697265625e-06,-1.9073486328125e-06,100.125,0.025146484375,0.0224609375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.03766926121875,0.484375,0.0,0.0,0.0,0.0,0.0,0.0378663243875,0.484619140625,0.00902557373046875,0.000186920166015625,0.0020294189453125,0.07330322265625,0.060272216796875,0.033111572265625,0.0006175041198730469,0.0158329227578125,-0.00015854835510253906,0.0045166015625,0.0079803466796875,0.01588890889239502,0.019785210475640868,0.02227783203125,0.02069091796875,0.13639167514375,0.1420416124375,0.0190582275390625,0.01528167724609375,0.00018978118896484375,0.0004763059657714844,6.812897811279297e-05,0.00047969818115234375,0.134521484375,0.12841796875,0.001076491868347168,0.0005279334881835938,2.288818359375e-05,-0.00012576580047607422,0.2190931774875,0.2510677575625,0.2513077146875,0.0008449554443359375,0.013641357421875,0.01910400390625,4.744529724121094e-05,0.00030422210693359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-1.6689300537109375e-06,3.814697265625e-06,-3.5762786865234375e-07,100.1875,0.022216796875,0.02294921875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.040794501821875,0.470703125,0.0,0.0,0.0,0.0,0.0,0.04102118906875,0.47119140625,0.009857177734375,0.00018656253814697266,0.005096435546875,0.096435546875,0.0592041015625,0.0692138671875,0.0006976127624511719,0.0159912109375,-0.00017893314361572266,0.001262664794921875,0.0038623809814453125,0.01609274190350952,0.020031899175756835,0.0236968994140625,0.02197265625,0.14646024445,0.1543118320125,0.01172637939453125,0.01507568359375,0.00010114908218383789,0.00047465417014160157,-2.682967974853516e-05,0.0003299713134765625,0.16943359375,0.163330078125,0.00139137838125,0.0008764541286682128,-4.851818084716797e-05,-0.0001989603042602539,0.22474007305,0.2498971894625,0.2502592728,0.000614166259765625,0.01482391357421875,0.0202484130859375,-5.7816505432128906e-05,0.00014770030975341797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-1.430511474609375e-06,1.33514404296875e-05,1.1920928955078125e-06,100.1875,0.021240234375,0.02099609375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.04698772819375,0.42822265625,0.0,0.0,0.0,0.0,0.0,0.047274492896875,0.428466796875,0.01129913330078125,0.0001863241195678711,0.009185791015625,0.11474609375,0.057037353515625,0.089599609375,0.0007562637329101562,0.0159912109375,-0.000171661376953125,0.0007891654968261719,0.0023174285888671875,0.01626474222178955,0.020261580145068358,0.0253143310546875,0.023529052734375,0.151630569225,0.1612579170625,0.00644683837890625,0.0150299072265625,4.589557647705078e-06,0.0005055197679443359,-9.223361248779297e-05,0.00020837783813476562,0.194091796875,0.1884765625,0.0028751223372070313,0.003163461485546875,-0.00011748075485229492,-0.00026988983154296875,0.233801849175,0.2471248358125,0.2473647706375,0.0004558563232421875,0.0171661376953125,0.0224151611328125,-0.0001380443572998047,6.836652755737305e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-07,-2.384185791015625e-06,-9.5367431640625e-06,3.0994415283203125e-06,100.25,0.01416015625,0.01806640625
