Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0031531359931640628,0.058441162109375,0.0,0.0,0.0,0.0,0.0,0.0031885205822265623,0.05853271484375,0.0007500648498535156,3.7670135498046875e-05,8.028745651245117e-05,0.0008711814880371094,0.0012731552124023438,3.1948089599609375e-05,0.00013756752014160156,0.0021124599634765625,-2.6524066925048828e-05,0.00803375244140625,0.00836181640625,0.016549637511199953,0.020429037541790773,0.002330780029296875,0.0022716522216796875,0.0174469370015625,0.020187171142578127,0.004894256591796875,0.0014162063598632812,0.0001571178436279297,0.0005574984557373047,0.0003440380096435547,0.0004017353057861328,0.0026187896728515625,0.0017824172973632812,0.0008213489144592286,0.0004972006688598633,4.655122756958008e-05,1.0251998901367188e-05,0.073191311221875,0.075583264275,0.075608614853125,0.0004093647003173828,0.0019969940185546875,0.00267791748046875,3.159046173095703e-05,2.8192996978759766e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.205371856689453e-06,-4.76837158203125e-07,3.4570693969726562e-06,-1.0132789611816406e-06,20.03125,0.00424957275390625,0.003711700439453125
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.004405633075390625,0.1221923828125,0.0,0.0,0.0,0.0,0.0,0.004462734048046875,0.12237548828125,0.0014400482177734375,7.539987564086914e-05,0.0001289844512939453,0.001514434814453125,0.0022716522216796875,5.9485435485839844e-05,0.0002770423889160156,0.0040101118990234375,-5.4717063903808594e-05,0.01493072509765625,0.01560211181640625,0.016388805614746094,0.020348846949694823,0.00461578369140625,0.00447845458984375,0.02143714388671875,0.02314379061796875,0.01013946533203125,0.00286865234375,0.0003216266632080078,0.0006534985426147461,0.0006818771362304688,0.0008034706115722656,0.0047760009765625,0.003009796142578125,0.0009676751565246582,0.0005961646041198731,0.00022602081298828125,0.00014793872833251953,0.1020659879,0.10801135008125,0.1080675087375,0.0008459091186523438,0.0037078857421875,0.00510406494140625,6.115436553955078e-05,5.429983139038086e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.635883331298828e-06,-7.748603820800781e-07,0.0,-2.205371856689453e-06,40.0625,0.0078125,0.007030487060546875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0056518314390625,0.1910400390625,0.0,0.0,0.0,0.0,0.0,0.005719490303515625,0.1912841796875,0.00209808349609375,0.00011301040649414062,0.0001552104949951172,0.00203704833984375,0.0030422210693359375,8.195638656616211e-05,0.0004093647003173828,0.006032570895703125,-8.559226989746094e-05,0.0205841064453125,0.0216064453125,0.01620350779506836,0.02018362473574829,0.00685882568359375,0.006610870361328125,0.025549074640625002,0.0261326209140625,0.01568603515625,0.00435638427734375,0.0004868507385253906,0.0007078428546386719,0.0009860992431640625,0.0011730194091796875,0.0065765380859375,0.0037689208984375,0.0011114089510559082,0.0006966265658874512,0.000461578369140625,0.0003604888916015625,0.13072439287499998,0.14126060160625,0.141439426675,0.0013036727905273438,0.005146026611328125,0.007282257080078125,8.612871170043945e-05,7.581710815429688e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.562999725341797e-06,-2.0265579223632812e-06,-2.2649765014648438e-06,-2.6226043701171875e-06,60.0625,0.0149383544921875,0.00820159912109375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.00687420057109375,0.26318359375,0.0,0.0,0.0,0.0,0.0,0.006960156121875,0.26318359375,0.002712249755859375,0.00015079975128173828,0.00017845630645751953,0.0025691986083984375,0.0037174224853515625,9.655952453613281e-05,0.0005464553833007812,0.0081295295671875,-0.00012421607971191406,0.0251007080078125,0.026458740234375,0.016154186820202636,0.020143173608953856,0.00907135009765625,0.0086822509765625,0.029867925659375003,0.02932238388046875,0.021484375,0.00585174560546875,0.000644683837890625,0.0007135761721557617,0.001224517822265625,0.0014781951904296875,0.0081634521484375,0.004199981689453125,0.0011961867565124511,0.0007280760241088867,0.0014553070068359375,0.00130462646484375,0.15860125048125,0.174506053375,0.1746242418875,0.00177764892578125,0.006328582763671875,0.00921630859375,0.0001099705696105957,9.28044319152832e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-1.3113021850585938e-06,6.079673767089844e-06,-4.589557647705078e-06,80.125,0.0166015625,0.01523590087890625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.008069267066015625,0.3349609375,0.0,0.0,0.0,0.0,0.0,0.008173189903125,0.335205078125,0.0032806396484375,0.00018846988677978516,0.00021183490753173828,0.003200531005859375,0.0045013427734375,0.00012636184692382812,0.0006799697875976562,0.01031550714296875,-0.00016558170318603516,0.02899169921875,0.030609130859375,0.01612621917265625,0.020120486623962403,0.0113067626953125,0.01074981689453125,0.034870132817187496,0.033240415196875,0.02752685546875,0.007335662841796875,0.000797271728515625,0.0006486236787841797,0.0013895034790039062,0.0017099380493164062,0.00972747802734375,0.00457763671875,0.001275960685205078,0.0007624398531005859,0.004505157470703125,0.004283905029296875,0.184235855925,0.205807343175,0.2059257030875,0.002288818359375,0.007305145263671875,0.01099395751953125,0.0001417398452758789,0.00012600421905517578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-2.1457672119140625e-06,5.7220458984375e-06,-5.602836608886719e-06,100.125,0.0205078125,0.02197265625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.007793413321875,0.333984375,0.0,0.0,0.0,0.0,0.0,0.007903926753515625,0.33447265625,0.0032329559326171875,0.00018858909606933594,0.0002200603485107422,0.0032405853271484375,0.004608154296875,0.00016582012176513672,0.0007104873657226562,0.01058053169140625,-0.00016307830810546875,0.0276031494140625,0.029144287109375,0.016151133893969726,0.02009909977149658,0.0113372802734375,0.0107421875,0.035893783940625,0.034428495865625,0.0281219482421875,0.007354736328125,0.000782012939453125,0.0005686444291015625,0.0012592474747070313,0.001590728759765625,0.0093536376953125,0.004085540771484375,0.0012204261783874512,0.000706644528527832,0.00833892822265625,0.00814056396484375,0.1800125986625,0.2011566944,0.2012747228125,0.002384185791015625,0.00698089599609375,0.010833740234375,0.00014913082122802734,0.0001614093780517578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-2.5033950805664062e-06,5.7220458984375e-06,-5.0067901611328125e-06,100.1875,0.026123046875,0.01904296875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.007914622546875,0.3046875,0.0,0.0,0.0,0.0,0.0,0.0080353917703125,0.30517578125,0.0032806396484375,0.00018858909606933594,0.00019443035125732422,0.003284454345703125,0.004474639892578125,0.00018417835235595703,0.0007390975952148438,0.010751746,-0.00015795230865478516,0.02789306640625,0.0292510986328125,0.016004720717193603,0.019872769698815917,0.01137542724609375,0.0107879638671875,0.036080395846875,0.0348638780625,0.028411865234375,0.007358551025390625,0.0008234977722167969,0.0006095819514892578,0.0012221941102539063,0.0015430450439453125,0.00815582275390625,0.0033550262451171875,0.0011946282742919922,0.0007082971432739258,0.0120391845703125,0.01184844970703125,0.173560950925,0.19332849975,0.19332431625000002,0.00252532958984375,0.0066680908203125,0.01035308837890625,0.0001569986343383789,0.00013518333435058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-2.7418136596679688e-06,3.814697265625e-06,-5.0067901611328125e-06,100.1875,0.0263671875,0.0234375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.01561749986875,0.24560546875,0.0,0.0,0.0,0.0,0.0,0.015783151959375,0.2459716796875,0.0032329559326171875,0.00018894672393798828,0.0003409385681152344,0.0038356781005859375,0.00499725341796875,0.000213623046875,0.0007562637329101562,0.01055908203125,-0.00017261505126953125,0.0345458984375,0.0352783203125,0.016016149934973144,0.0197902619458374,0.01119232177734375,0.0107421875,0.03372831085625,0.032882388653125,0.0278472900390625,0.0073089599609375,0.0007910728454589844,0.0005683526717285156,0.0012965126435546875,0.0015478134155273438,0.008392333984375,0.0040435791015625,0.001231757142541504,0.0007489001888488769,0.0137786865234375,0.013580322265625,0.1674890964875,0.18141574415,0.18141161655,0.002590179443359375,0.00882720947265625,0.012115478515625,0.0002315044403076172,-7.748603820800781e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-2.1457672119140625e-06,-1.1444091796875e-05,-4.410743713378906e-06,100.25,0.03466796875,0.029296875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.035085872725,0.1834716796875,0.0,0.0,0.0,0.0,0.0,0.035311602271875,0.1837158203125,0.0030269622802734375,0.00018894672393798828,0.0005955696105957031,0.0046539306640625,0.006626129150390625,0.0002372264862060547,0.0006976127624511719,0.01004791259765625,-0.00018167495727539062,0.04278564453125,0.042449951171875,0.01609045824046631,0.019805425798602293,0.010894775390625,0.01067352294921875,0.029926467662499998,0.02971952594921875,0.025970458984375,0.00717926025390625,0.000682830810546875,0.0006598957979125976,0.0014888391948242187,0.0016269683837890625,0.01027679443359375,0.006099700927734375,0.0011930792616455079,0.0006626890093505859,0.015960693359375,0.0158233642578125,0.1619024351125,0.16741292175,0.16740871595,0.0025539398193359375,0.01268768310546875,0.015716552734375,0.00034236907958984375,-0.00034046173095703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-2.384185791015625e-06,3.814697265625e-06,-3.6954879760742188e-06,100.375,0.02880859375,0.03564453125
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.06455949605,0.08642578125,0.0,0.0,0.0,0.0,0.0,0.0649366991875,0.086669921875,0.00255584716796875,0.0001895427703857422,0.0008287429809570312,0.004718780517578125,0.007701873779296875,0.0003540515899658203,0.0008625984191894531,0.00795745849609375,-0.000164031982421875,0.0528564453125,0.052337646484375,0.01642876488144531,0.020129276408428955,0.01055908203125,0.01073455810546875,0.022118985609375003,0.021949686064453126,0.0230712890625,0.0070037841796875,0.0007534027099609375,0.0005869237843017578,0.0020477704404296875,0.0020885467529296875,0.01080322265625,0.007015228271484375,0.000993832467163086,0.00040697810561523434,0.0305328369140625,0.0303955078125,0.14828192811250002,0.13710813973125,0.13722592594375,0.0026493072509765625,0.0179443359375,0.0206298828125,0.0008487701416015625,-0.00040411949157714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-2.384185791015625e-07,9.5367431640625e-06,-2.7418136596679688e-06,100.375,0.0166015625,0.0185546875
