Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0067294146796875,0.07275390625,0.0,0.0,0.0,0.0,0.0,0.00678768745234375,0.07281494140625,0.0011777877807617188,3.7610530853271484e-05,0.00013005733489990234,0.0037994384765625,0.004085540771484375,0.00017821788787841797,0.0001074075698852539,0.002907824343359375,-2.676248550415039e-05,0.004352569580078125,0.005222320556640625,0.016540577605194094,0.02043863388959961,0.0027713775634765625,0.002582550048828125,0.02290195409140625,0.0253560859375,0.00402069091796875,0.00165557861328125,0.00012421607971191406,0.0006262822158081055,0.00012230873107910156,0.0001995563507080078,0.006389617919921875,0.005184173583984375,0.0008430450051574708,0.0004995252500061035,1.8477439880371094e-05,-3.4928321838378906e-05,0.068369533878125,0.0709903687671875,0.0710157193453125,0.0003032684326171875,0.002567291259765625,0.0035953521728515625,2.3663043975830078e-05,7.641315460205078e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.344650268554688e-07,-2.384185791015625e-07,1.5497207641601562e-06,-8.344650268554688e-07,20.03125,0.002979278564453125,0.0035152435302734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01153530226484375,0.149169921875,0.0,0.0,0.0,0.0,0.0,0.0116381796046875,0.149169921875,0.002246856689453125,7.522106170654297e-05,0.00019609928131103516,0.007068634033203125,0.00795745849609375,0.0002911090850830078,0.00021970272064208984,0.005534083456640625,-5.0187110900878906e-05,0.0082550048828125,0.01003265380859375,0.016365798221862793,0.02035081390297241,0.00547027587890625,0.005069732666015625,0.031805491054687496,0.032886527434375,0.0087127685546875,0.0033931732177734375,0.0002446174621582031,0.0006990364912231445,0.0002493858337402344,0.0004215240478515625,0.01201629638671875,0.00946044921875,0.0009854969453125,0.0006086219748779297,3.892183303833008e-05,-7.37309455871582e-05,0.093002267196875,0.09934435789375,0.09946155170625,0.0006613731384277344,0.004810333251953125,0.00695037841796875,6.592273712158203e-05,0.0002281665802001953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-5.960464477539062e-07,1.5497207641601562e-06,-1.6093254089355469e-06,40.0625,0.006053924560546875,0.0068359375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0165160892515625,0.229248046875,0.0,0.0,0.0,0.0,0.0,0.01663333918046875,0.229736328125,0.003429412841796875,0.00011271238327026367,0.00029659271240234375,0.01030731201171875,0.01194000244140625,0.0003910064697265625,0.00029730796813964844,0.00846253305390625,-8.690357208251953e-05,0.0115966796875,0.01396942138671875,0.016173943891259767,0.020205380431091307,0.00814056396484375,0.007457733154296875,0.042211672296875,0.042017020328125,0.0133056640625,0.00506591796875,0.0003490447998046875,0.0007851500789123535,0.0003306865692138672,0.0005860328674316406,0.0182342529296875,0.01397705078125,0.001185378315222168,0.0007570060710449219,2.8371810913085938e-05,-0.00012636184692382812,0.119005642875,0.12954185160625,0.12953757120625,0.0009670257568359375,0.0069732666015625,0.01007843017578125,6.80088996887207e-05,0.0003216266632080078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.562999725341797e-06,-1.1324882507324219e-06,-1.1324882507324219e-06,-2.2649765014648438e-06,60.0625,0.00644683837890625,0.00937652587890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.021652337778125,0.311279296875,0.0,0.0,0.0,0.0,0.0,0.021791699090625,0.311767578125,0.00446319580078125,0.00015032291412353516,0.0003809928894042969,0.0138397216796875,0.0162506103515625,0.0005388259887695312,0.00037932395935058594,0.0110592170671875,-0.0001195073127746582,0.01275634765625,0.0163116455078125,0.016119258498364257,0.02016135302561035,0.0106964111328125,0.00975799560546875,0.0529697323,0.051699398040625,0.0181884765625,0.006763458251953125,0.0004634857177734375,0.0007052911265319824,0.0004239082336425781,0.000766754150390625,0.0255889892578125,0.019927978515625,0.0012699177020996093,0.0007984095049438476,4.661083221435547e-05,-0.00015473365783691406,0.1452345512625,0.1594914049375,0.15960959345,0.0013141632080078125,0.00890350341796875,0.01309967041015625,0.00011146068572998047,0.0004513263702392578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.947185516357422e-06,-1.3113021850585938e-06,3.039836883544922e-06,-3.159046173095703e-06,80.125,0.0115203857421875,0.0128936767578125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0269710920171875,0.395263671875,0.0,0.0,0.0,0.0,0.0,0.0271398647078125,0.39599609375,0.0054779052734375,0.00018799304962158203,0.0004911422729492188,0.0188751220703125,0.0219268798828125,0.0007958412170410156,0.0005207061767578125,0.01347407647890625,-0.00015270709991455078,0.0111846923828125,0.0160980224609375,0.01609391345518799,0.020152792341430664,0.0132598876953125,0.0120697021484375,0.066715225590625,0.0647650734,0.0225830078125,0.00850677490234375,0.0005474090576171875,0.0005961715913818359,0.0005035400390625,0.0009226799011230469,0.03680419921875,0.0299072265625,0.001323882819604492,0.0008234750093505859,3.8743019104003906e-05,-0.00020444393157958984,0.1714184731125,0.1895719916125,0.189690351525,0.00164031982421875,0.01080322265625,0.016143798828125,0.00016069412231445312,0.0006361007690429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-2.0265579223632812e-06,3.814697265625e-06,-4.291534423828125e-06,100.125,0.018798828125,0.0166015625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.027568803946875,0.4013671875,0.0,0.0,0.0,0.0,0.0,0.0277365378375,0.40185546875,0.0054931640625,0.00018787384033203125,0.000583648681640625,0.0229644775390625,0.02459716796875,0.00363922119140625,0.000507354736328125,0.01306771430859375,-0.0001595020294189453,0.00502777099609375,0.01061248779296875,0.016109887479785156,0.02009576191138916,0.013336181640625,0.01214599609375,0.07346092261250001,0.07220925758437499,0.02130126953125,0.00856781005859375,0.0005121231079101562,0.0005884331711669922,0.0004750887680419922,0.0008802413940429688,0.04705810546875,0.040557861328125,0.0012567254070556641,0.000742645733972168,1.3113021850585938e-05,-0.0002257823944091797,0.1717118174125,0.18992622565,0.1900442540625,0.0015859603881835938,0.01068115234375,0.0161285400390625,0.0001863241195678711,0.0006732940673828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-2.384185791015625e-06,1.1444091796875e-05,-3.5762786865234375e-06,100.125,0.0205078125,0.0185546875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.028910716296875,0.407470703125,0.0,0.0,0.0,0.0,0.0,0.029107779465625,0.40771484375,0.005565643310546875,0.0001876354217529297,0.0008459091186523438,0.031341552734375,0.0280303955078125,0.0192413330078125,0.0005049705505371094,0.012735388578125,-0.0001652240753173828,0.0006837844848632812,0.005626678466796875,0.01791534760546875,0.021760210380273436,0.0136260986328125,0.012420654296875,0.08268073764375,0.08271544056249999,0.0185699462890625,0.0085906982421875,0.00045108795166015625,0.0006224565547607422,0.00043684331069335935,0.0008020401000976562,0.06591796875,0.059600830078125,0.0012175164578857422,0.0007220062115722656,-8.52346420288086e-06,-0.00022459030151367188,0.17185196655,0.189666390375,0.18966220687500002,0.0014514923095703125,0.01084136962890625,0.0164794921875,0.00018727779388427734,0.0006756782531738281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-1.6689300537109375e-06,7.62939453125e-06,-2.7418136596679688e-06,100.1875,0.017578125,0.0185546875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.031334052603125,0.4140625,0.0,0.0,0.0,0.0,0.0,0.0315149634828125,0.414306640625,0.005908966064453125,0.0001875162124633789,0.00131988525390625,0.04437255859375,0.031890869140625,0.042144775390625,0.0005097389221191406,0.0124969482421875,-0.0001823902130126953,3.600120544433594e-05,0.0031833648681640625,0.02630903762265625,0.02913591261875,0.0139617919921875,0.0127716064453125,0.0936037991375,0.09541290623125,0.014556884765625,0.0085601806640625,0.00035190582275390625,0.0006105527602294922,0.0003924293916015625,0.0007033348083496094,0.091552734375,0.08502197265625,0.0012244853758789063,0.0007189786571716308,-6.622076034545898e-05,-0.00024962425231933594,0.1734705418,0.1900827363375,0.19020067905,0.0012569427490234375,0.01136016845703125,0.0172271728515625,0.0001761913299560547,0.000568389892578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.059906005859375e-06,-1.5497207641601562e-06,-1.9073486328125e-06,-2.0265579223632812e-06,100.1875,0.02392578125,0.01513671875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0342313805375,0.421630859375,0.0,0.0,0.0,0.0,0.0,0.03442659250625,0.421875,0.006439208984375,0.00018739700317382812,0.0022449493408203125,0.0596923828125,0.035491943359375,0.066162109375,0.0006012916564941406,0.0123443603515625,-0.00021219253540039062,-0.00025463104248046875,0.0015964508056640625,0.03634518941875,0.038273150121875,0.01447296142578125,0.0132598876953125,0.1048776395375,0.108645612375,0.0104522705078125,0.00852203369140625,0.0002434253692626953,0.0006181725465698242,0.0003601656413574219,0.0006151199340820312,0.1165771484375,0.10968017578125,0.0012924998091308594,0.0008165285975158691,-0.00012242794036865234,-0.00029659271240234375,0.176184661675,0.1909724920625,0.191090356575,0.0010280609130859375,0.0118865966796875,0.0178985595703125,0.0001341104507446289,0.00030994415283203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.1920928955078125e-06,-5.7220458984375e-06,2.384185791015625e-07,100.1875,0.021728515625,0.01806640625
