Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.009472182013671875,0.095947265625,0.0,0.0,0.0,0.0,0.0,0.0095266400890625,0.09600830078125,0.0016508102416992188,3.743171691894531e-05,0.0004405975341796875,0.00707244873046875,0.00646209716796875,0.0009613037109375,8.89897346496582e-05,0.003731798952734375,-2.8371810913085938e-05,0.006603240966796875,0.006561279296875,0.01656078357977295,0.020464204282208253,0.0036563873291015625,0.0032596588134765625,0.0284180063375,0.0306203681640625,0.00394439697265625,0.0024204254150390625,7.76052474975586e-05,0.0005607171065551758,1.0609626770019531e-05,8.177757263183594e-05,0.01277923583984375,0.0109405517578125,0.0008032887070922852,0.00045470255713500976,3.1948089599609375e-05,-1.4662742614746094e-05,0.082529690128125,0.08803443615,0.08809030430625,0.00017750263214111328,0.002620697021484375,0.003429412841796875,3.0279159545898438e-05,0.0001361370086669922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0265579223632812e-06,-4.172325134277344e-07,-7.748603820800781e-07,-5.960464477539062e-07,20.0,0.0016603469848632812,0.0017576217651367188
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0171886836125,0.193359375,0.0,0.0,0.0,0.0,0.0,0.01726867276875,0.193603515625,0.003253936767578125,7.480382919311523e-05,0.0007996559143066406,0.0136566162109375,0.0131988525390625,0.0010080337524414062,0.0001779794692993164,0.007128626913671875,-5.739927291870117e-05,0.0129241943359375,0.01291656494140625,0.01640668700817871,0.020402848757861327,0.00733184814453125,0.00652313232421875,0.043066477382812496,0.0437050088796875,0.00846099853515625,0.0049285888671875,0.00015819072723388672,0.0006636313322265625,1.6450881958007812e-05,0.00016427040100097656,0.024566650390625,0.0208740234375,0.000932389206817627,0.0005187381705566407,6.92605972290039e-05,-3.421306610107422e-05,0.12092585118125,0.1324864477375,0.13254260639374998,0.0003628730773925781,0.005069732666015625,0.006744384765625,6.014108657836914e-05,0.00027823448181152344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.635883331298828e-06,-7.152557373046875e-07,4.589557647705078e-06,-1.3709068298339844e-06,40.0,0.00429534912109375,0.002147674560546875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.02516782265,0.29248046875,0.0,0.0,0.0,0.0,0.0,0.025277443184375,0.292724609375,0.0048370361328125,0.00011223554611206055,0.00110626220703125,0.02001953125,0.0204315185546875,0.000720977783203125,0.0002627372741699219,0.01050721078828125,-8.541345596313477e-05,0.018768310546875,0.0188446044921875,0.016230866327020265,0.02027595233050537,0.011016845703125,0.00980377197265625,0.0577451195625,0.05681804571875,0.0134429931640625,0.007556915283203125,0.00023472309112548828,0.0007585664073425293,1.7940998077392578e-05,0.00024437904357910156,0.0360107421875,0.0303955078125,0.0010572879335998535,0.0006072792033691406,0.00010669231414794922,-5.638599395751953e-05,0.15983816240624998,0.177576519575,0.1776943094875,0.0005545616149902344,0.007366180419921875,0.0099334716796875,8.0108642578125e-05,0.0004050731658935547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-8.344650268554688e-07,0.0,-1.5497207641601562e-06,60.0,0.00791168212890625,0.0029296875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.033432122934375,0.3935546875,0.0,0.0,0.0,0.0,0.0,0.033602001825,0.39404296875,0.006389617919921875,0.00014960765838623047,0.00138092041015625,0.0264892578125,0.0284881591796875,0.0008497238159179688,0.00034427642822265625,0.01379816970390625,-0.0001163482666015625,0.024017333984375,0.024261474609375,0.016199486350231933,0.0202605351545166,0.01473236083984375,0.01308441162109375,0.072897710815625,0.070498226165625,0.0186767578125,0.0102996826171875,0.0003104209899902344,0.0008551968081420898,8.940696716308594e-06,0.00031304359436035156,0.04803466796875,0.04046630859375,0.0010921766513793945,0.0006102972460327148,0.00013649463653564453,-8.982419967651367e-05,0.199555840325,0.223822459625,0.22406271845,0.0007481575012207031,0.00954437255859375,0.0130157470703125,0.0001036524772644043,0.0005164146423339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.854534149169922e-06,-1.3113021850585938e-06,1.2218952178955078e-05,-3.516674041748047e-06,80.0,0.01132965087890625,0.005859375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.041939964087500003,0.496826171875,0.0,0.0,0.0,0.0,0.0,0.042169771934375,0.4970703125,0.00792694091796875,0.00018703937530517578,0.001667022705078125,0.033782958984375,0.03759765625,0.0010423660278320312,0.0004417896270751953,0.0170522625140625,-0.00014019012451171875,0.028594970703125,0.0290985107421875,0.016185168166339112,0.020271763212402344,0.018463134765625,0.016387939453125,0.0896339267625,0.08594427261875,0.02374267578125,0.01316070556640625,0.0003807544708251953,0.0009532034135864258,-1.6033649444580078e-05,0.0003654956817626953,0.062255859375,0.0528564453125,0.0011474530710693358,0.0006305943788574218,0.0001742839813232422,-6.836652755737305e-05,0.240388199675,0.271725311925,0.27196574215,0.0009303092956542969,0.01165771484375,0.0160064697265625,0.00019216537475585938,0.0006885528564453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.430511474609375e-06,3.814697265625e-06,-2.2649765014648438e-06,100.0,0.0166015625,0.00439453125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.04243086449375,0.501953125,0.0,0.0,0.0,0.0,0.0,0.042598598384375,0.5029296875,0.00788116455078125,0.00018703937530517578,0.00168609619140625,0.035552978515625,0.03985595703125,0.0010766983032226562,0.00043702125549316406,0.01701211128125,-0.00013959407806396484,0.026702880859375,0.0274200439453125,0.016217652677539062,0.020243223802563475,0.0185394287109375,0.01641845703125,0.09293113745625001,0.08969582984999999,0.0233154296875,0.013427734375,0.00035643577575683594,0.0009752673157592774,-4.877645488891601e-05,0.0003223419189453125,0.067626953125,0.05816650390625,0.001127919769696045,0.0005773024493652344,0.00019681453704833984,-4.029273986816406e-05,0.2425125986625,0.2754975147125,0.27573761343750003,0.0009026527404785156,0.01153564453125,0.01580810546875,0.00039196014404296875,0.0008335113525390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.9073486328125e-06,3.814697265625e-06,-2.5033950805664062e-06,100.0,0.014892578125,0.00927734375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.042826731921875,0.50830078125,0.0,0.0,0.0,0.0,0.0,0.043023795090625,0.5087890625,0.00794219970703125,0.000186920166015625,0.0018663406372070312,0.039306640625,0.04217529296875,0.0016231536865234375,0.00043702125549316406,0.01703836709375,-0.00014543533325195312,0.0235137939453125,0.0247039794921875,0.01606605389666748,0.020014747962670897,0.01873779296875,0.0165557861328125,0.0983667728,0.09602110462499999,0.021881103515625,0.013641357421875,0.0003228187561035156,0.0009706668895385742,-7.25379835571289e-05,0.00026988983154296875,0.07763671875,0.06829833984375,0.001121672189086914,0.0005236419537597656,0.00019252300262451172,-5.429983139038086e-05,0.2454603649875,0.27926599975,0.279505956875,0.0008482933044433594,0.01151275634765625,0.01568603515625,0.00054931640625,0.0009484291076660156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.9073486328125e-06,1.52587890625e-05,-2.86102294921875e-06,100.0,0.013671875,0.00439453125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.04344953111875,0.51513671875,0.0,0.0,0.0,0.0,0.0,0.0436457007875,0.515625,0.0081329345703125,0.00018680095672607422,0.00238800048828125,0.04608154296875,0.04437255859375,0.00958251953125,0.0004210472106933594,0.0171661376953125,-0.00015366077423095703,0.01812744140625,0.02008056640625,0.016108179506506348,0.019989460668676757,0.019012451171875,0.01678466796875,0.1070315335125,0.1059719882625,0.01910400390625,0.01377105712890625,0.0002620220184326172,0.000898145171270752,-0.00010121627642822265,0.00019931793212890625,0.09405517578125,0.08477783203125,0.001068798043725586,0.0004143393177246093,0.00017273426055908203,-7.68899917602539e-05,0.2507410496125,0.2838327363375,0.2840727493625,0.0007472038269042969,0.01165008544921875,0.0157470703125,0.0006046295166015625,0.000980377197265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76837158203125e-07,-2.0265579223632812e-06,-7.62939453125e-06,-5.960464477539062e-07,100.0,0.01318359375,0.00927734375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.044332698896875,0.52294921875,0.0,0.0,0.0,0.0,0.0,0.044527910865625,0.52294921875,0.0084991455078125,0.00018656253814697266,0.0036640167236328125,0.057037353515625,0.046844482421875,0.0268096923828125,0.00042057037353515625,0.017242431640625,-0.00015735626220703125,0.010772705078125,0.0135345458984375,0.01622546276088257,0.020041758215136717,0.0194854736328125,0.01715087890625,0.1180612332875,0.1187774483125,0.01525115966796875,0.01380157470703125,0.0001634359359741211,0.0008373984300537109,-0.00011905570263671875,0.00012874603271484375,0.11700439453125,0.1077880859375,0.0010460346029846192,0.0003484533220947265,0.00018465518951416016,-5.310773849487305e-05,0.257727630425,0.2881404608125,0.28850246595,0.0005817413330078125,0.0120391845703125,0.0161285400390625,0.0005640983581542969,0.0009584426879882812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.5497207641601562e-06,-1.9073486328125e-06,-1.5497207641601562e-06,100.0,0.013427734375,0.01220703125
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.04569963276875,0.52978515625,0.0,0.0,0.0,0.0,0.0,0.045924248015625,0.5302734375,0.0091705322265625,0.00018644332885742188,0.0055694580078125,0.07257080078125,0.047576904296875,0.051177978515625,0.0004112720489501953,0.016876220703125,-0.00016164779663085938,0.004119873046875,0.007781982421875,0.01655846458847656,0.020355714453930664,0.0202178955078125,0.0177459716796875,0.12987655396875,0.13219062234375,0.01168060302734375,0.01377105712890625,0.00010025501251220703,0.000756320184753418,-0.00011361318841552735,6.532669067382812e-05,0.14501953125,0.135986328125,0.0010969485026245118,0.00037955996901855465,0.00014162063598632812,-0.0001232624053955078,0.2647370062375,0.2925646827,0.292804539225,0.0004448890686035156,0.01262664794921875,0.0167999267578125,0.000858306884765625,0.0012083053588867188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-7.152557373046875e-07,3.814697265625e-06,1.1920928955078125e-07,100.0625,0.01025390625,0.00830078125
