Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,-0.0,0.0005064599,-0.0,-0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00757627747265625,0.1044921875,0.0,0.0,0.0,0.0,0.0,0.007615476758984375,0.1046142578125,0.003269195556640625,3.701448440551758e-05,0.00444793701171875,0.026458740234375,0.006439208984375,0.0287628173828125,4.3392181396484375e-05,0.0030928371607421875,-1.8358230590820312e-05,0.00531768798828125,0.00582122802734375,0.016547134116119386,0.020450376004620362,0.0050506591796875,0.004581451416015625,0.042532386220312496,0.046993048828125,3.9458274841308594e-05,0.002262115478515625,-3.74913215637207e-05,0.0004999203688842773,-8.32676887512207e-05,-5.9664249420166016e-05,0.05615234375,0.05419921875,0.0056502192109375,0.005336024941015625,2.193450927734375e-05,-1.049041748046875e-05,0.097971584659375,0.10713844005625,0.1071943082125,-0.00015473365783691406,0.00415802001953125,0.0047149658203125,-6.9141387939453125e-06,3.403425216674805e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,-2.384185791015625e-07,1.1324882507324219e-06,1.7881393432617188e-07,20.0,-0.0018558502197265625,-0.00244140625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.013373986346875,0.2109375,0.0,0.0,0.0,0.0,0.0,0.0134387167140625,0.2109375,0.00656890869140625,7.402896881103516e-05,0.0088043212890625,0.05291748046875,0.01345062255859375,0.05419921875,8.821487426757812e-05,0.006014735312109375,-3.898143768310547e-05,0.0118865966796875,0.01261138916015625,0.016379745708740234,0.020380377806781005,0.01043701171875,0.00946044921875,0.072561716640625,0.077625296965625,0.0001424551010131836,0.004772186279296875,-7.402896881103516e-05,0.0005158118131835937,-0.00017523765563964844,-0.0001195073127746582,0.11181640625,0.10791015625,0.00998055309765625,0.00969070090859375,4.088878631591797e-05,-3.075599670410156e-05,0.1517486050875,0.1705723852375,0.17081164936249998,-0.000301361083984375,0.008087158203125,0.0092010498046875,-1.4841556549072266e-05,6.455183029174805e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.086162567138672e-06,-2.980232238769531e-07,-7.748603820800781e-07,2.384185791015625e-07,40.0,-0.00429534912109375,-0.004100799560546875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.01930844765,0.317626953125,0.0,0.0,0.0,0.0,0.0,0.01938755060625,0.31787109375,0.0100250244140625,0.00011092424392700195,0.0135498046875,0.078125,0.02032470703125,0.0771484375,8.594989776611328e-05,0.00934754281953125,-5.817413330078125e-05,0.0199737548828125,0.0203399658203125,0.016178593053552247,0.02024114321795654,0.01611328125,0.0146026611328125,0.1043759789375,0.11040691290625,0.00016307830810546875,0.007320404052734375,-0.00012493133544921875,0.0005324859897094727,-0.0002837181091308594,-0.00021183490753173828,0.1668701171875,0.160888671875,0.013771137478125,0.013319281003906249,0.00010752677917480469,-1.0788440704345703e-05,0.20567556474999998,0.23397300395,0.2340907938625,-0.0005087852478027344,0.0123748779296875,0.0139312744140625,-1.6391277313232422e-05,0.00010800361633300781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.887580871582031e-06,-1.3113021850585938e-06,-1.1324882507324219e-06,4.172325134277344e-07,60.0,-0.00439453125,-0.006153106689453125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.025802728403125,0.42529296875,0.0,0.0,0.0,0.0,0.0,0.0259115721375,0.42578125,0.01351165771484375,0.0001480579376220703,0.01806640625,0.1031494140625,0.0281219482421875,0.0963134765625,0.00012218952178955078,0.0126461311296875,-8.481740951538086e-05,0.0285186767578125,0.028533935546875,0.01612480173032837,0.02022060004251709,0.02203369140625,0.019989013671875,0.1360996151125,0.1428554039,0.00031065940856933594,0.0101318359375,-0.0001837015151977539,0.0005124701006835937,-0.0004038810729980469,-0.000316619873046875,0.2200927734375,0.212158203125,0.01633654138984375,0.01583630375390625,8.690357208251953e-05,-4.976987838745117e-05,0.259614434075,0.29730878775,0.297549046575,-0.0006895065307617188,0.016448974609375,0.018524169921875,1.5497207641601562e-06,0.00013005733489990234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4570693969726562e-06,-1.2516975402832031e-06,-7.62939453125e-06,1.1920928955078125e-07,80.0,-0.00390625,-0.006641387939453125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.032815208228125003,0.533203125,0.0,0.0,0.0,0.0,0.0,0.032953463340625,0.5341796875,0.0170745849609375,0.00018513202667236328,0.0224761962890625,0.12890625,0.036773681640625,0.1141357421875,0.00014662742614746094,0.0160451824359375,-0.00011396408081054688,0.037200927734375,0.03680419921875,0.016085688014208985,0.02020262182446289,0.028228759765625,0.025665283203125,0.16861341895,0.176337339025,0.0006909370422363281,0.013153076171875,-0.00023639202117919922,0.0005039036012695312,-0.000522613525390625,-0.0004189014434814453,0.27294921875,0.26318359375,0.0179724137796875,0.017381406909375,0.00010406970977783203,-7.444620132446289e-05,0.31436280905,0.3603483588,0.3603446484,-0.0008454322814941406,0.020355224609375,0.0229644775390625,-2.9206275939941406e-06,0.00013148784637451172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-1.9073486328125e-06,5.7220458984375e-06,-1.1920928955078125e-07,100.0,-0.0029296875,-0.00830078125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.033794389884375,0.53515625,0.0,0.0,0.0,0.0,0.0,0.033931606196875,0.5361328125,0.017333984375,0.00018525123596191406,0.0225067138671875,0.130615234375,0.038421630859375,0.11077880859375,0.00016069412231445312,0.01627968940625,-0.00011944770812988281,0.037628173828125,0.037139892578125,0.016102913736346435,0.020168360368725585,0.028900146484375,0.02630615234375,0.1701406101125,0.178318876725,0.001369476318359375,0.0137176513671875,-0.00021219253540039062,0.0004902047165771485,-0.0005222161483398437,-0.0004189014434814453,0.272705078125,0.262939453125,0.01599456987421875,0.01545700597109375,0.0001150369644165039,-8.118152618408203e-05,0.31563271585,0.35984810065,0.36008819937500003,-0.0008058547973632812,0.0199432373046875,0.022674560546875,1.9073486328125e-05,0.00013947486877441406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.9073486328125e-06,-5.7220458984375e-06,-3.5762786865234375e-07,100.0,-0.00341796875,-0.00830078125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.034892161609375,0.53759765625,0.0,0.0,0.0,0.0,0.0,0.035028189621875,0.53759765625,0.0177001953125,0.00018525123596191406,0.02276611328125,0.1348876953125,0.039794921875,0.111083984375,0.0001569986343383789,0.0163517215859375,-0.00012683868408203125,0.03704833984375,0.036956787109375,0.01595679858279419,0.019950017318444823,0.0296478271484375,0.027008056640625,0.1712427493625,0.1801275499375,0.0018339157104492188,0.01428985595703125,-0.00020396709442138672,0.0005018167537353516,-0.0004987111937011718,-0.0003952980041503906,0.275390625,0.265869140625,0.01467696050390625,0.01422365034609375,0.00010955333709716797,-0.0001062154769897461,0.31735977905,0.358611702875,0.359095800625,-0.0007643699645996094,0.0196075439453125,0.0224609375,5.811452865600586e-05,0.0001825094223022461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.2649765014648438e-06,1.9073486328125e-06,-3.5762786865234375e-07,100.0,-0.005859375,-0.00244140625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.036399970571875,0.5390625,0.0,0.0,0.0,0.0,0.0,0.036535105084375,0.53955078125,0.0182037353515625,0.00018525123596191406,0.0234375,0.141845703125,0.04034423828125,0.114990234375,0.00018513202667236328,0.0164031982421875,-0.00014388561248779297,0.034759521484375,0.035369873046875,0.016000891145910644,0.019915908537023925,0.0303497314453125,0.027679443359375,0.1719729397625,0.181777652325,0.0017709732055664062,0.014678955078125,-0.00018930435180664062,0.0004937276564697266,-0.0004720763762207031,-0.00038123130798339844,0.2822265625,0.272705078125,0.01426979635,0.013932195915625,4.5180320739746094e-05,-0.00013971328735351562,0.320199057425,0.357929416025,0.358413569675,-0.0007390975952148438,0.0193023681640625,0.0223236083984375,3.129243850708008e-05,0.00015842914581298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.9073486328125e-06,3.814697265625e-06,3.5762786865234375e-07,100.0,-0.0068359375,-0.005859375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.038534359053125,0.54052734375,0.0,0.0,0.0,0.0,0.0,0.03869905344375,0.54052734375,0.018951416015625,0.00018525123596191406,0.024566650390625,0.1513671875,0.039642333984375,0.12200927734375,0.00023996829986572266,0.0164337158203125,-0.0001493692398071289,0.0306243896484375,0.032135009765625,0.01612043937678833,0.019990975057788084,0.0311737060546875,0.0284576416015625,0.1725045926625,0.183108503,0.0012073516845703125,0.014923095703125,-0.00017070770263671875,0.0004926451646728515,-0.0004504575275878906,-0.00036978721618652344,0.292724609375,0.283203125,0.01526812007890625,0.015084390440625,5.829334259033203e-05,-0.0001361370086669922,0.324133880425,0.357354328,0.3573501222,-0.0007252693176269531,0.019134521484375,0.0224151611328125,-3.9517879486083984e-05,8.362531661987305e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-1.9073486328125e-06,3.814697265625e-06,1.3113021850585938e-06,100.0,-0.005859375,-0.00048828125
