Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,-0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.008465101935546875,0.0927734375,0.0,0.0,0.0,0.0,0.0,0.008515745313671875,0.09283447265625,0.00225067138671875,3.719329833984375e-05,0.0017375946044921875,0.01485443115234375,0.00617218017578125,0.0143585205078125,9.167194366455078e-05,0.0031653164087890625,-2.7239322662353516e-05,0.0011377334594726562,0.0018110275268554688,0.016546240046447756,0.020445726842327882,0.0037174224853515625,0.0033779144287109375,0.033392371571874996,0.036861212890625,0.0003275871276855469,0.002147674560546875,-7.331371307373047e-06,0.0005245370871765137,-2.0563602447509766e-05,9.119510650634766e-06,0.03155517578125,0.030059814453125,0.001625713595703125,0.0012824322591308594,8.702278137207031e-06,-2.467632293701172e-05,0.09012856708125,0.0934055299,0.09346139805625,-9.417533874511719e-06,0.0038661956787109375,0.00460052490234375,-1.3709068298339844e-06,7.045269012451172e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.205371856689453e-06,5.960464477539063e-08,3.4570693969726562e-06,-2.980232238769531e-07,20.03125,0.001953125,0.0015621185302734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0148235713078125,0.1881103515625,0.0,0.0,0.0,0.0,0.0,0.0149035604640625,0.1883544921875,0.00443267822265625,7.432699203491211e-05,0.003261566162109375,0.0283203125,0.0122833251953125,0.0256805419921875,0.0001933574676513672,0.00611773213828125,-5.269050598144531e-05,0.002445220947265625,0.0037631988525390625,0.016377838360107422,0.02037060264503784,0.00749969482421875,0.006786346435546875,0.052816843593749996,0.05568315829375,0.0015115737915039062,0.00443267822265625,-3.337860107421875e-06,0.0005528859022338867,-3.933906555175781e-05,4.416704177856445e-05,0.059967041015625,0.056884765625,0.002069824643066406,0.001705585857324219,2.086162567138672e-05,-4.3451786041259766e-05,0.13581842930625,0.1429844946125,0.14304065326874998,3.534555435180664e-05,0.007495880126953125,0.00904083251953125,2.9325485229492188e-05,0.0002703666687011719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-2.384185791015625e-07,-1.5497207641601562e-06,-1.1920928955078125e-07,40.0625,0.003612518310546875,0.00390625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.021353125384375,0.285888671875,0.0,0.0,0.0,0.0,0.0,0.02146274591875,0.286376953125,0.006618499755859375,0.00011152029037475586,0.004665374755859375,0.039215087890625,0.0190277099609375,0.0321044921875,0.00026726722717285156,0.00936280160859375,-8.52346420288086e-05,0.003814697265625,0.005340576171875,0.016179785146447755,0.020226838103210448,0.01125335693359375,0.010162353515625,0.07324804925,0.075677909,0.0023708343505859375,0.006679534912109375,-8.344650268554688e-07,0.000605322865625,-7.87973403930664e-05,5.054473876953125e-05,0.0831298828125,0.0784912109375,0.0016270487330078125,0.0012362274150390625,4.83393669128418e-05,-5.0187110900878906e-05,0.18040701006249998,0.1923470273875,0.1925868876125,3.7550926208496094e-05,0.01103973388671875,0.0133209228515625,2.5331974029541016e-05,0.0002884864807128906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.159046173095703e-06,-5.960464477539062e-07,5.7220458984375e-06,-1.3709068298339844e-06,60.03125,0.00644683837890625,0.00439453125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0279237000828125,0.38525390625,0.0,0.0,0.0,0.0,0.0,0.0280630613953125,0.385498046875,0.0086212158203125,0.00014853477478027344,0.0057525634765625,0.048919677734375,0.0259552001953125,0.03656005859375,0.0003638267517089844,0.01237910232109375,-0.000118255615234375,0.00492095947265625,0.007030487060546875,0.01613111982267456,0.02020712939279785,0.0149383544921875,0.01346588134765625,0.092764654175,0.09482073593125,0.00441741943359375,0.0090179443359375,1.895427703857422e-05,0.0006345404131835937,-0.00011044740676879883,7.396936416625977e-05,0.10400390625,0.0977783203125,0.0015157272571533203,0.0009223871660766601,6.371736526489258e-05,-6.54458999633789e-05,0.2255568168875,0.242377147125,0.2424953356375,9.644031524658203e-05,0.01425933837890625,0.017333984375,5.8710575103759766e-05,0.0004119873046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.682209014892578e-06,-1.430511474609375e-06,-4.589557647705078e-06,-8.344650268554688e-07,80.0625,0.01113128662109375,0.01132965087890625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.034615745337500003,0.48681640625,0.0,0.0,0.0,0.0,0.0,0.034784518028125,0.4873046875,0.01055908203125,0.00018584728240966797,0.0066375732421875,0.058502197265625,0.033294677734375,0.04119873046875,0.00044989585876464844,0.01538905450625,-0.00014913082122802734,0.0053558349609375,0.008148193359375,0.01608264817732544,0.02017782629223633,0.01861572265625,0.0167694091796875,0.113193497075,0.11511907730625,0.0068359375,0.01140594482421875,3.248453140258789e-05,0.0006620943285034179,-0.0001405477523803711,9.816884994506836e-05,0.12445068359375,0.1168212890625,0.0016390721811767577,0.0009406577409790039,8.940696716308594e-05,-7.68899917602539e-05,0.271149918425,0.293209686925,0.293694257775,0.00016629695892333984,0.01715087890625,0.0211181640625,8.195638656616211e-05,0.0005249977111816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.049041748046875e-05,-1.0728836059570312e-06,9.5367431640625e-06,-2.2649765014648438e-06,100.0625,0.019775390625,0.01025390625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.034709917228125,0.492431640625,0.0,0.0,0.0,0.0,0.0,0.03487765111875,0.492919921875,0.01039886474609375,0.00018584728240966797,0.006298065185546875,0.0572509765625,0.0340576171875,0.039581298828125,0.00046825408935546875,0.01535653266796875,-0.00014698505401611328,0.0038356781005859375,0.006763458251953125,0.016120914339068603,0.020163472787854003,0.01861572265625,0.0167694091796875,0.11465965308125001,0.11728372047499999,0.007701873779296875,0.0115203857421875,3.129243850708008e-05,0.000661031628503418,-0.000137885398828125,0.00010180473327636719,0.1221923828125,0.11444091796875,0.0015628548626220704,0.0008659677440124512,9.888410568237305e-05,-7.992982864379883e-05,0.2722977549125,0.29539497565,0.29563507437500003,0.00019943714141845703,0.016448974609375,0.0204925537109375,6.788969039916992e-05,0.00043702125549316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-1.6689300537109375e-06,5.7220458984375e-06,-1.6689300537109375e-06,100.0625,0.0166015625,0.01123046875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0349226791875,0.4990234375,0.0,0.0,0.0,0.0,0.0,0.0350587072,0.499267578125,0.010345458984375,0.00018584728240966797,0.006221771240234375,0.0572509765625,0.034942626953125,0.040069580078125,0.00044798851013183594,0.01529123574609375,-0.0001518726348876953,0.002208709716796875,0.004848480224609375,0.016059020548583984,0.020047888145166014,0.0186767578125,0.01678466796875,0.11686042514375,0.12025206165624999,0.00803375244140625,0.01161956787109375,2.4557113647460938e-05,0.0006635837596557617,-0.00013333472122802734,9.340047836303711e-05,0.1226806640625,0.11492919921875,0.0015226922391357422,0.0008514675000244141,9.036064147949219e-05,-6.222724914550781e-05,0.27439102905,0.29782068725,0.298304785,0.00020802021026611328,0.0158843994140625,0.0200042724609375,3.069639205932617e-05,0.00026988983154296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-1.6689300537109375e-06,5.7220458984375e-06,-1.1920928955078125e-06,100.0625,0.017822265625,0.01220703125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.03527082018125,0.505859375,0.0,0.0,0.0,0.0,0.0,0.035436472271875,0.50634765625,0.0103912353515625,0.0001857280731201172,0.006359100341796875,0.058746337890625,0.036407470703125,0.042816162109375,0.0004417896270751953,0.01526641845703125,-0.0001595020294189453,0.0009307861328125,0.0028076171875,0.017740273889746094,0.02108690138828125,0.0187835693359375,0.0168609619140625,0.1199709866375,0.12422149998125,0.00800323486328125,0.01171112060546875,4.76837158203125e-07,0.0006428584776977539,-0.0001250581343383789,7.492303848266602e-05,0.1253662109375,0.11767578125,0.00144478414296875,0.0008050477642272949,7.599592208862305e-05,-8.302927017211914e-05,0.2790613621125,0.301777072275,0.3020170853,0.00020432472229003906,0.01558685302734375,0.0197906494140625,1.4185905456542969e-05,0.00018680095672607422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-1.7881393432617188e-06,5.7220458984375e-06,-1.6689300537109375e-06,100.0625,0.018798828125,0.01171875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0359403649125,0.5126953125,0.0,0.0,0.0,0.0,0.0,0.036074541725,0.51318359375,0.0106048583984375,0.0001857280731201172,0.0068817138671875,0.06304931640625,0.038330078125,0.051361083984375,0.00041937828063964844,0.015106201171875,-0.00016164779663085938,0.000591278076171875,0.0019445419311523438,0.021326726283984375,0.024109179174609374,0.01898193359375,0.0170440673828125,0.12471406531875,0.1304961983125,0.007236480712890625,0.01172637939453125,-3.1888484954833984e-05,0.0006355771028442382,-0.00011476416821289063,4.106760025024414e-05,0.1334228515625,0.1258544921875,0.0013227789686767579,0.000756089487713623,5.829334259033203e-05,-0.00011599063873291016,0.2856817319875,0.30608479675,0.3065688722,0.00016880035400390625,0.01568603515625,0.0200347900390625,1.1146068572998047e-05,0.0001379251480102539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-1.7881393432617188e-06,-3.814697265625e-06,-1.430511474609375e-06,100.0625,0.0126953125,0.0146484375
