Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,-0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00800352356640625,0.0953369140625,0.0,0.0,0.0,0.0,0.0,0.00803890815546875,0.0953369140625,0.0018100738525390625,3.719329833984375e-05,0.0009813308715820312,0.00948333740234375,0.00421142578125,0.00811004638671875,0.00010603666305541992,0.0032530544458984375,-3.0934810638427734e-05,0.0022125244140625,0.002460479736328125,0.016547193720764162,0.020444653958721925,0.003124237060546875,0.0028018951416015625,0.030157508290625,0.03335169140625,0.0014963150024414062,0.002002716064453125,3.9696693420410156e-05,0.0005220932967407227,-3.874301910400391e-06,5.066394805908203e-05,0.0220184326171875,0.020416259765625,0.0011569826691894532,0.0006905581365112305,9.715557098388672e-06,-2.0265579223632812e-05,0.088602688175,0.091604992790625,0.091660860946875,7.69495964050293e-05,0.0035495758056640625,0.004383087158203125,2.282857894897461e-05,0.00014293193817138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,-1.1920928955078125e-07,1.5497207641601562e-06,-4.76837158203125e-07,20.03125,0.0008788108825683594,0.0017576217651367188
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01395382033125,0.193115234375,0.0,0.0,0.0,0.0,0.0,0.01401092130390625,0.1932373046875,0.003582000732421875,7.43865966796875e-05,0.0018262863159179688,0.0185699462890625,0.00832366943359375,0.0155487060546875,0.00021076202392578125,0.00623980245078125,-6.192922592163086e-05,0.004016876220703125,0.004558563232421875,0.016384871708190918,0.02037113908684082,0.006336212158203125,0.00565338134765625,0.046926951015624996,0.049427054778125,0.0035552978515625,0.00411224365234375,8.946657180786133e-05,0.0005533627393920898,-1.055002212524414e-05,0.00011807680130004883,0.04327392578125,0.03997802734375,0.0014232334565429687,0.0008355964621826172,1.9431114196777344e-05,-4.0531158447265625e-05,0.13337702305625,0.13962756101875,0.13974475483124998,0.0001895427703857422,0.006816864013671875,0.008544921875,8.159875869750977e-05,0.0003521442413330078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,0.0,0.0,-7.152557373046875e-07,40.0625,0.004100799560546875,0.00449371337890625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.020040869525,0.293212890625,0.0,0.0,0.0,0.0,0.0,0.02011997248125,0.293212890625,0.005474090576171875,0.00011152029037475586,0.00258636474609375,0.02703857421875,0.0128631591796875,0.020599365234375,0.00029158592224121094,0.00951538949921875,-9.971857070922852e-05,0.0052642822265625,0.005767822265625,0.01618902386638794,0.02022576521960449,0.009674072265625,0.00861358642578125,0.06537451409375,0.067132987125,0.0054931640625,0.006221771240234375,0.00013148784637451172,0.0006009717265563965,-3.838539123535156e-05,0.00015544891357421875,0.06292724609375,0.0576171875,0.0013743250391601563,0.0006838115672607422,4.673004150390625e-05,-4.32133674621582e-05,0.17759939287499998,0.1879524961375,0.18807028605,0.00023806095123291016,0.0098724365234375,0.01241302490234375,4.51207160949707e-05,0.00026726722717285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-5.960464477539062e-07,2.2649765014648438e-06,-1.0728836059570312e-06,60.03125,0.0035152435302734375,0.00732421875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.02601635145,0.394287109375,0.0,0.0,0.0,0.0,0.0,0.026125195184375,0.394775390625,0.007183074951171875,0.00014865398406982422,0.002979278564453125,0.034576416015625,0.017913818359375,0.0235595703125,0.0003681182861328125,0.0125850959734375,-0.0001347064971923828,0.00528717041015625,0.006107330322265625,0.016134815310650634,0.020197115812475585,0.01287841796875,0.01145172119140625,0.08306006433125,0.0841395835875,0.00850677490234375,0.00844573974609375,0.00017178058624267578,0.0006228579028076172,-5.710124969482422e-05,0.00021266937255859375,0.07965087890625,0.07257080078125,0.00147448084296875,0.0006812267733154296,6.42538070678711e-05,-5.173683166503906e-05,0.222993340325,0.23676191275,0.237002171575,0.0003418922424316406,0.01265716552734375,0.016082763671875,6.020069122314453e-05,0.0003101825714111328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.364418029785156e-06,-1.2516975402832031e-06,6.079673767089844e-06,-2.384185791015625e-06,80.0625,0.0089874267578125,0.009765625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.032006492407812503,0.496826171875,0.0,0.0,0.0,0.0,0.0,0.03212948873125,0.49755859375,0.0088348388671875,0.00018596649169921875,0.0031032562255859375,0.0416259765625,0.0234375,0.02545166015625,0.0005140304565429688,0.01556453058046875,-0.00016832351684570312,0.004451751708984375,0.005645751953125,0.016107682128131105,0.020174726850708008,0.0160675048828125,0.01427459716796875,0.100986465825,0.10144720230625,0.01189422607421875,0.01070404052734375,0.00021708011627197266,0.0006499349809692383,-7.230043411254883e-05,0.00027251243591308594,0.09454345703125,0.08575439453125,0.0015732686533447265,0.0007356177629516601,8.273124694824219e-05,-6.711483001708984e-05,0.2688305824875,0.2862516791125,0.28661417965,0.00046253204345703125,0.01507568359375,0.0194091796875,7.277727127075195e-05,0.0003478527069091797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-1.6689300537109375e-06,1.9073486328125e-06,-2.5033950805664062e-06,100.0625,0.012939453125,0.00927734375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0318870412515625,0.50146484375,0.0,0.0,0.0,0.0,0.0,0.0319937399859375,0.50146484375,0.00872802734375,0.00018596649169921875,0.0026302337646484375,0.0404052734375,0.0246124267578125,0.0221710205078125,0.0005345344543457031,0.01547860298046875,-0.0001671314239501953,0.00337982177734375,0.004497528076171875,0.016157213567736816,0.020194347993847655,0.0160675048828125,0.01427459716796875,0.10129295386250001,0.10214700172499999,0.01297760009765625,0.0108489990234375,0.0002162456512451172,0.0006451767929931641,-6.737310405883789e-05,0.00027942657470703125,0.0904541015625,0.081787109375,0.0015034886364257813,0.0007340626651245117,0.00011444091796875,-5.251169204711914e-05,0.2698563486625,0.287826616275,0.28806671500000003,0.0005016326904296875,0.0142974853515625,0.0186920166015625,5.811452865600586e-05,0.0002624988555908203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.58306884765625e-06,-1.1920928955078125e-06,3.814697265625e-06,-2.2649765014648438e-06,100.0625,0.015625,0.01220703125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0317641098515625,0.50634765625,0.0,0.0,0.0,0.0,0.0,0.0319001378640625,0.50634765625,0.008636474609375,0.00018596649169921875,0.002376556396484375,0.03936767578125,0.0259246826171875,0.0195159912109375,0.0005292892456054688,0.01539804726953125,-0.00017130374908447266,0.0025577545166015625,0.0037994384765625,0.016091087847473144,0.02011273799868164,0.0160675048828125,0.01425933837890625,0.1016626712375,0.10291807728124999,0.01390838623046875,0.01096343994140625,0.0002168416976928711,0.0006557159465454102,-5.2689636846923825e-05,0.0002837181091308594,0.08697509765625,0.07843017578125,0.0014680943845214844,0.0007617029049926758,8.755922317504883e-05,-9.1552734375e-05,0.271217200925,0.289519906,0.2896377928125,0.0005469322204589844,0.0135650634765625,0.01800537109375,4.595518112182617e-05,0.00017702579498291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-2.1457672119140625e-06,-3.814697265625e-06,-2.2649765014648438e-06,100.125,0.015625,0.01025390625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0318070750640625,0.51171875,0.0,0.0,0.0,0.0,0.0,0.0319269507875,0.51220703125,0.00858306884765625,0.00018596649169921875,0.0021514892578125,0.03857421875,0.0279083251953125,0.016510009765625,0.0005249977111816406,0.0154571533203125,-0.00017070770263671875,0.0014963150024414062,0.0028667449951171875,0.016324305948461914,0.020385950765722655,0.0160369873046875,0.01419830322265625,0.10233182648125,0.10420196873125,0.01513671875,0.01113128662109375,0.0002142190933227539,0.0006428584776977539,-2.772374942016602e-05,0.00029850006103515625,0.083251953125,0.074951171875,0.0013415488982177735,0.0007095015186523437,9.489059448242188e-05,-8.422136306762695e-05,0.2744226902375,0.292499728525,0.29273974155,0.0005979537963867188,0.01300811767578125,0.0174713134765625,4.3511390686035156e-05,0.0001379251480102539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-2.5033950805664062e-06,-1.1444091796875e-05,-2.0265579223632812e-06,100.0625,0.01123046875,0.013671875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.032125667646875,0.517578125,0.0,0.0,0.0,0.0,0.0,0.032259844459375,0.51806640625,0.008575439453125,0.00018596649169921875,0.0020294189453125,0.038543701171875,0.030181884765625,0.0157928466796875,0.0005645751953125,0.01544189453125,-0.0001780986785888672,0.0007929801940917969,0.0019006729125976562,0.017821019496875,0.02171927133769531,0.015899658203125,0.01403045654296875,0.103779006725,0.10644834675,0.0161895751953125,0.0111846923828125,0.00022745132446289062,0.0006397494279785156,6.054446746826171e-06,0.00030422210693359375,0.0814208984375,0.07330322265625,0.0012178747938720704,0.0006456420809448242,8.028745651245117e-05,-9.1552734375e-05,0.27945614605,0.296807453,0.29729152845,0.0006422996520996094,0.01282501220703125,0.0173492431640625,5.5670738220214844e-05,0.00013065338134765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-3.0994415283203125e-06,0.0,-1.6689300537109375e-06,100.0625,0.009521484375,0.0126953125
