Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00742368958203125,0.07476806640625,0.0,0.0,0.0,0.0,0.0,0.007462888868359375,0.0748291015625,0.0008301734924316406,3.7550926208496094e-05,0.00035071372985839844,0.0037136077880859375,0.00295257568359375,0.0032196044921875,0.00010758638381958008,0.002143931215917969,-2.092123031616211e-05,0.005340576171875,0.006519317626953125,0.016556611254638674,0.020426832169934083,0.0027294158935546875,0.0026226043701171875,0.0255646127828125,0.02898004833984375,0.0025539398193359375,0.0014286041259765625,8.71419906616211e-05,0.000542597294543457,0.00010538101196289062,0.0001976490020751953,0.01169586181640625,0.01085662841796875,0.000879403838470459,0.0005579974065307617,0.0030994415283203125,0.003063201904296875,0.0620066188390625,0.065909192009375,0.065904025009375,0.0001577138900756836,0.00293731689453125,0.00415802001953125,2.8789043426513672e-05,6.282329559326172e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3113021850585938e-06,-2.384185791015625e-07,1.1324882507324219e-06,-5.364418029785156e-07,20.03125,0.0030269622802734375,0.0030269622802734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01300014601484375,0.1517333984375,0.0,0.0,0.0,0.0,0.0,0.0130725057765625,0.15185546875,0.0016155242919921875,7.50422477722168e-05,0.000583648681640625,0.007404327392578125,0.00641632080078125,0.006366729736328125,0.0002162456512451172,0.0040101118990234375,-4.0471553802490234e-05,0.007659912109375,0.0102691650390625,0.01639518331173706,0.020332515277026366,0.005382537841796875,0.005138397216796875,0.038351511562499996,0.0414619668875,0.00555419921875,0.002918243408203125,0.00017309188842773438,0.0006051591757019043,0.0002073049545288086,0.0003972053527832031,0.023101806640625,0.021331787109375,0.0010446247529296874,0.0006881941756530762,0.006072998046875,0.00600433349609375,0.07978815586875,0.0885411352375,0.0885362587375,0.0003409385681152344,0.00560760498046875,0.0080413818359375,6.014108657836914e-05,0.0001245737075805664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2649765014648438e-06,-5.960464477539062e-07,-7.748603820800781e-07,-1.3113021850585938e-06,40.0625,0.00644683837890625,0.007617950439453125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0186828372984375,0.2308349609375,0.0,0.0,0.0,0.0,0.0,0.0187619402546875,0.23095703125,0.00237274169921875,0.00011259317398071289,0.000782012939453125,0.01171112060546875,0.01030731201171875,0.0111846923828125,0.0003180503845214844,0.005910500583203125,-6.765127182006836e-05,0.006359100341796875,0.01053619384765625,0.016207084073754884,0.020174087992584227,0.0079498291015625,0.00756072998046875,0.052404543390625,0.0552921668125,0.00849151611328125,0.00441741943359375,0.0002541542053222656,0.0006456156054931641,0.0003077983856201172,0.0005955696105957031,0.03631591796875,0.0335693359375,0.001211008312475586,0.0008207234363098144,0.0091400146484375,0.00902557373046875,0.097490750296875,0.11184165629375001,0.11183737589375001,0.000537872314453125,0.00809478759765625,0.01172637939453125,9.262561798095703e-05,0.00017762184143066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,1.1324882507324219e-06,-1.6689300537109375e-06,60.125,0.00966644287109375,0.00966644287109375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.024520990121875,0.31201171875,0.0,0.0,0.0,0.0,0.0,0.02462983385625,0.312255859375,0.0031108856201171875,0.0001500844955444336,0.0010652542114257812,0.0177459716796875,0.01434326171875,0.020904541015625,0.0004482269287109375,0.007790021510546875,-9.85264778137207e-05,0.002227783203125,0.007732391357421875,0.016169087981396484,0.020124040517980956,0.0105133056640625,0.0099639892578125,0.06841162683125,0.07138323593125,0.0107269287109375,0.005847930908203125,0.0003285408020019531,0.0006950391276306152,0.0004074573516845703,0.0007910728454589844,0.054443359375,0.050628662109375,0.0013279726261108398,0.0008911543322143554,0.01287841796875,0.01273345947265625,0.11490007860625,0.13513837759375,0.13513449579375,0.0007333755493164062,0.01042938232421875,0.01523590087890625,0.00013554096221923828,0.00023484230041503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.172325134277344e-06,-1.1324882507324219e-06,1.0669231414794922e-05,-2.0265579223632812e-06,80.125,0.01308441162109375,0.016021728515625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0305416486578125,0.394775390625,0.0,0.0,0.0,0.0,0.0,0.03066464498125,0.39501953125,0.00385284423828125,0.0001876354217529297,0.0015811920166015625,0.0267181396484375,0.018402099609375,0.03692626953125,0.0005412101745605469,0.00964412042421875,-0.0001341104507446289,0.0006871223449707031,0.0044097900390625,0.016213838000476075,0.020064875490386963,0.01322174072265625,0.01248931884765625,0.08676527441875,0.09058294449375,0.01219940185546875,0.00717926025390625,0.00039196014404296875,0.0007310569025085449,0.0005125999450683594,0.000988006591796875,0.07989501953125,0.07470703125,0.0015549104227539062,0.0009693871797607421,0.0181732177734375,0.01800537109375,0.131013199675,0.1575895697375,0.15764689449375,0.0009045600891113281,0.01271820068359375,0.018646240234375,0.00020396709442138672,0.00026488304138183594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-2.1457672119140625e-06,-7.62939453125e-06,-1.5497207641601562e-06,100.25,0.017822265625,0.01953125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0308494435953125,0.397705078125,0.0,0.0,0.0,0.0,0.0,0.031001918696875,0.398193359375,0.0037937164306640625,0.0001876354217529297,0.0018396377563476562,0.032562255859375,0.01873779296875,0.04840087890625,0.0004944801330566406,0.00958871040234375,-0.0001456737518310547,-4.8220157623291016e-05,0.0013475418090820312,0.016297880529406738,0.019997175828930663,0.013427734375,0.01265716552734375,0.09128318823750001,0.09598245094374999,0.01097869873046875,0.007007598876953125,0.0003807544708251953,0.000737325573815918,0.0005382696915039063,0.0010099411010742188,0.093017578125,0.0875244140625,0.0016994687084472657,0.0012083964282470702,0.0218353271484375,0.02166748046875,0.127400293975,0.15446479986875,0.154521793125,0.0008983612060546875,0.01242828369140625,0.0183868408203125,0.00023937225341796875,0.0002460479736328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-1.1920928955078125e-06,1.71661376953125e-05,-1.7881393432617188e-06,100.1875,0.022705078125,0.01416015625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0318251450078125,0.3974609375,0.0,0.0,0.0,0.0,0.0,0.031976431809375,0.397705078125,0.0037479400634765625,0.00018787384033203125,0.0018892288208007812,0.0372314453125,0.0192718505859375,0.0537109375,0.0004978179931640625,0.00947000771875,-0.0001558065414428711,-0.0002167224884033203,0.0007481575012207031,0.016413072138549804,0.019939884528833007,0.013671875,0.012908935546875,0.09391120639375,0.09901182728124999,0.01047515869140625,0.006885528564453125,0.0003619194030761719,0.0007426791232727051,0.0006013521302734375,0.001064300537109375,0.10052490234375,0.09490966796875,0.0022734723447265627,0.0021320136883789063,0.0263824462890625,0.0262298583984375,0.1216810681125,0.147674202875,0.14767001937500002,0.0009531974792480469,0.01232147216796875,0.018463134765625,0.0002474784851074219,0.00023126602172851562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.0728836059570312e-06,1.9073486328125e-06,1.1920928955078125e-07,100.25,0.018310546875,0.02001953125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.035545478384375,0.3916015625,0.0,0.0,0.0,0.0,0.0,0.035680612896875,0.391845703125,0.0036106109619140625,0.00018799304962158203,0.0017175674438476562,0.038360595703125,0.01995849609375,0.046875,0.000514984130859375,0.00940704345703125,-0.00015735626220703125,-6.16312026977539e-05,0.00138092041015625,0.016228223261083984,0.019746273717993163,0.0138092041015625,0.01308441162109375,0.09317655304375,0.0979153476375,0.01123809814453125,0.006885528564453125,0.0004248619079589844,0.0007307753287414551,0.0006990356843261719,0.0011472702026367188,0.09619140625,0.09075927734375,0.00175758931875,0.0015530264515136718,0.031707763671875,0.03155517578125,0.11469368633125,0.13740939649375,0.13740526889375,0.0010862350463867188,0.01256561279296875,0.01885986328125,0.0002180337905883789,0.00013697147369384766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-2.0265579223632812e-06,9.5367431640625e-06,3.5762786865234375e-07,100.25,0.01513671875,0.025390625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0417997399125,0.37841796875,0.0,0.0,0.0,0.0,0.0,0.04199495188125,0.378662109375,0.0035381317138671875,0.00018835067749023438,0.001361846923828125,0.035736083984375,0.021392822265625,0.03021240234375,0.0005550384521484375,0.0092315673828125,-0.0001652240753173828,0.0013380050659179688,0.007232666015625,0.01619142850871582,0.01988201776713867,0.01390838623046875,0.01331329345703125,0.08870332313125,0.09283750690625,0.01328277587890625,0.007049560546875,0.0004553794860839844,0.0007496603929443359,0.0008217440104980469,0.001251220703125,0.07940673828125,0.074462890625,0.0011678068922607423,0.00099897841517334,0.038055419921875,0.03790283203125,0.10660458354999999,0.12535969909375,0.12541652845,0.0012645721435546875,0.0137176513671875,0.02020263671875,0.0002522468566894531,8.028745651245117e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-2.1457672119140625e-06,3.814697265625e-06,2.384185791015625e-07,100.25,0.015380859375,0.0244140625
