Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.007568648078125,0.08819580078125,0.0,0.0,0.0,0.0,0.0,0.00761929145625,0.0882568359375,0.0016126632690429688,3.737211227416992e-05,0.000644683837890625,0.00921630859375,0.00543212890625,0.00751495361328125,0.00010949373245239258,0.002953600710546875,-2.849102020263672e-05,0.0020923614501953125,0.003040313720703125,0.016548922255462648,0.02044292542402344,0.0031337738037109375,0.0028514862060546875,0.029058875478125,0.032069953125,0.0017442703247070312,0.002002716064453125,4.6312808990478516e-05,0.0005246562964660645,1.4185905456542969e-05,6.091594696044922e-05,0.0186920166015625,0.0174560546875,0.0008945434182434083,0.0005206252942565918,1.2636184692382812e-05,-1.8298625946044922e-05,0.08268227801875,0.08724097911875,0.087327364853125,0.00010824203491210938,0.002956390380859375,0.003810882568359375,2.8252601623535156e-05,0.00016701221466064453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0728836059570312e-06,-1.7881393432617188e-07,1.9073486328125e-06,-4.172325134277344e-07,20.03125,0.0012693405151367188,0.0011720657348632812
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0130382929875,0.179443359375,0.0,0.0,0.0,0.0,0.0,0.0131030233546875,0.1795654296875,0.003204345703125,7.474422454833984e-05,0.0012254714965820312,0.018096923828125,0.0106658935546875,0.0140533447265625,0.00022339820861816406,0.00564470967734375,-5.829334259033203e-05,0.00394439697265625,0.005832672119140625,0.01638344119671631,0.02036571506416626,0.00634002685546875,0.00574493408203125,0.044546579921874996,0.046710990325,0.00399017333984375,0.00408172607421875,9.375810623168945e-05,0.0005490116003234863,2.378225326538086e-05,0.00013458728790283203,0.036651611328125,0.0340576171875,0.0010992226075439452,0.0006481398543640137,2.3305416107177734e-05,-4.4465065002441406e-05,0.12141413243125,0.1310216039875,0.13119983295624998,0.00024819374084472656,0.005645751953125,0.007404327392578125,7.736682891845703e-05,0.0004048347473144531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2649765014648438e-06,-4.172325134277344e-07,0.0,-7.748603820800781e-07,40.0625,0.0025386810302734375,0.003124237060546875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.018606543353125,0.273681640625,0.0,0.0,0.0,0.0,0.0,0.0187161638875,0.27392578125,0.004856109619140625,0.0001119375228881836,0.0017175674438476562,0.0263824462890625,0.0162811279296875,0.0186614990234375,0.0003046989440917969,0.00863037973359375,-9.34600830078125e-05,0.005645751953125,0.00801849365234375,0.01619486512157593,0.020222069731628416,0.0095977783203125,0.00864410400390625,0.061193605890625,0.062646903140625,0.00606536865234375,0.00616455078125,0.000141143798828125,0.0005972166339355469,9.5367431640625e-06,0.0001786947250366211,0.053466796875,0.04925537109375,0.0012675135157226563,0.0007043155650634765,6.133317947387695e-05,-4.029273986816406e-05,0.15953298662499998,0.1757454648875,0.1759853251125,0.0003333091735839844,0.00815582275390625,0.01065826416015625,8.034706115722656e-05,0.0004248619079589844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-6.556510925292969e-07,4.589557647705078e-06,-1.7881393432617188e-06,60.03125,0.006885528564453125,0.00498199462890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.024215814340625,0.37060546875,0.0,0.0,0.0,0.0,0.0,0.0243399168640625,0.37060546875,0.00640869140625,0.00014925003051757812,0.00211334228515625,0.03448486328125,0.022125244140625,0.02288818359375,0.0003974437713623047,0.01137202224296875,-0.00012481212615966797,0.00632476806640625,0.0095672607421875,0.016144888495617675,0.020189367208654784,0.0127716064453125,0.0114898681640625,0.0777500057375,0.078646419525,0.00879669189453125,0.0082855224609375,0.0001819133758544922,0.0005944860918945312,-2.562999725341797e-06,0.00022602081298828125,0.07025146484375,0.06463623046875,0.0013662388080566406,0.0007237248850402832,8.571147918701172e-05,-4.976987838745117e-05,0.19882341845,0.221869334625,0.2219875231375,0.0004494190216064453,0.0103912353515625,0.01371002197265625,8.559226989746094e-05,0.0004825592041015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.682209014892578e-06,-9.5367431640625e-07,3.039836883544922e-06,-1.5497207641601562e-06,80.0625,0.0105438232421875,0.00390625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.030068626196875,0.47021484375,0.0,0.0,0.0,0.0,0.0,0.030206881309375,0.470703125,0.00791168212890625,0.00018656253814697266,0.00250244140625,0.043212890625,0.028228759765625,0.0292510986328125,0.0005116462707519531,0.01414546319765625,-0.00015974044799804688,0.005580902099609375,0.009765625,0.016108218569934083,0.020157083875854492,0.0159149169921875,0.01427459716796875,0.09579847754375,0.0963812843375,0.01146697998046875,0.0104217529296875,0.00022673606872558594,0.0006096422411010742,-2.1219253540039062e-05,0.0002689361572265625,0.08880615234375,0.081787109375,0.0014817159189697265,0.0007788907350585937,0.0001291036605834961,-5.4955482482910156e-05,0.2392895668625,0.2698942572375,0.2701346874625,0.0005617141723632812,0.012451171875,0.0165863037109375,0.00010210275650024414,0.0005812644958496094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.9073486328125e-06,-3.814697265625e-06,-3.2186508178710938e-06,100.0625,0.011962890625,0.0107421875
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0303001271890625,0.47802734375,0.0,0.0,0.0,0.0,0.0,0.030452602290625,0.478759765625,0.00783538818359375,0.00018656253814697266,0.002544403076171875,0.04437255859375,0.02886962890625,0.0328369140625,0.0004930496215820312,0.01416634712109375,-0.00016188621520996094,0.0030956268310546875,0.007183074951171875,0.01637930047416992,0.020431336061474608,0.015899658203125,0.0142059326171875,0.09891258276875001,0.10007180641249999,0.01140594482421875,0.01045989990234375,0.00022554397583007812,0.0006036919602294922,-3.1669921838378904e-05,0.00025081634521484375,0.0926513671875,0.08544921875,0.001418134785107422,0.0007823424273925781,0.00010222196578979492,-4.5180320739746094e-05,0.24141396585,0.2734223194,0.27378448843750003,0.00054168701171875,0.01200103759765625,0.016143798828125,0.00010818243026733398,0.0006089210510253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.430511474609375e-06,0.0,-2.384185791015625e-06,100.0625,0.012939453125,0.0087890625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.03058918309375,0.486572265625,0.0,0.0,0.0,0.0,0.0,0.03072521110625,0.48681640625,0.007843017578125,0.00018644332885742188,0.0028095245361328125,0.046875,0.02978515625,0.03875732421875,0.0005064010620117188,0.01416208535546875,-0.0001671314239501953,0.00189208984375,0.00498199462890625,0.01930389741015625,0.022689089164453124,0.0159454345703125,0.0142059326171875,0.10276130405,0.10474913196874999,0.01080322265625,0.01047515869140625,0.0001989603042602539,0.0006013565105102539,-3.7311638494873044e-05,0.00022029876708984375,0.09912109375,0.091796875,0.0013853631375732422,0.0007464441159301758,0.00010222196578979492,-5.739927291870117e-05,0.2436293103,0.2767025231875,0.2769424803125,0.0005059242248535156,0.011627197265625,0.0157470703125,0.00011670589447021484,0.000579833984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.059906005859375e-06,-7.152557373046875e-07,1.1444091796875e-05,-2.0265579223632812e-06,100.0625,0.01123046875,0.01123046875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0310136180328125,0.4951171875,0.0,0.0,0.0,0.0,0.0,0.0311487525453125,0.495361328125,0.008026123046875,0.0001863241195678711,0.0032787322998046875,0.050689697265625,0.031768798828125,0.045196533203125,0.0005145072937011719,0.01422882080078125,-0.00017535686492919922,0.0009908676147460938,0.0034809112548828125,0.0241194013921875,0.026988238058203124,0.0160980224609375,0.0143280029296875,0.108130166325,0.110976871075,0.0100555419921875,0.01056671142578125,0.00015461444854736328,0.0005824193678955078,-4.0717561981201175e-05,0.00018799304962158203,0.107177734375,0.09979248046875,0.001326051690576172,0.0007183826107238769,0.00010710954666137695,-6.222724914550781e-05,0.2465906589875,0.28004855665,0.2804106399875,0.00045752525329589844,0.01143646240234375,0.01556396484375,8.499622344970703e-05,0.0003991127014160156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-07,-2.1457672119140625e-06,-3.814697265625e-06,-8.344650268554688e-07,100.0625,0.015625,0.0087890625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0317747154984375,0.50341796875,0.0,0.0,0.0,0.0,0.0,0.0319241511,0.50390625,0.00827789306640625,0.0001863241195678711,0.004055023193359375,0.056488037109375,0.034149169921875,0.0560302734375,0.0005402565002441406,0.01418304443359375,-0.0001786947250366211,0.0005631446838378906,0.0030269622802734375,0.029967015590625,0.03229933420390625,0.0162506103515625,0.014434814453125,0.11476533485,0.118899518625,0.0087127685546875,0.0106048583984375,0.00010603666305541992,0.0005946883165283203,-3.030438656616211e-05,0.00015151500701904297,0.118896484375,0.11163330078125,0.0012388556288330079,0.0006865308672607421,6.318092346191406e-05,-9.644031524658203e-05,0.2505254819875,0.2835017889375,0.28361965345,0.00039267539978027344,0.011505126953125,0.0157470703125,6.181001663208008e-05,0.0002624988555908203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-2.1457672119140625e-06,3.814697265625e-06,-9.5367431640625e-07,100.0625,0.00732421875,0.01318359375
