Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,-0.0,0.0005064599,-0.0,-0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.01015501282421875,0.11083984375,0.0,0.0,0.0,0.0,0.0,0.0101980268078125,0.1109619140625,0.002910614013671875,3.695487976074219e-05,0.00347900390625,0.02020263671875,0.002254486083984375,0.031585693359375,2.2530555725097656e-05,0.0035429714380859375,-2.9265880584716797e-05,0.0001226663589477539,0.00019359588623046875,0.016839375689453127,0.02072831246320801,0.0042266845703125,0.003734588623046875,0.040594520009374996,0.045223029296875,7.712841033935547e-05,0.0021839141845703125,-1.3113021850585938e-05,0.0005101723677856445,-7.784366607666016e-05,-1.1324882507324219e-05,0.051605224609375,0.04925537109375,0.00576466012890625,0.005587794960546875,1.710653305053711e-05,-1.0967254638671875e-05,0.09244790301875,0.09725074474375,0.0973066129,-0.00014090538024902344,0.0041046142578125,0.004901885986328125,5.781650543212891e-06,5.638599395751953e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7881393432617188e-06,-2.384185791015625e-07,0.0,2.384185791015625e-07,20.0,-0.0012693405151367188,-0.00146484375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.018623009784375,0.2230224609375,0.0,0.0,0.0,0.0,0.0,0.0186877401515625,0.2230224609375,0.005931854248046875,7.390975952148438e-05,0.007251739501953125,0.04180908203125,0.0042572021484375,0.0645751953125,2.9206275939941406e-05,0.006792933554296875,-5.805492401123047e-05,0.00022673606872558594,0.0003490447998046875,0.01704302619580078,0.020997941531298827,0.00864410400390625,0.00763702392578125,0.069082712734375,0.07484819735625,0.00015425682067871094,0.004398345947265625,-2.205371856689453e-05,0.0005450776937683105,-0.0001595020294189453,-2.771615982055664e-05,0.1063232421875,0.10137939453125,0.01122414440625,0.0111173976859375,9.179115295410156e-06,-3.5643577575683594e-05,0.14057917149375,0.15134631101875,0.15146350483124998,-0.0002944469451904297,0.0081939697265625,0.009796142578125,1.9371509552001953e-05,0.0001074075698852539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.086162567138672e-06,-5.364418029785156e-07,3.039836883544922e-06,5.960464477539062e-07,40.0,-0.0029296875,-0.0033206939697265625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.02730405311875,0.33544921875,0.0,0.0,0.0,0.0,0.0,0.027383156075,0.335693359375,0.00905609130859375,0.00011086463928222656,0.01126861572265625,0.0650634765625,0.006198883056640625,0.0987548828125,4.857778549194336e-05,0.01001892953828125,-8.338689804077148e-05,0.00029778480529785156,0.000457763671875,0.017393216504785158,0.021367551794921873,0.01322174072265625,0.0117034912109375,0.09894385003125,0.10576824103125,0.0002205371856689453,0.0066375732421875,-3.892183303833008e-05,0.0005526323596435547,-0.00023949146270751953,-4.8160552978515625e-05,0.1639404296875,0.1561279296875,0.016822895290625,0.0167753967265625,3.2067298889160156e-05,-4.1365623474121094e-05,0.18870779131249998,0.2062630430125,0.206380832925,-0.0004553794860839844,0.012176513671875,0.014617919921875,3.635883331298828e-05,0.00014722347259521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6954879760742188e-06,-1.1324882507324219e-06,6.854534149169922e-06,1.1920928955078125e-06,60.0,-0.00439453125,-0.0020503997802734375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.03620922254375,0.44677734375,0.0,0.0,0.0,0.0,0.0,0.03634858385625,0.447265625,0.01230621337890625,0.00014781951904296875,0.0154266357421875,0.09014892578125,0.008087158203125,0.134765625,2.8192996978759766e-05,0.01314967116875,-0.00011414289474487305,0.00029921531677246094,0.0004832744598388672,0.01826192626875,0.022263012800390624,0.0179290771484375,0.0158843994140625,0.1297519588625,0.1376063804625,0.0002694129943847656,0.00890350341796875,-4.798173904418945e-05,0.0005603922350830078,-0.00031447410583496094,-7.152557373046875e-05,0.223388671875,0.212890625,0.0223713924640625,0.02238995365625,4.178285598754883e-05,-7.76052474975586e-05,0.237153496575,0.2612980455625,0.261416234075,-0.0006160736083984375,0.0160064697265625,0.019317626953125,5.042552947998047e-05,0.00017213821411132812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-1.0728836059570312e-06,4.589557647705078e-06,1.6093254089355469e-06,80.0,-0.005859375,-0.005859375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.045266380103125003,0.55615234375,0.0,0.0,0.0,0.0,0.0,0.045404635215625,0.55615234375,0.01568603515625,0.00018477439880371094,0.0197601318359375,0.11700439453125,0.0098876953125,0.1715087890625,1.1742115020751953e-05,0.0161672527484375,-0.00014603137969970703,0.00024235248565673828,0.0005507469177246094,0.02044445647734375,0.024693951017578125,0.0228118896484375,0.0202484130859375,0.1611671298875,0.1703558937125,0.0003097057342529297,0.0111846923828125,-4.458427429199219e-05,0.0005706608034179687,-0.0003821849822998047,-9.489059448242188e-05,0.28369140625,0.270263671875,0.02805847335,0.028184629565625,2.378225326538086e-05,-9.518861770629883e-05,0.2859204262375,0.316158905675,0.3163993359,-0.0007677078247070312,0.0195770263671875,0.0238037109375,5.811452865600586e-05,0.0001837015151977539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-2.0265579223632812e-06,1.33514404296875e-05,2.5033950805664062e-06,100.0,-0.009765625,-0.00537109375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.045207964103125,0.55078125,0.0,0.0,0.0,0.0,0.0,0.045345180415625,0.55126953125,0.0160675048828125,0.00018477439880371094,0.0202178955078125,0.12115478515625,0.0095062255859375,0.1722412109375,4.470348358154297e-05,0.0159592548359375,-0.0001518726348876953,8.851289749145508e-05,0.0003650188446044922,0.022372666715625,0.026529606477734374,0.0233154296875,0.0207672119140625,0.162450180425,0.17172707985,0.00030422210693359375,0.01120758056640625,-2.2709369659423828e-05,0.0005572003373046875,-0.00036843616481933595,-9.399652481079102e-05,0.285400390625,0.271728515625,0.0283160420421875,0.0284498648578125,3.039836883544922e-06,-0.0001062154769897461,0.2858475596,0.314682085025,0.31492218375000003,-0.0007352828979492188,0.0186004638671875,0.0229949951171875,4.470348358154297e-05,0.0001608133316040039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-1.6689300537109375e-06,1.9073486328125e-06,2.9802322387695312e-06,100.0,-0.00732421875,-0.00390625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0456648666875,0.51953125,0.0,0.0,0.0,0.0,0.0,0.045831412278125,0.52001953125,0.0164337158203125,0.00018489360809326172,0.0206298828125,0.12408447265625,0.008819580078125,0.166259765625,5.996227264404297e-05,0.01581766396875,-0.0001558065414428711,3.039836883544922e-06,0.0003063678741455078,0.021493533640625,0.0255539268109375,0.0240020751953125,0.021484375,0.161599194675,0.1708502061875,0.0002663135528564453,0.01120758056640625,1.9073486328125e-05,0.00054735470234375,-0.00035351427902832034,-0.00010347366333007812,0.28173828125,0.268798828125,0.02800551275,0.02817781294375,1.5497207641601562e-06,-0.00014770030975341797,0.286353919675,0.310271859125,0.31051181625,-0.0006785392761230469,0.0178680419921875,0.0224609375,4.225969314575195e-05,0.00014126300811767578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.1920928955078125e-06,-1.1444091796875e-05,3.0994415283203125e-06,100.0,-0.0029296875,-0.00341796875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.047569404165625,0.425537109375,0.0,0.0,0.0,0.0,0.0,0.047765573834375,0.425537109375,0.0171051025390625,0.00018513202667236328,0.0211181640625,0.12353515625,0.008148193359375,0.1470947265625,0.00010943412780761719,0.0158538818359375,-0.00014352798461914062,9.703636169433594e-05,0.0003113746643066406,0.016991162714208984,0.02072259779941406,0.02508544921875,0.022796630859375,0.15622586945,0.1657864413875,0.0003273487091064453,0.0113983154296875,8.618831634521484e-05,0.0005612001143554688,-0.00031472011401367187,-0.00010836124420166016,0.267822265625,0.258056640625,0.0268430385375,0.026810613884375,-6.502866744995117e-05,-0.00018489360809326172,0.2868738621125,0.3020212129,0.30250536655,-0.0005812644958496094,0.018524169921875,0.022796630859375,0.00012767314910888672,0.00011444091796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-9.5367431640625e-07,0.0,4.410743713378906e-06,100.0625,0.00830078125,0.00439453125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.056234554365625,0.270263671875,0.0,0.0,0.0,0.0,0.0,0.056490801490625,0.270263671875,0.0178375244140625,0.00018537044525146484,0.0225982666015625,0.11907958984375,0.0089263916015625,0.124755859375,0.00016438961029052734,0.01491546630859375,-0.00013959407806396484,0.00514984130859375,0.006317138671875,0.016048854198413086,0.019778246080584715,0.0255279541015625,0.023773193359375,0.145282912975,0.1556426826875,0.00031280517578125,0.011627197265625,4.684925079345703e-05,0.0006281861268920898,-0.00023349662060546874,-0.00014925003051757812,0.2437744140625,0.2388916015625,0.0254686205671875,0.0244685457140625,-0.00021636486053466797,-0.0002856254577636719,0.284094817925,0.2918025701875,0.2919204347,-0.0005669593811035156,0.02020263671875,0.0230255126953125,0.00018846988677978516,-0.0002276897430419922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-1.1920928955078125e-07,1.9073486328125e-06,4.410743713378906e-06,100.125,0.02490234375,0.01904296875
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.0777430898,0.11822509765625,0.0,0.0,0.0,0.0,0.0,0.0781202929375,0.1182861328125,0.0182647705078125,0.00018548965454101562,0.024078369140625,0.1090087890625,0.0100860595703125,0.10174560546875,0.00013685226440429688,0.01336669921875,-0.00012189149856567383,0.037078857421875,0.03497314453125,0.0163890681880249,0.02004517425465088,0.0251312255859375,0.02410888671875,0.12816756959375,0.14012519265625,0.00030303001403808594,0.01165008544921875,4.315376281738281e-05,0.0006367532673339844,-3.940540567016602e-05,-9.828805923461914e-05,0.21435546875,0.2138671875,0.0236247624140625,0.021397826646875,-0.0002944469451904297,-0.0003228187561035156,0.2764557562375,0.2780383155125,0.278156101725,-0.0004992485046386719,0.0233917236328125,0.0252685546875,0.00048279762268066406,-0.0004858970642089844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-7.152557373046875e-07,1.9073486328125e-06,5.125999450683594e-06,100.1875,0.01708984375,0.01708984375
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.0981610488,-0.00027871131896972656,0.0,0.0,0.0,0.0,0.0,0.0985370436375,-0.00022304058074951172,0.01812744140625,0.00018596649169921875,0.023345947265625,0.09466552734375,0.01374053955078125,0.0753173828125,0.00012159347534179688,0.01198577880859375,-0.0001634359359741211,0.05926513671875,0.052764892578125,0.016591515426568604,0.02019586227954712,0.02435302734375,0.024017333984375,0.10954808255,0.1218659915375,0.0003542900085449219,0.01154327392578125,1.8596649169921875e-05,0.0005986671416748047,0.00019039733848266602,-8.384151892089844e-06,0.177490234375,0.1795654296875,0.0190472320078125,0.01580409037890625,-0.00025725364685058594,-0.00026607513427734375,0.2708984576125,0.26619014515,0.266429938375,-0.00028133392333984375,0.0269012451171875,0.027679443359375,0.00034117698669433594,-0.0005860328674316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-9.5367431640625e-07,3.814697265625e-06,4.76837158203125e-06,100.125,0.00927734375,0.01220703125
00:00:00:12.200,68,0.0,0.0,0.0,0.0,0.0,0.10449115440625,-0.0003409385681152344,0.0,0.0,0.0,0.0,0.0,0.10486600854375,-0.0002853870391845703,0.01910400390625,0.00018596649169921875,0.01959228515625,0.0709228515625,0.0233612060546875,0.043212890625,0.0003466606140136719,0.01031494140625,-9.202957153320312e-05,0.06744384765625,0.060699462890625,0.01706587339621582,0.02059189979838867,0.023712158203125,0.0236968994140625,0.0985443638375,0.11021097005,0.0016527175903320312,0.0120391845703125,5.364418029785156e-06,0.0007829886970397949,0.00031363742395019534,3.9311913671875e-05,0.129638671875,0.131591796875,0.00961351489609375,0.006914460687109375,-0.0001590251922607422,-0.0001819133758544922,0.2792936861625,0.2719514407625,0.27206876877499997,-0.00019347667694091797,0.0285491943359375,0.0283966064453125,0.0005736351013183594,-0.00041985511779785156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-5.960464477539062e-07,-3.814697265625e-06,4.410743713378906e-06,100.0625,0.0185546875,0.0126953125
00:00:00:13.216,68,0.0,0.0,0.0,0.0,0.0,0.11177594015625,-0.00041413307189941406,0.0,0.0,0.0,0.0,0.0,0.11221097455,-0.0003256797790527344,0.0178985595703125,0.0001863241195678711,0.0194549560546875,0.0650634765625,0.0263671875,0.033660888671875,0.0004229545593261719,0.00972747802734375,-0.00014483928680419922,0.07196044921875,0.06396484375,0.017481399713183594,0.021044448021588134,0.0226898193359375,0.022796630859375,0.094467076425,0.1047266777875,0.002902984619140625,0.01194000244140625,3.725290298461914e-05,0.001110346037023926,0.0004482797960205078,0.00014143149586791994,0.11517333984375,0.1171875,0.007555654020703125,0.00453389045234375,-0.0002541542053222656,-0.0002282857894897461,0.274791721275,0.265292167675,0.2656533122125,7.68899917602539e-05,0.0306854248046875,0.028594970703125,0.0002913475036621094,-0.000942230224609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-9.5367431640625e-07,-3.814697265625e-06,3.2186508178710938e-06,100.1875,0.0224609375,0.01318359375
