Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0074313189765625,0.08746337890625,0.0,0.0,0.0,0.0,0.0,0.007478147657421875,0.0875244140625,0.0018405914306640625,3.731250762939453e-05,0.0010004043579101562,0.01056671142578125,0.00733184814453125,0.00677490234375,0.00011265277862548828,0.0030585048853515625,-2.7418136596679688e-05,0.0025081634521484375,0.0033168792724609375,0.01654242534918213,0.020443521470471192,0.0035305023193359375,0.003265380859375,0.03049320165,0.0336568671875,0.0017604827880859375,0.00222015380859375,3.314018249511719e-05,0.0006023211486083984,1.049041748046875e-05,4.947185516357422e-05,0.021087646484375,0.019775390625,0.0008872120469360352,0.0005045320401672363,4.827976226806641e-06,-3.1948089599609375e-05,0.08732094989375,0.09249000255625,0.09248483555625,8.720159530639648e-05,0.003643035888671875,0.00440216064453125,3.921985626220703e-05,0.0002263784408569336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,1.1920928955078125e-07,4.172325134277344e-06,-4.76837158203125e-07,20.03125,0.0015621185302734375,0.001953125
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01266445265546875,0.17724609375,0.0,0.0,0.0,0.0,0.0,0.0127368124171875,0.177490234375,0.003665924072265625,7.456541061401367e-05,0.0017528533935546875,0.019775390625,0.01442718505859375,0.0106658935546875,0.0002199411392211914,0.0058812209078125,-5.2928924560546875e-05,0.00567626953125,0.007190704345703125,0.016367169128692627,0.02035731080925293,0.007110595703125,0.00655364990234375,0.046835398281249996,0.04921343173125,0.00444793701171875,0.004550933837890625,6.73532485961914e-05,0.0006124905470092773,2.568960189819336e-05,0.0001245737075805664,0.03936767578125,0.036651611328125,0.0010548767518310546,0.000600277324609375,1.1563301086425781e-05,-5.030632019042969e-05,0.1305083707125,0.14170275633125,0.14175891498749998,0.0002371072769165039,0.00704193115234375,0.00864410400390625,0.00013959407806396484,0.0005869865417480469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4570693969726562e-06,-3.5762786865234375e-07,2.2649765014648438e-06,-8.344650268554688e-07,40.0625,0.00449371337890625,0.00527191162109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0180724857359375,0.26904296875,0.0,0.0,0.0,0.0,0.0,0.01816684748125,0.269287109375,0.00554656982421875,0.00011181831359863281,0.0022754669189453125,0.027191162109375,0.021820068359375,0.0099029541015625,0.0003108978271484375,0.00902710824921875,-8.52346420288086e-05,0.0095977783203125,0.0113067626953125,0.01616512240383301,0.02020299624530029,0.0106353759765625,0.009765625,0.063726564875,0.06536296759375,0.00759124755859375,0.0068817138671875,0.00012552738189697266,0.0007422943393188477,2.187490463256836e-05,0.00017762184143066406,0.054046630859375,0.049774169921875,0.0012389032862304688,0.0007057460765380859,3.057718276977539e-05,-5.930662155151367e-05,0.17296072099999998,0.1911263242625,0.191244114175,0.00035881996154785156,0.01029205322265625,0.01267242431640625,0.0001558065414428711,0.0007948875427246094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.159046173095703e-06,-1.0132789611816406e-06,0.0,-1.5497207641601562e-06,60.03125,0.0087890625,0.007617950439453125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0234528748875,0.36279296875,0.0,0.0,0.0,0.0,0.0,0.023561718621875,0.363037109375,0.00726318359375,0.00014901161193847656,0.0024967193603515625,0.03326416015625,0.029327392578125,0.007427215576171875,0.000423431396484375,0.01193659743828125,-0.00011461973190307617,0.0132904052734375,0.0155029296875,0.016107218360119628,0.020169340048010253,0.0140838623046875,0.01291656494140625,0.0797031307375,0.08053850936875,0.01204681396484375,0.0092926025390625,0.00017082691192626953,0.0006580246432250976,2.3186206817626953e-05,0.0002434253692626953,0.06634521484375,0.06060791015625,0.0013339330905883788,0.0007402949762878418,7.396936416625977e-05,-7.325410842895508e-05,0.2162794731375,0.241156444,0.241396702825,0.0005369186401367188,0.01326751708984375,0.0164794921875,0.0002046823501586914,0.0009636878967285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4570693969726562e-06,-1.3113021850585938e-06,-1.5497207641601562e-06,-2.682209014892578e-06,80.125,0.0144500732421875,0.0128936767578125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0288936994390625,0.45849609375,0.0,0.0,0.0,0.0,0.0,0.029047213340625,0.458984375,0.008880615234375,0.00018644332885742188,0.0025615692138671875,0.03900146484375,0.03717041015625,0.005229949951171875,0.0004968643188476562,0.014870255678125,-0.00015151500701904297,0.0161285400390625,0.0188446044921875,0.016071740527331544,0.020148262388427735,0.017486572265625,0.0159912109375,0.09677504004375,0.09717474136875,0.017059326171875,0.01171112060546875,0.0002168416976928711,0.0005894958711669922,2.580881118774414e-05,0.0003104209899902344,0.07861328125,0.07110595703125,0.001434032203149414,0.0007920037569091796,4.851818084716797e-05,-0.00012576580047607422,0.259919449675,0.292233124425,0.29247355465,0.0007395744323730469,0.0158843994140625,0.01995849609375,0.00023996829986572266,0.0010128021240234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-2.6226043701171875e-06,-5.7220458984375e-06,-3.2186508178710938e-06,100.0625,0.016357421875,0.0166015625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0288658010171875,0.46435546875,0.0,0.0,0.0,0.0,0.0,0.02901827611875,0.464599609375,0.00867462158203125,0.0001863241195678711,0.0023288726806640625,0.0377197265625,0.037994384765625,0.0038471221923828125,0.0005097389221191406,0.01485299262890625,-0.0001552104949951172,0.014556884765625,0.017333984375,0.016087654947283935,0.020087298051831053,0.01739501953125,0.015869140625,0.09848533667500001,0.09927834938124999,0.0184326171875,0.01178741455078125,0.0002086162567138672,0.0005622071274658203,3.1153373754882815e-05,0.0003185272216796875,0.077392578125,0.0697021484375,0.0013811799053466797,0.0007604079181152344,8.511543273925781e-05,-0.00011354684829711914,0.261189356475,0.29441841315,0.29490265250000003,0.0007953643798828125,0.0152130126953125,0.0192718505859375,0.00019609928131103516,0.000789642333984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-2.86102294921875e-06,-7.62939453125e-06,-1.6689300537109375e-06,100.125,0.01904296875,0.01513671875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0289259750859375,0.47119140625,0.0,0.0,0.0,0.0,0.0,0.0290620030984375,0.471923828125,0.008544921875,0.0001863241195678711,0.0022640228271484375,0.0379638671875,0.039337158203125,0.0038909912109375,0.000518798828125,0.014810583890625,-0.0001646280288696289,0.01171875,0.014678955078125,0.015936950236083984,0.019838556632714843,0.017364501953125,0.01580810546875,0.10135749545625,0.10291807728124999,0.019012451171875,0.0118560791015625,0.00019979476928710938,0.0005568914455078125,5.0426398614501956e-05,0.0003216266632080078,0.07916259765625,0.07147216796875,0.001342447793334961,0.000732139001184082,7.295608520507812e-05,-0.00011599063873291016,0.263404700925,0.29782068725,0.298060644375,0.0008263587951660156,0.01465606689453125,0.0186920166015625,0.00017535686492919922,0.0005993843078613281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-2.86102294921875e-06,9.5367431640625e-06,-2.9802322387695312e-06,100.125,0.019287109375,0.01513671875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0293046336578125,0.478759765625,0.0,0.0,0.0,0.0,0.0,0.029455026959375,0.47900390625,0.008544921875,0.00018644332885742188,0.0023822784423828125,0.040008544921875,0.04168701171875,0.005107879638671875,0.0005249977111816406,0.014862060546875,-0.00017201900482177734,0.007232666015625,0.01050567626953125,0.016006195959295654,0.01979145403873291,0.0174713134765625,0.0158843994140625,0.105688760075,0.10835235935625,0.0189056396484375,0.01200103759765625,0.000179290771484375,0.000533305140600586,6.0312310913085934e-05,0.00030517578125,0.08404541015625,0.07647705078125,0.0012544069075561524,0.0006789839405273437,7.539987564086914e-05,-0.00011354684829711914,0.267952963675,0.303241916025,0.303237788425,0.0008244514465332031,0.0143280029296875,0.0183563232421875,0.00010454654693603516,0.0002989768981933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.5497207641601562e-06,7.62939453125e-06,-3.4570693969726562e-06,100.0625,0.021240234375,0.01416015625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0300352135453125,0.485107421875,0.0,0.0,0.0,0.0,0.0,0.030184649146875,0.4853515625,0.008697509765625,0.0001863241195678711,0.0027008056640625,0.044921875,0.04559326171875,0.01195526123046875,0.000553131103515625,0.0148468017578125,-0.00018143653869628906,0.0025920867919921875,0.00565338134765625,0.01613468488688965,0.019840056097216795,0.0177154541015625,0.0160675048828125,0.1117135770375,0.11578672565625,0.017608642578125,0.0121307373046875,0.00012159347534179688,0.0005481966936035156,6.327490573120117e-05,0.00026416778564453125,0.09344482421875,0.08599853515625,0.0011464684294311524,0.000595574179333496,6.562471389770508e-05,-0.00012814998626708984,0.2744512632375,0.30999104675,0.30998684095,0.0007700920104980469,0.0142974853515625,0.01837158203125,9.107589721679688e-05,0.00019168853759765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.7881393432617188e-06,1.9073486328125e-06,-2.9802322387695312e-06,100.125,0.01611328125,0.01708984375
