Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00743894837109375,0.08441162109375,0.0,0.0,0.0,0.0,0.0,0.00747433296015625,0.08453369140625,0.0015277862548828125,3.725290298461914e-05,0.0005755424499511719,0.006275177001953125,0.004047393798828125,0.0037288665771484375,0.00010335445404052734,0.0030432460962890625,-3.212690353393555e-05,0.004688262939453125,0.00472259521484375,0.016546240046447756,0.02043684575025635,0.002887725830078125,0.0026187896728515625,0.02740329686484375,0.0305288154296875,0.0021495819091796875,0.0018491744995117188,6.35981559753418e-05,0.0005248351104003906,3.123283386230469e-05,8.350610733032227e-05,0.0142669677734375,0.01291656494140625,0.0008677213280944825,0.0004949952970031738,9.715557098388672e-06,-2.0265579223632812e-05,0.086863186221875,0.08821754161875,0.088242892196875,0.00012129545211791992,0.003589630126953125,0.004451751708984375,2.3603439331054688e-05,0.000110626220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-3.5762786865234375e-07,2.682209014892578e-06,-5.960464477539062e-07,20.03125,0.002635955810546875,0.00244140625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01293911085859375,0.1715087890625,0.0,0.0,0.0,0.0,0.0,0.01300384122578125,0.171630859375,0.0030078887939453125,7.450580596923828e-05,0.000995635986328125,0.01171112060546875,0.0083160400390625,0.005214691162109375,0.00019621849060058594,0.00582781514609375,-6.437301635742188e-05,0.0092315673828125,0.0093536376953125,0.016380103336608887,0.02035999301826782,0.00577545166015625,0.005218505859375,0.041159128749999996,0.043628714934375,0.00510406494140625,0.003772735595703125,0.0001322031021118164,0.0005738667371948242,6.0617923736572266e-05,0.00016999244689941406,0.0264129638671875,0.0236663818359375,0.0010515388917236327,0.0005866278609558106,2.5272369384765625e-05,-3.8564205169677734e-05,0.12971491368125,0.1337071508625,0.13370227436249998,0.00026535987854003906,0.00689697265625,0.00867462158203125,4.9114227294921875e-05,0.00023043155670166016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4570693969726562e-06,-6.556510925292969e-07,4.589557647705078e-06,-1.0728836059570312e-06,40.03125,0.005565643310546875,0.00449371337890625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.018484473040625,0.2607421875,0.0,0.0,0.0,0.0,0.0,0.0185483172078125,0.260986328125,0.00445556640625,0.00011181831359863281,0.00125885009765625,0.016448974609375,0.012969970703125,0.004779815673828125,0.00029468536376953125,0.00866852670625,-9.655952453613281e-05,0.01314544677734375,0.0135040283203125,0.016188070192071535,0.02020454596606445,0.00865936279296875,0.007781982421875,0.054937502375,0.05663494025,0.0088653564453125,0.00576019287109375,0.0002105236053466797,0.0006089587489562988,8.690357208251953e-05,0.00026035308837890625,0.0367431640625,0.032470703125,0.0012253134272216797,0.0006810101489562988,4.673004150390625e-05,-4.6133995056152344e-05,0.17296072099999998,0.18026206645,0.180501926675,0.00043654441833496094,0.0098876953125,0.01259613037109375,6.270408630371094e-05,0.0002892017364501953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6954879760742188e-06,-1.1324882507324219e-06,2.2649765014648438e-06,-1.9073486328125e-06,60.0625,0.0083465576171875,0.0084991455078125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.024093744028125,0.3525390625,0.0,0.0,0.0,0.0,0.0,0.024172070184375,0.35302734375,0.005847930908203125,0.00014901161193847656,0.0014505386352539062,0.020660400390625,0.0182037353515625,0.003055572509765625,0.0003895759582519531,0.01147883376640625,-0.0001277923583984375,0.0161285400390625,0.0168609619140625,0.016132252310925292,0.02015992251413574,0.0114898681640625,0.0102996826171875,0.068930425659375,0.06979632186875,0.013427734375,0.007793426513671875,0.0002923011779785156,0.0006110561831420898,0.0001100301742553711,0.00035119056701660156,0.04571533203125,0.039947509765625,0.0012911369556396484,0.0007183008623657226,5.447864532470703e-05,-6.54458999633789e-05,0.21640154345,0.227728709625,0.2280910387625,0.0006361007690429688,0.0124969482421875,0.016082763671875,5.1856040954589844e-05,0.000247955322265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.761882781982422e-06,-9.5367431640625e-07,4.589557647705078e-06,-2.7418136596679688e-06,80.0625,0.01308441162109375,0.0105438232421875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.029763450415625,0.447509765625,0.0,0.0,0.0,0.0,0.0,0.02987118795,0.4482421875,0.0071868896484375,0.0001863241195678711,0.0016031265258789062,0.0246734619140625,0.0239105224609375,0.0015697479248046875,0.00048089027404785156,0.0142141277484375,-0.00016033649444580078,0.018035888671875,0.0192413330078125,0.01608264817732544,0.02013967931958008,0.01428985595703125,0.01276397705078125,0.0840186923875,0.08423528824375,0.01849365234375,0.00984954833984375,0.00036263465881347656,0.0006096422411010742,0.00012362003326416016,0.00043511390686035156,0.05438232421875,0.0469970703125,0.0013930242075439452,0.0007886658968017578,7.784366607666016e-05,-8.666515350341797e-05,0.259919449675,0.2763639838,0.2767264843375,0.0008525848388671875,0.01470947265625,0.0191650390625,3.4928321838378906e-05,0.00020503997802734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-2.86102294921875e-06,-7.62939453125e-06,-3.6954879760742188e-06,100.0625,0.01953125,0.013671875
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0297813283609375,0.45556640625,0.0,0.0,0.0,0.0,0.0,0.0298880270953125,0.4560546875,0.007076263427734375,0.00018644332885742188,0.0014781951904296875,0.024078369140625,0.02496337890625,0.0012731552124023438,0.0004558563232421875,0.01416634712109375,-0.00016009807586669922,0.0156707763671875,0.0171356201171875,0.016125027059558105,0.020120795862194823,0.0142364501953125,0.01267242431640625,0.08585105933125001,0.08652200172499999,0.0196533203125,0.00994110107421875,0.0003693103790283203,0.0005968970307250977,0.0001209179687866211,0.00043272972106933594,0.053466796875,0.045989990234375,0.00131561479609375,0.0007573084765869141,5.829334259033203e-05,-0.00012087821960449219,0.260701075225,0.2794037647125,0.27952179312500003,0.0009021759033203125,0.01385498046875,0.0182342529296875,1.233816146850586e-05,0.00017213821411132812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-06,-1.6689300537109375e-06,5.7220458984375e-06,-3.933906555175781e-06,100.125,0.02001953125,0.01416015625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.029948313953125,0.46435546875,0.0,0.0,0.0,0.0,0.0,0.0300538243875,0.465087890625,0.00699615478515625,0.00018644332885742188,0.0014638900756835938,0.0240631103515625,0.0261688232421875,0.0015430450439453125,0.00047516822814941406,0.01410867959375,-0.0001595020294189453,0.01290130615234375,0.014556884765625,0.015980163603546142,0.01988874374361572,0.0142059326171875,0.012603759765625,0.08817390170625,0.08955137806249999,0.02020263671875,0.01004791259765625,0.0003654956817626953,0.00059313106953125,0.00013023701796875,0.0004334449768066406,0.0540771484375,0.04656982421875,0.0012721143125,0.0007724317410522461,6.80685043334961e-05,-8.177757263183594e-05,0.2621839978,0.2823177575625,0.282435644375,0.0009365081787109375,0.013214111328125,0.0175628662109375,1.8477439880371094e-05,0.0001842975616455078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-2.9802322387695312e-06,-1.9073486328125e-06,-3.2186508178710938e-06,100.125,0.01904296875,0.01513671875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.03038800768125,0.47412109375,0.0,0.0,0.0,0.0,0.0,0.0305078834046875,0.474365234375,0.006946563720703125,0.00018644332885742188,0.001495361328125,0.024749755859375,0.02789306640625,0.0020275115966796875,0.0005011558532714844,0.014129638671875,-0.0001652240753173828,0.00922393798828125,0.01116943359375,0.016026223119940185,0.019849151334875487,0.01416778564453125,0.0125274658203125,0.0914065335125,0.09358185154375,0.0206298828125,0.01018524169921875,0.00035452842712402344,0.0005821809493164063,0.00014340118572998047,0.0004253387451171875,0.0552978515625,0.0478515625,0.001183238961694336,0.000727859749243164,5.340576171875e-05,-0.00010132789611816406,0.2662439793,0.2862741425875,0.2865141556125,0.0009531974792480469,0.01279449462890625,0.01715087890625,1.5437602996826172e-05,0.00018310546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-1.9073486328125e-06,0.0,-3.337860107421875e-06,100.125,0.021484375,0.0166015625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.031149105146875,0.483642578125,0.0,0.0,0.0,0.0,0.0,0.031283281959375,0.484130859375,0.006961822509765625,0.0001863241195678711,0.0015659332275390625,0.0258331298828125,0.029998779296875,0.0025539398193359375,0.0004940032958984375,0.014129638671875,-0.00016927719116210938,0.0053863525390625,0.007083892822265625,0.016154354419665527,0.01989572683543701,0.01409912109375,0.0124053955078125,0.09541719031875,0.09863584675,0.02099609375,0.01026153564453125,0.0003490447998046875,0.0005841978990478515,0.0001592383838195801,0.00040531158447265625,0.056182861328125,0.048980712890625,0.001080784110888672,0.0006602452189147949,4.851818084716797e-05,-0.00013065338134765625,0.2724981382375,0.2908260076875,0.291188012825,0.0009655952453613281,0.01262664794921875,0.0169677734375,3.618001937866211e-05,0.0001537799835205078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-07,-2.384185791015625e-06,7.62939453125e-06,-2.1457672119140625e-06,100.125,0.020751953125,0.01513671875
