Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00888853333203125,0.0665283203125,0.0,0.0,0.0,0.0,0.0,0.008931547315625,0.06658935546875,0.0017032623291015625,3.713369369506836e-05,0.0011186599731445312,0.01018524169921875,0.0027523040771484375,0.0136871337890625,0.00010120868682861328,0.0026732204615234375,-3.74913215637207e-05,0.002567291259765625,0.0028667449951171875,0.016544690325683595,0.020431362122937013,0.002902984619140625,0.0027408599853515625,0.03018802586875,0.033748419921875,0.00014209747314453125,0.0016803741455078125,3.3915042877197266e-05,0.0005293054587585449,4.1961669921875e-05,5.352497100830078e-05,0.0249481201171875,0.0238189697265625,0.0014945833771972657,0.0011827732930664062,-1.4722347259521484e-05,-2.5153160095214844e-05,0.090342190128125,0.09029273693125,0.0903486050875,2.8371810913085938e-05,0.004116058349609375,0.00492095947265625,-3.993511199951172e-06,2.9802322387695312e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.748603820800781e-07,-1.1920928955078125e-07,3.5762786865234375e-07,1.1920928955078125e-07,20.03125,0.0025386810302734375,0.00341796875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0163494502140625,0.11700439453125,0.0,0.0,0.0,0.0,0.0,0.0164294393703125,0.1170654296875,0.0033416748046875,7.432699203491211e-05,0.002101898193359375,0.0188751220703125,0.00604248046875,0.022430419921875,0.0002129077911376953,0.00495806416953125,-7.170438766479492e-05,0.00714111328125,0.00774383544921875,0.01637306998852539,0.020333707369921874,0.00579833984375,0.005481719970703125,0.046469187343749996,0.049732230559375,0.0006051063537597656,0.0034275054931640625,0.00010079145431518555,0.0005893043401916504,8.761882781982422e-05,9.804964065551758e-05,0.045989990234375,0.04412841796875,0.0014303860139160155,0.001093565364770508,-5.0902366638183594e-05,-7.176399230957031e-05,0.137466378525,0.1390782446125,0.13919543842499998,5.614757537841797e-05,0.0082550048828125,0.00968170166015625,3.081560134887695e-05,3.528594970703125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5033950805664062e-06,-3.5762786865234375e-07,2.2649765014648438e-06,-4.172325134277344e-07,40.0625,0.01113128662109375,0.0048828125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0269531009703125,0.12274169921875,0.0,0.0,0.0,0.0,0.0,0.027108497871875,0.122802734375,0.00495147705078125,0.00011152029037475586,0.0030460357666015625,0.02545166015625,0.0107269287109375,0.0242919921875,0.0002911090850830078,0.0068527308078125,-0.00012290477752685547,0.016998291015625,0.0176544189453125,0.016164049520227052,0.02012747716036987,0.00859832763671875,0.00823974609375,0.061285158625,0.063989676578125,0.0017375946044921875,0.00525665283203125,0.00014281272888183594,0.000602581051965332,0.00015151500701904297,0.00012385845184326172,0.061279296875,0.059326171875,0.0015483706019042969,0.0008961233119506836,-0.00014078617095947266,-0.00013113021850585938,0.18821951006249998,0.1906380430125,0.190755832925,6.878376007080078e-05,0.01345062255859375,0.01497650146484375,0.00014066696166992188,-7.909536361694336e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4570693969726562e-06,-2.980232238769531e-07,5.7220458984375e-06,-5.960464477539063e-08,60.15625,0.01552581787109375,0.01611328125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.04652416395,0.0802001953125,0.0,0.0,0.0,0.0,0.0,0.046755077996875,0.080322265625,0.00643157958984375,0.000148773193359375,0.0040740966796875,0.030731201171875,0.016876220703125,0.0207672119140625,0.000392913818359375,0.00810664138359375,-0.00016391277313232422,0.034912109375,0.034576416015625,0.016088085269146728,0.019993863973791503,0.0111083984375,0.0108795166015625,0.074057378784375,0.07626604843125,0.0035190582275390625,0.007190704345703125,0.00014197826385498047,0.0006184471590942383,0.00024247169494628906,0.00014793872833251953,0.0732421875,0.0718994140625,0.001882653450390625,0.0010835581255493163,-0.00021898746490478516,-0.00020599365234375,0.2413038872,0.2437199205625,0.2440822497,5.030632019042969e-05,0.0194091796875,0.020660400390625,0.0003764629364013672,-0.0004775524139404297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.682209014892578e-06,-1.7881393432617188e-07,-3.039836883544922e-06,4.76837158203125e-07,80.3125,0.021087646484375,0.0242156982421875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.07373928049375,0.021759033203125,0.0,0.0,0.0,0.0,0.0,0.074060641075,0.0218505859375,0.0077056884765625,0.0001862049102783203,0.005157470703125,0.033843994140625,0.02301025390625,0.0128631591796875,0.0005040168762207031,0.00900325128359375,-0.00018477439880371094,0.056884765625,0.054107666015625,0.016024652857958985,0.019890949136932373,0.01329803466796875,0.01331329345703125,0.08334730566875,0.08508978043125,0.00650787353515625,0.009124755859375,0.00015425682067871094,0.0006675779558227539,0.0003921985626220703,0.00020945072174072266,0.08148193359375,0.0804443359375,0.0023006837381835937,0.0012874375642822266,-0.00024437904357910156,-0.00018918514251708984,0.292146012175,0.295162811925,0.29540324215,9.310245513916016e-05,0.0240631103515625,0.02490234375,0.0006737709045410156,-0.000858306884765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-5.960464477539062e-07,-7.62939453125e-06,1.3113021850585938e-06,100.3125,0.013671875,0.02099609375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.08869551293125,-0.0005331039428710938,0.0,0.0,0.0,0.0,0.0,0.089137905025,-0.00047326087951660156,0.007328033447265625,0.0001863241195678711,0.004764556884765625,0.0291748046875,0.0235137939453125,0.0051422119140625,0.0004596710205078125,0.00830697212109375,-0.00019121170043945312,0.064697265625,0.059539794921875,0.01601350676918335,0.01982807745170288,0.012725830078125,0.01293182373046875,0.07724510230000001,0.07919778297499999,0.00901031494140625,0.0092315673828125,0.0001666545867919922,0.000734881783380127,0.00048534076694335936,0.0002541542053222656,0.07232666015625,0.0706787109375,0.0021825047497070313,0.0011466460162597655,-0.0002541542053222656,-0.00017940998077392578,0.2896317392875,0.2939301319,0.29392609000000003,0.00016939640045166016,0.0233001708984375,0.0240020751953125,0.0006031990051269531,-0.0009703636169433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.3113021850585938e-06,-5.7220458984375e-06,1.5497207641601562e-06,100.3125,0.021484375,0.021484375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.09711750340625,-0.00048613548278808594,0.0,0.0,0.0,0.0,0.0,0.0974366368875,-0.00041174888610839844,0.0071563720703125,0.00018644332885742188,0.004207611083984375,0.02618408203125,0.0241241455078125,0.00232696533203125,0.0004143714904785156,0.00773813516015625,-0.00020313262939453125,0.06951904296875,0.0634765625,0.01589731314730835,0.019610926494317626,0.01232147216796875,0.012603759765625,0.0729761478,0.07468931751562499,0.01190185546875,0.0094757080078125,0.0001748800277709961,0.0007087640803955078,0.0005951532472167969,0.00032401084899902344,0.065185546875,0.06280517578125,0.002060802972167969,0.0011912139752441406,-0.0002689361572265625,-0.00019407272338867188,0.2901380993625,0.293182015375,0.293177831875,0.0002739429473876953,0.0244293212890625,0.02459716796875,0.0005383491516113281,-0.001033782958984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-1.6689300537109375e-06,-7.62939453125e-06,1.0728836059570312e-06,100.25,0.0205078125,0.01904296875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.09984601549375,-0.00036644935607910156,0.0,0.0,0.0,0.0,0.0,0.100164255475,-0.00027441978454589844,0.00714874267578125,0.00018644332885742188,0.0034351348876953125,0.0243682861328125,0.0253143310546875,0.0012464523315429688,0.00040459632873535156,0.007537841796875,-0.0002238750457763672,0.071533203125,0.06591796875,0.0159404520361084,0.01958635445606079,0.012115478515625,0.0124053955078125,0.071295449528125,0.07234161716875,0.015167236328125,0.00977325439453125,0.00019121170043945312,0.0005397424422363281,0.0007295532624511719,0.00042438507080078125,0.0587158203125,0.0556640625,0.0017671260619140626,0.0010786926883911132,-0.00021517276763916016,-0.00017940998077392578,0.296761557425,0.29469699415,0.2951811478,0.0004317760467529297,0.027618408203125,0.0272216796875,0.0007719993591308594,-0.000911712646484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-1.3113021850585938e-06,0.0,-1.1920928955078125e-07,100.3125,0.021484375,0.0205078125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.09837932975625,0.0031795501708984375,0.0,0.0,0.0,0.0,0.0,0.09881868235,0.0032672882080078125,0.007293701171875,0.00018644332885742188,0.002971649169921875,0.0233154296875,0.02569580078125,0.0011949539184570312,0.0004668235778808594,0.007572174072265625,-0.00023424625396728516,0.06927490234375,0.06451416015625,0.016081577148394775,0.019689137136645506,0.01202392578125,0.012237548828125,0.072681594615625,0.07318418659375,0.01702880859375,0.00989532470703125,0.00023758411407470703,0.0005183943712158203,0.0008408174968261719,0.00048828125,0.052978515625,0.049713134765625,0.0015509455488769532,0.0009611890703857421,-0.00019562244415283203,-0.00016963481903076172,0.3082647398,0.298760578,0.299000512825,0.0005855560302734375,0.0303955078125,0.0295867919921875,0.0009565353393554688,-0.0007190704345703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.430511474609375e-06,1.1444091796875e-05,-1.5497207641601562e-06,100.3125,0.0185546875,0.0146484375
