Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.007122328498046875,0.048797607421875,0.0,0.0,0.0,0.0,0.0,0.00716915717890625,0.04888916015625,0.0018482208251953125,3.731250762939453e-05,0.0003437995910644531,0.00450897216796875,0.005596160888671875,0.000270843505859375,0.0001380443572998047,0.002105784243261719,-3.451108932495117e-05,0.004070281982421875,0.00493621826171875,0.01653634567541504,0.020428739518566896,0.002811431884765625,0.0026988983154296875,0.0285248178609375,0.03125360791015625,0.004207611083984375,0.002063751220703125,7.593631744384766e-05,0.00047440958092041016,7.140636444091797e-05,5.7578086853027344e-05,0.010650634765625,0.0095977783203125,0.0008094875901489258,0.0004564310918334961,1.8477439880371094e-06,-8.404254913330078e-06,0.1080118678625,0.1079318970875,0.1080488004,0.0002570152282714844,0.003490447998046875,0.0038394927978515625,2.962350845336914e-05,-6.377696990966797e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2516975402832031e-06,-3.5762786865234375e-07,5.960464477539062e-07,-7.152557373046875e-07,20.03125,0.00418853759765625,0.0024776458740234375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01206935988203125,0.10186767578125,0.0,0.0,0.0,0.0,0.0,0.01214171964375,0.1019287109375,0.003704071044921875,7.462501525878906e-05,0.0006341934204101562,0.0087127685546875,0.0108489990234375,0.0005216598510742188,0.0002846717834472656,0.0039834090181640625,-6.717443466186523e-05,0.0081634521484375,0.00978851318359375,0.016359718548095703,0.020337939299700927,0.0057220458984375,0.00545501708984375,0.043203806484374996,0.044757865325,0.0092010498046875,0.00431060791015625,0.00015306472778320312,0.00046800888807373045,0.0001456737518310547,0.00014317035675048828,0.020416259765625,0.0181427001953125,0.0009344753693847657,0.0005458582839294434,-9.417533874511719e-06,-3.457069396972656e-05,0.1715239957125,0.1711827368,0.17129993061249998,0.0005702972412109375,0.006641387939453125,0.00743865966796875,4.667043685913086e-05,-1.9669532775878906e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.635883331298828e-06,-9.5367431640625e-07,5.424022674560547e-06,-1.7881393432617188e-06,40.0625,0.00603485107421875,0.0059661865234375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.017202734759375,0.1590576171875,0.0,0.0,0.0,0.0,0.0,0.0172970965046875,0.1591796875,0.005558013916015625,0.0001119375228881836,0.0009188652038574219,0.01285552978515625,0.0157012939453125,0.0006580352783203125,0.0003719329833984375,0.006238564548046875,-0.00010538101196289062,0.01336669921875,0.0149688720703125,0.01614855231258545,0.020166875830566405,0.00859832763671875,0.008209228515625,0.05743994378125,0.058099784,0.01422119140625,0.00644683837890625,0.0002040863037109375,0.0004929085055786133,0.0001926422119140625,0.00018978118896484375,0.02972412109375,0.026031494140625,0.001093050720465088,0.0006264718989868164,-1.7821788787841797e-05,-4.976987838745117e-05,0.22996755693749998,0.2321419492625,0.232259739175,0.0007987022399902344,0.009613037109375,0.0108795166015625,7.802248001098633e-05,-5.662441253662109e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6689300537109375e-06,-1.6093254089355469e-06,1.9073486328125e-06,-2.3245811462402344e-06,60.03125,0.013885498046875,0.0088348388671875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.022140619028125,0.197509765625,0.0,0.0,0.0,0.0,0.0,0.0222647215515625,0.19775390625,0.007343292236328125,0.00014925003051757812,0.00113677978515625,0.0162811279296875,0.0202178955078125,0.0008268356323242188,0.0004730224609375,0.0085567756609375,-0.00014472007751464844,0.019317626953125,0.0209197998046875,0.016079323386364745,0.02010925856607666,0.0116424560546875,0.0111236572265625,0.070791997925,0.070498226165625,0.020477294921875,0.00878143310546875,0.0002830028533935547,0.00047670731381835936,0.0002434253692626953,0.0002675056457519531,0.03912353515625,0.034149169921875,0.0011691858524291992,0.0006484442186889648,-3.069639205932617e-05,-8.89897346496582e-05,0.2897658012625,0.2903507799375,0.2905910387625,0.0011510848999023438,0.0125274658203125,0.0142974853515625,0.00014007091522216797,-1.8715858459472656e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.450580596923828e-06,-2.2649765014648438e-06,-2.086162567138672e-06,-2.9802322387695312e-06,80.125,0.0201568603515625,0.0134124755859375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0270473859625,0.1895751953125,0.0,0.0,0.0,0.0,0.0,0.0272008998640625,0.1898193359375,0.0092010498046875,0.00018656253814697266,0.0012216567993164062,0.0198211669921875,0.025299072265625,0.0009908676147460938,0.0006184577941894531,0.01075801202578125,-0.00017833709716796875,0.02685546875,0.02850341796875,0.016004625697314454,0.02005742490979004,0.01500701904296875,0.01447296142578125,0.0837745517625,0.082587339025,0.027618408203125,0.0113677978515625,0.0003409385681152344,0.0004371463991210937,0.0002846717834472656,0.00032830238342285156,0.0499267578125,0.044403076171875,0.001205448390435791,0.0007488499940917968,-7.534027099609375e-05,-0.00015985965728759766,0.35147218405,0.348385468175,0.348381757775,0.00157928466796875,0.01549530029296875,0.0172882080078125,0.00018584728240966797,-4.5299530029296875e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.940696716308594e-07,-2.384185791015625e-06,-4.410743713378906e-06,-3.4570693969726562e-06,100.125,0.0228118896484375,0.0151214599609375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0316123830484375,0.1041259765625,0.0,0.0,0.0,0.0,0.0,0.0318106345171875,0.10430908203125,0.009490966796875,0.000186920166015625,0.00128936767578125,0.020599365234375,0.0265960693359375,0.001178741455078125,0.0005893707275390625,0.010206691359375,-0.00019443035125732422,0.03399658203125,0.035614013671875,0.016052726625445556,0.020007368223187254,0.015472412109375,0.015167236328125,0.08139549292500001,0.08066262672499999,0.029632568359375,0.01222991943359375,0.0003139972686767578,0.0004563492783447266,0.00029842060092773436,0.0002899169921875,0.052337646484375,0.048309326171875,0.0011643382076538086,0.0008805112773376465,-0.00018215179443359375,-0.00023686885833740234,0.35371865335,0.345932085025,0.34617218375000003,0.0016574859619140625,0.01727294921875,0.017913818359375,0.00024318695068359375,-0.00013136863708496094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.556510925292969e-06,-2.0265579223632812e-06,6.67572021484375e-06,-3.3974647521972656e-06,100.125,0.01398468017578125,0.0182647705078125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.044901927234375,0.02447509765625,0.0,0.0,0.0,0.0,0.0,0.0451905431375,0.0246429443359375,0.00974273681640625,0.00018703937530517578,0.0015096664428710938,0.02276611328125,0.02947998046875,0.0013942718505859375,0.0005345344543457031,0.00922586709375,-0.00021016597747802734,0.044525146484375,0.045928955078125,0.01589004138064575,0.019713386878686522,0.0157012939453125,0.015716552734375,0.07914069858125,0.07893126087499999,0.0304718017578125,0.0132598876953125,0.0002282857894897461,0.0004298143428466797,0.00037127820144042966,0.0002803802490234375,0.0576171875,0.054595947265625,0.0012051782964172364,0.001000240693383789,-0.00015926361083984375,-0.00019693374633789062,0.35446915405,0.344207406,0.3442032225,0.001621246337890625,0.0195770263671875,0.01922607421875,0.00045037269592285156,-0.00043845176696777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4836273193359375e-06,-1.6689300537109375e-06,2.1457672119140625e-06,-2.5033950805664062e-06,100.1875,0.0148773193359375,0.01503753662109375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0613328319,-0.0007495880126953125,0.0,0.0,0.0,0.0,0.0,0.06165107188125,-0.0006270408630371094,0.00989532470703125,0.00018703937530517578,0.001781463623046875,0.0247650146484375,0.0323486328125,0.0017557144165039062,0.0004184246063232422,0.00861358642578125,-0.00021207332611083984,0.056243896484375,0.056243896484375,0.01595749896451416,0.01966199275028076,0.0160675048828125,0.01629638671875,0.07755155304375,0.077987369121875,0.0301971435546875,0.0140838623046875,7.37905502319336e-05,0.0003835782729248047,0.0003836079041748047,0.00025153160095214844,0.06298828125,0.060577392578125,0.0011896762633300782,0.0009996569294189453,-0.0001995563507080078,-0.00020825862884521484,0.35169319805,0.338886447275,0.339370600925,0.0015592575073242188,0.0208587646484375,0.0198211669921875,0.00021636486053466797,-0.001056671142578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-2.6226043701171875e-06,-7.212162017822266e-06,-2.980232238769531e-07,100.1875,0.0227203369140625,0.0142974853515625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.07536907585,-0.0006031990051269531,0.0,0.0,0.0,0.0,0.0,0.0757473932875,-0.00047969818115234375,0.00994873046875,0.00018727779388427734,0.001922607421875,0.02593994140625,0.034423828125,0.0017137527465820312,0.0002830028533935547,0.00835418701171875,-0.0002180337905883789,0.06463623046875,0.063232421875,0.016064649429278564,0.019714767133898924,0.0164947509765625,0.016876220703125,0.0787545926625,0.07977598346875,0.029449462890625,0.01442718505859375,6.67572021484375e-06,0.0004888304674072265,0.0004471884227294922,0.0002589225769042969,0.0660400390625,0.063720703125,0.0012042849348632813,0.0010058925539672852,-0.00015103816986083984,-0.0001480579376220703,0.348059661675,0.33342854675,0.33342434095,0.0014905929565429688,0.0211944580078125,0.0200653076171875,8.493661880493164e-05,-0.0010509490966796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6093254089355469e-06,-2.086162567138672e-06,-1.3947486877441406e-05,5.364418029785156e-07,100.125,0.02056884765625,0.01214599609375
