Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00461607239453125,0.05584716796875,0.0,0.0,0.0,0.0,0.0,0.00465145698359375,0.05596923828125,0.0008482933044433594,3.7550926208496094e-05,8.982419967651367e-05,0.001384735107421875,0.0019092559814453125,8.422136306762695e-05,0.00013339519500732422,0.0019226787745117188,-3.0219554901123047e-05,0.00719451904296875,0.007732391357421875,0.01655303497595215,0.02042635533277588,0.002315521240234375,0.002269744873046875,0.019625129140234374,0.022392066162109377,0.0038700103759765625,0.001495361328125,0.00012671947479248047,0.000530378342364502,0.00019288063049316406,0.00022482872009277344,0.005138397216796875,0.004222869873046875,0.0008262364953308106,0.0005249764333251953,2.1398067474365234e-05,-2.384185791015625e-07,0.078837063175,0.08028297130625,0.080308321884375,0.0003008842468261719,0.0018482208251953125,0.0025043487548828125,2.1457672119140625e-05,1.537799835205078e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0728836059570312e-06,-2.980232238769531e-07,7.748603820800781e-07,-1.0132789611816406e-06,20.03125,0.003612518310546875,0.00341796875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.00735439406171875,0.11749267578125,0.0,0.0,0.0,0.0,0.0,0.00740386563984375,0.1175537109375,0.0016422271728515625,7.516145706176758e-05,0.0001271963119506836,0.002483367919921875,0.0035762786865234375,0.0001577138900756836,0.0002644062042236328,0.0036324568697265625,-5.996227264404297e-05,0.0132293701171875,0.01432037353515625,0.016388567196166992,0.020336687602160643,0.0045928955078125,0.00446319580078125,0.0258545633203125,0.02758409823515625,0.00827789306640625,0.003032684326171875,0.0002589225769042969,0.0005857280615051269,0.0003819465637207031,0.0004532337188720703,0.00948333740234375,0.007465362548828125,0.0009808477830200195,0.0006443847617431641,4.482269287109375e-05,-1.9669532775878906e-06,0.1139068082125,0.1178380102375,0.11795520405,0.0006289482116699219,0.0033817291259765625,0.004726409912109375,4.029273986816406e-05,1.9609928131103516e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-9.5367431640625e-07,7.748603820800781e-07,-1.9669532775878906e-06,40.03125,0.00820159912109375,0.007030487060546875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.01008450966171875,0.184814453125,0.0,0.0,0.0,0.0,0.0,0.01014835382890625,0.18505859375,0.0023937225341796875,0.00011271238327026367,0.0001404285430908203,0.003421783447265625,0.00502777099609375,0.00023365020751953125,0.0004017353057861328,0.00549469858125,-9.363889694213867e-05,0.017791748046875,0.019439697265625,0.016203030957910158,0.020179571619903563,0.006805419921875,0.006549835205078125,0.0323392357734375,0.0329380408359375,0.01300811767578125,0.004596710205078125,0.00038313865661621094,0.0006104488650756836,0.0005540847778320312,0.0006699562072753906,0.01322174072265625,0.0099334716796875,0.0011337010882019043,0.0007683905581970215,7.748603820800781e-05,-1.4662742614746094e-05,0.14897390459374998,0.15651939066875,0.156576145425,0.000980377197265625,0.0046234130859375,0.00666046142578125,6.270408630371094e-05,1.5079975128173828e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.318092346191406e-06,-1.430511474609375e-06,-1.1324882507324219e-06,-2.9206275939941406e-06,60.0625,0.0134735107421875,0.00732421875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.012802240121874999,0.25732421875,0.0,0.0,0.0,0.0,0.0,0.012880566278125,0.25732421875,0.0031280517578125,0.00015032291412353516,0.0001385211944580078,0.00433349609375,0.00637054443359375,0.00030612945556640625,0.0005359649658203125,0.007461957545703125,-0.0001251697540283203,0.020477294921875,0.0228118896484375,0.016157047843151855,0.020135961446936034,0.00897979736328125,0.0085601806640625,0.0393436336671875,0.038759944915625,0.01800537109375,0.006195068359375,0.0005006790161132812,0.0006198776705688476,0.0007090568542480469,0.0008683204650878906,0.0165863037109375,0.0118865966796875,0.0012293865436523437,0.0008391790819702148,7.003545761108398e-05,-3.612041473388672e-05,0.1836866997,0.1952580065,0.195498265325,0.0013523101806640625,0.00553131103515625,0.00826263427734375,9.191036224365234e-05,1.5974044799804688e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,-2.205371856689453e-06,-7.62939453125e-06,-3.635883331298828e-06,80.0625,0.0167999267578125,0.01328277587890625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0154049299078125,0.332275390625,0.0,0.0,0.0,0.0,0.0,0.0155126674421875,0.33251953125,0.0038738250732421875,0.00018799304962158203,0.00014078617095947266,0.0053558349609375,0.00787353515625,0.00037670135498046875,0.0006804466247558594,0.0095144207171875,-0.0001646280288696289,0.0211181640625,0.02435302734375,0.01612401380079956,0.02010940016003418,0.011138916015625,0.0105438232421875,0.047611221684374996,0.0459204689078125,0.0233001708984375,0.0078125,0.0006098747253417969,0.0005742370821044922,0.0008406639099121094,0.0010433197021484375,0.0196990966796875,0.013427734375,0.001281444312524414,0.0008778344453857421,9.97781753540039e-05,-3.0517578125e-05,0.2170727699875,0.2333952338,0.233635664025,0.0017604827880859375,0.00614166259765625,0.0095672607421875,9.262561798095703e-05,-1.055002212524414e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.7881393432617188e-06,0.0,-5.245208740234375e-06,100.125,0.02001953125,0.021484375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.01524733177890625,0.3388671875,0.0,0.0,0.0,0.0,0.0,0.0153616599078125,0.339111328125,0.0038776397705078125,0.00018799304962158203,0.00011461973190307617,0.005481719970703125,0.00815582275390625,0.00040531158447265625,0.0006895065307617188,0.00975655708203125,-0.000171661376953125,0.0168914794921875,0.02056884765625,0.016154114126208496,0.020092424051281737,0.0111541748046875,0.01049041748046875,0.05032859839375,0.048649687271875,0.024139404296875,0.0078887939453125,0.0006103515625,0.0005338353165527344,0.0008215109634765625,0.001026153564453125,0.018890380859375,0.0122833251953125,0.0011953922275817872,0.0008192377025085449,0.00026345252990722656,0.00010865926742553711,0.214314356475,0.231674272525,0.23191437125,0.0018434524536132812,0.005565643310546875,0.00905609130859375,8.255243301391602e-05,-7.331371307373047e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-1.9073486328125e-06,-1.9073486328125e-06,-5.364418029785156e-06,100.125,0.01953125,0.02001953125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.01547535252734375,0.333740234375,0.0,0.0,0.0,0.0,0.0,0.01558849235625,0.333984375,0.0039215087890625,0.0001881122589111328,5.5670738220214844e-05,0.005680084228515625,0.008880615234375,0.00045418739318847656,0.0007038116455078125,0.009988806546875,-0.00017440319061279297,0.013885498046875,0.0179901123046875,0.016011456042053222,0.01986275611849365,0.01129150390625,0.010589599609375,0.053475415378125,0.051984239390625,0.025054931640625,0.007965087890625,0.0005998611450195312,0.00052446651875,0.0008245119203125,0.001026153564453125,0.0180511474609375,0.0113677978515625,0.001099082028717041,0.0007797631123596192,0.0018892288208007812,0.0017299652099609375,0.2093275524875,0.227752327875,0.22774814437500002,0.0019483566284179688,0.0055084228515625,0.0091400146484375,8.374452590942383e-05,2.4437904357910156e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-2.7418136596679688e-06,-1.9073486328125e-06,-4.172325134277344e-06,100.125,0.020751953125,0.02294921875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0181352000640625,0.2978515625,0.0,0.0,0.0,0.0,0.0,0.018285593365625,0.298095703125,0.004184722900390625,0.00018835067749023438,-2.0742416381835938e-05,0.0056915283203125,0.00986480712890625,0.0004944801330566406,0.000675201416015625,0.01013946533203125,-0.00015115737915039062,0.013519287109375,0.0178985595703125,0.01605614465161743,0.019818037710302733,0.011474609375,0.010772705078125,0.055853554996875,0.054427798809375,0.0259552001953125,0.0080718994140625,0.0005927085876464844,0.0005416497908691406,0.0008711738984375,0.001049041748046875,0.0165557861328125,0.010345458984375,0.0009986433768249512,0.0007702982563232421,0.0031795501708984375,0.0030231475830078125,0.203499838675,0.22243136915,0.222671382175,0.0020809173583984375,0.00595855712890625,0.0093536376953125,4.106760025024414e-05,-8.422136306762695e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.1920928955078125e-06,-3.814697265625e-06,-4.649162292480469e-06,100.1875,0.02734375,0.025390625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0311643639359375,0.2457275390625,0.0,0.0,0.0,0.0,0.0,0.0313595759046875,0.2459716796875,0.004360198974609375,0.00018846988677978516,0.00017058849334716797,0.00666046142578125,0.0116424560546875,0.0005712509155273438,0.0005922317504882812,0.00966644287109375,-0.0001704692840576172,0.019317626953125,0.0233154296875,0.016144460048632812,0.01987075248927612,0.01134490966796875,0.01080322265625,0.054310012584375,0.053378278390625,0.0256195068359375,0.008087158203125,0.0005249977111816406,0.0006606110536499023,0.0009690866923828125,0.0010690689086914062,0.01751708984375,0.01175689697265625,0.0009156792448608399,0.000760977068585205,0.0055389404296875,0.0054168701171875,0.1969366148,0.21331135925,0.2134292237625,0.00211334228515625,0.009185791015625,0.01213836669921875,0.00013136863708496094,-0.00023806095123291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-2.0265579223632812e-06,3.814697265625e-06,-3.4570693969726562e-06,100.25,0.02880859375,0.0244140625
