Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.008198073126953125,0.0909423828125,0.0,0.0,0.0,0.0,0.0,0.008241087110546875,0.09100341796875,0.00199127197265625,3.719329833984375e-05,0.0014190673828125,0.0124664306640625,0.0055389404296875,0.01041412353515625,9.822845458984375e-05,0.0032187221705078125,-2.866983413696289e-05,0.002552032470703125,0.0029277801513671875,0.016544928744262697,0.020447216958447267,0.0035343170166015625,0.0032253265380859375,0.0311035532125,0.034358771484375,0.0006818771362304688,0.002109527587890625,1.6868114471435547e-05,0.0005412859923583984,1.4901161193847656e-06,3.9577484130859375e-05,0.0264892578125,0.025054931640625,0.0014249651520996094,0.0010130192647460937,8.702278137207031e-06,-2.9087066650390625e-05,0.087473537784375,0.09004859630625,0.0901044644625,3.916025161743164e-05,0.003582000732421875,0.00432586669921875,1.7344951629638672e-05,0.00018227100372314453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2516975402832031e-06,5.960464477539063e-08,3.5762786865234375e-07,-1.7881393432617188e-07,20.03125,0.0009765625,0.0020503997802734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0142589961125,0.1846923828125,0.0,0.0,0.0,0.0,0.0,0.01433898526875,0.184814453125,0.00391387939453125,7.450580596923828e-05,0.0025463104248046875,0.023193359375,0.01100921630859375,0.0176544189453125,0.00019991397857666016,0.00620928487265625,-5.716085433959961e-05,0.00548553466796875,0.006206512451171875,0.016374142872131348,0.020364344157336425,0.007110595703125,0.00646209716796875,0.047720408046874996,0.050220511809375,0.0023250579833984375,0.004352569580078125,4.112720489501953e-05,0.0005516938093383789,4.172325134277344e-06,0.00010502338409423828,0.04937744140625,0.04632568359375,0.0017245945405273437,0.001255451579980469,1.1563301086425781e-05,-5.519390106201172e-05,0.13069147618125,0.136758908675,0.13681506733124998,0.00014209747314453125,0.006916046142578125,0.00850677490234375,9.173154830932617e-05,0.0005507469177246094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.086162567138672e-06,-1.7881393432617188e-07,1.5497207641601562e-06,-5.960464477539062e-07,40.0625,0.0033206939697265625,0.00429534912109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0206359622984375,0.281494140625,0.0,0.0,0.0,0.0,0.0,0.020699806465625,0.28173828125,0.0058441162109375,0.00011157989501953125,0.0034351348876953125,0.031585693359375,0.016754150390625,0.020538330078125,0.0002779960632324219,0.009492501315625,-9.113550186157227e-05,0.008636474609375,0.009185791015625,0.01618359984371338,0.0202274341496582,0.01061248779296875,0.009613037109375,0.06476416253125,0.06658367071875,0.004093170166015625,0.00656890869140625,8.118152618408203e-05,0.0006089587489562988,-1.3887882232666016e-05,0.00014650821685791016,0.0675048828125,0.06268310546875,0.0013838617823242188,0.000817445180847168,5.1081180572509766e-05,-4.464387893676758e-05,0.17296072099999998,0.183924175825,0.1840419657375,0.0002111196517944336,0.0100860595703125,0.0124664306640625,0.00012862682342529297,0.000789642333984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.020069122314453e-06,-4.172325134277344e-07,2.2649765014648438e-06,-1.3709068298339844e-06,60.03125,0.007030487060546875,0.00732421875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.027023431528125,0.38037109375,0.0,0.0,0.0,0.0,0.0,0.027162792840625,0.38037109375,0.00759124755859375,0.000148773193359375,0.00396728515625,0.03857421875,0.0227813720703125,0.021240234375,0.00038695335388183594,0.0125545783953125,-0.0001233816146850586,0.01142120361328125,0.0122222900390625,0.01612891445081787,0.020191274557287597,0.0140228271484375,0.0126800537109375,0.080557622925,0.08175921249375,0.00716400146484375,0.0088958740234375,0.00012540817260742188,0.0006168974383300781,-2.396106719970703e-05,0.0002028942108154297,0.0821533203125,0.07562255859375,0.0014203598255126953,0.0007588320208129882,7.200241088867188e-05,-6.73532485961914e-05,0.216157402825,0.231634959625,0.23187521845,0.00034117698669433594,0.012939453125,0.016204833984375,0.000179290771484375,0.0010004043579101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.172325134277344e-06,-1.430511474609375e-06,3.039836883544922e-06,-1.7285346984863281e-06,80.0625,0.0109405517578125,0.0128936767578125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.033639182837500003,0.4814453125,0.0,0.0,0.0,0.0,0.0,0.033746920371875,0.48193359375,0.00926971435546875,0.0001862049102783203,0.00421142578125,0.045166015625,0.0292510986328125,0.0216217041015625,0.0004949569702148438,0.01557978936953125,-0.00015211105346679688,0.01332855224609375,0.01447296142578125,0.016103390593707276,0.02018438280316162,0.0173797607421875,0.01568603515625,0.09689711035625,0.09754095230625,0.01067352294921875,0.011260986328125,0.00016510486602783203,0.0006315767503784179,-3.343820571899414e-05,0.0002617835998535156,0.09552001953125,0.0875244140625,0.0015401284708496093,0.0008109580339477539,5.888938903808594e-05,-7.444620132446289e-05,0.2600415199875,0.280514374425,0.28075480465,0.0004773139953613281,0.01544189453125,0.0195770263671875,0.00021195411682128906,0.0011034011840820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-1.6689300537109375e-06,3.814697265625e-06,-1.9073486328125e-06,100.0625,0.018310546875,0.0107421875
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0338249074625,0.488525390625,0.0,0.0,0.0,0.0,0.0,0.033962123775,0.48876953125,0.009063720703125,0.0001862049102783203,0.00368499755859375,0.043121337890625,0.0300750732421875,0.0186920166015625,0.0005030632019042969,0.01555489692578125,-0.00015091896057128906,0.01177978515625,0.01303863525390625,0.01613039147758789,0.020133432046887206,0.01727294921875,0.0155487060546875,0.09726463355000001,0.09817971656874999,0.01190185546875,0.01136016845703125,0.00017344951629638672,0.0006170434006591797,-3.429252620849609e-05,0.0002639293670654297,0.091064453125,0.0828857421875,0.0014615269665039063,0.0007737593585449219,7.659196853637695e-05,-0.00010251998901367188,0.2614334971,0.2823334522125,0.28269562125000003,0.0005192756652832031,0.014739990234375,0.0189208984375,0.00024127960205078125,0.0010509490966796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-1.5497207641601562e-06,-7.62939453125e-06,-2.1457672119140625e-06,100.0625,0.015869140625,0.0126953125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0339461166875,0.495361328125,0.0,0.0,0.0,0.0,0.0,0.034112662278125,0.495849609375,0.0088653564453125,0.0001862049102783203,0.0033817291259765625,0.04180908203125,0.031036376953125,0.01702880859375,0.000537872314453125,0.0155582645546875,-0.0001569986343383789,0.0095977783203125,0.01088714599609375,0.016000429182769775,0.019898161277490233,0.017120361328125,0.01537322998046875,0.09787849155,0.09943907337499999,0.0128021240234375,0.011474609375,0.00017511844635009766,0.0006062440913818359,-2.038391937866211e-05,0.00026607513427734375,0.08819580078125,0.0799560546875,0.0014335236905517578,0.000777915368371582,9.185075759887695e-05,-7.814168930053711e-05,0.2632826306125,0.28414881225,0.2842666990625,0.0005578994750976562,0.01409149169921875,0.0182647705078125,0.00024366378784179688,0.0009522438049316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.384185791015625e-06,5.7220458984375e-06,-2.7418136596679688e-06,100.0625,0.016357421875,0.0146484375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.03417218736875,0.50244140625,0.0,0.0,0.0,0.0,0.0,0.034337839459375,0.5029296875,0.0086669921875,0.0001862049102783203,0.00316619873046875,0.040924072265625,0.03265380859375,0.01560211181640625,0.0005383491516113281,0.015655517578125,-0.00016438961029052734,0.006591796875,0.0079803466796875,0.016056740698065185,0.019862979612463378,0.016998291015625,0.0152130126953125,0.099341103825,0.10151642185625,0.013702392578125,0.01160430908203125,0.00017881393432617188,0.0005910024367431641,1.6017358093261687e-06,0.00027060508728027344,0.08587646484375,0.07763671875,0.0013703975462890626,0.0007491982120727539,7.414817810058594e-05,-0.00010496377944946289,0.2666101902375,0.286640353525,0.2867582962375,0.0006017684936523438,0.01355743408203125,0.0177001953125,0.00019240379333496094,0.0007519721984863281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.5497207641601562e-06,5.7220458984375e-06,-3.2186508178710938e-06,100.0625,0.015625,0.013671875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.034597591475,0.50927734375,0.0,0.0,0.0,0.0,0.0,0.0347317682875,0.509765625,0.00848388671875,0.0001862049102783203,0.00299835205078125,0.040557861328125,0.034912109375,0.01568603515625,0.0005640983581542969,0.0156707763671875,-0.0001761913299560547,0.003437042236328125,0.0048828125,0.016184156742053223,0.019946867620654295,0.016937255859375,0.015106201171875,0.10164277625625,0.10480039753125,0.01453399658203125,0.01168060302734375,0.00017440319061279297,0.0005970725023193359,2.9240653564453124e-05,0.0002689361572265625,0.083984375,0.0760498046875,0.0012305109785644532,0.0006715701014221191,8.273124694824219e-05,-0.00010132789611816406,0.270911224175,0.28948323425,0.289723169075,0.000644683837890625,0.01312255859375,0.017303466796875,0.00013136863708496094,0.0004553794860839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.9073486328125e-06,1.1444091796875e-05,-2.86102294921875e-06,100.0625,0.016357421875,0.01318359375
