Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00791197083203125,0.08624267578125,0.0,0.0,0.0,0.0,0.0,0.00794735542109375,0.08636474609375,0.0014963150024414062,3.725290298461914e-05,0.0008378028869628906,0.0086822509765625,0.00394439697265625,0.0110321044921875,0.00010406970977783203,0.0027571438013671875,-3.3020973205566406e-05,0.0008902549743652344,0.0017108917236328125,0.016549995139068605,0.020438097447796632,0.002899169921875,0.002658843994140625,0.0299591440328125,0.033565314453125,0.000804901123046875,0.00177001953125,3.8623809814453125e-05,0.0005260272032958984,1.7702579498291016e-05,5.4717063903808594e-05,0.0215911865234375,0.0203857421875,0.0010501711457519532,0.0007633950124267578,3.874301910400391e-06,-2.1219253540039062e-05,0.08378091083125,0.0888889283375,0.088914278915625,5.424022674560547e-05,0.0030078887939453125,0.003879547119140625,-3.7550926208496094e-06,3.039836883544922e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-1.1920928955078125e-07,1.5497207641601562e-06,-2.980232238769531e-07,20.03125,0.0017576217651367188,0.0016603469848632812
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01386989699140625,0.174560546875,0.0,0.0,0.0,0.0,0.0,0.0139269979640625,0.174560546875,0.0029659271240234375,7.450580596923828e-05,0.0015811920166015625,0.01690673828125,0.0080413818359375,0.020050048828125,0.00021016597747802734,0.005236537069921875,-7.015466690063477e-05,0.0016584396362304688,0.003253936767578125,0.016384275661743164,0.02035313848411865,0.005817413330078125,0.0053253173828125,0.046621775234374996,0.050098441496875,0.0020847320556640625,0.0035858154296875,8.434057235717773e-05,0.0005763105276306152,3.0934810638427734e-05,0.00010663270950317383,0.041717529296875,0.039276123046875,0.0011393961381225585,0.0007644285163208008,9.655952453613281e-06,-3.272294998168945e-05,0.12403864415,0.13523302976875,0.13528918842499998,0.00012111663818359375,0.005748748779296875,0.00751495361328125,-2.6226043701171875e-06,6.22868537902832e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.635883331298828e-06,-3.5762786865234375e-07,2.2649765014648438e-06,-7.152557373046875e-07,40.0625,0.00400543212890625,0.003711700439453125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0197967289,0.264404296875,0.0,0.0,0.0,0.0,0.0,0.01987583185625,0.2646484375,0.004413604736328125,0.00011181831359863281,0.0021381378173828125,0.0243377685546875,0.01250457763671875,0.02593994140625,0.00031304359436035156,0.007741555270703125,-0.00010538101196289062,0.002368927001953125,0.00458526611328125,0.016194269075128175,0.0202041883381958,0.00875091552734375,0.00800323486328125,0.063390871515625,0.066675223453125,0.00402069091796875,0.005466461181640625,0.00013506412506103516,0.000605322865625,4.458427429199219e-05,0.0001633167266845703,0.05914306640625,0.055511474609375,0.0012733547709106445,0.0007555755595703125,4.082918167114258e-05,-4.9054622650146484e-05,0.16527029131249998,0.1830696836375,0.1830654032375,0.00021505355834960938,0.0082855224609375,0.01094818115234375,-1.0132789611816406e-06,9.739398956298828e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.589557647705078e-06,-7.152557373046875e-07,2.2649765014648438e-06,-1.0728836059570312e-06,60.0625,0.0084991455078125,0.00673675537109375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.025619622934375,0.35546875,0.0,0.0,0.0,0.0,0.0,0.025697949090625,0.355712890625,0.0058135986328125,0.00014901161193847656,0.0024318695068359375,0.0306396484375,0.017425537109375,0.027984619140625,0.0004203319549560547,0.01025813064140625,-0.0001366138458251953,0.003025054931640625,0.00569915771484375,0.016138451193981933,0.020150028143103026,0.01169586181640625,0.0106658935546875,0.08013037683125,0.08310198593125,0.0068359375,0.007427215576171875,0.00018894672393798828,0.0006203545077270508,6.389617919921875e-05,0.00023233890533447266,0.07281494140625,0.0679931640625,0.0013612320178955078,0.0007476263475952148,2.7060508728027344e-05,-7.325410842895508e-05,0.207368340325,0.231634959625,0.2317531481375,0.0003478527069091797,0.0105743408203125,0.01416015625,7.927417755126953e-06,0.00014007091522216797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.947185516357422e-06,-1.2516975402832031e-06,7.62939453125e-06,-1.3113021850585938e-06,80.125,0.0115203857421875,0.00820159912109375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.031396140845312503,0.447509765625,0.0,0.0,0.0,0.0,0.0,0.03151913716875,0.44775390625,0.007144927978515625,0.0001863241195678711,0.0024967193603515625,0.03564453125,0.0229339599609375,0.026580810546875,0.0005326271057128906,0.01277217218203125,-0.00017011165618896484,0.0038433074951171875,0.006839752197265625,0.016103688616931153,0.020139321691711426,0.0146484375,0.013336181640625,0.09689711035625,0.09943304215,0.01053619384765625,0.00942230224609375,0.0002579689025878906,0.0006493389345214843,8.368492126464844e-05,0.0003097057342529297,0.082763671875,0.07672119140625,0.0014248530878540038,0.0007551680864379882,3.3855438232421875e-05,-8.666515350341797e-05,0.2502758949875,0.2806364447375,0.2808768749625,0.000522613525390625,0.01259613037109375,0.01708984375,-1.0728836059570312e-06,0.00015866756439208984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.1920928955078125e-06,9.5367431640625e-06,-1.5497207641601562e-06,100.125,0.015625,0.0126953125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.03120039574375,0.450927734375,0.0,0.0,0.0,0.0,0.0,0.0313223532671875,0.451171875,0.007022857666015625,0.0001863241195678711,0.0021305084228515625,0.032806396484375,0.0239105224609375,0.018707275390625,0.0005278587341308594,0.0128006855,-0.00016641616821289062,0.00402069091796875,0.006771087646484375,0.016134861825946045,0.020098146097180174,0.01462554931640625,0.0132904052734375,0.09653221167500001,0.09891213844374999,0.012725830078125,0.00954437255859375,0.00028824806213378906,0.0006342095383544922,9.528797153320313e-05,0.0003368854522705078,0.07464599609375,0.0684814453125,0.0013209792141235352,0.0007139162951904297,1.9252300262451172e-05,-9.644031524658203e-05,0.251912012725,0.2818451709625,0.28220734000000003,0.0006208419799804688,0.011871337890625,0.016357421875,-1.0728836059570312e-06,0.00016236305236816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-2.1457672119140625e-06,0.0,-1.7881393432617188e-06,100.125,0.018310546875,0.01611328125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.03119953465625,0.454345703125,0.0,0.0,0.0,0.0,0.0,0.031305045090625,0.45458984375,0.006855010986328125,0.00018644332885742188,0.0017871856689453125,0.02984619140625,0.0246124267578125,0.01084136962890625,0.0005426406860351562,0.012796423734375,-0.0001628398895263672,0.004116058349609375,0.006622314453125,0.015984276324035644,0.019860014304833983,0.01454925537109375,0.01320648193359375,0.095681225925,0.09791319446874999,0.01499176025390625,0.0096435546875,0.00031685829162597656,0.0006431989711425781,0.00011772004256591797,0.0003600120544433594,0.0662841796875,0.059967041015625,0.0012849889157714844,0.0006881507733398438,1.9252300262451172e-05,-9.644031524658203e-05,0.2542494274875,0.2828060388125,0.282923925625,0.0007295608520507812,0.01113128662109375,0.01555633544921875,-1.5079975128173828e-05,0.00013911724090576172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-2.384185791015625e-06,3.814697265625e-06,-2.384185791015625e-06,100.125,0.017578125,0.01611328125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0315324168609375,0.45751953125,0.0,0.0,0.0,0.0,0.0,0.0316370337953125,0.457763671875,0.006725311279296875,0.00018644332885742188,0.0014524459838867188,0.02593994140625,0.0252532958984375,0.0026569366455078125,0.0005598068237304688,0.012847900390625,-0.0001558065414428711,0.00432586669921875,0.006580352783203125,0.016032600816931152,0.019824355802648925,0.01433563232421875,0.01294708251953125,0.09439725616875,0.0965725742,0.01800537109375,0.00972747802734375,0.0003876686096191406,0.0006370172225097656,0.00016700462506103516,0.0004019737243652344,0.055084228515625,0.04852294921875,0.001188424565789795,0.00063416124765625,1.9252300262451172e-05,-0.00015020370483398438,0.259163901175,0.285663791025,0.28590380405,0.0008606910705566406,0.01059722900390625,0.014923095703125,-2.8848648071289062e-05,0.00011962652206420898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-2.86102294921875e-06,0.0,-2.1457672119140625e-06,100.125,0.02001953125,0.02197265625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.031698421553125,0.460693359375,0.0,0.0,0.0,0.0,0.0,0.0318020807875,0.461181640625,0.00666046142578125,0.00018656253814697266,0.0013637542724609375,0.0233001708984375,0.02606201171875,0.0011339187622070312,0.0005316734313964844,0.0128326416015625,-0.00015544891357421875,0.004589080810546875,0.0065765380859375,0.016162162628131103,0.019905263578601073,0.0141143798828125,0.01268768310546875,0.09346406531875,0.0958282295625,0.020843505859375,0.00980377197265625,0.0004401206970214844,0.0007148512803955078,0.00021878342395019533,0.0004324913024902344,0.046875,0.040069580078125,0.001120778827532959,0.0006175086886108398,-5.185604095458984e-06,-0.00013065338134765625,0.267493255425,0.289727374875,0.2900893800125,0.0009703636169433594,0.010406494140625,0.01458740234375,-6.0558319091796875e-05,7.843971252441406e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-2.0265579223632812e-06,-3.814697265625e-06,-3.5762786865234375e-06,100.125,0.019287109375,0.02001953125
