Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.007511427619140625,0.08544921875,0.0,0.0,0.0,0.0,0.0,0.007554441602734375,0.08551025390625,0.0014133453369140625,3.743171691894531e-05,0.00037288665771484375,0.006031036376953125,0.00516510009765625,0.0015401840209960938,0.00010979175567626953,0.0028410671412109375,-2.6106834411621094e-05,0.005077362060546875,0.005802154541015625,0.016549756720489504,0.020439706773205567,0.0031337738037109375,0.0028820037841796875,0.0260528940328125,0.0288198310546875,0.00308990478515625,0.002033233642578125,8.130073547363281e-05,0.0005604190833312988,4.607439041137695e-05,0.00010520219802856445,0.01168060302734375,0.01058197021484375,0.0008345215409545899,0.0004792596707824707,2.0444393157958984e-05,-1.049041748046875e-05,0.079050686221875,0.082510754509375,0.0825361050875,0.00015807151794433594,0.0028514862060546875,0.0037631988525390625,2.467632293701172e-05,0.0001342296600341797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1324882507324219e-06,-1.1920928955078125e-07,-1.5497207641601562e-06,-7.748603820800781e-07,20.03125,0.0018558502197265625,0.0020503997802734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01287807570234375,0.174072265625,0.0,0.0,0.0,0.0,0.0,0.0129504354640625,0.174072265625,0.0027713775634765625,7.480382919311523e-05,0.0006918907165527344,0.01165771484375,0.01012420654296875,0.0027523040771484375,0.00022149085998535156,0.00543108663046875,-5.2809715270996094e-05,0.00978851318359375,0.01123809814453125,0.016391487823760986,0.02036297325050659,0.00627899169921875,0.00574493408203125,0.038259958828124996,0.039905570403125,0.006732940673828125,0.004131317138671875,0.00015556812286376953,0.0005862645033081054,9.006261825561523e-05,0.0002276897430419922,0.022613525390625,0.020294189453125,0.0009776887368469237,0.0005658854445739747,4.285573959350586e-05,-2.8789043426513672e-05,0.11427301915,0.12180529539375,0.1219835243625,0.00035643577575683594,0.005443572998046875,0.00731658935546875,5.131959915161133e-05,0.0002849102020263672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7881393432617188e-07,-6.556510925292969e-07,-1.5497207641601562e-06,-1.2516975402832031e-06,40.0625,0.00478363037109375,0.003124237060546875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0183471439390625,0.26513671875,0.0,0.0,0.0,0.0,0.0,0.0184262468953125,0.265380859375,0.004184722900390625,0.00011223554611206055,0.0009150505065917969,0.0168304443359375,0.01556396484375,0.0018978118896484375,0.0003018379211425781,0.00834046274140625,-8.302927017211914e-05,0.01410675048828125,0.0157928466796875,0.01621012391063843,0.0202083010586853,0.00943756103515625,0.008575439453125,0.05158056878125,0.052087821109375,0.0103912353515625,0.00623321533203125,0.00023686885833740234,0.0007664938250976562,0.0001004934310913086,0.0003075599670410156,0.032989501953125,0.029144287109375,0.0011428802034973145,0.0006709369639892578,6.282329559326172e-05,-3.2961368560791016e-05,0.14940115068749998,0.1628060117625,0.162923801675,0.0005025863647460938,0.00783538818359375,0.01053619384765625,3.045797348022461e-05,0.000247955322265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.1920928955078125e-06,6.854534149169922e-06,-1.8477439880371094e-06,60.03125,0.004688262939453125,0.00644683837890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0237122743015625,0.359130859375,0.0,0.0,0.0,0.0,0.0,0.0238211180359375,0.359619140625,0.0054931640625,0.0001494884490966797,0.0011358261108398438,0.0217132568359375,0.0211334228515625,0.0013628005981445312,0.0003960132598876953,0.0110897346453125,-0.00011169910430908203,0.0170745849609375,0.019439697265625,0.016155915354901122,0.020171485815222167,0.0124969482421875,0.0113067626953125,0.064596929565625,0.0641200523375,0.0147552490234375,0.008392333984375,0.0003032684326171875,0.0007214439852661133,0.00010859966278076172,0.0003905296325683594,0.042816162109375,0.037567138671875,0.001207452034375,0.0006910019350585937,0.0001169443130493164,-3.224611282348633e-05,0.1860060356375,0.2053898424375,0.205752171575,0.0006885528564453125,0.00995635986328125,0.01351165771484375,2.014636993408203e-05,0.00018703937530517578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-1.2516975402832031e-06,-3.039836883544922e-06,-2.9802322387695312e-06,80.0625,0.0105438232421875,0.005077362060546875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0291683576421875,0.456298828125,0.0,0.0,0.0,0.0,0.0,0.0293066127546875,0.45654296875,0.006786346435546875,0.000186920166015625,0.0013456344604492188,0.0269012451171875,0.02703857421875,0.0017232894897460938,0.0005078315734863281,0.013832658021875,-0.00014019012451171875,0.0187530517578125,0.0218505859375,0.016123715777575685,0.020149692899902344,0.0155181884765625,0.01398468017578125,0.079013809575,0.07776556168125,0.019134521484375,0.010589599609375,0.0003724098205566406,0.0006816446519897461,0.00011372566223144531,0.00046443939208984375,0.053558349609375,0.046875,0.001270477057885742,0.0007246505083129882,0.00011688470840454102,-5.251169204711914e-05,0.224274918425,0.25048507755,0.2506034374625,0.0008759498596191406,0.01183319091796875,0.0162200927734375,-3.516674041748047e-06,0.00016748905181884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.1920928955078125e-06,-1.9073486328125e-06,-4.172325134277344e-06,100.0625,0.0146484375,0.00927734375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0292320119546875,0.4638671875,0.0,0.0,0.0,0.0,0.0,0.0293692282671875,0.46435546875,0.006710052490234375,0.000186920166015625,0.0013246536254882812,0.027435302734375,0.0278778076171875,0.002773284912109375,0.0005064010620117188,0.01389168891796875,-0.00014328956604003906,0.015411376953125,0.018707275390625,0.01615327966118164,0.020111616746899413,0.015472412109375,0.01389312744140625,0.08194480933125001,0.08121194313124999,0.019256591796875,0.01067352294921875,0.0003619194030761719,0.0005988043793579102,9.338062290039063e-05,0.00044035911560058594,0.05609130859375,0.049346923828125,0.001214286899975586,0.0006999688083129883,0.00013399124145507812,-4.273653030395508e-05,0.2271317392875,0.25535591315,0.25547394156250003,0.0008826255798339844,0.0113983154296875,0.0157318115234375,1.722574234008789e-05,0.00018215179443359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.6689300537109375e-06,-1.9073486328125e-06,-2.9802322387695312e-06,100.0625,0.0146484375,0.00830078125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0294142563359375,0.4716796875,0.0,0.0,0.0,0.0,0.0,0.0295502843484375,0.47216796875,0.006641387939453125,0.00018680095672607422,0.00138092041015625,0.028961181640625,0.02911376953125,0.0057525634765625,0.0005316734313964844,0.01394846230859375,-0.0001475811004638672,0.01073455810546875,0.01419830322265625,0.016002515345336914,0.01987491546602783,0.0154876708984375,0.0138702392578125,0.0862818118625,0.08625547962499999,0.018707275390625,0.0107421875,0.00034427642822265625,0.0005872898143432617,8.672562728271485e-05,0.0004138946533203125,0.061370849609375,0.054656982421875,0.001192780530303955,0.0006976875165039063,0.00011199712753295898,-5.984306335449219e-05,0.22946915405,0.2596126794375,0.25973056625,0.0008668899536132812,0.01110076904296875,0.015380859375,4.5299530029296875e-05,0.0002282857894897461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-07,-2.5033950805664062e-06,-1.71661376953125e-05,-2.0265579223632812e-06,100.0625,0.012939453125,0.00927734375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0298539500640625,0.479736328125,0.0,0.0,0.0,0.0,0.0,0.0299738257875,0.47998046875,0.0066070556640625,0.00018680095672607422,0.0015211105346679688,0.031890869140625,0.0311737060546875,0.010650634765625,0.000522613525390625,0.014068603515625,-0.00015461444854736328,0.0048675537109375,0.0084381103515625,0.0160588864652771,0.01982840891849365,0.0155487060546875,0.01387786865234375,0.09232206085625,0.09321564060625,0.0176849365234375,0.0108184814453125,0.0002923011779785156,0.0005612001143554688,7.527307675170899e-05,0.0003681182861328125,0.06927490234375,0.0626220703125,0.0011234555029846192,0.00063416124765625,0.00012177228927612305,-7.68899917602539e-05,0.2329187839875,0.2639352754,0.2642973587375,0.0008254051208496094,0.0109405517578125,0.0152130126953125,2.8252601623535156e-05,0.0001977682113647461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-1.9073486328125e-06,3.814697265625e-06,-2.86102294921875e-06,100.0625,0.021484375,0.00830078125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0304319420609375,0.486572265625,0.0,0.0,0.0,0.0,0.0,0.0305813776625,0.48681640625,0.00666046142578125,0.00018680095672607422,0.00174713134765625,0.036468505859375,0.0341796875,0.0183563232421875,0.0005402565002441406,0.01415252685546875,-0.0001685619354248047,0.001369476318359375,0.0037059783935546875,0.016200905647235107,0.01985304990977783,0.0157012939453125,0.01397705078125,0.09956758094375,0.1016876045625,0.016265869140625,0.010894775390625,0.0002397298812866211,0.0005727538072509765,7.501702075195312e-05,0.0003223419189453125,0.07928466796875,0.07281494140625,0.001051339416369629,0.0005662486941040039,0.00010222196578979492,-5.739927291870117e-05,0.237219817925,0.2684871405,0.2686050050125,0.0007543563842773438,0.01105499267578125,0.01535797119140625,3.8623809814453125e-05,0.0001513957977294922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.58306884765625e-06,-2.1457672119140625e-06,-3.814697265625e-06,-3.2186508178710938e-06,100.0625,0.01220703125,0.01318359375
