Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.005932142951171875,0.08587646484375,0.0,0.0,0.0,0.0,0.0,0.00597897163203125,0.0859375,0.0016508102416992188,3.725290298461914e-05,0.0009474754333496094,0.00887298583984375,0.0062408447265625,0.0081329345703125,0.0001112222671508789,0.0028372524439453125,-2.6106834411621094e-05,0.003269195556640625,0.00431060791015625,0.01654087562841797,0.02043577286665039,0.0031948089599609375,0.0029315948486328125,0.0289062875875,0.0321920234375,0.0012216567993164062,0.0019092559814453125,4.363059997558594e-05,0.0006420178420288086,1.7464160919189453e-05,6.109476089477539e-05,0.019561767578125,0.0184326171875,0.001160320529296875,0.0007569577107910156,8.940696716308594e-07,-3.1948089599609375e-05,0.08426919208125,0.090323254509375,0.0903486050875,7.492303848266602e-05,0.0034847259521484375,0.00421905517578125,5.334615707397461e-05,0.0002168416976928711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2516975402832031e-06,-2.384185791015625e-07,-1.5497207641601562e-06,-5.960464477539062e-07,20.03125,0.0019044876098632812,0.0015621185302734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.00976528273359375,0.1746826171875,0.0,0.0,0.0,0.0,0.0,0.0098376424953125,0.175048828125,0.003253936767578125,7.456541061401367e-05,0.0016584396362304688,0.016937255859375,0.01230621337890625,0.01444244384765625,0.00021898746490478516,0.00541582784140625,-5.1856040954589844e-05,0.006439208984375,0.00850677490234375,0.016369374500549316,0.020352661646960448,0.00643157958984375,0.005878448486328125,0.044119333828124996,0.0467872842703125,0.003154754638671875,0.0038967132568359375,8.893013000488281e-05,0.0007061890485961914,3.337860107421875e-05,0.00013947486877441406,0.037628173828125,0.035247802734375,0.0014237102937011718,0.0009481300315185547,2.1338462829589844e-05,-5.424022674560547e-05,0.1241607144625,0.13718615476875,0.13724231342499998,0.0001939535140991211,0.006622314453125,0.0081634521484375,0.00010842084884643555,0.0004277229309082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2186508178710938e-06,-2.384185791015625e-07,0.0,-1.430511474609375e-06,40.0625,0.003124237060546875,0.005077362060546875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0138000247984375,0.26611328125,0.0,0.0,0.0,0.0,0.0,0.01388675714921875,0.266357421875,0.004962921142578125,0.00011181831359863281,0.0022602081298828125,0.0242462158203125,0.0185089111328125,0.0182037353515625,0.0003120899200439453,0.00820313363984375,-7.975101470947266e-05,0.00962066650390625,0.012359619140625,0.016183242215844728,0.02019435357180786,0.0095977783203125,0.0087127685546875,0.059911867609375,0.06206706915625,0.00518798828125,0.005859375,0.00014460086822509766,0.0008382578174072266,2.664327621459961e-05,0.00019025802612304688,0.053680419921875,0.0499267578125,0.0014642088434814453,0.0009342702846069336,2.0325183868408203e-05,-8.428096771240234e-05,0.16368337724999998,0.1846565977,0.1847743876125,0.00029778480529785156,0.00946807861328125,0.01171875,0.00010520219802856445,0.0004525184631347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-7.152557373046875e-07,5.7220458984375e-06,-1.9073486328125e-06,60.03125,0.005565643310546875,0.005859375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0177918641453125,0.359619140625,0.0,0.0,0.0,0.0,0.0,0.017885449090625,0.35986328125,0.006519317626953125,0.00014901161193847656,0.0026950836181640625,0.030914306640625,0.0247802734375,0.021270751953125,0.0004322528839111328,0.01083796462578125,-0.0001099705696105957,0.0117645263671875,0.01556396484375,0.016129391287976073,0.02014996853845825,0.01265716552734375,0.011474609375,0.0755527401125,0.077181575775,0.0078887939453125,0.00787353515625,0.0001806020736694336,0.0008122814639038086,2.2590160369873047e-05,0.000247955322265625,0.0687255859375,0.06365966796875,0.0015488674396484374,0.0009234004450378418,2.1219253540039062e-05,-9.47713851928711e-05,0.2045607231375,0.233588084625,0.23382834345,0.0004372596740722656,0.01204681396484375,0.01505279541015625,0.0001304149627685547,0.0005068778991699219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5762786865234375e-07,-1.7881393432617188e-06,-9.179115295410156e-06,-2.384185791015625e-06,80.0625,0.0068359375,0.00742340087890625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0217525861578125,0.45458984375,0.0,0.0,0.0,0.0,0.0,0.0218603236921875,0.455322265625,0.00806427001953125,0.00018644332885742188,0.003063201904296875,0.037811279296875,0.031280517578125,0.02618408203125,0.0005311965942382812,0.0134206707171875,-0.0001380443572998047,0.01227569580078125,0.0171966552734375,0.016094747920214845,0.020131096250732422,0.01568603515625,0.01418304443359375,0.09274671973125,0.0941840187125,0.010589599609375,0.00988006591796875,0.0002206563949584961,0.0007792770601318359,1.8775463104248047e-05,0.00030231475830078125,0.085205078125,0.07891845703125,0.001667205573510742,0.0009504329027221679,4.363059997558594e-05,-0.00013065338134765625,0.2466137856125,0.2847868353625,0.2850272655875,0.0005812644958496094,0.01433563232421875,0.0181121826171875,0.00014841556549072266,0.0005359649658203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.059906005859375e-06,-1.7881393432617188e-06,7.62939453125e-06,-3.933906555175781e-06,100.0625,0.0107421875,0.01220703125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.02155684105625,0.4609375,0.0,0.0,0.0,0.0,0.0,0.02169405736875,0.461181640625,0.00792694091796875,0.0001863241195678711,0.0030193328857421875,0.038360595703125,0.031646728515625,0.029693603515625,0.0005512237548828125,0.01335000190625,-0.00014662742614746094,0.0085296630859375,0.01366424560546875,0.016119364618304443,0.020085986749645995,0.0155792236328125,0.01404571533203125,0.09561668433125001,0.09775247047499999,0.01050567626953125,0.0098876953125,0.00020778179168701172,0.0007086557396789551,9.218864477539062e-06,0.0002868175506591797,0.08868408203125,0.082275390625,0.0016133996013916016,0.000910492413659668,6.80685043334961e-05,-0.0001062154769897461,0.2491043955375,0.28953560065,0.28965362906250003,0.0005936622619628906,0.01364898681640625,0.017425537109375,0.000141143798828125,0.00048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-2.6226043701171875e-06,7.62939453125e-06,-2.9802322387695312e-06,100.0625,0.0166015625,0.01123046875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0213728745,0.468017578125,0.0,0.0,0.0,0.0,0.0,0.0215089025125,0.468505859375,0.00782012939453125,0.00018644332885742188,0.003406524658203125,0.040863037109375,0.0323486328125,0.037445068359375,0.0005631446838378906,0.01325418740625,-0.00015735626220703125,0.0039520263671875,0.009002685546875,0.015961984186889648,0.01985965667696533,0.0155487060546875,0.01397705078125,0.0997095462375,0.10291807728124999,0.0096893310546875,0.00984954833984375,0.0001748800277709961,0.0006880216640136719,8.345519403076171e-06,0.00025844573974609375,0.096435546875,0.09002685546875,0.0016142449735107422,0.0009173902371459961,4.851818084716797e-05,-0.00011599063873291016,0.2520521618625,0.2944027185,0.29488681625,0.0005736351013183594,0.01303863525390625,0.0167999267578125,0.00013256072998046875,0.0004088878631591797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-06,-1.1920928955078125e-06,1.9073486328125e-05,-3.5762786865234375e-06,100.125,0.01220703125,0.0126953125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0214310985015625,0.476318359375,0.0,0.0,0.0,0.0,0.0,0.0215357154359375,0.4765625,0.00783538818359375,0.0001862049102783203,0.004199981689453125,0.04571533203125,0.03399658203125,0.04962158203125,0.0005278587341308594,0.01320648193359375,-0.00016617774963378906,0.0005841255187988281,0.00382232666015625,0.016984963831152344,0.019871681890600585,0.0155792236328125,0.01393890380859375,0.1055666897625,0.1102444492,0.00820159912109375,0.00982666015625,0.0001322031021118164,0.0006587133132080078,6.012479522705075e-06,0.00021851062774658203,0.10821533203125,0.1019287109375,0.0015690002226806641,0.0008508241314147949,2.4080276489257812e-05,-0.00014531612396240234,0.2566004246125,0.300800509775,0.3010405228,0.0004992485046386719,0.0126190185546875,0.016357421875,0.00010210275650024414,0.0002722740173339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.049041748046875e-05,-1.6689300537109375e-06,5.7220458984375e-06,-3.2186508178710938e-06,100.0625,0.0107421875,0.013671875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0219480553421875,0.485107421875,0.0,0.0,0.0,0.0,0.0,0.022066973365625,0.4853515625,0.008148193359375,0.00018596649169921875,0.005435943603515625,0.054290771484375,0.037109375,0.0693359375,0.0005731582641601562,0.0130157470703125,-0.00016498565673828125,0.0001373291015625,0.0021495819091796875,0.02675504049296875,0.0280955378171875,0.01568603515625,0.0139923095703125,0.1133004911,0.12012022175,0.005733489990234375,0.00980377197265625,6.365776062011719e-05,0.0006807574235839843,1.2860751647949213e-06,0.00016033649444580078,0.1253662109375,0.11920166015625,0.0015356867598144532,0.0008162305742919921,1.9252300262451172e-05,-0.00014531612396240234,0.2623663023,0.307793781125,0.30803371595,0.00038886070251464844,0.01256561279296875,0.016387939453125,0.00011670589447021484,0.00023066997528076172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.049041748046875e-05,-1.5497207641601562e-06,2.09808349609375e-05,-2.1457672119140625e-06,100.125,0.0126953125,0.00830078125
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.02311662495625,0.491943359375,0.0,0.0,0.0,0.0,0.0,0.02324968746875,0.4921875,0.008575439453125,0.00018596649169921875,0.007259368896484375,0.065673828125,0.041015625,0.095458984375,0.0006771087646484375,0.0124053955078125,-0.00015425682067871094,-6.532669067382812e-05,0.0022869110107421875,0.039757546009375,0.040426505698437504,0.015899658203125,0.01419830322265625,0.1237120031875,0.13267890359375,0.0032806396484375,0.0100555419921875,-4.410743713378906e-06,0.0006727544727783203,-3.4042002258300802e-06,8.0108642578125e-05,0.147705078125,0.14208984375,0.0016039456110839845,0.0011126970997558593,-1.9848346710205078e-05,-0.00019407272338867188,0.2696198187375,0.3160021827,0.3159978986,0.00032711029052734375,0.01306915283203125,0.017059326171875,0.00011795759201049805,0.0002282857894897461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-3.5762786865234375e-07,3.814697265625e-06,-8.344650268554688e-07,100.125,0.00634765625,0.00732421875
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.0246899794640625,0.4990234375,0.0,0.0,0.0,0.0,0.0,0.0248065748875,0.499267578125,0.00963592529296875,0.0001857280731201172,0.01013946533203125,0.08294677734375,0.040313720703125,0.13330078125,0.0007796287536621094,0.01235198974609375,-0.00012803077697753906,-0.00031185150146484375,0.0013790130615234375,0.0517434142875,0.051545938478125,0.0163421630859375,0.014495849609375,0.13341282864375,0.144204858725,0.0005278587341308594,0.0098114013671875,-3.540515899658203e-05,0.0006836633651245117,-1.231594470214837e-06,5.8134631677246096e-05,0.1802978515625,0.1734619140625,0.00390288386328125,0.0038888834697265624,-1.9848346710205078e-05,-0.00019407272338867188,0.28005373105,0.3233190514,0.323558844625,0.00015223026275634766,0.01361083984375,0.017730712890625,5.692243576049805e-05,0.0001062154769897461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-8.344650268554688e-07,3.814697265625e-06,3.5762786865234375e-07,100.125,0.0029296875,0.00634765625
