Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,-0.0,0.0005064599,-0.0,-0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00763731262890625,0.0972900390625,0.0,0.0,0.0,0.0,0.0,0.007684141309765625,0.0972900390625,0.003772735595703125,3.707408905029297e-05,0.00400543212890625,0.0281524658203125,0.00464630126953125,0.0306854248046875,4.655122756958008e-05,0.00305659753671875,-1.9729137420654297e-05,0.00014030933380126953,0.0005998611450195312,0.01793228645605469,0.022082291573925782,0.00572967529296875,0.00528717041015625,0.046240271962499996,0.050777228515625,5.08427619934082e-05,0.0024433135986328125,-3.7729740142822266e-05,0.0004806084639770508,-6.395578384399414e-05,-2.0623207092285156e-05,0.05633544921875,0.05413818359375,0.004524883517578125,0.004351833046484375,6.020069122314453e-06,-1.817941665649414e-05,0.0995890163,0.09877662365,0.098863009384375,-0.00010854005813598633,0.003307342529296875,0.003814697265625,-5.066394805908203e-05,2.4437904357910156e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-07,-1.1920928955078125e-07,0.0,2.980232238769531e-07,20.015625,-0.0008788108825683594,-0.0010738372802734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01346553908125,0.198486328125,0.0,0.0,0.0,0.0,0.0,0.013515010659375,0.1986083984375,0.00774383544921875,7.414817810058594e-05,0.0078582763671875,0.05682373046875,0.0092315673828125,0.06072998046875,8.857250213623047e-05,0.005907923788671875,-3.886222839355469e-05,0.0004355907440185547,0.0015926361083984375,0.020048053966796875,0.02460235361015625,0.011688232421875,0.0107421875,0.08028266390625,0.085285209075,0.00012934207916259766,0.00499725341796875,-6.842613220214844e-05,0.000474803817578125,-0.0001342296600341797,-2.8431415557861328e-05,0.1136474609375,0.1090087890625,0.008202904171875,0.008202968975,1.1086463928222656e-05,-4.2498111724853516e-05,0.1551665738375,0.15342150633125,0.15359973529999998,-0.0001882314682006836,0.006397247314453125,0.0074462890625,-0.00010079145431518555,9.417533874511719e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-4.76837158203125e-07,-1.5497207641601562e-06,5.364418029785156e-07,40.03125,-0.0007810592651367188,-0.0025386810302734375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0196288822203125,0.30322265625,0.0,0.0,0.0,0.0,0.0,0.0197079851765625,0.303466796875,0.01181793212890625,0.00011116266250610352,0.01194000244140625,0.0845947265625,0.01367950439453125,0.08941650390625,9.721517562866211e-05,0.009126290378125,-6.657838821411133e-05,0.0002684593200683594,0.0014667510986328125,0.019934758558007814,0.025212766638671873,0.0179290771484375,0.0164642333984375,0.11566748284375,0.1214542761875,0.00019049644470214844,0.007640838623046875,-0.00010883808135986328,0.00047276213564453125,-0.0001926422119140625,-3.3795833587646484e-05,0.1705322265625,0.163330078125,0.0118332712671875,0.011953619382812499,2.944469451904297e-05,-4.506111145019531e-05,0.21031423662499998,0.2079720273875,0.2080898173,-0.0002963542938232422,0.00951385498046875,0.011016845703125,-0.0001571178436279297,2.7477741241455078e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0265579223632812e-06,-1.1324882507324219e-06,3.4570693969726562e-06,7.748603820800781e-07,60.0,-0.002635955810546875,-0.0029296875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.026046869028125,0.40869140625,0.0,0.0,0.0,0.0,0.0,0.0261557127625,0.409423828125,0.0159149169921875,0.0001481771469116211,0.016082763671875,0.11358642578125,0.0182342529296875,0.1170654296875,0.0001175999641418457,0.012203626246875,-8.702278137207031e-05,0.0003714561462402344,0.001964569091796875,0.0196809936515625,0.025421582136328124,0.0244903564453125,0.0224761962890625,0.151358404175,0.1581141929625,0.0002856254577636719,0.01044464111328125,-0.0001366138458251953,0.00044809708432617186,-0.000263214111328125,-5.2988529205322266e-05,0.2288818359375,0.2193603515625,0.01481066248359375,0.01508862308984375,3.6835670471191406e-05,-7.712841033935547e-05,0.2653517387625,0.261908397125,0.2622707262625,-0.0003695487976074219,0.0122528076171875,0.0142669677734375,-0.00021135807037353516,3.0517578125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.271766662597656e-06,-1.3113021850585938e-06,-1.5497207641601562e-06,6.556510925292969e-07,80.0,-0.0023441314697265625,0.0
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.032876243384375003,0.51513671875,0.0,0.0,0.0,0.0,0.0,0.03298398091875,0.515625,0.0200653076171875,0.00018525123596191406,0.0203704833984375,0.143310546875,0.0231781005859375,0.14306640625,0.000141143798828125,0.01532801935,-0.00011181831359863281,0.0005817413330078125,0.00276947021484375,0.018281523127734376,0.02449940145703125,0.031402587890625,0.0288848876953125,0.1876563877,0.195868589025,0.0003814697265625,0.01345062255859375,-0.0001671314239501953,0.00042045709858398435,-0.00032901763916015625,-6.502866744995117e-05,0.288330078125,0.276123046875,0.0174383561625,0.0179002057375,3.8743019104003906e-05,-5.614757537841797e-05,0.319489762175,0.3154264838,0.315666914025,-0.0004248619079589844,0.01479339599609375,0.0173797607421875,-0.0002579689025878906,3.355741500854492e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-2.6226043701171875e-06,-7.62939453125e-06,2.1457672119140625e-06,100.0,-0.00341796875,-0.0068359375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0335807668375,0.5185546875,0.0,0.0,0.0,0.0,0.0,0.03371798315,0.51904296875,0.0202178955078125,0.00018525123596191406,0.020660400390625,0.14501953125,0.0238037109375,0.1387939453125,0.0001704692840576172,0.015455714796875,-0.00010973215103149414,0.00124359130859375,0.0036334991455078125,0.016334120153430175,0.02214079727363281,0.0323486328125,0.0298309326171875,0.1889394382375,0.1976059861,0.00042748451232910156,0.013885498046875,-0.000156402587890625,0.00040842714394531254,-0.00032337505336914064,-5.841255187988281e-05,0.2900390625,0.27783203125,0.01657440385859375,0.01708206700625,2.6524066925048828e-05,-8.910894393920898e-05,0.31758584085,0.313217241275,0.31345734000000003,-0.0003833770751953125,0.01441192626953125,0.0170745849609375,-0.0002689361572265625,1.0371208190917969e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-2.0265579223632812e-06,3.814697265625e-06,1.9073486328125e-06,100.0,-0.00244140625,0.00146484375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.034403880359375,0.52099609375,0.0,0.0,0.0,0.0,0.0,0.034539908371875,0.521484375,0.0204620361328125,0.00018537044525146484,0.0210113525390625,0.147216796875,0.02471923828125,0.13232421875,0.00016188621520996094,0.0154972293984375,-0.00010454654693603516,0.0037994384765625,0.0060577392578125,0.015894690542938232,0.020046219215112304,0.03350830078125,0.030975341796875,0.188942944675,0.1984380968125,0.0004813671112060547,0.014373779296875,-0.00014662742614746094,0.0004152708095214844,-0.0003187051664794922,-6.592273712158203e-05,0.29150390625,0.279052734375,0.015584858453125,0.0161081107953125,3.3855438232421875e-05,-9.1552734375e-05,0.315162513425,0.30953943725,0.310023535,-0.0003376007080078125,0.014190673828125,0.016998291015625,-0.0002715587615966797,-1.9371509552001953e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-1.5497207641601562e-06,3.814697265625e-06,2.0265579223632812e-06,100.0,0.001953125,-0.00537109375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.03539289049375,0.52294921875,0.0,0.0,0.0,0.0,0.0,0.03552802500625,0.52294921875,0.020843505859375,0.00018537044525146484,0.0211944580078125,0.1488037109375,0.0266265869140625,0.12109375,0.0001728534698486328,0.015655517578125,-0.00010454654693603516,0.0083770751953125,0.0109100341796875,0.01597985070630493,0.01994392272006836,0.034881591796875,0.03240966796875,0.18845243195,0.1982571445125,0.0010128021240234375,0.01507568359375,-0.00014328956604003906,0.00040479752646484376,-0.00031662746264648437,-7.325410842895508e-05,0.29052734375,0.2783203125,0.01408669088125,0.01471802355234375,2.6524066925048828e-05,-9.888410568237305e-05,0.31360726055,0.306171603525,0.30641161655,-0.00027823448181152344,0.01418304443359375,0.017242431640625,-0.00025081634521484375,-3.9696693420410156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-2.384185791015625e-06,-5.7220458984375e-06,2.1457672119140625e-06,100.0,-0.0029296875,-0.00439453125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.03661175163125,0.52392578125,0.0,0.0,0.0,0.0,0.0,0.03674592844375,0.5244140625,0.02117919921875,0.00018548965454101562,0.02069091796875,0.14697265625,0.03045654296875,0.10174560546875,0.00020587444305419922,0.015869140625,-0.0001035928726196289,0.0152740478515625,0.017730712890625,0.01610309442515869,0.019996697103686522,0.036376953125,0.034027099609375,0.1864206082875,0.1959258858125,0.00357818603515625,0.016265869140625,-9.447336196899414e-05,0.00040657605761718746,-0.0002895249866943359,-4.273653030395508e-05,0.2841796875,0.2724609375,0.0115831225203125,0.012276773253125,2.8371810913085938e-05,-0.00010377168655395508,0.312903411675,0.302910968625,0.302906762825,-0.00015807151794433594,0.01422882080078125,0.017669677734375,-0.000270843505859375,-8.547306060791016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-2.7418136596679688e-06,0.0,2.9802322387695312e-06,100.0625,0.00048828125,-0.0029296875
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.038436449175,0.52294921875,0.0,0.0,0.0,0.0,0.0,0.038600029265625,0.52294921875,0.0213623046875,0.0001857280731201172,0.019134521484375,0.13818359375,0.03802490234375,0.073974609375,0.00025582313537597656,0.0161590576171875,-0.00011461973190307617,0.02374267578125,0.02569580078125,0.01644402367050781,0.02029408325123291,0.03765869140625,0.03546142578125,0.1827940344375,0.19133368875,0.00827789306640625,0.0178985595703125,-7.033348083496094e-05,0.0004071561756591797,-0.0002398558260498047,1.52587890625e-05,0.26416015625,0.253173828125,0.007500037072265625,0.008225676988671875,-1.5497207641601562e-06,-0.00016057491302490234,0.3141754828,0.3003771827,0.30086117985,1.8596649169921875e-05,0.01457977294921875,0.0185089111328125,-0.00029778480529785156,-0.00012177228927612305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-2.7418136596679688e-06,1.9073486328125e-06,2.2649765014648438e-06,100.0625,0.00537109375,-0.001953125
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.041062660128125,0.515625,0.0,0.0,0.0,0.0,0.0,0.041255549496875,0.51611328125,0.02142333984375,0.00018596649169921875,0.01580810546875,0.11749267578125,0.050689697265625,0.03594970703125,0.0003376007080078125,0.0164031982421875,-0.0001227855682373047,0.03271484375,0.0338134765625,0.01668521392815552,0.020485719667089845,0.0379638671875,0.03594970703125,0.174245348175,0.181314233725,0.0166473388671875,0.02001953125,-5.0187110900878906e-05,0.0004270057647216797,-0.00018064157524414062,0.00011702402071533203,0.217529296875,0.2081298828125,0.0014085486887207032,0.0016105555278320312,-1.0669231414794922e-05,-0.00015437602996826172,0.316430684175,0.298660848275,0.2989006415,0.0002371072769165039,0.015411376953125,0.019927978515625,-0.00028061866760253906,-0.00012576580047607422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-3.0994415283203125e-06,-1.1444091796875e-05,3.5762786865234375e-07,100.0625,0.00927734375,-0.00048828125
00:00:00:12.200,68,0.0,0.0,0.0,0.0,0.0,0.04272357628125,0.49658203125,0.0,0.0,0.0,0.0,0.0,0.04297636010625,0.496826171875,0.0223236083984375,0.00018680095672607422,0.01087188720703125,0.09075927734375,0.0615234375,0.004329681396484375,0.0004639625549316406,0.01568603515625,-0.00011736154556274414,0.03912353515625,0.040191650390625,0.017121424925146483,0.020888254092211914,0.037841796875,0.036285400390625,0.1567719029,0.1608701497375,0.0308380126953125,0.0230865478515625,1.6689300537109375e-06,0.0003631931838867187,-9.834988073730469e-05,0.0003199305812744141,0.1556396484375,0.1480712890625,0.000595272536932373,0.0005315780920471192,-4.4226646423339844e-05,-0.000213623046875,0.320919662725,0.2967317142,0.29721525314999997,0.0007371902465820312,0.01617431640625,0.02142333984375,-0.0002434253692626953,-9.489059448242188e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76837158203125e-07,-3.814697265625e-06,-3.814697265625e-06,-1.3113021850585938e-06,100.125,0.00341796875,0.009765625
00:00:00:13.216,68,0.0,0.0,0.0,0.0,0.0,0.04598004171875,0.470947265625,0.0,0.0,0.0,0.0,0.0,0.046201453065625,0.4716796875,0.0225372314453125,0.00018703937530517578,0.007476806640625,0.07110595703125,0.0648193359375,0.0014638900756835938,0.0005049705505371094,0.0158843994140625,-0.00012624263763427734,0.041168212890625,0.041015625,0.017631364999438476,0.021339312199291992,0.037567138671875,0.036224365234375,0.13481131470625,0.1362208184125,0.042236328125,0.025726318359375,9.870529174804688e-05,0.00034013481723632816,4.463611022949212e-06,0.0005336896631347656,0.112548828125,0.10491943359375,0.00044887301484374995,0.00044942256446533205,-1.9848346710205078e-05,-0.0002282857894897461,0.3248405494,0.29336833955,0.2938515544,0.0009632110595703125,0.016448974609375,0.021697998046875,-0.00021409988403320312,-0.0001373291015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-07,-4.410743713378906e-06,-3.814697265625e-06,-2.2649765014648438e-06,100.125,0.00390625,0.00732421875
00:00:00:14.233,68,0.0,0.0,0.0,0.0,0.0,0.0470757875875,0.440673828125,0.0,0.0,0.0,0.0,0.0,0.047357639690625,0.441162109375,0.022308349609375,0.00018727779388427734,0.00467681884765625,0.058990478515625,0.0643310546875,0.001068115234375,0.0005717277526855469,0.016143798828125,-0.00014698505401611328,0.03924560546875,0.039642333984375,0.017989883158197023,0.021700793834277345,0.036712646484375,0.03558349609375,0.115296536175,0.114733327225,0.049652099609375,0.0276947021484375,0.00011396408081054688,0.0003365089904785156,0.00010206074759521486,0.0006868976472167969,0.08819580078125,0.08001708984375,0.00041763502412109376,0.0004737847122375488,-3.5703182220458984e-05,-0.0002453327178955078,0.3278711848,0.291571892775,0.2918104976,0.0011911392211914062,0.01593017578125,0.02093505859375,-0.00017404556274414062,-0.0001571178436279297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-4.5299530029296875e-06,9.5367431640625e-06,-4.172325134277344e-06,100.125,0.0146484375,0.01171875
