Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,-0.0,0.0005064599,-0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.004671385504882813,0.0889892578125,0.0,0.0,0.0,0.0,0.0,0.00471249213984375,0.08905029296875,0.0025539398193359375,3.719329833984375e-05,0.00394439697265625,0.018646240234375,0.005130767822265625,0.0263671875,7.37309455871582e-05,0.002625536745703125,-1.996755599975586e-05,0.001415252685546875,0.0028514862060546875,0.016540279581970217,0.020432017774029542,0.004268646240234375,0.00399017333984375,0.037832679189062496,0.0432241279296875,5.811452865600586e-05,0.0017490386962890625,-1.4781951904296875e-05,0.0005299611098510742,-2.199411392211914e-05,3.4570693969726562e-06,0.04241943359375,0.04132080078125,0.005207714328125,0.00501940506796875,2.384185791015625e-07,-2.855062484741211e-05,0.08646645770625,0.095938488884375,0.095994357040625,-8.410215377807617e-05,0.00384521484375,0.004375457763671875,-3.039836883544922e-06,9.906291961669922e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2516975402832031e-06,0.0,7.748603820800781e-07,-1.1920928955078125e-07,20.03125,-0.0005860328674316406,0.0
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.00720180617109375,0.18115234375,0.0,0.0,0.0,0.0,0.0,0.00726653653828125,0.1812744140625,0.0050811767578125,7.426738739013672e-05,0.0078277587890625,0.03729248046875,0.01043701171875,0.05194091796875,0.00014865398406982422,0.00512591084921875,-4.267692565917969e-05,0.00193023681640625,0.00438690185546875,0.016362817989624023,0.020338714160083007,0.0086517333984375,0.008056640625,0.062918161953125,0.06996538485625,0.0001367330551147461,0.0035800933837890625,-2.300739288330078e-05,0.0005752376440246582,-4.398822784423828e-05,1.9073486328125e-05,0.0845947265625,0.08221435546875,0.00911080212109375,0.0089811672171875,-1.1324882507324219e-05,-6.663799285888672e-05,0.1294097379,0.1488438696125,0.14890002826874998,-0.0001442432403564453,0.00753021240234375,0.0086212158203125,3.2186508178710938e-06,0.0001838207244873047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.410743713378906e-06,-2.980232238769531e-07,3.814697265625e-06,-2.384185791015625e-07,40.0625,-0.0001952648162841797,0.001953125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.00988614540390625,0.27587890625,0.0,0.0,0.0,0.0,0.0,0.009957618965625,0.276123046875,0.007717132568359375,0.00011146068572998047,0.011810302734375,0.055419921875,0.0164642333984375,0.0750732421875,0.00018644332885742188,0.008000954684765626,-7.05718994140625e-05,0.0012884140014648438,0.004230499267578125,0.01615284384700928,0.02017975043383789,0.0130462646484375,0.01209259033203125,0.0889951195625,0.09771160040625,0.0002048015594482422,0.0054473876953125,-4.8160552978515625e-05,0.0006163497249084473,-8.666515350341797e-05,-2.8014183044433594e-06,0.1258544921875,0.1221923828125,0.01268013406015625,0.012640264890624999,-6.020069122314453e-06,-9.775161743164062e-05,0.17320486162499998,0.201990582075,0.2022304423,-0.00022602081298828125,0.011383056640625,0.012847900390625,2.4616718292236328e-05,0.00028824806213378906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.589557647705078e-06,-6.556510925292969e-07,-7.987022399902344e-06,-3.5762786865234375e-07,60.03125,-0.0008788108825683594,0.002635955810546875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.012603875864062499,0.37158203125,0.0,0.0,0.0,0.0,0.0,0.01270509020390625,0.3720703125,0.01019287109375,0.00014853477478027344,0.01580810546875,0.0745849609375,0.0224456787109375,0.09979248046875,0.0002548694610595703,0.0108150764421875,-0.00010263919830322266,0.00081634521484375,0.00229644775390625,0.016156928633862304,0.020109735403234862,0.0175628662109375,0.0162353515625,0.1148593807375,0.1256434898375,0.0002989768981933594,0.00733184814453125,-5.996227264404297e-05,0.0006381762965148926,-0.00010854005813598633,-6.079673767089844e-06,0.1669921875,0.1619873046875,0.0154133846515625,0.01530987553125,-2.3186206817626953e-05,-0.00015473365783691406,0.2179884575125,0.2551945299375,0.2554347887625,-0.0002770423889160156,0.01517486572265625,0.0171356201171875,9.930133819580078e-05,0.0003609657287597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.947185516357422e-06,-8.344650268554688e-07,1.5497207641601562e-06,-1.1920928955078125e-07,80.0625,0.0011720657348632812,0.002735137939453125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.01570247629453125,0.464111328125,0.0,0.0,0.0,0.0,0.0,0.01584073140703125,0.46435546875,0.01267242431640625,0.00018548965454101562,0.019744873046875,0.09490966796875,0.02880859375,0.1259765625,0.00034356117248535156,0.01358088800234375,-0.0001341104507446289,0.0006299018859863281,0.0013418197631835938,0.016179148097216798,0.020139321691711426,0.0222320556640625,0.0205535888671875,0.1413917392625,0.154364682775,0.0003883838653564453,0.00920867919921875,-7.033348083496094e-05,0.0006437360979125976,-0.0001270771026611328,2.980232238769531e-07,0.207763671875,0.20166015625,0.0176977555765625,0.01759502995625,-4.118680953979492e-05,-0.00023066997528076172,0.2630932778,0.308346405675,0.308830976525,-0.0002899169921875,0.0190582275390625,0.0217742919921875,0.00015211105346679688,0.0004515647888183594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.239776611328125e-05,-7.152557373046875e-07,1.1444091796875e-05,-1.0728836059570312e-06,100.125,-0.001953125,0.0068359375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.016521440665625,0.4462890625,0.0,0.0,0.0,0.0,0.0,0.0166739157671875,0.446533203125,0.01259613037109375,0.0001857280731201172,0.0197601318359375,0.09710693359375,0.0298004150390625,0.1265869140625,0.0003294944763183594,0.013624660109375,-0.00013589859008789062,0.00027942657470703125,0.0010862350463867188,0.016311231969836425,0.020355042116162108,0.022552490234375,0.0208740234375,0.1416982273,0.1552475876625,0.0004153251647949219,0.0092926025390625,-6.407499313354492e-05,0.0006183547028442383,-0.00010188419338378906,2.6226043701171875e-05,0.20654296875,0.200927734375,0.01655914506953125,0.0165480093890625,-8.577108383178711e-05,-0.00025153160095214844,0.263630762725,0.30711372565,0.30735382437500003,-0.00020968914031982422,0.019134521484375,0.02215576171875,0.0001704692840576172,0.00041961669921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.0728836059570312e-06,0.0,3.5762786865234375e-07,100.125,0.00390625,0.01416015625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.018839915515625,0.396484375,0.0,0.0,0.0,0.0,0.0,0.0189912023171875,0.39697265625,0.0124969482421875,0.00018584728240966797,0.0202789306640625,0.09881591796875,0.031280517578125,0.123291015625,0.0004029273986816406,0.01347543984765625,-0.0001188516616821289,0.0003039836883544922,0.0011682510375976562,0.016106942682983398,0.0199541896435791,0.0227508544921875,0.0211944580078125,0.1395044681125,0.15388243275,0.0004105567932128906,0.0093536376953125,-3.9517879486083984e-05,0.0006099395793579102,-6.765040268554687e-05,3.3736228942871094e-05,0.2015380859375,0.19775390625,0.015706928765625,0.015818193803125,-0.00012600421905517578,-0.0002868175506591797,0.2631605603,0.303191781,0.303431738125,-0.00012695789337158203,0.0190582275390625,0.022064208984375,0.00018203258514404297,0.0003571510314941406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-4.76837158203125e-07,3.814697265625e-06,1.1920928955078125e-07,100.1875,0.009765625,0.0126953125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.03014386705625,0.328125,0.0,0.0,0.0,0.0,0.0,0.0303552955140625,0.328125,0.01241302490234375,0.00018584728240966797,0.0216827392578125,0.09979248046875,0.03302001953125,0.116943359375,0.0005097389221191406,0.0128326416015625,-0.00010544061660766602,0.0008792877197265625,0.00186920166015625,0.01605978053494873,0.01968994732868042,0.02252197265625,0.02117919921875,0.1336428616375,0.149062808575,0.0004324913024902344,0.009429931640625,-2.8848648071289062e-05,0.0005519017897705078,4.641572692871091e-06,1.8775463104248047e-05,0.192138671875,0.190673828125,0.01499458883046875,0.01485535265390625,-0.00028586387634277344,-0.0003955364227294922,0.2607508152375,0.298847384775,0.2990873978,-0.0001214742660522461,0.020660400390625,0.0234222412109375,0.00032591819763183594,0.0002562999725341797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,0.0,-1.9073486328125e-06,3.0994415283203125e-06,100.25,0.02001953125,0.02001953125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.051962093428125,0.260986328125,0.0,0.0,0.0,0.0,0.0,0.052279375709375,0.26123046875,0.012481689453125,0.0001862049102783203,0.0232391357421875,0.098876953125,0.03643798828125,0.105712890625,0.0005064010620117188,0.01190185546875,-0.0001024007797241211,0.00189208984375,0.00395965576171875,0.016034608688311767,0.019706243669696043,0.0216217041015625,0.0205841064453125,0.1236764676625,0.13971250690625,0.00040793418884277344,0.009490966796875,-7.063150405883789e-05,0.0004573592149658203,8.932213549804687e-05,-8.821487426757812e-06,0.177490234375,0.177978515625,0.014100822715625,0.01332200030390625,-0.00036907196044921875,-0.00045037269592285156,0.2573614194875,0.29338948425,0.2938735597,-0.00013184547424316406,0.022064208984375,0.0243682861328125,0.00038504600524902344,-7.444620132446289e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-4.76837158203125e-07,7.62939453125e-06,3.4570693969726562e-06,100.4375,0.019287109375,0.03271484375
