Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.006298353888671875,0.053802490234375,0.0,0.0,0.0,0.0,0.0,0.00636044135859375,0.053863525390625,0.001956939697265625,3.737211227416992e-05,0.0010404586791992188,0.01010894775390625,0.007312774658203125,0.004070281982421875,0.0001176595687866211,0.002465319460546875,-3.218650817871094e-05,0.007080078125,0.00740814208984375,0.016524424746459963,0.02041962000791626,0.0039825439453125,0.003894805908203125,0.033987464345312496,0.037105353515625,0.002300262451171875,0.002269744873046875,1.8775463104248047e-05,0.00048156213829345703,5.513429641723633e-05,4.494190216064453e-05,0.0242767333984375,0.02337646484375,0.0008392899125366211,0.00047753113608398436,-1.1563301086425781e-05,-2.6702880859375e-05,0.089792873721875,0.09212379161875,0.09211862461875,0.00012767314910888672,0.0032253265380859375,0.003894805908203125,4.26173210144043e-05,6.318092346191406e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,-1.7881393432617188e-07,3.5762786865234375e-07,-4.76837158203125e-07,20.046875,0.00400543212890625,0.00390625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0107647334171875,0.11395263671875,0.0,0.0,0.0,0.0,0.0,0.0108599813625,0.1141357421875,0.0038852691650390625,7.480382919311523e-05,0.0015163421630859375,0.018463134765625,0.01485443115234375,0.004405975341796875,0.000232696533203125,0.00477495870078125,-5.739927291870117e-05,0.01413726806640625,0.0146636962890625,0.0163403470385437,0.02032780651008911,0.00806427001953125,0.007843017578125,0.054159617031249996,0.056262992278125,0.006603240966796875,0.00495147705078125,5.936622619628906e-05,0.0004645518186767578,0.0001195669174194336,0.00012600421905517578,0.043853759765625,0.041748046875,0.0009108123254089356,0.0005265463790222168,-2.5987625122070312e-05,-5.638599395751953e-05,0.1358794644625,0.14170275633125,0.14181995014374998,0.0003402233123779297,0.006031036376953125,0.007549285888671875,8.195638656616211e-05,4.649162292480469e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.635883331298828e-06,-4.76837158203125e-07,3.039836883544922e-06,-1.3709068298339844e-06,40.09375,0.00820159912109375,0.0099639892578125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.01583707313828125,0.180908203125,0.0,0.0,0.0,0.0,0.0,0.0159543230671875,0.1810302734375,0.00576019287109375,0.00011217594146728516,0.001934051513671875,0.024658203125,0.021759033203125,0.002368927001953125,0.000301361083984375,0.00777588754609375,-0.0001024007797241211,0.022430419921875,0.022247314453125,0.016122087850305177,0.020161809435760496,0.0122528076171875,0.0118865966796875,0.0743466820625,0.075708426578125,0.0112152099609375,0.00753021240234375,9.328126907348633e-05,0.0004386682788330078,0.00015401840209960938,0.00015175342559814453,0.05902099609375,0.0552978515625,0.0010487644693969727,0.0005746158580322265,-3.0934810638427734e-05,-5.4955482482910156e-05,0.18272634599999998,0.19393394145,0.19392966105,0.0004839897155761719,0.0087738037109375,0.010986328125,0.00011944770812988281,3.153085708618164e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.887580871582031e-06,-1.430511474609375e-06,3.4570693969726562e-06,-2.6226043701171875e-06,60.125,0.0158233642578125,0.0120086669921875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.021041986215625,0.217529296875,0.0,0.0,0.0,0.0,0.0,0.021242382684375,0.218017578125,0.007640838623046875,0.00014960765838623047,0.0019378662109375,0.0292205810546875,0.029388427734375,0.0010852813720703125,0.00038433074951171875,0.0105404182390625,-0.00014781951904296875,0.0309600830078125,0.0302276611328125,0.01603980550687866,0.020102582845861815,0.0167388916015625,0.0162811279296875,0.0926425838625,0.09274554061875,0.0188751220703125,0.01088714599609375,0.00014293193817138672,0.0003727568133300781,0.0002015829086303711,0.0002256631851196289,0.06939697265625,0.0643310546875,0.0010966469997375488,0.0005760841799316406,-5.4955482482910156e-05,-8.106231689453125e-05,0.2306837700125,0.24262128775,0.242861546575,0.0007810592651367188,0.01155853271484375,0.01485443115234375,0.00018036365509033203,8.83340835571289e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.364418029785156e-06,-1.7881393432617188e-06,-6.079673767089844e-06,-3.516674041748047e-06,80.125,0.0226593017578125,0.016021728515625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0288326642828125,0.12164306640625,0.0,0.0,0.0,0.0,0.0,0.029108248496875,0.1219482421875,0.0096282958984375,0.00018739700317382812,0.0020465850830078125,0.032623291015625,0.0377197265625,0.00116729736328125,0.0005011558532714844,0.01233729669375,-0.00019943714141845703,0.044464111328125,0.043670654296875,0.015931908030688478,0.01998744905682373,0.0214080810546875,0.021148681640625,0.107334122075,0.10645208511875,0.02734375,0.0143280029296875,0.00021016597747802734,0.0003336727357910156,0.00025272369384765625,0.0002865791320800781,0.0775146484375,0.073486328125,0.0012347142710205077,0.0007405053438232421,-0.00013697147369384766,-0.00017213821411132812,0.2859204262375,0.284420624425,0.28466105465,0.0012464523315429688,0.0167236328125,0.02093505859375,0.0002918243408203125,5.555152893066406e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.2649765014648438e-06,7.62939453125e-06,-4.172325134277344e-06,100.25,0.02099609375,0.01904296875
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.04633711449375,-0.0007982254028320312,0.0,0.0,0.0,0.0,0.0,0.046748989009375,-0.0006260871887207031,0.010284423828125,0.0001876354217529297,0.0021266937255859375,0.03302001953125,0.041015625,0.00112152099609375,0.00029397010803222656,0.0111374774921875,-0.00023365020751953125,0.0560302734375,0.055908203125,0.01595479619407959,0.01990592111777954,0.0220947265625,0.022064208984375,0.10190330542500001,0.10165872047499999,0.02899169921875,0.01555633544921875,3.0338764190673828e-05,0.00039245309914550785,0.0002543131637939453,0.00031280517578125,0.07818603515625,0.07568359375,0.001069626427105713,0.0009928660327392577,-0.0003151893615722656,-0.0002892017364501953,0.2913407236625,0.2745209522125,0.27488312125000003,0.0013914108276367188,0.02227783203125,0.0258331298828125,0.0003216266632080078,-0.0004973411560058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-1.9073486328125e-06,-7.62939453125e-06,-2.2649765014648438e-06,100.25,0.025634765625,0.0205078125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.06965168309375,-0.00055694580078125,0.0,0.0,0.0,0.0,0.0,0.07015392204375,-0.0004184246063232422,0.01067352294921875,0.00018799304962158203,0.0022182464599609375,0.032135009765625,0.04217529296875,0.0011157989501953125,0.00029158592224121094,0.01063730508203125,-0.00028061866760253906,0.0655517578125,0.06329345703125,0.015874722986938476,0.019695147857385253,0.021820068359375,0.022125244140625,0.094704663425,0.09638731556249999,0.030120849609375,0.0165252685546875,5.781650543212891e-06,0.0005068235438964844,0.00029307690749511716,0.00034046173095703125,0.07611083984375,0.07440185546875,0.0009599051831665039,0.0009455832341247559,-0.00021398067474365234,-0.0001672506332397461,0.2767103649875,0.2627865075625,0.262904394375,0.0014400482177734375,0.022552490234375,0.02569580078125,0.00043201446533203125,-0.0007348060607910156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-9.5367431640625e-07,-2.288818359375e-05,1.5497207641601562e-06,100.1875,0.0185546875,0.02001953125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.092338691275,-0.0005006790161132812,0.0,0.0,0.0,0.0,0.0,0.092840036725,-0.0003573894500732422,0.01074981689453125,0.00018835067749023438,0.0029735565185546875,0.0310211181640625,0.041412353515625,0.0010652542114257812,0.0002033710479736328,0.0099945068359375,-0.0002849102020263672,0.075439453125,0.07012939453125,0.015874290880407715,0.019633978567236327,0.021575927734375,0.0221710205078125,0.0855471585125,0.08827179295,0.030181884765625,0.01611328125,1.3589859008789062e-05,0.0004975423537353516,0.0004584713380126953,0.0004382133483886719,0.07403564453125,0.07281494140625,0.001088646390435791,0.0011803782123779296,-0.00022983551025390625,-0.00015747547149658203,0.256722494925,0.243183322275,0.2433012649875,0.0013895034790039062,0.0224609375,0.0248565673828125,0.0006017684936523438,-0.0007572174072265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-1.7881393432617188e-06,-1.9073486328125e-06,2.7418136596679688e-06,100.1875,0.020263671875,0.0205078125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.10533733756875,-0.0005006790161132812,0.0,0.0,0.0,0.0,0.0,0.105898760475,-0.0003719329833984375,0.01087188720703125,0.00018835067749023438,0.0029144287109375,0.030487060546875,0.04119873046875,0.0009703636169433594,0.00021958351135253906,0.0094451904296875,-0.0003075599670410156,0.0843505859375,0.0772705078125,0.01600224336619873,0.019706243669696043,0.02166748046875,0.0223846435546875,0.08040254188125,0.08331602253125,0.0303192138671875,0.01593017578125,2.0623207092285156e-05,0.0005672701799316406,0.0005613909221191406,0.0005054473876953125,0.07354736328125,0.07232666015625,0.001051637439593506,0.0010505960375488282,-0.00022554397583007812,-0.00015497207641601562,0.24820614605,0.2322322576875,0.232594262825,0.0013523101806640625,0.02301025390625,0.0244598388671875,0.0006170272827148438,-0.0008940696716308594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-1.430511474609375e-06,7.62939453125e-06,2.0265579223632812e-06,100.25,0.01513671875,0.015625
