Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,-0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00635557434765625,0.0865478515625,0.0,0.0,0.0,0.0,0.0,0.006402403028515625,0.0865478515625,0.0024890899658203125,3.725290298461914e-05,0.002559661865234375,0.0186767578125,0.003284454345703125,0.029571533203125,9.530782699584961e-05,0.002427172487890625,-2.8431415557861328e-05,-6.67572021484375e-06,0.0004200935363769531,0.017986645892089845,0.021470986337109376,0.0034122467041015625,0.003185272216796875,0.033544959462499996,0.0381276923828125,4.7087669372558594e-05,0.0015096664428710938,5.781650543212891e-06,0.0005472464568359375,2.4199485778808594e-05,7.230043411254883e-05,0.04119873046875,0.040283203125,0.00576466012890625,0.0055610920796875,-1.0132789611816406e-06,-2.5153160095214844e-05,0.07816567645625,0.08565406505625,0.0857099332125,-2.8848648071289062e-05,0.0036525726318359375,0.00461578369140625,-4.410743713378906e-06,8.106231689453125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2516975402832031e-06,-0.0,-3.5762786865234375e-07,5.960464477539063e-08,20.03125,0.0011720657348632812,0.0011720657348632812
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01060451613203125,0.174072265625,0.0,0.0,0.0,0.0,0.0,0.01067687589375,0.174072265625,0.004909515380859375,7.450580596923828e-05,0.00527191162109375,0.0386962890625,0.006092071533203125,0.0615234375,0.00019240379333496094,0.00452318868125,-5.733966827392578e-05,-6.735324859619141e-06,0.0011196136474609375,0.021085651623046875,0.02408546213066406,0.006927490234375,0.006439208984375,0.054281687343749996,0.05965044345,9.822845458984375e-05,0.0030364990234375,1.9669532775878906e-05,0.0006112388494689941,5.650520324707031e-05,0.00016427040100097656,0.084228515625,0.0821533203125,0.01114022106640625,0.0110868801078125,-1.430511474609375e-05,-7.033348083496094e-05,0.11238092930625,0.1273594946125,0.12735461811249998,-4.6253204345703125e-05,0.007129669189453125,0.0091094970703125,-2.0205974578857422e-05,0.0001647472381591797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2649765014648438e-06,-1.1920928955078125e-07,3.814697265625e-06,4.172325134277344e-07,40.0625,0.004688262939453125,0.0033206939697265625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0150207279234375,0.260498046875,0.0,0.0,0.0,0.0,0.0,0.01511508966875,0.2607421875,0.00740814208984375,0.00011157989501953125,0.00850677490234375,0.05914306640625,0.008575439453125,0.09332275390625,0.00022745132446289062,0.00693665414765625,-9.769201278686523e-05,-7.581710815429688e-05,0.0008478164672851562,0.021004781141015626,0.02391386221972656,0.01068115234375,0.0099029541015625,0.0767880883125,0.083246268375,0.00014007091522216797,0.00453948974609375,8.821487426757812e-06,0.0006769080440002441,8.165836334228516e-05,0.00024020671844482422,0.1282958984375,0.1248779296875,0.0174179880640625,0.017523077390625,-2.4378299713134766e-05,-0.00010401010513305664,0.14744802568749998,0.16854331645,0.1686611063625,-0.00011920928955078125,0.01097869873046875,0.01381683349609375,-3.135204315185547e-05,0.0002758502960205078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.125999450683594e-06,-4.172325134277344e-07,4.589557647705078e-06,5.960464477539062e-07,60.0625,0.0005860328674316406,0.004688262939453125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.019638177621875,0.32470703125,0.0,0.0,0.0,0.0,0.0,0.0197317625671875,0.324951171875,0.00968170166015625,0.000148773193359375,0.0121307373046875,0.0814208984375,0.01038360595703125,0.125244140625,0.00034332275390625,0.00900690993828125,-0.0001304149627685547,-0.0001176595687866211,0.0013217926025390625,0.02265645751875,0.02554746714609375,0.0146331787109375,0.0136260986328125,0.099112310425,0.10690569686875,0.0001838207244873047,0.00597381591796875,3.504753112792969e-05,0.0007302654726928711,0.00011110305786132812,0.0003197193145751953,0.1717529296875,0.167724609375,0.02510271570625,0.025411193890625,-5.0067901611328125e-05,-0.00015425682067871094,0.1817335747,0.206732615875,0.2070949450125,-0.0001596212387084961,0.01485443115234375,0.018890380859375,-1.233816146850586e-05,0.0004324913024902344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-5.960464477539062e-07,-4.589557647705078e-06,6.556510925292969e-07,80.125,0.0095672607421875,0.00624847412109375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.028298606665625,0.310546875,0.0,0.0,0.0,0.0,0.0,0.0284826381453125,0.31103515625,0.01190185546875,0.0001862049102783203,0.016448974609375,0.10406494140625,0.01134490966796875,0.1522216796875,0.0004875659942626953,0.01065120050234375,-0.0001552104949951172,-0.00043892860412597656,0.001232147216796875,0.01798588408964844,0.021517261869628906,0.0183563232421875,0.0173187255859375,0.118076309575,0.1276312843375,0.00022983551025390625,0.0073089599609375,9.810924530029297e-05,0.000793939802746582,0.0001500844955444336,0.00037097930908203125,0.2091064453125,0.20654296875,0.03471130538125,0.03480694401875,-0.00013697147369384766,-0.00025272369384765625,0.2146313637375,0.2386442572375,0.23876261715,-0.0002429485321044922,0.019622802734375,0.02447509765625,0.00016927719116210938,0.0005068778991699219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-4.76837158203125e-07,-3.814697265625e-06,3.2186508178710938e-06,100.125,0.022705078125,0.01611328125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0448112355875,0.174072265625,0.0,0.0,0.0,0.0,0.0,0.045101039790625,0.1741943359375,0.01230621337890625,0.00018644332885742188,0.0188140869140625,0.10491943359375,0.0105743408203125,0.1456298828125,0.0005693435668945312,0.009230128859375,-0.00013720989227294922,0.0013570785522460938,0.00439453125,0.016069058298114013,0.019847627775189208,0.01751708984375,0.0169219970703125,0.10922752417500001,0.11972512672499999,0.00015652179718017578,0.0071258544921875,5.0961971282958984e-05,0.0007721346863647461,0.00022164981845703124,0.0003261566162109375,0.19873046875,0.1993408203125,0.038371584034375,0.0374067740375,-0.0002760887145996094,-0.0003235340118408203,0.2122391611625,0.227279741275,0.22751984,-0.0003294944763183594,0.0223236083984375,0.0268707275390625,0.0005249977111816406,0.0001302957534790039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,5.960464477539062e-07,9.5367431640625e-06,3.5762786865234375e-06,100.25,0.0283203125,0.025390625
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.077769358875,0.046875,0.0,0.0,0.0,0.0,0.0,0.07821056266875,0.046875,0.0128631591796875,0.000186920166015625,0.021484375,0.1038818359375,0.0100555419921875,0.1337890625,0.0007238388061523438,0.0076847293984375,-8.7738037109375e-05,0.007396697998046875,0.0123138427734375,0.015818575411560058,0.019613370284753417,0.0162811279296875,0.0162506103515625,0.0964136478,0.10816710071874999,0.00011259317398071289,0.0068817138671875,-3.2186508178710938e-06,0.0007417254489562988,0.0004134782899414062,0.0003414154052734375,0.1859130859375,0.189697265625,0.041158588921875,0.0388589652875,-0.0003371238708496094,-0.0003600120544433594,0.206275794675,0.215301156,0.21541904281250002,-0.0003955364227294922,0.0262298583984375,0.0310211181640625,0.0010929107666015625,-6.377696990966797e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,1.1920928955078125e-07,-1.9073486328125e-06,5.125999450683594e-06,100.3125,0.01953125,0.0224609375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.10607160143125,-0.0003859996795654297,0.0,0.0,0.0,0.0,0.0,0.10657294688125,-0.0004184246063232422,0.01338958740234375,0.00018703937530517578,0.023101806640625,0.1031494140625,0.01052093505859375,0.118896484375,0.0006260871887207031,0.006839752197265625,-5.358457565307617e-05,0.02130126953125,0.0234527587890625,0.01585831683560791,0.019585102758520507,0.01580810546875,0.01605224609375,0.0838381741375,0.0957180820125,8.33272933959961e-05,0.00685882568359375,-0.000125885009765625,0.0006398782454589844,0.000569812814453125,0.00036334991455078125,0.1737060546875,0.1787109375,0.04020973775625,0.036515203728125,-0.0003273487091064453,-0.0003509521484375,0.2021570652375,0.2069284394625,0.2069243118625,-0.0003521442413330078,0.0288543701171875,0.033447265625,0.0007233619689941406,-0.0005640983581542969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-1.1920928955078125e-06,-1.9073486328125e-06,6.67572021484375e-06,100.25,0.01953125,0.0263671875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.124929622725,-0.0004591941833496094,0.0,0.0,0.0,0.0,0.0,0.12549104563125,-0.0004470348358154297,0.0141143798828125,0.00018703937530517578,0.0234832763671875,0.1007080078125,0.01349639892578125,0.1009521484375,0.000537872314453125,0.0063934326171875,-7.921457290649414e-05,0.0367431640625,0.035736083984375,0.015968030300097656,0.019675726091571043,0.0158843994140625,0.0162353515625,0.07405488563125,0.08526914753125,9.310245513916016e-05,0.00701141357421875,-0.00011795759201049805,0.0005952843629760742,0.0007316217875976563,0.00042057037353515625,0.16259765625,0.1680908203125,0.036195549278125,0.031869058409375,-0.00030493736267089844,-0.0002892017364501953,0.1977911069875,0.20256917175,0.2026870362625,-0.00034427642822265625,0.03070068359375,0.034576416015625,0.000637054443359375,-0.000713348388671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-07,-1.6689300537109375e-06,-3.814697265625e-06,6.079673767089844e-06,100.25,0.03125,0.015625
