Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.005848219611328125,0.0787353515625,0.0,0.0,0.0,0.0,0.0,0.00588741889765625,0.07879638671875,0.0008306503295898438,3.7610530853271484e-05,3.325939178466797e-05,0.0005993843078613281,0.0010547637939453125,3.6597251892089844e-05,0.0001156926155090332,0.002320360964453125,-1.8358230590820312e-05,0.00670623779296875,0.007526397705078125,0.016563048556274416,0.020433150262280275,0.002262115478515625,0.002117156982421875,0.019106330312109374,0.02197626416015625,0.0052032470703125,0.00145721435546875,0.00019276142120361328,0.0005167288787109375,0.00015234947204589844,0.0002522468566894531,0.0017423629760742188,0.0009784698486328125,0.0008520453065185547,0.0005253340611938476,2.193450927734375e-05,-9.5367431640625e-06,0.066355373721875,0.071402356071875,0.071397189071875,0.00032520294189453125,0.0021915435791015625,0.003269195556640625,1.6808509826660156e-05,5.120038986206055e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.344650268554688e-07,-3.5762786865234375e-07,2.682209014892578e-06,-1.0132789611816406e-06,20.015625,0.0028324127197265625,0.003124237060546875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0097271357609375,0.159912109375,0.0,0.0,0.0,0.0,0.0,0.0097766073390625,0.159912109375,0.00162506103515625,7.522106170654297e-05,3.707408905029297e-05,0.0011091232299804688,0.0019893646240234375,6.73532485961914e-05,0.0002295970916748047,0.0044163771578125,-3.898143768310547e-05,0.0124664306640625,0.0141754150390625,0.016407640682495117,0.02034693960106201,0.00450897216796875,0.00421142578125,0.0249695535546875,0.026905082121875,0.01079559326171875,0.002941131591796875,0.0003859996795654297,0.0005592635992248535,0.0003018379211425781,0.0005040168762207031,0.003231048583984375,0.0016498565673828125,0.0010057029198913573,0.0006383050879760743,5.066394805908203e-05,-2.491474151611328e-05,0.08857721836875,0.099802121565625,0.09982776264375,0.0006723403930664062,0.00412750244140625,0.00630950927734375,3.463029861450195e-05,0.00011283159255981445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.039836883544922e-06,-8.344650268554688e-07,0.0,-2.1457672119140625e-06,40.03125,0.006542205810546875,0.005664825439453125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.01363217811875,0.2415771484375,0.0,0.0,0.0,0.0,0.0,0.01370365168046875,0.2418212890625,0.002445220947265625,0.00011277198791503906,2.473592758178711e-05,0.0016412734985351562,0.002910614013671875,9.620189666748047e-05,0.0003399848937988281,0.006620034274609375,-6.270408630371094e-05,0.01708984375,0.0197906494140625,0.016233071698876955,0.020195724478637694,0.00676727294921875,0.0063018798828125,0.0314237084296875,0.0322361365390625,0.016815185546875,0.00444793701171875,0.0005669593811035156,0.000578918007989502,0.00045013427734375,0.0007543563842773438,0.004543304443359375,0.0021572113037109375,0.001158675434362793,0.0007438334445495605,8.183717727661133e-05,-3.445148468017578e-05,0.1110710725625,0.129236675825,0.1293544657375,0.0010480880737304688,0.0059356689453125,0.009246826171875,4.7087669372558594e-05,0.0001989603042602539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6954879760742188e-06,-1.5497207641601562e-06,5.7220458984375e-06,-2.6226043701171875e-06,60.03125,0.01259613037109375,0.00966644287109375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0174866883640625,0.313232421875,0.0,0.0,0.0,0.0,0.0,0.017580273309375,0.3134765625,0.0033168792724609375,0.00015044212341308594,-4.9948692321777344e-05,0.002140045166015625,0.0038547515869140625,0.0001251697540283203,0.0004417896270751953,0.00894587478203125,-8.386373519897461e-05,0.021209716796875,0.024993896484375,0.016197280978375243,0.0201534852125,0.009124755859375,0.00849151611328125,0.0386875057375,0.0380427818296875,0.0234832763671875,0.00597381591796875,0.0007462501525878906,0.0006047380907958984,0.0006084442138671875,0.0010175704956054688,0.00531005859375,0.002155303955078125,0.0012162139171569824,0.0007705741358337402,7.003545761108398e-05,-8.499622344970703e-05,0.1330275200125,0.1587589830625,0.15881613641875,0.0014829635620117188,0.00772857666015625,0.01221466064453125,0.00010216236114501953,0.0004642009735107422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.172325134277344e-06,-2.2649765014648438e-06,1.5497207641601562e-06,-3.516674041748047e-06,80.125,0.018157958984375,0.01210784912109375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.02124904611875,0.32373046875,0.0,0.0,0.0,0.0,0.0,0.0213720424421875,0.323974609375,0.004261016845703125,0.0001881122589111328,-0.0002371072769165039,0.002429962158203125,0.00423431396484375,0.0001100301742553711,0.000560760498046875,0.01127681085390625,-9.626150131225586e-05,0.0264129638671875,0.030853271484375,0.01615220679777832,0.02010153234692383,0.01157379150390625,0.01088714599609375,0.046176895512499996,0.043921567540625,0.0305633544921875,0.007411956787109375,0.0009613037109375,0.0006145298219726562,0.0008025169372558594,0.0012979507446289062,0.00431060791015625,0.0011281967163085938,0.00135714221138916,0.0008247267068908691,7.784366607666016e-05,-0.00011599063873291016,0.15365724264375,0.1871305853625,0.1871268749625,0.0020008087158203125,0.00934600830078125,0.01470947265625,0.00010269880294799805,0.0003399848937988281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.2649765014648438e-06,5.7220458984375e-06,-5.602836608886719e-06,100.125,0.02392578125,0.0224609375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0266685353921875,0.1815185546875,0.0,0.0,0.0,0.0,0.0,0.0268362692828125,0.181884765625,0.004344940185546875,0.00018846988677978516,-0.00020384788513183594,0.0026302337646484375,0.00458526611328125,0.00013113021850585938,0.0005049705505371094,0.01066445503125,-0.00010418891906738281,0.03619384765625,0.0396728515625,0.016160611032489013,0.01999592413139038,0.01174163818359375,0.0113677978515625,0.04422508276875,0.0421036667640625,0.031158447265625,0.0073394775390625,0.0009899139404296875,0.0006756943711181641,0.000922600441015625,0.0013380050659179688,0.003803253173828125,0.0013990402221679688,0.001565239048413086,0.001001449101586914,-7.355213165283203e-05,-0.0002282857894897461,0.1536454111625,0.1844330615875,0.18455109,0.00211334228515625,0.01263427734375,0.016815185546875,0.00017535686492919922,5.1856040954589844e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.5497207641601562e-06,0.0,-4.172325134277344e-06,100.25,0.02587890625,0.0341796875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0481062729375,0.06170654296875,0.0,0.0,0.0,0.0,0.0,0.04842540641875,0.0618896484375,0.003963470458984375,0.00018858909606933594,0.00010007619857788086,0.0031681060791015625,0.006317138671875,0.00017440319061279297,0.0005245208740234375,0.00940134316796875,-0.00012159347534179688,0.053314208984375,0.05413818359375,0.016005316763641357,0.01970551906557617,0.01105499267578125,0.011199951171875,0.039620434909375,0.0385717638046875,0.0299835205078125,0.007389068603515625,0.0007457733154296875,0.0006709747356079102,0.001083911334375,0.0013637542724609375,0.0084228515625,0.006092071533203125,0.0014804921506347656,0.0009091647961669922,-4.4226646423339844e-05,-0.00013065338134765625,0.15189347045625,0.181365609125,0.18148349593750002,0.00203704833984375,0.01788330078125,0.020904541015625,0.0007281303405761719,-0.00028705596923828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-8.344650268554688e-07,3.814697265625e-06,-2.1457672119140625e-06,100.25,0.02001953125,0.02392578125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.07384503893125,0.001178741455078125,0.0,0.0,0.0,0.0,0.0,0.07422431406875,0.0013093948364257812,0.0037326812744140625,0.00018858909606933594,0.0007610321044921875,0.003826141357421875,0.007373809814453125,0.000179290771484375,0.0004487037658691406,0.0084686279296875,-0.00015115737915039062,0.0667724609375,0.0634765625,0.01599630158826294,0.019598573408239745,0.01043701171875,0.011016845703125,0.0355746243328125,0.0356442294734375,0.0283203125,0.00722503662109375,0.0005693435668945312,0.0005982742034057617,0.0012688560883789063,0.0013875961303710938,0.01088714599609375,0.008270263671875,0.0015468272948242188,0.0007851994175170898,-0.00019073486328125,-0.00020873546600341797,0.1513758152375,0.18043918165,0.18043505405,0.0019397735595703125,0.0201416015625,0.022674560546875,0.0011434555053710938,-0.0002765655517578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.430511474609375e-06,5.7220458984375e-06,-7.152557373046875e-07,100.25,0.01953125,0.02490234375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.09544964225625,-0.0005497932434082031,0.0,0.0,0.0,0.0,0.0,0.09582795969375,-0.0004673004150390625,0.00392913818359375,0.00018858909606933594,0.001312255859375,0.0045928955078125,0.00865936279296875,0.00017380714416503906,0.00032401084899902344,0.00763702392578125,-0.00017595291137695312,0.07525634765625,0.06927490234375,0.01610231956477661,0.019676977789111327,0.0102081298828125,0.01096343994140625,0.0335733182484375,0.03509824909375,0.02679443359375,0.0072021484375,0.00046515464782714844,0.0005231627427978515,0.001596604392578125,0.001598358154296875,0.01364898681640625,0.01099395751953125,0.001454624442919922,0.0006560132891357421,-0.00016629695892333984,-0.00018918514251708984,0.15329647808125,0.1829158514375,0.1829116456375,0.0018606185913085938,0.0220947265625,0.0242919921875,0.00107574462890625,-0.0005106925964355469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0013580322265625e-05,-1.5497207641601562e-06,1.9073486328125e-06,-4.76837158203125e-07,100.25,0.0341796875,0.02685546875
