Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,-0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0096591021796875,0.093994140625,0.0,0.0,0.0,0.0,0.0,0.0097097455578125,0.09405517578125,0.0019254684448242188,3.719329833984375e-05,0.0014495849609375,0.0124969482421875,0.0026149749755859375,0.017181396484375,7.981061935424805e-05,0.0031424282251953125,-3.6776065826416016e-05,0.00026702880859375,0.0005373954772949219,0.01664136905950928,0.02052684876386719,0.003223419189453125,0.002899169921875,0.032431067860937496,0.036067755859375,0.00014078617095947266,0.0018568038940429688,1.531839370727539e-05,0.0005288882262451172,-6.616115570068359e-06,4.792213439941406e-05,0.030670166015625,0.0289306640625,0.002216991671875,0.00189135331015625,2.6226043701171875e-06,-2.1398067474365234e-05,0.086191799503125,0.087759777946875,0.087815646103125,-7.748603820800781e-06,0.003528594970703125,0.004451751708984375,-8.881092071533203e-06,4.088878631591797e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0132789611816406e-06,-0.0,2.562999725341797e-06,-1.1920928955078125e-07,20.03125,0.0012521743774414062,0.0015897750854492188
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0176006709171875,0.189697265625,0.0,0.0,0.0,0.0,0.0,0.017665401284375,0.1898193359375,0.0038204193115234375,7.420778274536133e-05,0.0027484893798828125,0.02484130859375,0.00556182861328125,0.0328369140625,0.00015866756439208984,0.005984217733984375,-7.450580596923828e-05,0.00036787986755371094,0.0009675025939941406,0.016630085216796875,0.020587146319506835,0.00652313232421875,0.005863189697265625,0.052175974453124996,0.055652640715625,0.0003974437713623047,0.0037746429443359375,3.3020973205566406e-05,0.0005815557363708496,-2.110004425048828e-05,8.893013000488281e-05,0.060638427734375,0.05718994140625,0.0032132801484375,0.0028604854544921877,3.3974647521972656e-06,-4.279613494873047e-05,0.12825006993125,0.1327305883625,0.13290881733124998,-2.0265579223632812e-05,0.006805419921875,0.00870513916015625,-1.8775463104248047e-05,6.347894668579102e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2649765014648438e-06,-2.384185791015625e-07,-1.430511474609375e-06,-5.960464477539063e-08,40.0625,0.003448486328125,0.0038967132568359375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.025686621478125,0.286376953125,0.0,0.0,0.0,0.0,0.0,0.0257809832234375,0.28662109375,0.005657196044921875,0.00011152029037475586,0.0037441253662109375,0.0364990234375,0.00902557373046875,0.04534912109375,0.00022876262664794922,0.00879822641328125,-0.00011181831359863281,0.0004718303680419922,0.0014009475708007812,0.016676053418847658,0.020626546851074217,0.009918212890625,0.00891876220703125,0.072485109796875,0.075647391421875,0.0011777877807617188,0.005767822265625,6.16312026977539e-05,0.0006098528186279297,-3.421306610107422e-05,0.00013399124145507812,0.0880126953125,0.0828857421875,0.0032635538599609373,0.002935675046875,1.800060272216797e-05,-4.762411117553711e-05,0.17003103349999998,0.1786751523875,0.1789150126125,-2.3603439331054688e-05,0.009796142578125,0.012725830078125,-2.187490463256836e-05,9.357929229736328e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.410743713378906e-06,-5.960464477539062e-07,9.179115295410156e-06,-1.7881393432617188e-07,60.03125,0.005008697509765625,0.0068817138671875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.03388988660625,0.38232421875,0.0,0.0,0.0,0.0,0.0,0.03402924791875,0.38232421875,0.00738525390625,0.00014865398406982422,0.0042724609375,0.04644775390625,0.01318359375,0.05230712890625,0.0003104209899902344,0.0115474983171875,-0.00014865398406982422,0.0006351470947265625,0.0019330978393554688,0.016895310973339843,0.020782910261328124,0.01338958740234375,0.01207733154296875,0.0928867244875,0.0956141929625,0.002880096435546875,0.007843017578125,0.00011521577835083008,0.0006216658099121094,-3.916025161743164e-05,0.00019490718841552734,0.11016845703125,0.1033935546875,0.002196412300488281,0.001936500592285156,2.014636993408203e-05,-6.431341171264648e-05,0.2121290825125,0.22504316275,0.225283421575,1.4007091522216797e-05,0.012420654296875,0.01641845703125,-4.178285598754883e-05,0.00011414289474487305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-7.152557373046875e-07,1.9669532775878906e-06,-2.384185791015625e-07,80.0625,0.0100250244140625,0.01052093505859375
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.042031516821875003,0.475830078125,0.0,0.0,0.0,0.0,0.0,0.0422002895125,0.476318359375,0.00894927978515625,0.00018584728240966797,0.0041046142578125,0.0533447265625,0.0181427001953125,0.05078125,0.00041413307189941406,0.0143056804828125,-0.00019240379333496094,0.0010099411010742188,0.00264739990234375,0.016846720118701173,0.02071808279248047,0.016845703125,0.01520538330078125,0.11252211035625,0.11450872574375,0.006084442138671875,0.010009765625,0.00020003318786621094,0.0006355106569335937,-3.11732292175293e-05,0.0002803802490234375,0.122802734375,0.114501953125,0.0016834180368896483,0.0010717879594848633,2.3245811462402344e-06,-0.00010943412780761719,0.2541821449875,0.271237030675,0.2715995312125,0.0001436471939086914,0.0146484375,0.0196533203125,-6.467103958129883e-05,0.00014317035675048828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.616115570068359e-06,-1.7285346984863281e-06,6.318092346191406e-06,-2.980232238769531e-07,100.125,0.01416778564453125,0.01129913330078125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.04255293480625,0.46337890625,0.0,0.0,0.0,0.0,0.0,0.042720668696875,0.46337890625,0.00872802734375,0.00018596649169921875,0.0026760101318359375,0.04656982421875,0.0198211669921875,0.033416748046875,0.0004715919494628906,0.01436471137890625,-0.00018107891082763672,0.0016431808471679688,0.00319671630859375,0.016357246755603027,0.020448979036328124,0.0168304443359375,0.01519775390625,0.11081443823750001,0.11215676734999999,0.0094451904296875,0.010345458984375,0.0002675056457519531,0.0006528061875244141,-2.5232505432128906e-06,0.00032782554626464844,0.10247802734375,0.09490966796875,0.0014777394298828126,0.000879676812310791,-1.6510486602783203e-05,-0.0001399517059326172,0.2542313486625,0.2713471240875,0.27158722281250003,0.0003159046173095703,0.0137786865234375,0.018707275390625,-4.4405460357666016e-05,0.0001380443572998047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9669532775878906e-06,-2.0265579223632812e-06,5.900859832763672e-06,-4.76837158203125e-07,100.125,0.0217742919921875,0.0128631591796875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.044657786609375,0.448974609375,0.0,0.0,0.0,0.0,0.0,0.044793814621875,0.449462890625,0.00856781005859375,0.0001863241195678711,0.0017671585083007812,0.039459228515625,0.0214996337890625,0.016387939453125,0.000507354736328125,0.01429941445703125,-0.00017547607421875,0.00262451171875,0.004241943359375,0.01610432007861328,0.020055994376855468,0.0166778564453125,0.01506805419921875,0.107399975925,0.10816710071874999,0.01318359375,0.0106964111328125,0.0003190040588378906,0.0006720476192138672,2.8015052178955078e-05,0.0003571510314941406,0.082763671875,0.07537841796875,0.0012648425458374024,0.0007140191891723633,-4.5299530029296875e-05,-0.00017201900482177734,0.2559584118625,0.271209359125,0.27144931625,0.00046944618225097656,0.0132293701171875,0.01788330078125,-6.0677528381347656e-05,4.9233436584472656e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3113021850585938e-06,-2.3245811462402344e-06,-2.1457672119140625e-06,-5.364418029785156e-07,100.1875,0.0248565673828125,0.0185089111328125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.047752509634375,0.4375,0.0,0.0,0.0,0.0,0.0,0.04785712656875,0.437744140625,0.00841522216796875,0.0001863241195678711,0.0013380050659179688,0.032318115234375,0.023223876953125,0.002796173095703125,0.0005207061767578125,0.01416015625,-0.0001647472381591797,0.004230499267578125,0.0059051513671875,0.0160436276762146,0.019843906126135253,0.0163116455078125,0.01474761962890625,0.10318631866875,0.1037747226375,0.0178070068359375,0.010986328125,0.0003821849822998047,0.0006426200591186524,8.588270352172852e-05,0.0003986358642578125,0.06396484375,0.05645751953125,0.0010916266226745606,0.0006060278553222656,-2.8371810913085938e-05,-0.00015306472778320312,0.2612390964875,0.27321261915,0.273452632175,0.0006227493286132812,0.01343536376953125,0.0178375244140625,-9.423494338989258e-05,-3.993511199951172e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.424022674560547e-06,-1.7285346984863281e-06,9.775161743164062e-06,-1.6689300537109375e-06,100.1875,0.0238037109375,0.0177764892578125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.049459652021875,0.433349609375,0.0,0.0,0.0,0.0,0.0,0.0496243464125,0.433837890625,0.00839996337890625,0.0001863241195678711,0.0011873245239257812,0.027557373046875,0.024566650390625,0.0010499954223632812,0.000537872314453125,0.0139617919921875,-0.00015783309936523438,0.0045166015625,0.005523681640625,0.016186540927844238,0.019916111623950194,0.0158233642578125,0.014251708984375,0.09981172156875,0.1007110420625,0.0212249755859375,0.0110931396484375,0.0003943443298339844,0.0006401070558471679,0.00014749626879882814,0.0004303455352783203,0.051483154296875,0.043853759765625,0.000987860469683838,0.0005644605547607421,5.364418029785156e-06,-0.00011932849884033203,0.2692022398,0.27776448425,0.278004419075,0.0007419586181640625,0.013580322265625,0.01776123046875,-0.0001227855682373047,-8.875131607055664e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1457672119140625e-06,-2.5033950805664062e-06,1.7881393432617188e-07,-2.384185791015625e-06,100.1875,0.0221405029296875,0.0201873779296875
