Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,-0.0,-0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.005197813727539063,0.11004638671875,0.0,0.0,0.0,0.0,0.0,0.0052389203625,0.11016845703125,0.00251007080078125,3.707408905029297e-05,0.002166748046875,0.0142364501953125,0.0096282958984375,0.01154327392578125,7.05718994140625e-05,0.0036841152369140625,-1.8596649169921875e-05,0.007396697998046875,0.00807952880859375,0.01654409427923584,0.020435474843426515,0.0048370361328125,0.00438690185546875,0.039617957509374996,0.043330939453125,0.0024051666259765625,0.002803802490234375,1.1742115020751953e-05,0.0004977149970275879,-8.118152618408203e-05,-1.5795230865478516e-05,0.03485107421875,0.033111572265625,0.0017802088349609376,0.001513698280859375,1.627206802368164e-05,-3.421306610107422e-05,0.098276760440625,0.1093967408375,0.10945260899375,-2.7239322662353516e-05,0.0042724609375,0.004978179931640625,3.5762786865234375e-05,6.198883056640625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0728836059570312e-06,-3.5762786865234375e-07,7.748603820800781e-07,-4.76837158203125e-07,20.0,0.0011720657348632812,9.763240814208984e-05
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.00865139113203125,0.2222900390625,0.0,0.0,0.0,0.0,0.0,0.008704677407421875,0.222412109375,0.00511932373046875,7.408857345581055e-05,0.004489898681640625,0.030059814453125,0.019378662109375,0.0261688232421875,0.00013458728790283203,0.00712481221640625,-3.594160079956055e-05,0.013427734375,0.01495361328125,0.01637527536038208,0.020356953181384276,0.00982666015625,0.0088958740234375,0.067190622890625,0.070972464934375,0.00461578369140625,0.005710601806640625,1.6450881958007812e-05,0.0005270770910461426,-0.00017118453979492188,-3.7729740142822266e-05,0.0740966796875,0.0704345703125,0.0031160053681640624,0.002904354473046875,3.236532211303711e-05,-6.127357482910156e-05,0.1524810269625,0.175821408675,0.17593860248749998,-7.593631744384766e-05,0.00832366943359375,0.00972747802734375,7.015466690063477e-05,0.0001308917999267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2186508178710938e-06,-5.960464477539062e-07,1.5497207641601562e-06,-8.344650268554688e-07,40.03125,-0.0015621185302734375,0.001953125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.01231229286484375,0.3359375,0.0,0.0,0.0,0.0,0.0,0.0123837664265625,0.33642578125,0.00788116455078125,0.00011116266250610352,0.007282257080078125,0.04901123046875,0.028900146484375,0.04736328125,0.0001976490020751953,0.0105453577609375,-5.608797073364258e-05,0.016876220703125,0.0195770263671875,0.01617376507732544,0.020197154990112303,0.0149688720703125,0.01351165771484375,0.09674658440625,0.10088542853125,0.006072998046875,0.0086212158203125,2.4437904357910156e-06,0.0005250950137573242,-0.0002739429473876953,-7.194280624389648e-05,0.12115478515625,0.115234375,0.005226215603125,0.00515582885546875,1.0073184967041016e-05,-0.00012010335922241211,0.20738454912499998,0.243494488325,0.24373434855,-0.0001589059829711914,0.0122222900390625,0.01432037353515625,0.00010883808135986328,0.000202178955078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4570693969726562e-06,-8.344650268554688e-07,3.4570693969726562e-06,-9.5367431640625e-07,60.03125,0.0011720657348632812,0.0011720657348632812
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0162965028171875,0.45166015625,0.0,0.0,0.0,0.0,0.0,0.0163900877625,0.451904296875,0.0107879638671875,0.0001480579376220703,0.0107879638671875,0.07244873046875,0.03753662109375,0.0775146484375,0.00025916099548339844,0.0139278694109375,-7.778406143188477e-05,0.016326904296875,0.020538330078125,0.016120867823773193,0.020161829862768554,0.020233154296875,0.018218994140625,0.1285312557375,0.13357806015,0.00629425048828125,0.01143646240234375,-1.5497207641601562e-05,0.0005217684252685547,-0.0003867149353027344,-0.0001232624053955078,0.1773681640625,0.169189453125,0.008470635628125,0.00861889652734375,1.8298625946044922e-05,-0.00016307830810546875,0.2637648247,0.312201365875,0.3124416247,-0.0002701282501220703,0.016082763671875,0.0188140869140625,0.00019991397857666016,0.00027441978454589844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.172325134277344e-06,-1.3113021850585938e-06,1.5497207641601562e-06,-4.76837158203125e-07,80.0625,-0.0015621185302734375,0.005077362060546875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0205624006109375,0.568359375,0.0,0.0,0.0,0.0,0.0,0.020685396934375,0.56884765625,0.01395416259765625,0.00018489360809326172,0.01515960693359375,0.101318359375,0.045074462890625,0.11553955078125,0.0003376007080078125,0.01722010919375,-0.00010484457015991211,0.01064300537109375,0.0163116455078125,0.01608264817732544,0.020130142576416016,0.0255126953125,0.02288818359375,0.162509903325,0.1691351905875,0.0054931640625,0.0140838623046875,-4.1961669921875e-05,0.0005065262056396484,-0.0005125999450683594,-0.0001938343048095703,0.2423095703125,0.231201171875,0.01322693038125,0.0135514508546875,3.325939178466797e-05,-0.0001800060272216797,0.32217530905,0.382076874425,0.382073164025,-0.00040030479431152344,0.0200042724609375,0.0233154296875,0.0003376007080078125,0.0003490447998046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.1920928955078125e-06,-9.5367431640625e-06,-1.1920928955078125e-07,100.0625,-0.0029296875,-0.0009765625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0210533010171875,0.572265625,0.0,0.0,0.0,0.0,0.0,0.0211599997515625,0.57275390625,0.0144805908203125,0.00018489360809326172,0.01702880859375,0.11358642578125,0.04315185546875,0.1336669921875,0.0003986358642578125,0.017042628859375,-0.00011521577835083008,0.0017824172973632812,0.006824493408203125,0.016102615713122558,0.020085629121777342,0.0256500244140625,0.02288818359375,0.1669667819875,0.1750229782875,0.003147125244140625,0.01378631591796875,-5.918741226196289e-05,0.00048209848488769535,-0.0005303223800292968,-0.00022923946380615234,0.2626953125,0.250732421875,0.01669647417109375,0.01702103185,3.325939178466797e-05,-0.00019109249114990234,0.326130762725,0.3837738819,0.38425812125000003,-0.00046133995056152344,0.019927978515625,0.023040771484375,0.00037288665771484375,0.00031185150146484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-1.6689300537109375e-06,7.62939453125e-06,1.0728836059570312e-06,100.0,-0.00390625,0.00341796875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.021525462390625,0.576171875,0.0,0.0,0.0,0.0,0.0,0.0216462316140625,0.57666015625,0.01515960693359375,0.00018489360809326172,0.01898193359375,0.1279296875,0.041046142578125,0.151123046875,0.0004291534423828125,0.016855261625,-0.00012189149856567383,0.0006160736083984375,0.001617431640625,0.01601509192538452,0.019792839870172118,0.02581787109375,0.0229034423828125,0.17014411655,0.179517198375,0.0009813308715820312,0.01345062255859375,-6.92605972290039e-05,0.0004724912685058594,-0.0005211225401367187,-0.00025582313537597656,0.28369140625,0.270751953125,0.02098646978125,0.0212655814984375,-8.52346420288086e-06,-0.00021731853485107422,0.329322669675,0.38473474975,0.384974706875,-0.0005207061767578125,0.019927978515625,0.02276611328125,0.0003337860107421875,0.0002071857452392578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.1920928955078125e-06,3.814697265625e-06,1.5497207641601562e-06,100.0,0.00341796875,0.00146484375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.02245343736875,0.57958984375,0.0,0.0,0.0,0.0,0.0,0.022558054303125,0.580078125,0.0163421630859375,0.00018477439880371094,0.02105712890625,0.1444091796875,0.038818359375,0.1661376953125,0.0004107952117919922,0.0166473388671875,-0.00011396408081054688,0.0003032684326171875,0.0009679794311523438,0.016067111906256103,0.019770652017706298,0.02630615234375,0.0233154296875,0.17282743195,0.18299835545,0.0004239082336425781,0.0132293701171875,-5.2034854888916016e-05,0.00044413659201660157,-0.0004954413969726562,-0.00024628639221191406,0.3037109375,0.289794921875,0.024676290490625,0.0250558531421875,-7.62939453125e-06,-0.00020205974578857422,0.332894369925,0.384784884775,0.3850248978,-0.0005445480346679688,0.019744873046875,0.02264404296875,0.0002608299255371094,0.00015842914581298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-2.1457672119140625e-06,7.62939453125e-06,2.1457672119140625e-06,100.0,-0.0029296875,0.0009765625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0242368737015625,0.58203125,0.0,0.0,0.0,0.0,0.0,0.0243405329359375,0.58203125,0.017822265625,0.00018477439880371094,0.0230712890625,0.1612548828125,0.03656005859375,0.177001953125,0.0003802776336669922,0.0164794921875,-0.00011795759201049805,5.918741226196289e-05,0.0007338523864746094,0.016426986064868164,0.02015047708720703,0.0271453857421875,0.0240631103515625,0.174579787975,0.185305768625,0.00028967857360839844,0.01312255859375,-3.618001937866211e-05,0.0004304179155273437,-0.00046094794506835936,-0.00023317337036132812,0.321533203125,0.306884765625,0.0278795092390625,0.028451089659375,-1.7404556274414062e-05,-0.00020015239715576172,0.33609677105,0.38420979675,0.384449731575,-0.0005574226379394531,0.019683837890625,0.0226593017578125,0.0002168416976928711,0.00010037422180175781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-2.5033950805664062e-06,-1.9073486328125e-06,2.7418136596679688e-06,100.0,-0.0029296875,0.0009765625
