Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00704221985546875,0.0849609375,0.0,0.0,0.0,0.0,0.0,0.007096677930859375,0.08502197265625,0.0016727447509765625,3.743171691894531e-05,0.0006480216979980469,0.0098419189453125,0.00765228271484375,0.00429534912109375,0.00012421607971191406,0.0029669521509765625,-3.075599670410156e-05,0.004093170166015625,0.005283355712890625,0.016541352465576174,0.020436011285229493,0.003757476806640625,0.003528594970703125,0.029486121571875,0.0324209052734375,0.0025959014892578125,0.0023040771484375,4.124641418457031e-05,0.0005319876677734375,3.3855438232421875e-05,8.827447891235352e-05,0.018646240234375,0.017364501953125,0.0008525817483215333,0.00048790234427490233,7.271766662597656e-06,-3.3915042877197266e-05,0.07840981708125,0.08406715099375,0.08412301915,0.00013327598571777344,0.0034427642822265625,0.00432586669921875,5.435943603515625e-05,0.00020313262939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0728836059570312e-06,-1.7881393432617188e-07,1.9073486328125e-06,-4.172325134277344e-07,20.03125,0.0018558502197265625,0.0030269622802734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01188625441328125,0.173095703125,0.0,0.0,0.0,0.0,0.0,0.0119738729640625,0.173095703125,0.003353118896484375,7.480382919311523e-05,0.0010538101196289062,0.0188751220703125,0.01528167724609375,0.00634002685546875,0.0002434253692626953,0.005709559530859375,-6.020069122314453e-05,0.00797271728515625,0.01036834716796875,0.016365142570770264,0.020346403159259032,0.00759124755859375,0.00710296630859375,0.045126413906249996,0.046924613371875,0.006221771240234375,0.004772186279296875,8.654594421386719e-05,0.0005228451612670898,7.420778274536133e-05,0.0002046823501586914,0.035400390625,0.032745361328125,0.0009913382005004882,0.0005685676535888672,2.3305416107177734e-05,-5.614757537841797e-05,0.11329645665,0.12577258055,0.12582873920624998,0.00032591819763183594,0.006519317626953125,0.0083465576171875,0.00012791156768798828,0.0004379749298095703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,-2.384185791015625e-07,7.748603820800781e-07,-1.1324882507324219e-06,40.09375,0.00527191162109375,0.00722503662109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0168212650328125,0.263916015625,0.0,0.0,0.0,0.0,0.0,0.01694614435625,0.264404296875,0.005039215087890625,0.00011205673217773438,0.0013742446899414062,0.0265350341796875,0.0232391357421875,0.0048065185546875,0.00031638145446777344,0.00882874399140625,-9.971857070922852e-05,0.01171112060546875,0.01459503173828125,0.01617233456585083,0.020196082106506346,0.01129913330078125,0.01052093505859375,0.06171240471875,0.062463797671875,0.01021575927734375,0.007190704345703125,0.00012862682342529297,0.0005591888705688477,8.445978164672852e-05,0.000274658203125,0.0499267578125,0.045562744140625,0.0011770336649536133,0.0006702217082519531,3.93986701965332e-05,-6.22868537902832e-05,0.14952322099999998,0.169275738325,0.1693935282375,0.00046515464782714844,0.0093841552734375,0.01195526123046875,8.237361907958984e-05,0.00032138824462890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.993511199951172e-06,-7.748603820800781e-07,-3.4570693969726562e-06,-2.5033950805664062e-06,60.0625,0.00791168212890625,0.0084991455078125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0216981141453125,0.35595703125,0.0,0.0,0.0,0.0,0.0,0.02182221666875,0.356201171875,0.00664520263671875,0.0001494884490966797,0.0016021728515625,0.03369140625,0.0321044921875,0.0024814605712890625,0.0004239082336425781,0.011654309840625,-0.00013148784637451172,0.0142974853515625,0.01824951171875,0.016100363825970458,0.020144723329718017,0.01499176025390625,0.0139312744140625,0.0779941463625,0.07773089218125,0.0156402587890625,0.009796142578125,0.0001678466796875,0.0005305899126953125,0.00011098384857177734,0.0003714561462402344,0.06304931640625,0.05712890625,0.0012304594272583007,0.0007054262590942382,3.88026237487793e-05,-0.00010842084884643555,0.186860527825,0.213812694,0.2139308825125,0.0006799697875976562,0.01197052001953125,0.0154266357421875,9.59634780883789e-05,0.00037789344787597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4570693969726562e-06,-2.0265579223632812e-06,-4.589557647705078e-06,-2.9802322387695312e-06,80.125,0.0126953125,0.01328277587890625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0266964338140625,0.44873046875,0.0,0.0,0.0,0.0,0.0,0.0268652065046875,0.448974609375,0.00826263427734375,0.000186920166015625,0.0017747879028320312,0.04156494140625,0.042510986328125,0.00231170654296875,0.000522613525390625,0.01442012140078125,-0.00016498565673828125,0.01517486572265625,0.0203704833984375,0.01605642213362427,0.020119771368225098,0.01873779296875,0.01739501953125,0.09634779395,0.09552679215,0.0217132568359375,0.01255035400390625,0.00021588802337646484,0.00051439401875,0.00014603137969970703,0.00047516822814941406,0.076904296875,0.069580078125,0.001299742938470459,0.0007718573869750976,5.829334259033203e-05,-0.00014531612396240234,0.2258618324875,0.2593962103625,0.2596366405875,0.0009202957153320312,0.014434814453125,0.018798828125,8.654594421386719e-05,0.00041174888610839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-2.2649765014648438e-06,1.9073486328125e-06,-3.2186508178710938e-06,100.125,0.0205078125,0.01708984375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0270042287515625,0.448974609375,0.0,0.0,0.0,0.0,0.0,0.0271719626421875,0.449462890625,0.00832366943359375,0.00018703937530517578,0.0016489028930664062,0.042816162109375,0.0455322265625,0.0023288726806640625,0.0005407333374023438,0.01427315864453125,-0.0001609325408935547,0.01216888427734375,0.017608642578125,0.01608306538963623,0.020073469774243163,0.0189666748046875,0.01763916015625,0.09988914526875001,0.09982766578749999,0.0230255126953125,0.012908935546875,0.00021207332611083984,0.0005130929001708985,0.0001526276398071289,0.00048279762268066406,0.07879638671875,0.0718994140625,0.001214286899975586,0.0007542090350585938,3.8743019104003906e-05,-0.00015020370483398438,0.2283524424125,0.2615814990875,0.26169952750000003,0.0009946823120117188,0.014068603515625,0.01849365234375,6.914138793945312e-05,0.0003573894500732422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-1.6689300537109375e-06,-3.814697265625e-06,-2.9802322387695312e-06,100.125,0.01806640625,0.02001953125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.028483470203125,0.441650390625,0.0,0.0,0.0,0.0,0.0,0.0286652745828125,0.44189453125,0.0084381103515625,0.000186920166015625,0.001659393310546875,0.045928955078125,0.049224853515625,0.0025577545166015625,0.0005712509155273438,0.01413156777734375,-0.00015735626220703125,0.009033203125,0.014678955078125,0.015931466608764648,0.019841656074243163,0.0193023681640625,0.0180206298828125,0.10416511264375,0.10511534290624999,0.0234527587890625,0.01336669921875,0.00019633769989013672,0.0005154066127441406,0.00015097943435058594,0.0004639625549316406,0.08349609375,0.077392578125,0.001168044602722168,0.000777915368371582,-2.980232238769531e-07,-0.00019407272338867188,0.230201575925,0.2622982263125,0.26266025375,0.0010528564453125,0.01413726806640625,0.0185699462890625,3.0040740966796875e-05,0.0002930164337158203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-07,-2.2649765014648438e-06,0.0,-2.5033950805664062e-06,100.1875,0.020751953125,0.01708984375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.032554755728125,0.429443359375,0.0,0.0,0.0,0.0,0.0,0.032750925396875,0.4296875,0.0085906982421875,0.000186920166015625,0.0018253326416015625,0.050689697265625,0.053741455078125,0.0033855438232421875,0.0005464553833007812,0.0139617919921875,-0.00016736984252929688,0.005374908447265625,0.010986328125,0.015985334333624267,0.019807904920690917,0.019561767578125,0.0183563232421875,0.1089846585125,0.1115872226375,0.0229339599609375,0.0138702392578125,0.0001608133316040039,0.0005237683974365234,0.00015746788189697266,0.0004265308380126953,0.08990478515625,0.0848388671875,0.0010474595808959962,0.0007494962352966308,-7.110834121704102e-05,-0.0002770423889160156,0.2329187839875,0.262226291025,0.2625883743625,0.0010595321655273438,0.014801025390625,0.019256591796875,-3.0338764190673828e-05,0.00021791458129882812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-2.1457672119140625e-06,1.33514404296875e-05,-3.2186508178710938e-06,100.1875,0.0185546875,0.02099609375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0405790367875,0.409912109375,0.0,0.0,0.0,0.0,0.0,0.0408352839125,0.410400390625,0.00893402099609375,0.00018680095672607422,0.0022106170654296875,0.057098388671875,0.058868408203125,0.00878143310546875,0.0006060600280761719,0.0135345458984375,-0.00018298625946044922,0.00244903564453125,0.0073089599609375,0.016101604309039307,0.019846016561694334,0.019744873046875,0.0186004638671875,0.115009475475,0.11981504596875,0.02099609375,0.014129638671875,9.369850158691406e-05,0.0005512961351318359,0.0001751528239746094,0.0003695487976074219,0.09771728515625,0.09405517578125,0.0009333818243591309,0.0006993458658874511,-0.00012731552124023438,-0.0002722740173339844,0.2373418882375,0.261407062375,0.2616469972,0.001010894775390625,0.016357421875,0.020782470703125,-1.9073486328125e-05,0.00012254714965820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-2.0265579223632812e-06,-7.62939453125e-06,-2.0265579223632812e-06,100.25,0.012451171875,0.01611328125
