Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.008098890998046875,0.08770751953125,0.0,0.0,0.0,0.0,0.0,0.00814571967890625,0.0877685546875,0.0016584396362304688,3.725290298461914e-05,0.0009131431579589844,0.009124755859375,0.003875732421875,0.00910186767578125,0.00011414289474487305,0.002999377077734375,-3.141164779663086e-05,0.002559661865234375,0.0029697418212890625,0.016545107558197023,0.020441971749707032,0.0028133392333984375,0.0025653839111328125,0.0285553354390625,0.0318715888671875,0.0008821487426757812,0.0017986297607421875,3.24249267578125e-05,0.0005353255278808594,1.7583370208740234e-05,6.091594696044922e-05,0.0220184326171875,0.020599365234375,0.0017134516328125,0.0012705113301757812,7.748603820800781e-06,-1.7344951629638672e-05,0.0879923366125,0.09041480724375,0.090440157821875,6.097555160522461e-05,0.0036869049072265625,0.004547119140625,1.3828277587890625e-05,0.00014007091522216797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5762786865234375e-07,-1.1920928955078125e-07,7.748603820800781e-07,-2.384185791015625e-07,20.03125,0.0016603469848632812,0.002635955810546875
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01411403761640625,0.178466796875,0.0,0.0,0.0,0.0,0.0,0.01417876798359375,0.1785888671875,0.0032806396484375,7.43865966796875e-05,0.0017290115356445312,0.017791748046875,0.00757598876953125,0.01715087890625,0.00022029876708984375,0.0057286330171875,-6.16908073425293e-05,0.00481414794921875,0.00563812255859375,0.01637748073223877,0.020360708274005126,0.0057220458984375,0.005191802978515625,0.043722605312499996,0.0464668497,0.002338409423828125,0.003692626953125,7.37309455871582e-05,0.000582688224621582,3.260374069213867e-05,0.00013744831085205078,0.043304443359375,0.0404052734375,0.0023950275849609374,0.001865803142480469,2.1338462829589844e-05,-4.6372413635253906e-05,0.13240046055625,0.1381016821125,0.13815784076874998,0.0001596212387084961,0.007091522216796875,0.00890350341796875,7.194280624389648e-05,0.0004680156707763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,-1.7881393432617188e-07,-3.039836883544922e-06,-7.748603820800781e-07,40.0625,0.00576019287109375,0.00527191162109375
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0203918216734375,0.27197265625,0.0,0.0,0.0,0.0,0.0,0.02048618341875,0.272216796875,0.00499725341796875,0.00011152029037475586,0.0023708343505859375,0.025543212890625,0.01171112060546875,0.0226898193359375,0.00029015541076660156,0.00873719125703125,-9.751319885253906e-05,0.006595611572265625,0.007534027099609375,0.016188606633874513,0.02021402310458374,0.00875091552734375,0.00791168212890625,0.06036963128125,0.062646903140625,0.0036602020263671875,0.00557708740234375,0.0001163482666015625,0.0006478209773498535,2.276897430419922e-05,0.0001838207244873047,0.062744140625,0.05804443359375,0.0019632189295410154,0.001383093259765625,3.790855407714844e-05,-4.9054622650146484e-05,0.17589040849999998,0.1867317930125,0.1869716532375,0.0001939535140991211,0.01026153564453125,0.0129241943359375,6.639957427978516e-05,0.000492095947265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6954879760742188e-06,-9.5367431640625e-07,4.589557647705078e-06,-1.0728836059570312e-06,60.0625,0.0105438232421875,0.006153106689453125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.026535150278125,0.36767578125,0.0,0.0,0.0,0.0,0.0,0.0266439940125,0.367919921875,0.006549835205078125,0.000148773193359375,0.00267791748046875,0.032318115234375,0.0162353515625,0.0261688232421875,0.00041961669921875,0.01153986892265625,-0.0001329183578491211,0.00677490234375,0.0083160400390625,0.016128199195080566,0.020174227628881835,0.01166534423828125,0.0105438232421875,0.07659033776875,0.078310726165625,0.00608062744140625,0.007568359375,0.00015616416931152344,0.0006765020831054687,2.002716064453125e-05,0.0002455711364746094,0.0792236328125,0.072998046875,0.0016323139423339843,0.0008931212854919433,3.4928321838378906e-05,-6.93202018737793e-05,0.221040215325,0.236517772125,0.23675803095,0.00028705596923828125,0.01314544677734375,0.016693115234375,8.165836334228516e-05,0.0005927085876464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.947185516357422e-06,-5.960464477539062e-07,-9.179115295410156e-06,-1.430511474609375e-06,80.125,0.0109405517578125,0.0089874267578125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.032693137915625003,0.46630859375,0.0,0.0,0.0,0.0,0.0,0.032831393028125,0.466796875,0.00804901123046875,0.00018596649169921875,0.00269317626953125,0.03887939453125,0.021392822265625,0.02947998046875,0.0005235671997070312,0.01431330987734375,-0.0001710653305053711,0.005336761474609375,0.0075836181640625,0.01609701289671631,0.0201657861539917,0.01457977294921875,0.01316070556640625,0.093662247075,0.09497747574375,0.008941650390625,0.00962066650390625,0.00019657611846923828,0.0007084667421386718,1.8775463104248047e-05,0.0003120899200439453,0.0946044921875,0.0867919921875,0.0017094056620117187,0.0009138356508300781,7.051229476928711e-05,-4.762411117553711e-05,0.266755387175,0.2874723822375,0.28759074215,0.000396728515625,0.01568603515625,0.02020263671875,0.00011670589447021484,0.0006618499755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.1920928955078125e-06,9.5367431640625e-06,-2.0265579223632812e-06,100.125,0.013916015625,0.0107421875
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0326042043375,0.473388671875,0.0,0.0,0.0,0.0,0.0,0.032710903071875,0.4736328125,0.00791168212890625,0.00018596649169921875,0.0023479461669921875,0.037628173828125,0.0225982666015625,0.02716064453125,0.0005397796630859375,0.01427315864453125,-0.00016736984252929688,0.00348663330078125,0.005435943603515625,0.016155067800524902,0.02017968525123291,0.01458740234375,0.0131378173828125,0.09482322730000001,0.09653176734999999,0.010040283203125,0.00975799560546875,0.0001895427703857422,0.0007000726708312989,1.6252212561035155e-05,0.0003173351287841797,0.09088134765625,0.08294677734375,0.0016448708538330079,0.0008833126956420899,8.511543273925781e-05,-6.711483001708984e-05,0.2681473642875,0.28953560065,0.28977569937500003,0.0004317760467529297,0.01499176025390625,0.0195770263671875,0.00012826919555664062,0.0006284713745117188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430511474609375e-06,-1.9073486328125e-06,3.814697265625e-06,-1.3113021850585938e-06,100.125,0.01708984375,0.01513671875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.032572825671875,0.480224609375,0.0,0.0,0.0,0.0,0.0,0.032708853684375,0.480712890625,0.00782012939453125,0.00018596649169921875,0.00215911865234375,0.03656005859375,0.0237884521484375,0.0253753662109375,0.0005383491516113281,0.0142765262734375,-0.00017130374908447266,0.0024700164794921875,0.004337310791015625,0.016084054499389648,0.02009437976809082,0.01461029052734375,0.01311492919921875,0.09562019076875,0.09785215931249999,0.010955810546875,0.00986480712890625,0.00019872188568115234,0.0007075719875,2.6644145349121093e-05,0.0003235340118408203,0.08740234375,0.0794677734375,0.0016130528806152344,0.0009399803975158692,5.829334259033203e-05,-6.222724914550781e-05,0.2696302868625,0.290740609125,0.2908584959375,0.0004737377166748047,0.01447296142578125,0.0191497802734375,0.00013566017150878906,0.0005931854248046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-2.0265579223632812e-06,3.814697265625e-06,-1.1920928955078125e-06,100.0625,0.01416015625,0.01416015625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.03282941393125,0.4873046875,0.0,0.0,0.0,0.0,0.0,0.03296454844375,0.487548828125,0.00774383544921875,0.00018596649169921875,0.00197601318359375,0.03558349609375,0.0254058837890625,0.0228118896484375,0.0005631446838378906,0.014404296875,-0.00017261505126953125,0.0014791488647460938,0.0034236907958984375,0.017221475061621094,0.021275728902929687,0.01457977294921875,0.013031005859375,0.09647245148125,0.09907501560625,0.01221466064453125,0.010009765625,0.00020182132720947266,0.0006874427519897461,5.2861730316162106e-05,0.0003387928009033203,0.0828857421875,0.074951171875,0.0015196475768066407,0.0009115612644409179,5.340576171875e-05,-0.00010132789611816406,0.272835776175,0.2921335175875,0.2922514603,0.0005369186401367188,0.0140838623046875,0.0188446044921875,0.00010573863983154297,0.00040650367736816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-1.9073486328125e-06,-5.7220458984375e-06,-1.5497207641601562e-06,100.125,0.0166015625,0.01025390625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.033285335615625,0.493408203125,0.0,0.0,0.0,0.0,0.0,0.03345003000625,0.49365234375,0.007686614990234375,0.00018596649169921875,0.0018491744995117188,0.03485107421875,0.026947021484375,0.02154541015625,0.0006060600280761719,0.01446533203125,-0.00017130374908447266,0.0007076263427734375,0.0024566650390625,0.019833272304492187,0.023849779760546874,0.01441192626953125,0.0128326416015625,0.09761445594375,0.1009551826875,0.01342010498046875,0.01004791259765625,0.00023794174194335938,0.0006953009569091796,9.134869342041016e-05,0.00034737586975097656,0.07904052734375,0.07122802734375,0.0013416140364257813,0.000778679648083496,2.8967857360839844e-05,-0.0001062154769897461,0.27750302105,0.29436604675,0.2948501222,0.0006008148193359375,0.01381683349609375,0.0185699462890625,5.692243576049805e-05,0.000213623046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-2.7418136596679688e-06,1.9073486328125e-06,-1.5497207641601562e-06,100.125,0.01171875,0.01318359375
