Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.008831312873046875,0.06781005859375,0.0,0.0,0.0,0.0,0.0,0.00889340034296875,0.06787109375,0.0009603500366210938,3.7789344787597656e-05,-4.470348358154297e-05,0.0012569427490234375,0.002223968505859375,2.8789043426513672e-05,0.0001150369644165039,0.0024939296900390625,-2.6941299438476562e-05,0.0115509033203125,0.01116943359375,0.016559591486877443,0.020434044331951905,0.00335693359375,0.0032901763916015625,0.0181641000875,0.020583899658203127,0.00661468505859375,0.0021533966064453125,0.00014770030975341797,0.0005001587874633789,0.00024068355560302734,0.0003409385681152344,0.0018215179443359375,0.0009002685546875,0.0007192461579589844,0.00041971463065185546,0.0001779794692993164,0.00014162063598632812,0.063913967471875,0.066824719353125,0.066819552353125,0.0004725456237792969,0.0026912689208984375,0.004131317138671875,3.838539123535156e-05,-7.152557373046875e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0265579223632812e-06,-1.7881393432617188e-07,2.2649765014648438e-06,-9.5367431640625e-07,20.03125,0.00600433349609375,0.005176544189453125
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01554073439375,0.1400146484375,0.0,0.0,0.0,0.0,0.0,0.0156359823390625,0.1402587890625,0.0019025802612304688,7.56382942199707e-05,-0.00013077259063720703,0.0021915435791015625,0.004169464111328125,4.1425228118896484e-05,0.00023484230041503906,0.00475969991171875,-5.424022674560547e-05,0.0221405029296875,0.0215301513671875,0.016400190101898193,0.02034127715980835,0.006786346435546875,0.006622314453125,0.0228943582421875,0.02389147128203125,0.0137939453125,0.004421234130859375,0.000286102294921875,0.00048648632795410154,0.0004837512969970703,0.0007004737854003906,0.0033321380615234375,0.0014476776123046875,0.0007327732514648438,0.00042933120339355474,0.0008192062377929688,0.0007424354553222656,0.08454889805625,0.09177599851875,0.09177112201875,0.0009860992431640625,0.00508880615234375,0.0080413818359375,6.330013275146484e-05,-1.2934207916259766e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.410743713378906e-06,-6.556510925292969e-07,4.589557647705078e-06,-2.205371856689453e-06,40.09375,0.01171875,0.01132965087890625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.02205502968125,0.2152099609375,0.0,0.0,0.0,0.0,0.0,0.0222104265828125,0.2154541015625,0.0029754638671875,0.0001131296157836914,-0.00020551681518554688,0.00318145751953125,0.00586700439453125,6.288290023803711e-05,0.00030732154846191406,0.007650002536328125,-9.548664093017578e-05,0.031219482421875,0.0301361083984375,0.01621840895626221,0.020180346480285643,0.01020050048828125,0.009918212890625,0.028890749445312502,0.0282688513828125,0.02117919921875,0.0066680908203125,0.00041174888610839844,0.00045368864931640625,0.0006432533264160156,0.0009474754333496094,0.004833221435546875,0.0017747879028320312,0.0008037893793701172,0.00047972526354980467,0.00014007091522216797,3.9577484130859375e-05,0.10991140459375,0.12398765238750001,0.12404440714375001,0.0014581680297851562,0.0073394775390625,0.011688232421875,8.982419967651367e-05,-1.0609626770019531e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.589557647705078e-06,-1.5497207641601562e-06,4.589557647705078e-06,-3.0994415283203125e-06,60.125,0.016693115234375,0.01611328125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.028213617075,0.28564453125,0.0,0.0,0.0,0.0,0.0,0.0283987547546875,0.285888671875,0.00408935546875,0.00015091896057128906,-0.0002942085266113281,0.003726959228515625,0.007061004638671875,5.257129669189453e-05,0.0004162788391113281,0.01042597732109375,-0.00014221668243408203,0.03936767578125,0.038177490234375,0.016180412863903808,0.02013691512125244,0.01377105712890625,0.0133514404296875,0.0343387508546875,0.03193163681015625,0.029388427734375,0.009063720703125,0.0005435943603515625,0.0003894461138671875,0.0008034706115722656,0.0012111663818359375,0.005859375,0.0019969940185546875,0.0007499267810791015,0.00044781498437499996,0.000133514404296875,-1.8537044525146484e-05,0.1368116997,0.1575382799375,0.1575343981375,0.0020275115966796875,0.0093231201171875,0.01523590087890625,0.0001289844512939453,1.0728836059570312e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.761882781982422e-06,-1.9073486328125e-06,1.2218952178955078e-05,-4.470348358154297e-06,80.125,0.0212860107421875,0.0226593017578125
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.034554710181250003,0.32568359375,0.0,0.0,0.0,0.0,0.0,0.034784518028125,0.325927734375,0.005474090576171875,0.00018870830535888672,-0.00041294097900390625,0.004207611083984375,0.008148193359375,3.159046173095703e-05,0.0005245208740234375,0.01319178888125,-0.0001933574676513672,0.047698974609375,0.04632568359375,0.01613086833494873,0.02009050548764038,0.017669677734375,0.017181396484375,0.040973648442187496,0.0366736427359375,0.038055419921875,0.01157379150390625,0.0006823539733886719,0.0003265201784179687,0.000946044921875,0.0014600753784179688,0.0067596435546875,0.0024261474609375,0.0007047097696777343,0.00042317021503906246,0.0001461505889892578,-5.066394805908203e-05,0.1670239418625,0.19286789005,0.1929862499625,0.002685546875,0.0115203857421875,0.0190887451171875,0.00020837783813476562,1.9550323486328125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-2.86102294921875e-06,3.814697265625e-06,-5.125999450683594e-06,100.1875,0.0224609375,0.02490234375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.03681563011875,0.223388671875,0.0,0.0,0.0,0.0,0.0,0.03707491674375,0.2237548828125,0.006134033203125,0.00018870830535888672,-0.0004184246063232422,0.004459381103515625,0.008880615234375,-7.748603820800781e-07,0.0005402565002441406,0.01291512641796875,-0.00020551681518554688,0.051361083984375,0.0494384765625,0.01612276208305664,0.019988592760083006,0.0185546875,0.01824951171875,0.0416463474171875,0.0374649948890625,0.0389404296875,0.011993408203125,0.0006604194641113281,0.00027157487954101566,0.0009383360672363282,0.00142669677734375,0.00736236572265625,0.0031566619873046875,0.0006966801647460938,0.00037035512270507814,0.00023162364959716797,2.8073787689208984e-05,0.1764725596,0.1962738819,0.19626984,0.0028514862060546875,0.01398468017578125,0.0211944580078125,0.00028896331787109375,-0.00010710954666137695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-2.5033950805664062e-06,-1.9073486328125e-06,-4.887580871582031e-06,100.25,0.0234375,0.02294921875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.05524738621875,0.08966064453125,0.0,0.0,0.0,0.0,0.0,0.055658072434375,0.09002685546875,0.007007598876953125,0.00018906593322753906,3.6597251892089844e-05,0.0061798095703125,0.01161956787109375,7.95125961303711e-05,0.0005230903625488281,0.01155283242578125,-0.00023114681243896484,0.0638427734375,0.060699462890625,0.01593802311968994,0.019673809394555663,0.0194091796875,0.0194549560546875,0.039071118503125,0.0363287218125,0.038543701171875,0.012786865234375,0.0005488395690917969,0.0003237180751464844,0.0010963091004882813,0.0014781951904296875,0.01174163818359375,0.007843017578125,0.0007096848843994141,0.0004578384259277344,0.00025844573974609375,0.00012814998626708984,0.1841810681125,0.1936947106875,0.19381259750000002,0.0027713775634765625,0.0205535888671875,0.026763916015625,0.0005855560302734375,-0.0003552436828613281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-2.384185791015625e-06,-3.814697265625e-06,-3.814697265625e-06,100.3125,0.02880859375,0.025390625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.08428205065,-0.0006809234619140625,0.0,0.0,0.0,0.0,0.0,0.0847833961,-0.0004794597625732422,0.0075836181640625,0.00018906593322753906,0.0005850791931152344,0.00830841064453125,0.01476287841796875,-0.00010573863983154297,0.00046515464782714844,0.01023101806640625,-0.00026726722717285156,0.07806396484375,0.07275390625,0.01598503631040039,0.01956191655170288,0.01947021484375,0.01995849609375,0.0340334866375,0.0328976474421875,0.03662109375,0.0133514404296875,0.00035643577575683594,0.0002970323287109375,0.0013794823090820313,0.0016393661499023438,0.01502227783203125,0.01189422607421875,0.0005092296385742188,0.0002078688282226562,0.00024139881134033203,0.0001666545867919922,0.182015463675,0.18336886915,0.1834868118625,0.0025196075439453125,0.0264892578125,0.03173828125,0.0006732940673828125,-0.0008325576782226562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-2.0265579223632812e-06,-5.7220458984375e-06,-1.430511474609375e-06,100.375,0.0283203125,0.02978515625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.10191936881875,-0.0008091926574707031,0.0,0.0,0.0,0.0,0.0,0.10241975656875,-0.0006504058837890625,0.008087158203125,0.00018894672393798828,0.0010118484497070312,0.010101318359375,0.01739501953125,-5.7220458984375e-05,0.0004487037658691406,0.00943756103515625,-0.0002884864807128906,0.08624267578125,0.0794677734375,0.01608020624156494,0.019623214399523924,0.019287109375,0.01995849609375,0.030841995006249998,0.03066557087109375,0.033660888671875,0.0133514404296875,0.0002841949462890625,0.0003426798784179687,0.001608048484375,0.001750946044921875,0.0157623291015625,0.0131072998046875,0.00044372966752929694,7.594088618164058e-05,0.0024242401123046875,0.0024051666259765625,0.1780157163625,0.1733943670625,0.173512231575,0.0022563934326171875,0.028533935546875,0.032958984375,0.0005998611450195312,-0.0010023117065429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76837158203125e-07,-2.86102294921875e-06,-1.33514404296875e-05,-3.5762786865234375e-07,100.375,0.04052734375,0.0322265625
