Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.008911421515625,0.09283447265625,0.0,0.0,0.0,0.0,0.0,0.00895443549921875,0.0928955078125,0.0016660690307617188,3.725290298461914e-05,0.0006570816040039062,0.0089569091796875,0.0036525726318359375,0.00908660888671875,0.0001214742660522461,0.003083300417578125,-2.9921531677246094e-05,0.0005774497985839844,0.000926971435546875,0.01674090881628418,0.02070280167524414,0.002696990966796875,0.002410888671875,0.0288910287984375,0.0321767646484375,0.0015354156494140625,0.0018768310546875,5.340576171875e-05,0.000521378041003418,1.5556812286376953e-05,7.212162017822266e-05,0.0204925537109375,0.019073486328125,0.0009086697190551758,0.0005096580396179199,1.2636184692382812e-05,-1.7344951629638672e-05,0.0877481959875,0.089285656853125,0.089341525009375,0.00010192394256591797,0.003314971923828125,0.004207611083984375,-5.245208740234375e-06,5.257129669189453e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.344650268554688e-07,-5.960464477539063e-08,7.748603820800781e-07,-1.7881393432617188e-07,20.03125,0.0013675689697265625,0.0020503997802734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0157696162296875,0.18798828125,0.0,0.0,0.0,0.0,0.0,0.01584197599140625,0.1881103515625,0.0033168792724609375,7.450580596923828e-05,0.0013980865478515625,0.018310546875,0.006755828857421875,0.019073486328125,0.00024068355560302734,0.00585833272421875,-6.121397018432617e-05,0.0011119842529296875,0.0018510818481445312,0.01703348945263672,0.021164357699511718,0.00545501708984375,0.00484466552734375,0.044760202968749996,0.0474434122,0.00323486328125,0.0037899017333984375,0.00011551380157470703,0.0005640915754516601,2.9742717742919922e-05,0.00015819072723388672,0.042633056640625,0.03961181640625,0.0012482342194824218,0.0007717002829833985,9.655952453613281e-06,-3.6597251892089844e-05,0.13166803868125,0.1350499243,0.13516711811249998,0.00023555755615234375,0.006450653076171875,0.00832366943359375,1.3589859008789062e-05,0.0002117156982421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5033950805664062e-06,0.0,3.039836883544922e-06,-4.172325134277344e-07,40.0625,0.004100799560546875,0.004100799560546875
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0229247806578125,0.2841796875,0.0,0.0,0.0,0.0,0.0,0.023019142403125,0.284423828125,0.00505828857421875,0.00011152029037475586,0.002063751220703125,0.0278472900390625,0.010009765625,0.0296478271484375,0.0003178119659423828,0.0088974085421875,-0.00010722875595092773,0.0010232925415039062,0.0019664764404296875,0.017464742078515626,0.02215147208300781,0.0084075927734375,0.00749969482421875,0.0626279320625,0.06511882696875,0.004047393798828125,0.00563812255859375,0.0001481771469116211,0.0006104488650756836,2.0802021026611328e-05,0.00020611286163330078,0.066162109375,0.061279296875,0.0013871996424316406,0.0007914575557250976,3.057718276977539e-05,-6.079673767089844e-05,0.17442556474999998,0.1816048398875,0.1816005594875,0.000255584716796875,0.00948333740234375,0.0121917724609375,-1.8596649169921875e-05,9.1552734375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-6.556510925292969e-07,4.589557647705078e-06,-6.556510925292969e-07,60.0625,0.005565643310546875,0.006153106689453125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.02992260145,0.38134765625,0.0,0.0,0.0,0.0,0.0,0.0300161863953125,0.382080078125,0.006755828857421875,0.00014865398406982422,0.0025920867919921875,0.03717041015625,0.0135955810546875,0.037628173828125,0.0004146099090576172,0.0116695686296875,-0.00014829635620117188,0.0010766983032226562,0.00244903564453125,0.018610971068554687,0.023781262312109374,0.01137542724609375,0.0101776123046875,0.08074072839375,0.0829188804625,0.00576019287109375,0.007587432861328125,0.00017952919006347656,0.0006462825282043457,1.1980533599853516e-05,0.00026345252990722656,0.08868408203125,0.08209228515625,0.0015157272571533203,0.0008111052942810058,5.251169204711914e-05,-4.976987838745117e-05,0.219087090325,0.22894941275,0.229189671575,0.000331878662109375,0.0122528076171875,0.015899658203125,-2.086162567138672e-05,0.0001093745231628418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.039836883544922e-06,-9.5367431640625e-07,4.589557647705078e-06,1.1920928955078125e-07,80.125,0.0085906982421875,0.0105438232421875
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.036935081275000003,0.47900390625,0.0,0.0,0.0,0.0,0.0,0.0370733363875,0.479736328125,0.00836944580078125,0.00018596649169921875,0.0027790069580078125,0.045623779296875,0.01739501953125,0.04327392578125,0.0005202293395996094,0.01441249200625,-0.0001857280731201172,0.001117706298828125,0.0029296875,0.02033764495390625,0.02591846883984375,0.01433563232421875,0.0128631591796875,0.0991554111375,0.10120306168125,0.00799560546875,0.00954437255859375,0.00021779537200927734,0.0006773531175659179,1.2636184692382812e-05,0.00032830238342285156,0.10797119140625,0.09979248046875,0.0016538541330810546,0.000868655330090332,7.051229476928711e-05,-5.0067901611328125e-05,0.26455812155,0.27782882755,0.278069257775,0.00043392181396484375,0.01462554931640625,0.019256591796875,-3.5881996154785156e-05,0.00013184547424316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-1.1920928955078125e-06,0.0,-5.960464477539062e-07,100.125,0.013671875,0.01318359375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.03681563011875,0.48095703125,0.0,0.0,0.0,0.0,0.0,0.036983364009375,0.481201171875,0.0082550048828125,0.00018596649169921875,0.0023174285888671875,0.0435791015625,0.017913818359375,0.037872314453125,0.0005269050598144531,0.0143113056171875,-0.00018477439880371094,0.0009660720825195312,0.0028133392333984375,0.021335069059375,0.026865299837109374,0.01438140869140625,0.01291656494140625,0.09958396948750001,0.10184182594374999,0.00916290283203125,0.00960540771484375,0.00022673606872558594,0.0006793898590942383,3.055732730712891e-05,0.0003485679626464844,0.10174560546875,0.09344482421875,0.0015692921642578126,0.000813754075189209,3.141164779663086e-05,-0.0001062154769897461,0.2664383799125,0.280014116275,0.28025421500000003,0.0004863739013671875,0.0138397216796875,0.018524169921875,-4.8041343688964844e-05,0.00011599063873291016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.430511474609375e-06,-3.814697265625e-06,0.0,100.125,0.01416015625,0.01220703125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.036784251453125,0.483154296875,0.0,0.0,0.0,0.0,0.0,0.036920279465625,0.483642578125,0.00811004638671875,0.00018596649169921875,0.0018892288208007812,0.040557861328125,0.0187225341796875,0.0303955078125,0.0005364418029785156,0.0142154911171875,-0.0001780986785888672,0.0007109642028808594,0.0025310516357421875,0.02163849213671875,0.027037844047265624,0.01436614990234375,0.01290130615234375,0.0989771243625,0.10151426868749999,0.0107879638671875,0.009674072265625,0.0002541542053222656,0.0006935052913330078,5.853263030395508e-05,0.00037288665771484375,0.09197998046875,0.08392333984375,0.0014401994107666016,0.0007587226727539063,2.4080276489257812e-05,-9.1552734375e-05,0.2684095837375,0.281463265375,0.2818252928125,0.0005688667297363281,0.01305389404296875,0.0178070068359375,-6.514787673950195e-05,0.0001062154769897461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.3113021850585938e-06,3.814697265625e-06,-8.344650268554688e-07,100.125,0.01171875,0.01123046875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.03697980455625,0.484375,0.0,0.0,0.0,0.0,0.0,0.03711493906875,0.484375,0.0079803466796875,0.0001862049102783203,0.0014858245849609375,0.03594970703125,0.0200653076171875,0.0204315185546875,0.0005631446838378906,0.014251708984375,-0.00016641616821289062,0.0004944801330566406,0.0020771026611328125,0.021788621362890625,0.027018755636328124,0.01418304443359375,0.01268768310546875,0.09781522491875,0.1004788242,0.013336181640625,0.0098114013671875,0.0003159046173095703,0.0006794557295898438,9.923414395141602e-05,0.00040459632873535156,0.0777587890625,0.07000732421875,0.001257387139794922,0.00065704943125,2.8967857360839844e-05,-0.00011599063873291016,0.2722254246125,0.283710666025,0.28395067905,0.000690460205078125,0.012481689453125,0.01715087890625,-6.759166717529297e-05,0.00010073184967041016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-8.344650268554688e-07,1.1444091796875e-05,-1.430511474609375e-06,100.125,0.013427734375,0.01318359375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.037313655928125,0.483154296875,0.0,0.0,0.0,0.0,0.0,0.037447832740625,0.4833984375,0.0079193115234375,0.00018596649169921875,0.0013246536254882812,0.031982421875,0.0216217041015625,0.01287078857421875,0.0005841255187988281,0.01427459716796875,-0.0001493692398071289,0.0004546642303466797,0.001705169677734375,0.022112553920703125,0.027077013647265624,0.013824462890625,0.01230621337890625,0.09675996375625,0.09991758503125,0.0157470703125,0.00989532470703125,0.00036263465881347656,0.0006923207246704101,0.00014302592044067384,0.0004215240478515625,0.06622314453125,0.058868408203125,0.0011226265715209962,0.0005742357165039062,1.436471939086914e-05,-0.00012087821960449219,0.2779913023,0.2874080389375,0.2876479737625,0.0007915496826171875,0.012298583984375,0.0168304443359375,-7.367134094238281e-05,7.444620132446289e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-2.384185791015625e-06,-7.62939453125e-06,-2.1457672119140625e-06,100.125,0.0126953125,0.01123046875
