Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,-0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,-0.0,0.0005064599,-0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.01046018860546875,0.1102294921875,0.0,0.0,0.0,0.0,0.0,0.01051083198359375,0.1103515625,0.002803802490234375,3.695487976074219e-05,0.0033969879150390625,0.02130126953125,0.0017881393432617188,0.035614013671875,4.982948303222656e-05,0.003121447390234375,-2.8789043426513672e-05,-2.378225326538086e-05,4.5180320739746094e-05,0.020112385943359377,0.02454944703046875,0.003765106201171875,0.003276824951171875,0.039648475087499996,0.0441091376953125,4.839897155761719e-05,0.00201416015625,-1.9729137420654297e-05,0.0005191726691467285,-6.80685043334961e-05,2.384185791015625e-07,0.052642822265625,0.050048828125,0.006714519748046875,0.006465175331640625,-8.463859558105469e-06,-3.552436828613281e-05,0.09012856708125,0.09737281505625,0.097398165634375,-0.00014638900756835938,0.003398895263671875,0.00411224365234375,8.702278137207031e-06,3.445148468017578e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6093254089355469e-06,-2.384185791015625e-07,1.5497207641601562e-06,2.384185791015625e-07,20.015625,-0.0003905296325683594,0.0006837844848632812
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.019599572284375,0.2232666015625,0.0,0.0,0.0,0.0,0.0,0.0196643026515625,0.223388671875,0.00580596923828125,7.396936416625977e-05,0.007232666015625,0.04498291015625,0.002994537353515625,0.0738525390625,8.022785186767578e-05,0.005961329550390625,-5.829334259033203e-05,-6.520748138427734e-05,8.225440979003906e-05,0.02597990821484375,0.03108733896171875,0.0076904296875,0.00669097900390625,0.06783149203125,0.073230765715625,9.632110595703125e-05,0.00403594970703125,-3.5703182220458984e-05,0.0005617073896606445,-0.00014460086822509766,-5.543231964111328e-06,0.1094970703125,0.1038818359375,0.01378762096875,0.0135893215140625,-8.702278137207031e-06,-5.710124969482422e-05,0.13752741368125,0.1525059789875,0.15262317279999998,-0.0003070831298828125,0.006805419921875,0.00820159912109375,1.4483928680419922e-05,6.592273712158203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,-4.76837158203125e-07,7.748603820800781e-07,7.152557373046875e-07,40.03125,-0.0003905296325683594,0.0001952648162841797
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0294250247984375,0.338623046875,0.0,0.0,0.0,0.0,0.0,0.029488868965625,0.338623046875,0.00905609130859375,0.00011092424392700195,0.0114898681640625,0.0711669921875,0.003818511962890625,0.1138916015625,0.00013387203216552734,0.00882874399140625,-8.666515350341797e-05,-9.775161743164062e-05,0.00011205673217773438,0.034199818982812505,0.039880277625,0.0117645263671875,0.010223388671875,0.0975400414375,0.1041202918125,0.00013208389282226562,0.006072998046875,-4.935264587402344e-05,0.0005818386355834961,-0.00022017955780029297,-1.3649463653564453e-05,0.16943359375,0.160888671875,0.021522602321875,0.0213835510234375,-2.3245811462402344e-05,-0.0001055002212524414,0.18687673662499998,0.2094368711375,0.20955466105,-0.0004749298095703125,0.010101318359375,0.0121307373046875,1.8775463104248047e-05,9.226799011230469e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.159046173095703e-06,-6.556510925292969e-07,6.854534149169922e-06,9.5367431640625e-07,60.03125,0.0002930164337158203,0.00146484375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0400544373875,0.45556640625,0.0,0.0,0.0,0.0,0.0,0.040163281121875,0.455810546875,0.0125885009765625,0.00014793872833251953,0.016143798828125,0.0997314453125,0.004436492919921875,0.154541015625,0.0001800060272216797,0.0116390510515625,-0.00011777877807617188,-0.0001518726348876953,0.00018358230590820312,0.043927209471875,0.0503048524,0.0159454345703125,0.01385498046875,0.1282871151125,0.13620257186875,0.00016820430755615234,0.00814056396484375,-6.186962127685547e-05,0.000592459533972168,-0.0002894401550292969,-2.1219253540039062e-05,0.2318115234375,0.219970703125,0.0295582821125,0.029500549359375,-2.4199485778808594e-05,-0.0001220703125,0.239106621575,0.2678898424375,0.2681301012625,-0.0006437301635742188,0.01309967041015625,0.0157012939453125,2.5033950805664062e-05,0.00011718273162841797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.761882781982422e-06,-9.5367431640625e-07,9.179115295410156e-06,1.6093254089355469e-06,80.0625,0.0015621185302734375,-0.0011720657348632812
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.051644553931250003,0.572265625,0.0,0.0,0.0,0.0,0.0,0.051752291465625,0.572265625,0.0164031982421875,0.00018489360809326172,0.02117919921875,0.1298828125,0.005054473876953125,0.19384765625,0.00021648406982421875,0.01438960382265625,-0.00014388561248779297,-0.00020933151245117188,0.0002465248107910156,0.053441587825,0.06080769003125,0.0202789306640625,0.0176239013671875,0.15982435645,0.1696234718375,0.00017368793487548828,0.01021575927734375,-5.841255187988281e-05,0.0006303846574829101,-0.0003552436828613281,-3.3855438232421875e-05,0.294921875,0.280029296875,0.037488404990625,0.037461973315625,-3.999471664428711e-05,-0.00016546249389648438,0.2943432778,0.3281217963,0.328362226525,-0.0007977485656738281,0.01580810546875,0.0189208984375,1.4185905456542969e-05,0.00011444091796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-1.9073486328125e-06,-5.7220458984375e-06,3.2186508178710938e-06,100.0625,0.0029296875,-0.00146484375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.054546343009375,0.5703125,0.0,0.0,0.0,0.0,0.0,0.054683559321875,0.57080078125,0.0171051025390625,0.00018489360809326172,0.0220947265625,0.1343994140625,0.004543304443359375,0.1907958984375,0.00020813941955566406,0.01428841743359375,-0.00013935565948486328,-0.0002605915069580078,0.00023925304412841797,0.0538362897625,0.061659153596875,0.0207061767578125,0.0180511474609375,0.1611074069875,0.1716050095375,0.0001785755157470703,0.01026153564453125,-2.396106719970703e-05,0.0006323021897216797,-0.00034101802822265626,-4.3332576751708984e-05,0.297607421875,0.2822265625,0.037150880909375,0.037132115834375,-7.170438766479492e-05,-0.00018858909606933594,0.3004959971,0.33055122565,0.33079132437500003,-0.0007534027099609375,0.0150604248046875,0.0181884765625,-1.8775463104248047e-05,5.984306335449219e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.430511474609375e-06,1.1444091796875e-05,2.6226043701171875e-06,100.0625,0.0009765625,0.00341796875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.059702952625,0.55029296875,0.0,0.0,0.0,0.0,0.0,0.059869498215625,0.55078125,0.01788330078125,0.00018489360809326172,0.02276611328125,0.13818359375,0.0042266845703125,0.1807861328125,0.0001494884490966797,0.01431467324609375,-0.00014388561248779297,-0.00023984909057617188,0.0001672506332397461,0.050302127390625,0.05871127544375,0.0213623046875,0.018707275390625,0.1607447024875,0.1715826280625,0.00012969970703125,0.0104217529296875,1.722574234008789e-05,0.0006398611110351563,-0.00030773791184082034,-3.3855438232421875e-05,0.29541015625,0.281005859375,0.03502455571875,0.03489168013125,-8.755922317504883e-05,-0.00017154216766357422,0.30661759155,0.3295589685,0.33004306625,-0.0006628036499023438,0.01520538330078125,0.0185546875,-3.463029861450195e-05,-2.1457672119140625e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-2.0265579223632812e-06,3.814697265625e-06,3.6954879760742188e-06,100.125,0.00439453125,0.00732421875
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.067436347525,0.485107421875,0.0,0.0,0.0,0.0,0.0,0.06769355235,0.485107421875,0.01873779296875,0.00018489360809326172,0.023101806640625,0.1376953125,0.0045928955078125,0.157958984375,9.5367431640625e-05,0.0146484375,-0.0001481771469116211,-0.0001983642578125,-2.8073787689208984e-05,0.038142228540625,0.047415941915624996,0.02227783203125,0.019744873046875,0.15817899445,0.1689602695125,0.00013697147369384766,0.0108184814453125,2.9742717742919922e-05,0.0005900487624267578,-0.00028229518725585937,-2.9325485229492188e-05,0.284423828125,0.2724609375,0.0299405727171875,0.0293893492359375,-0.00018215179443359375,-0.0002574920654296875,0.312874838675,0.327167697275,0.3274077103,-0.000553131103515625,0.016998291015625,0.020355224609375,-3.5881996154785156e-05,-5.644559860229492e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-1.1920928955078125e-06,7.62939453125e-06,5.0067901611328125e-06,100.1875,0.01318359375,0.01123046875
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.080496028975,0.3603515625,0.0,0.0,0.0,0.0,0.0,0.08069124094375,0.360595703125,0.0198822021484375,0.00018489360809326172,0.0235595703125,0.1312255859375,0.006542205810546875,0.12646484375,1.329183578491211e-05,0.013946533203125,-9.626150131225586e-05,4.696846008300781e-05,9.399652481079102e-05,0.02004117330546875,0.02917128244609375,0.0228118896484375,0.020599365234375,0.15187470985,0.1629669014375,0.0002028942108154297,0.0114288330078125,5.233287811279297e-05,0.0006459483110351562,-0.0002330197834472656,-9.1552734375e-05,0.258056640625,0.25146484375,0.0233323900984375,0.0222102449328125,-0.0002994537353515625,-0.00033211708068847656,0.31754208355,0.322442218625,0.322438012825,-0.0004620552062988281,0.019805908203125,0.0218353271484375,7.277727127075195e-05,-0.0002703666687011719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.430511474609375e-06,5.7220458984375e-06,4.172325134277344e-06,100.25,0.01708984375,0.0126953125
