Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.007625868537109375,0.08056640625,0.0,0.0,0.0,0.0,0.0,0.00767269721796875,0.08062744140625,0.0014410018920898438,3.731250762939453e-05,0.0005307197570800781,0.00667572021484375,0.004322052001953125,0.004489898681640625,0.00012350082397460938,0.0026694057642578125,-2.9385089874267578e-05,0.0031795501708984375,0.0038394927978515625,0.0165451671628418,0.020436488122387696,0.00269317626953125,0.00251007080078125,0.0265411752828125,0.0297506171875,0.0017347335815429688,0.0017728805541992188,6.335973739624023e-05,0.0005929632193786621,4.941225051879883e-05,8.529424667358398e-05,0.015380859375,0.0142059326171875,0.000948366412475586,0.0005293871770385742,5.781650543212891e-06,-2.1219253540039062e-05,0.085398342471875,0.089407727165625,0.089463595321875,0.00012123584747314453,0.0034637451171875,0.00432586669921875,2.1576881408691406e-05,0.00013315677642822266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.556510925292969e-07,-1.1920928955078125e-07,-1.9073486328125e-06,-5.364418029785156e-07,20.03125,0.0019044876098632812,0.0030269622802734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01312221632734375,0.1644287109375,0.0,0.0,0.0,0.0,0.0,0.01318694669453125,0.164794921875,0.002838134765625,7.456541061401367e-05,0.001003265380859375,0.0130462646484375,0.00852203369140625,0.00843048095703125,0.0002512931823730469,0.005030543417578125,-5.6684017181396484e-05,0.005970001220703125,0.00730133056640625,0.016376527057922363,0.020350515879748534,0.005443572998046875,0.00504302978515625,0.039740061367187496,0.042285941496875,0.003963470458984375,0.003631591796875,0.00012350082397460938,0.000660055053540039,9.822845458984375e-05,0.00018978118896484375,0.0304412841796875,0.0279998779296875,0.0011373695802001952,0.000656424899987793,1.3530254364013672e-05,-4.2498111724853516e-05,0.1270904019625,0.136270627425,0.13632678608124998,0.0002808570861816406,0.006633758544921875,0.00848388671875,8.869171142578125e-05,0.0004222393035888672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,-4.76837158203125e-07,3.039836883544922e-06,-1.3113021850585938e-06,40.0625,0.00439453125,0.00644683837890625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0188964603453125,0.25146484375,0.0,0.0,0.0,0.0,0.0,0.0189755633015625,0.251708984375,0.004306793212890625,0.00011181831359863281,0.0013179779052734375,0.0188446044921875,0.0132598876953125,0.0102996826171875,0.00034499168395996094,0.00771485238984375,-8.821487426757812e-05,0.00847625732421875,0.0101165771484375,0.016182467355462648,0.020195843687927244,0.0083465576171875,0.007717132568359375,0.0545712914375,0.056604422671875,0.0061798095703125,0.0054779052734375,0.0001842975616455078,0.0007833023349243164,0.00011646747589111328,0.0002536773681640625,0.0445556640625,0.040679931640625,0.0013075678370117188,0.0007123621921081543,1.1563301086425781e-05,-5.78761100769043e-05,0.16710134599999998,0.18416831645,0.1842861063625,0.000377655029296875,0.0095977783203125,0.01226806640625,7.271766662597656e-05,0.000446319580078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6954879760742188e-06,-5.960464477539062e-07,4.589557647705078e-06,-1.7881393432617188e-06,60.0625,0.0099639892578125,0.00791168212890625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.024459954965625,0.34033203125,0.0,0.0,0.0,0.0,0.0,0.0245687987,0.3408203125,0.00566864013671875,0.00014901161193847656,0.0015840530395507812,0.023895263671875,0.018157958984375,0.0106658935546875,0.00046539306640625,0.0101436897234375,-0.00011777877807617188,0.0096435546875,0.0121002197265625,0.01612945089262085,0.020150028143103026,0.0111846923828125,0.0103302001953125,0.06902197839375,0.0705897789,0.00934600830078125,0.007396697998046875,0.0002396106719970703,0.000743378494543457,0.00014281272888183594,0.0003333091735839844,0.05694580078125,0.0517578125,0.0014158298725097656,0.0007781439257202148,5.054473876953125e-05,-6.54458999633789e-05,0.2091993950125,0.2332218736875,0.233584202825,0.0005331039428710938,0.0121917724609375,0.015777587890625,6.979703903198242e-05,0.0004775524139404297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,-4.589557647705078e-06,-2.0265579223632812e-06,80.125,0.016998291015625,0.01132965087890625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.030190696509375,0.43115234375,0.0,0.0,0.0,0.0,0.0,0.03029843404375,0.431640625,0.0069732666015625,0.00018644332885742188,0.0016994476318359375,0.0285797119140625,0.02349853515625,0.010498046875,0.0005955696105957031,0.01254329034609375,-0.00014507770538330078,0.0097503662109375,0.013092041015625,0.01609456910628052,0.020131692297180176,0.01406097412109375,0.01296234130859375,0.08432386816875,0.0856390968375,0.01287841796875,0.00937652587890625,0.00028967857360839844,0.0006974994875,0.0001704692840576172,0.0004134178161621094,0.06842041015625,0.062042236328125,0.0015241544260498046,0.0008567344011352539,3.3855438232421875e-05,-8.666515350341797e-05,0.252106949675,0.2835661322375,0.28368449215,0.0007128715515136719,0.01442718505859375,0.0189361572265625,3.1113624572753906e-05,0.00036144256591796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-1.6689300537109375e-06,0.0,-2.384185791015625e-06,100.125,0.017333984375,0.015625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0304069387125,0.436279296875,0.0,0.0,0.0,0.0,0.0,0.0305288962359375,0.4365234375,0.00685882568359375,0.0001863241195678711,0.0015211105346679688,0.02752685546875,0.0243988037109375,0.0081329345703125,0.0005693435668945312,0.01249550971875,-0.00014448165893554688,0.0075531005859375,0.01104736328125,0.016123954175952148,0.02009111274909668,0.01412200927734375,0.01300811767578125,0.08579002417500001,0.08755959938124999,0.013946533203125,0.00951385498046875,0.0003044605255126953,0.0006842774399658203,0.00017658870700683593,0.00042247772216796875,0.066162109375,0.059814453125,0.0014395924572265626,0.00086960362734375,2.4080276489257812e-05,-0.00010132789611816406,0.25410927835,0.285873491275,0.28623566031250003,0.0007653236389160156,0.01361083984375,0.01812744140625,-2.2709369659423828e-05,0.0002453327178955078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-1.9073486328125e-06,-5.7220458984375e-06,-2.9802322387695312e-06,100.125,0.018798828125,0.01611328125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.031046946765625,0.440673828125,0.0,0.0,0.0,0.0,0.0,0.0311524572,0.44091796875,0.006805419921875,0.0001863241195678711,0.001461029052734375,0.0268096923828125,0.0253448486328125,0.006195068359375,0.0005903244018554688,0.01249887734765625,-0.00013935565948486328,0.005352020263671875,0.00890350341796875,0.015989461928131103,0.01987455783815918,0.014129638671875,0.01297760009765625,0.0870142337375,0.08930723743749999,0.01482391357421875,0.00965118408203125,0.0003139972686767578,0.0006850414317749023,0.00018411961684570313,0.00041937828063964844,0.064208984375,0.05780029296875,0.0014049134610595703,0.0008911045888000488,1.9252300262451172e-05,-0.00013065338134765625,0.2573011853,0.2881771325625,0.2884170896875,0.0008091926574707031,0.01303863525390625,0.0175628662109375,-4.1365623474121094e-05,0.0001971721649169922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-1.9073486328125e-06,3.814697265625e-06,-2.6226043701171875e-06,100.1875,0.015625,0.017578125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0315934520171875,0.445068359375,0.0,0.0,0.0,0.0,0.0,0.031713327740625,0.4453125,0.006786346435546875,0.0001863241195678711,0.001434326171875,0.0264129638671875,0.026641845703125,0.00424957275390625,0.0005927085876464844,0.01259613037109375,-0.0001417398452758789,0.0028533935546875,0.006099700927734375,0.01603170674725952,0.019834727010839843,0.01409149169921875,0.0128936767578125,0.08841581085625,0.09120148045,0.015960693359375,0.00975799560546875,0.0003113746643066406,0.000667892428503418,0.00020837024853515625,0.0004241466522216797,0.061676025390625,0.055084228515625,0.0013551387572265626,0.000872818245336914,1.9252300262451172e-05,-0.0001404285430908203,0.263070151175,0.2916452363375,0.2918852493625,0.0008544921875,0.01273345947265625,0.0172119140625,-5.048513412475586e-05,0.0001537799835205078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-2.384185791015625e-06,-3.814697265625e-06,-2.6226043701171875e-06,100.1875,0.016357421875,0.015625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.032186702803125,0.447509765625,0.0,0.0,0.0,0.0,0.0,0.032320879615625,0.4482421875,0.006847381591796875,0.0001863241195678711,0.0014781951904296875,0.0263824462890625,0.027923583984375,0.003559112548828125,0.0006098747253417969,0.01265716552734375,-0.00014293193817138672,0.0009851455688476562,0.00281524658203125,0.016245191898303223,0.020015055334277342,0.01393890380859375,0.01265716552734375,0.0904733426625,0.0938751045625,0.0167999267578125,0.00974273681640625,0.0003185272216796875,0.0006440409624023437,0.00023523430590820314,0.0004131793975830078,0.0594482421875,0.052825927734375,0.001256260185107422,0.000783865252178955,9.47713851928711e-06,-0.0001404285430908203,0.27164364605,0.296563312375,0.2968032472,0.000888824462890625,0.01263427734375,0.0169830322265625,-2.1219253540039062e-05,0.0001220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-2.0265579223632812e-06,1.9073486328125e-06,-3.337860107421875e-06,100.1875,0.021240234375,0.01416015625
