Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.007274916388671875,0.06591796875,0.0,0.0,0.0,0.0,0.0,0.00732174506953125,0.0660400390625,0.0013475418090820312,3.743171691894531e-05,0.0002503395080566406,0.004230499267578125,0.004688262939453125,0.000766754150390625,0.00012028217315673828,0.002301287478125,-2.9981136322021484e-05,0.008697509765625,0.0093536376953125,0.01653932590765381,0.020427607030316163,0.002933502197265625,0.002849578857421875,0.0233978647359375,0.0261953193359375,0.0033168792724609375,0.0018405914306640625,9.59634780883789e-05,0.0005012316710693359,9.906291961669922e-05,0.00013756752014160156,0.01085662841796875,0.009857177734375,0.0008472173302917481,0.0004923130879882812,1.7523765563964844e-05,-8.285045623779297e-06,0.08573403583125,0.089773938103125,0.08979928868125,0.00022101402282714844,0.004070281982421875,0.0049285888671875,5.054473876953125e-05,3.832578659057617e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-07,-2.384185791015625e-07,-1.5497207641601562e-06,-7.152557373046875e-07,20.03125,0.003612518310546875,0.0030269622802734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01237453566328125,0.138916015625,0.0,0.0,0.0,0.0,0.0,0.0124316366359375,0.13916015625,0.0026798248291015625,7.492303848266602e-05,0.0004341602325439453,0.008056640625,0.009033203125,0.0014886856079101562,0.0002484321594238281,0.004351527304296875,-5.710124969482422e-05,0.015960693359375,0.0173492431640625,0.01636985133770752,0.020338952578662108,0.005828857421875,0.00560760498046875,0.033255076015624996,0.03493120516875,0.0072021484375,0.003787994384765625,0.00019180774688720703,0.0005071095350463867,0.00019872188568115234,0.00029468536376953125,0.020416259765625,0.0182647705078125,0.000990861363342285,0.0005966414412780762,3.039836883544922e-05,-1.7821788787841797e-05,0.1274566129,0.1370030493,0.13705920795624998,0.0004940032958984375,0.00760650634765625,0.00939178466796875,9.268522262573242e-05,8.20159912109375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9073486328125e-06,-3.5762786865234375e-07,5.364418029785156e-06,-1.8477439880371094e-06,40.0625,0.00839996337890625,0.005664825439453125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0177062747984375,0.21826171875,0.0,0.0,0.0,0.0,0.0,0.01780063654375,0.2183837890625,0.004047393798828125,0.00011217594146728516,0.0006313323974609375,0.0115966796875,0.0129852294921875,0.0011358261108398438,0.00034356117248535156,0.0069137659640625,-9.453296661376953e-05,0.021759033203125,0.023284912109375,0.016180202378961183,0.020183267107879637,0.0086212158203125,0.0081787109375,0.04389013909375,0.0444736853671875,0.010894775390625,0.005626678466796875,0.00029468536376953125,0.0005906601230102539,0.00026154518127441406,0.0004024505615234375,0.029022216796875,0.0251922607421875,0.0012062399408935547,0.0007236870746154785,6.866455078125e-05,-9.5367431640625e-06,0.16881033037499998,0.1856331602,0.1857509501125,0.0007390975952148438,0.01094818115234375,0.01345062255859375,0.00013363361358642578,8.791685104370117e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1324882507324219e-06,-1.3113021850585938e-06,-2.2649765014648438e-06,-2.6226043701171875e-06,60.03125,0.008056640625,0.005859375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.022628900278125,0.301025390625,0.0,0.0,0.0,0.0,0.0,0.0227377440125,0.30126953125,0.0053558349609375,0.00014960765838623047,0.0007686614990234375,0.0145111083984375,0.016632080078125,0.0007028579711914062,0.0004792213439941406,0.0092586799578125,-0.0001329183578491211,0.025970458984375,0.028106689453125,0.016130523776226806,0.020148597631628417,0.01134490966796875,0.01068115234375,0.05376318933125,0.053255794525,0.0153350830078125,0.00751495361328125,0.0004038810729980469,0.0005332125170654297,0.0003368854522705078,0.0005340576171875,0.03619384765625,0.03076171875,0.0013123562091796874,0.0007632427645263671,8.177757263183594e-05,-2.6345252990722656e-05,0.211274590325,0.2356632799375,0.23578146845,0.0010395050048828125,0.01375579833984375,0.017059326171875,0.0001957416534423828,0.00018846988677978516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.854534149169922e-06,-1.7285346984863281e-06,3.039836883544922e-06,-3.933906555175781e-06,80.0625,0.00742340087890625,0.009765625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0274288556890625,0.387451171875,0.0,0.0,0.0,0.0,0.0,0.027582369590625,0.3876953125,0.00669097900390625,0.00018703937530517578,0.0008835792541503906,0.0172882080078125,0.0203704833984375,0.0007777214050292969,0.0006151199340820312,0.011665909975,-0.00016927719116210938,0.029022216796875,0.03167724609375,0.01609105243223877,0.020111545927246094,0.01406097412109375,0.01317596435546875,0.064090713871875,0.062659360509375,0.0200653076171875,0.009429931640625,0.0005140304565429688,0.0005055725313232422,0.00040841102600097656,0.0006623268127441406,0.042877197265625,0.035736083984375,0.0014269988550659179,0.0008283625902221679,0.00011199712753295898,-2.562999725341797e-05,0.2541821449875,0.286862030675,0.2869803905875,0.0013523101806640625,0.0162506103515625,0.0203704833984375,0.00025200843811035156,0.00029778480529785156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.9073486328125e-06,7.62939453125e-06,-4.649162292480469e-06,100.0625,0.01171875,0.013671875
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.027019487540625,0.3974609375,0.0,0.0,0.0,0.0,0.0,0.027156703853125,0.398193359375,0.0066986083984375,0.00018703937530517578,0.0008320808410644531,0.016815185546875,0.0202789306640625,0.0007534027099609375,0.0006098747253417969,0.01183175239453125,-0.00017774105072021484,0.0265045166015625,0.0290679931640625,0.01613557708168335,0.020101245538708495,0.01403045654296875,0.01306915283203125,0.06491600073750001,0.06366433570937499,0.02081298828125,0.00946044921875,0.0005140304565429688,0.0004935425766845703,0.0004023711014160156,0.0006604194641113281,0.04180908203125,0.034332275390625,0.0013557883266723633,0.0007927136355834961,0.00010222196578979492,-2.8073787689208984e-05,0.2552079111625,0.2900238819,0.29014191031250003,0.0013895034790039062,0.01544189453125,0.01959228515625,0.00024080276489257812,0.0002734661102294922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.62939453125e-06,-2.86102294921875e-06,-3.814697265625e-06,-4.649162292480469e-06,100.0625,0.015625,0.013671875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0266218979375,0.406982421875,0.0,0.0,0.0,0.0,0.0,0.0267731847390625,0.4072265625,0.006694793701171875,0.00018703937530517578,0.0008344650268554688,0.0165863037109375,0.0204925537109375,0.0007338523864746094,0.0006060600280761719,0.012002966703125,-0.0001838207244873047,0.025177001953125,0.0274200439453125,0.015982070952178955,0.019854173049645995,0.0140838623046875,0.0130767822265625,0.065987622409375,0.06513731556249999,0.0214080810546875,0.00952911376953125,0.0005245208740234375,0.0005006246608398438,0.0004039415467773437,0.0006604194641113281,0.042144775390625,0.03436279296875,0.0013022742627563477,0.000762656579309082,8.755922317504883e-05,-3.2961368560791016e-05,0.255592200925,0.2924495935,0.292689550625,0.001415252685546875,0.01479339599609375,0.0190277099609375,0.00020587444305419922,0.00020992755889892578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.106231689453125e-06,-1.9073486328125e-06,0.0,-3.6954879760742188e-06,100.125,0.016845703125,0.01318359375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.026512275259375,0.41552734375,0.0,0.0,0.0,0.0,0.0,0.0266626685609375,0.416259765625,0.00669097900390625,0.00018703937530517578,0.0008935928344726562,0.0166778564453125,0.0208740234375,0.0007600784301757812,0.0006089210510253906,0.01226806640625,-0.00019419193267822266,0.0244598388671875,0.0263214111328125,0.016032064375128174,0.019832462034338378,0.01416778564453125,0.0131378173828125,0.067816445621875,0.067519839825,0.02178955078125,0.00957489013671875,0.0005102157592773438,0.000502787562475586,0.0004115028779296875,0.0006532669067382812,0.043670654296875,0.03570556640625,0.001250830628869629,0.0006934082645629882,8.755922317504883e-05,-6.711483001708984e-05,0.2566004246125,0.2951852754,0.295425288425,0.001438140869140625,0.0142669677734375,0.0185699462890625,0.0002110004425048828,0.00014889240264892578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-07,-2.384185791015625e-06,3.814697265625e-06,-3.4570693969726562e-06,100.125,0.01611328125,0.01220703125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.0265562096390625,0.423828125,0.0,0.0,0.0,0.0,0.0,0.026705645240625,0.424072265625,0.00667572021484375,0.00018703937530517578,0.000972747802734375,0.0172271728515625,0.021575927734375,0.0008001327514648438,0.0006008148193359375,0.012542724609375,-0.0002015829086303711,0.023529052734375,0.025177001953125,0.01615626176829834,0.019911224043078612,0.01433563232421875,0.01328277587890625,0.06990449500625,0.070346051828125,0.022186279296875,0.00965118408203125,0.0004992485046386719,0.0005067118608398437,0.0004147634959716797,0.0006346702575683594,0.0455322265625,0.037445068359375,0.001158627776965332,0.0006034419924438476,0.00010710954666137695,-5.4955482482910156e-05,0.257727630425,0.297539874875,0.2977798097,0.001468658447265625,0.01378631591796875,0.0181884765625,0.00018870830535888672,0.00010132789611816406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-3.0994415283203125e-06,7.62939453125e-06,-3.4570693969726562e-06,100.125,0.013427734375,0.01416015625
