Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.0037577655097656253,0.1011962890625,0.0,0.0,0.0,0.0,0.0,0.0038026868419921873,0.10125732421875,0.002246856689453125,3.737211227416992e-05,0.0007162094116210938,0.0097808837890625,0.010040283203125,0.00029468536376953125,0.00011169910430908203,0.0033446071802734375,-1.0251998901367188e-05,0.006866455078125,0.007740020751953125,0.016543557837432863,0.0204333290762146,0.004711151123046875,0.0044097900390625,0.031591834462499996,0.0347555,0.005458831787109375,0.003246307373046875,7.95125961303711e-05,0.0005290670401794434,1.5735626220703125e-05,0.0001189112663269043,0.0168914794921875,0.015655517578125,0.0008054344743041993,0.00048474329810180663,1.0192394256591797e-05,-3.635883331298828e-05,0.08610024676875,0.09468726818125,0.09468210118125,0.0002294778823852539,0.00308990478515625,0.003925323486328125,1.33514404296875e-05,8.362531661987305e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.344650268554688e-07,-4.172325134277344e-07,1.9073486328125e-06,-7.152557373046875e-07,20.03125,0.0015621185302734375,0.0028324127197265625
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.00537075148359375,0.204833984375,0.0,0.0,0.0,0.0,0.0,0.00543548185078125,0.205078125,0.004421234130859375,7.474422454833984e-05,0.0011472702026367188,0.01812744140625,0.0195159912109375,0.0003955364227294922,0.00023436546325683594,0.006495387167578125,-2.1338462829589844e-05,0.01358795166015625,0.01507568359375,0.016370447384155273,0.020347654856799315,0.0093994140625,0.00876617431640625,0.049185251796874996,0.05165483798125,0.0119171142578125,0.006633758544921875,0.00017774105072021484,0.0005345872762878418,3.784894943237305e-05,0.00026416778564453125,0.03143310546875,0.028839111328125,0.000917130417755127,0.0005807866057678223,3.0159950256347656e-05,-7.56978988647461e-05,0.1285552457125,0.1467686743,0.14694690326874998,0.0005216598510742188,0.0057525634765625,0.007415771484375,3.4809112548828125e-05,0.0001800060272216797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-8.344650268554688e-07,2.2649765014648438e-06,-1.7881393432617188e-06,40.0625,0.004100799560546875,0.004688262939453125
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.00726163368515625,0.310302734375,0.0,0.0,0.0,0.0,0.0,0.0073483660359375,0.310546875,0.00644683837890625,0.00011205673217773438,0.001331329345703125,0.023956298828125,0.027984619140625,0.0005064010620117188,0.00030732154846191406,0.0100875940890625,-4.8220157623291016e-05,0.0204925537109375,0.0218963623046875,0.016177698983880617,0.020189644804870604,0.0136566162109375,0.01263427734375,0.06641211175,0.068109549625,0.018951416015625,0.00975799560546875,0.0002601146697998047,0.0005773086825805664,1.8417835235595703e-05,0.0003516674041748047,0.04339599609375,0.038818359375,0.001093825580847168,0.0007436546306152344,4.673004150390625e-05,-0.0001062154769897461,0.17210622881249998,0.2004036680125,0.200521457925,0.0007719993591308594,0.008209228515625,0.010589599609375,5.650520324707031e-05,0.0002307891845703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.86102294921875e-06,-1.5497207641601562e-06,4.589557647705078e-06,-3.0994415283203125e-06,60.03125,0.00864410400390625,0.00673675537109375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.008934137094531249,0.417236328125,0.0,0.0,0.0,0.0,0.0,0.009035351434375,0.41748046875,0.00843048095703125,0.0001494884490966797,0.0015201568603515625,0.029937744140625,0.037078857421875,0.0005998611450195312,0.0003936290740966797,0.0134090705828125,-7.283687591552734e-05,0.0265655517578125,0.0281982421875,0.016123848056011962,0.020143471632177733,0.017913818359375,0.0164794921875,0.08318213464375,0.0841395835875,0.027435302734375,0.0130615234375,0.0003440380096435547,0.0005369080050415039,1.8298625946044922e-05,0.0004668235778808594,0.05499267578125,0.048431396484375,0.0011473705524414062,0.0008042507601318359,3.88026237487793e-05,-0.0001786947250366211,0.217622246575,0.2561710924375,0.2564113512625,0.0010986328125,0.01041412353515625,0.01348876953125,9.357929229736328e-05,0.0003018379211425781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.172325134277344e-06,-2.086162567138672e-06,6.079673767089844e-06,-3.6954879760742188e-06,80.0625,0.01210784912109375,0.00937652587890625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.01077388742734375,0.525390625,0.0,0.0,0.0,0.0,0.0,0.0109045131453125,0.52587890625,0.0104217529296875,0.00018680095672607422,0.0018033981323242188,0.037628173828125,0.04766845703125,0.0006847381591796875,0.00048351287841796875,0.0165029461078125,-9.202957153320312e-05,0.0302734375,0.03253173828125,0.016092840571582032,0.020142421133239746,0.0220947265625,0.0202484130859375,0.10220716895,0.10291204605625,0.035797119140625,0.016357421875,0.00041675567626953125,0.0006654321886108398,2.0265579223632812e-05,0.0005869865417480469,0.06982421875,0.0614013671875,0.0011910836710449218,0.0009162794412658691,7.295608520507812e-05,-0.00019407272338867188,0.26455812155,0.3144499213,0.31493449215,0.0014467239379882812,0.012664794921875,0.0164642333984375,0.00015735626220703125,0.000537872314453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-3.814697265625e-06,7.62939453125e-06,-4.172325134277344e-06,100.0625,0.010498046875,0.01416015625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.01106642357578125,0.529296875,0.0,0.0,0.0,0.0,0.0,0.0111807517046875,0.52978515625,0.01025390625,0.000186920166015625,0.0018253326416015625,0.041107177734375,0.051727294921875,0.0007691383361816406,0.00048041343688964844,0.01615761909375,-9.077787399291992e-05,0.02325439453125,0.02642822265625,0.016105655550006103,0.020102795259472655,0.0218963623046875,0.02001953125,0.10764061011250001,0.10959329078749999,0.035003662109375,0.0164794921875,0.00040721893310546875,0.0008633893975158692,4.569690708007813e-05,0.0006031990051269531,0.07855224609375,0.070556640625,0.0011062832836425782,0.0008659677440124512,3.3855438232421875e-05,-0.00023317337036132812,0.2679032236625,0.320541460025,0.32078155875000003,0.0014963150024414062,0.0126190185546875,0.01641845703125,0.0005707740783691406,0.0009937286376953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.58306884765625e-06,-3.0994415283203125e-06,7.62939453125e-06,-4.410743713378906e-06,100.0625,0.01123046875,0.013671875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.01202686619921875,0.5341796875,0.0,0.0,0.0,0.0,0.0,0.01214763542265625,0.53515625,0.0101776123046875,0.00018656253814697266,0.0022296905517578125,0.05194091796875,0.05926513671875,0.00249481201171875,0.0005598068237304688,0.0157718876015625,-0.00010633468627929688,0.01099395751953125,0.01526641845703125,0.015952805071594238,0.019853815421777343,0.0220947265625,0.0202178955078125,0.11991218295625,0.12440245228124999,0.0305633544921875,0.0167694091796875,0.00040531158447265625,0.001057928089489746,6.693688521728516e-05,0.00058746337890625,0.10296630859375,0.09619140625,0.0010905585645141602,0.000793472180657959,4.851818084716797e-05,-0.0002257823944091797,0.271705482175,0.326873421625,0.326869238125,0.001430511474609375,0.0130462646484375,0.016845703125,0.0010395050048828125,0.0013599395751953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-1.6689300537109375e-06,3.814697265625e-06,-2.7418136596679688e-06,100.0625,0.01171875,0.00634765625
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.01342023424375,0.541015625,0.0,0.0,0.0,0.0,0.0,0.0135401099671875,0.54150390625,0.01007080078125,0.0001862049102783203,0.005077362060546875,0.07891845703125,0.06524658203125,0.048553466796875,0.0006842613220214844,0.01540374755859375,-0.00010418891906738281,0.0008745193481445312,0.003963470458984375,0.016819978174414062,0.021248072347753905,0.0224151611328125,0.0204315185546875,0.13638944366875,0.1452786288875,0.020416259765625,0.0163421630859375,0.00027942657470703125,0.0009474382125,0.00014948085949707032,0.00058746337890625,0.151123046875,0.145263671875,0.0012135181212402345,0.0008008158344482421,-2.980232238769531e-07,-0.00026988983154296875,0.2780847996125,0.334003634775,0.3342436478,0.0011434555053710938,0.013275146484375,0.0167999267578125,0.000537872314453125,0.0009007453918457031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-1.5497207641601562e-06,-7.62939453125e-06,2.384185791015625e-07,100.0625,0.00634765625,0.00537109375
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.01495190055703125,0.54736328125,0.0,0.0,0.0,0.0,0.0,0.015078447975,0.5478515625,0.0105743408203125,0.00018584728240966797,0.0102996826171875,0.1124267578125,0.063232421875,0.11578369140625,0.0009775161743164062,0.01485443115234375,-8.83340835571289e-05,-0.00011414289474487305,0.0012874603271484375,0.0410296376609375,0.044987017309375,0.0224151611328125,0.02032470703125,0.1455270536,0.15918272175,0.009490966796875,0.01507568359375,0.00018477439880371094,0.0005548724138183593,0.00018755059008789064,0.0005316734313964844,0.2003173828125,0.1942138671875,0.00281694820390625,0.0034629152208984376,-3.325939178466797e-05,-0.00030159950256347656,0.285071380425,0.339776203,0.3397719972,0.0007419586181640625,0.0135040283203125,0.0169219970703125,0.00019943714141845703,0.0003032684326171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-7.152557373046875e-07,9.5367431640625e-06,1.3113021850585938e-06,100.0,0.00341796875,0.00341796875
