Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,-0.0,0.0005064599,-0.0,-0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00824766419140625,0.1051025390625,0.0,0.0,0.0,0.0,0.0,0.00829830756953125,0.10516357421875,0.0035037994384765625,3.707408905029297e-05,0.0034580230712890625,0.0237274169921875,0.00754547119140625,0.023773193359375,6.139278411865234e-05,0.0034704921900390625,-2.1278858184814453e-05,0.00789642333984375,0.00820159912109375,0.016545703604644777,0.02044262740079956,0.00557708740234375,0.00513458251953125,0.040991248524999996,0.0448110419921875,0.0008153915405273438,0.0029582977294921875,-2.968311309814453e-05,0.0004940195090515137,-7.50422477722168e-05,-1.4483928680419922e-05,0.051361083984375,0.049346923828125,0.004624065646484375,0.004300334633398437,6.318092346191406e-06,-2.09808349609375e-05,0.098215725284375,0.105368420525,0.10542428868125,-9.739398956298828e-05,0.005367279052734375,0.006168365478515625,2.47955322265625e-05,5.1140785217285156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.344650268554688e-07,-2.384185791015625e-07,1.1324882507324219e-06,-5.960464477539063e-08,20.03125,-0.0010738372802734375,0.0002930164337158203
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01456417189375,0.212890625,0.0,0.0,0.0,0.0,0.0,0.0146289022609375,0.213134765625,0.007080078125,7.408857345581055e-05,0.0069580078125,0.049102783203125,0.01458740234375,0.048736572265625,0.0001137852668762207,0.006762415976171875,-4.166364669799805e-05,0.0146331787109375,0.01517486572265625,0.016375215755737305,0.020360827483294677,0.0113677978515625,0.0104217529296875,0.06990668734375,0.073719046965625,0.002269744873046875,0.00606536865234375,-3.921985626220703e-05,0.00047873772413330076,-0.0001513957977294922,-1.0788440704345703e-05,0.10528564453125,0.1009521484375,0.008508079953125,0.00825637473671875,8.165836334228516e-06,-6.103515625e-05,0.1524810269625,0.16697131101875,0.16708850483124998,-0.00016355514526367188,0.0103607177734375,0.011962890625,4.374980926513672e-05,9.870529174804688e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.039836883544922e-06,1.1920928955078125e-07,4.589557647705078e-06,-1.1920928955078125e-07,40.0625,0.0009765625,-0.0003905296325683594
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0207580326109375,0.322509765625,0.0,0.0,0.0,0.0,0.0,0.02085239435625,0.32275390625,0.01080322265625,0.00011092424392700195,0.0108795166015625,0.07415771484375,0.020782470703125,0.075439453125,0.00012058019638061523,0.0104538050265625,-7.49826431274414e-05,0.018707275390625,0.01934814453125,0.01617299021694336,0.020219089499389647,0.0171966552734375,0.0157012939453125,0.10138525628125,0.105707205875,0.0020599365234375,0.00893402099609375,-8.082389831542969e-05,0.0004863519946533203,-0.00025081634521484375,-5.251169204711914e-05,0.162109375,0.1551513671875,0.012519916775,0.012434271238281249,3.790855407714844e-05,-5.930662155151367e-05,0.20738454912499998,0.22811362895,0.228353489175,-0.00031757354736328125,0.0153656005859375,0.017608642578125,8.469820022583008e-05,0.0002124309539794922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.993511199951172e-06,-7.748603820800781e-07,1.1324882507324219e-06,-4.76837158203125e-07,60.03125,0.0002930164337158203,-0.00146484375
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0276490418796875,0.434814453125,0.0,0.0,0.0,0.0,0.0,0.027773144403125,0.43505859375,0.0146942138671875,0.00014793872833251953,0.01517486572265625,0.1033935546875,0.026092529296875,0.10565185546875,0.00015687942504882812,0.0139278694109375,-0.00010728836059570312,0.0188140869140625,0.020111083984375,0.01612480173032837,0.020194016370947265,0.02325439453125,0.0211639404296875,0.13420752526875,0.13925432968125,0.0021877288818359375,0.0118408203125,-9.02414321899414e-05,0.0004528654559082031,-0.0003349781036376953,-6.711483001708984e-05,0.2242431640625,0.21484375,0.0171834041828125,0.0172477417421875,2.562999725341797e-05,-9.47713851928711e-05,0.263520684075,0.288763865875,0.2890041247,-0.0004227161407470703,0.0201263427734375,0.022979736328125,0.0004096031188964844,0.0005025863647460938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4570693969726562e-06,-1.2516975402832031e-06,6.079673767089844e-06,6.556510925292969e-07,80.0625,-0.00390625,-0.0003905296325683594
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.035073509009375003,0.5498046875,0.0,0.0,0.0,0.0,0.0,0.035211764121875,0.5498046875,0.0188140869140625,0.00018489360809326172,0.019927978515625,0.136474609375,0.030975341796875,0.1396484375,0.0002009868621826172,0.01734217950625,-0.00013530254364013672,0.0146484375,0.0166168212890625,0.016090575595080567,0.020173892385681153,0.029449462890625,0.026763916015625,0.1694679111375,0.17560491715,0.0017337799072265625,0.0146942138671875,-0.00010877847671508789,0.0004290401674316406,-0.0004210472106933594,-8.910894393920898e-05,0.29150390625,0.279296875,0.0224279801859375,0.0226456891359375,3.7550926208496094e-05,-0.00013494491577148438,0.32119874655,0.349362030675,0.3496024609,-0.0005397796630859375,0.024688720703125,0.028167724609375,0.0008268356323242188,0.0008530616760253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.6689300537109375e-06,7.62939453125e-06,1.1920928955078125e-07,100.0625,-0.0029296875,-0.00048828125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.035900102775,0.55615234375,0.0,0.0,0.0,0.0,0.0,0.0360373190875,0.55615234375,0.01934814453125,0.00018489360809326172,0.0209808349609375,0.145263671875,0.0295867919921875,0.147705078125,0.0002315044403076172,0.0172715106953125,-0.00013959407806396484,0.0057373046875,0.007801055908203125,0.016103688596728515,0.020132239953991698,0.0298614501953125,0.0270843505859375,0.1739247898,0.1813706345375,0.0008654594421386719,0.01457977294921875,-8.577108383178711e-05,0.0004193943985839844,-0.0004013379287353516,-7.814168930053711e-05,0.302734375,0.29052734375,0.0235858174328125,0.0238722281390625,1.7404556274414062e-05,-0.0001379251480102539,0.3239334971,0.3486176319,0.34910187125000003,-0.0005555152893066406,0.0240478515625,0.027496337890625,0.0011396408081054688,0.0010585784912109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-1.3113021850585938e-06,1.52587890625e-05,8.344650268554688e-07,100.0625,-0.0029296875,-0.0029296875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.03669269871875,0.56201171875,0.0,0.0,0.0,0.0,0.0,0.03682872673125,0.56201171875,0.02020263671875,0.00018489360809326172,0.0222625732421875,0.1558837890625,0.02825927734375,0.155029296875,0.00027179718017578125,0.0170841434609375,-0.00014352798461914062,0.001422882080078125,0.0025577545166015625,0.016019681483032226,0.019920214996057128,0.030426025390625,0.0275726318359375,0.17698005405,0.185864854625,0.0005335807800292969,0.01451873779296875,-7.063150405883789e-05,0.00041097927509765625,-0.0003570905577148438,-5.322694778442383e-05,0.31396484375,0.301513671875,0.024679096734375,0.02500398481875,3.3855438232421875e-05,-0.00012445449829101562,0.326392982175,0.347869515375,0.3481094725,-0.0005583763122558594,0.0231475830078125,0.026580810546875,0.0013475418090820312,0.0011129379272460938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-1.1920928955078125e-06,1.9073486328125e-06,8.344650268554688e-07,100.0625,-0.00927734375,0.001953125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0377732615875,0.56689453125,0.0,0.0,0.0,0.0,0.0,0.0379083961,0.5673828125,0.0214080810546875,0.00018477439880371094,0.0238037109375,0.1673583984375,0.026580810546875,0.16064453125,0.00025963783264160156,0.0168914794921875,-0.0001366138458251953,0.0009775161743164062,0.0013828277587890625,0.016159320291723633,0.019933193884008788,0.0311279296875,0.028228759765625,0.17868680695,0.1889798007625,0.00040912628173828125,0.014434814453125,-5.841255187988281e-05,0.0003785714827636719,-0.0003099517424316406,-2.0265579223632812e-05,0.323974609375,0.3115234375,0.0258512172484375,0.0261544859546875,-9.47713851928711e-06,-0.00015866756439208984,0.3297205418,0.3479196504,0.348159663425,-0.0005474090576171875,0.02215576171875,0.0256195068359375,0.0013523101806640625,0.0009608268737792969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-1.6689300537109375e-06,3.814697265625e-06,1.5497207641601562e-06,100.0625,-0.01123046875,-0.0078125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.03941936881875,0.56982421875,0.0,0.0,0.0,0.0,0.0,0.03955354563125,0.5703125,0.0227508544921875,0.00018489360809326172,0.0254669189453125,0.1790771484375,0.02471923828125,0.164794921875,0.0002143383026123047,0.0166015625,-0.0001366138458251953,0.0007281303405761719,0.001148223876953125,0.016430562343554687,0.020250612890429686,0.03204345703125,0.029083251953125,0.17921845985,0.190676862375,0.0003237724304199219,0.014312744140625,-4.667043685913086e-05,0.00037677373522949215,-0.00027736563916015624,8.940696716308594e-07,0.33251953125,0.3203125,0.027528557090625,0.0278865144640625,-2.014636993408203e-05,-0.0001684427261352539,0.333411224175,0.347588703,0.34807277845,-0.0005259513854980469,0.0212554931640625,0.0248870849609375,0.0010786056518554688,0.0006299018859863281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-2.7418136596679688e-06,7.62939453125e-06,1.7881393432617188e-06,100.0625,-0.0078125,-0.00341796875
