Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,-0.0,0.0005064599,-0.0,-0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.005573561408203125,0.09124755859375,0.0,0.0,0.0,0.0,0.0,0.005608945997265625,0.09130859375,0.0034732818603515625,3.707408905029297e-05,0.003635406494140625,0.0236053466796875,0.00547027587890625,0.0259246826171875,4.607439041137695e-05,0.0029822109400390625,-3.260374069213867e-05,0.00555419921875,0.006439208984375,0.016536584093994142,0.02042844149534302,0.006069183349609375,0.005718231201171875,0.044454993642187496,0.048579962890625,0.00020575523376464844,0.0023937225341796875,-3.039836883544922e-05,0.000502304554675293,-5.996227264404297e-05,-2.0265579223632812e-05,0.05328369140625,0.05126953125,0.00539844919140625,0.00509569901328125,-1.5497207641601562e-06,-3.2961368560791016e-05,0.09916177020625,0.10677222911875,0.106828097275,-0.00010859966278076172,0.00423431396484375,0.00457763671875,5.364418029785156e-07,5.4717063903808594e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.556510925292969e-07,-2.384185791015625e-07,1.5497207641601562e-06,-5.960464477539063e-08,20.03125,0.0005860328674316406,0.0010738372802734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.0092998896671875,0.1893310546875,0.0,0.0,0.0,0.0,0.0,0.0093493612453125,0.189453125,0.00720977783203125,7.414817810058594e-05,0.00731658935546875,0.04913330078125,0.01119232177734375,0.052581787109375,9.572505950927734e-05,0.005831629843359375,-6.097555160522461e-05,0.010498046875,0.01207733154296875,0.016353460060394287,0.020333468951342772,0.0125732421875,0.0117950439453125,0.077536081875,0.081867240325,0.001216888427734375,0.00511932373046875,-4.220008850097656e-05,0.0005011490705688476,-0.00011408329010009766,-1.1324882507324219e-05,0.1099853515625,0.10546875,0.010339134640625,0.0101103176078125,-1.4781951904296875e-05,-7.37309455871582e-05,0.15510553868125,0.171426877425,0.17166614154999998,-0.00019681453704833984,0.00832366943359375,0.009063720703125,1.5497207641601562e-06,0.0001093745231628418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.682209014892578e-06,-2.980232238769531e-07,2.2649765014648438e-06,-3.5762786865234375e-07,40.0625,0.0009765625,0.0009765625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.01338803749375,0.2939453125,0.0,0.0,0.0,0.0,0.0,0.0134518816609375,0.2939453125,0.01111602783203125,0.00011110305786132812,0.0113677978515625,0.0751953125,0.0170745849609375,0.0789794921875,9.715557098388672e-05,0.009187325534375,-9.733438491821289e-05,0.0159912109375,0.0175628662109375,0.016151234521600343,0.020180465689575194,0.0195159912109375,0.018280029296875,0.1134091820625,0.11846355353125,0.001209259033203125,0.00788116455078125,-9.441375732421875e-05,0.0005254526416259766,-0.00019037723541259766,-4.285573959350586e-05,0.1690673828125,0.1617431640625,0.01551063943125,0.015333441160156249,-1.5556812286376953e-05,-0.00010913610458374023,0.21129079912499998,0.2373909727,0.2377529032375,-0.0003566741943359375,0.0128021240234375,0.0137786865234375,-6.139278411865234e-06,0.0001914501190185547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.993511199951172e-06,-1.0132789611816406e-06,2.2649765014648438e-06,-5.960464477539063e-08,60.0625,0.0005860328674316406,0.0023441314697265625
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0175934998875,0.40087890625,0.0,0.0,0.0,0.0,0.0,0.0176870848328125,0.401123046875,0.0151519775390625,0.0001481771469116211,0.0157012939453125,0.1043701171875,0.022705078125,0.10772705078125,0.00011682510375976562,0.0124325080828125,-0.0001246929168701172,0.0188751220703125,0.020843505859375,0.01608057508390503,0.02011879530924072,0.02685546875,0.025115966796875,0.150381841675,0.1565272789,0.0016756057739257812,0.0108642578125,-0.00012683868408203125,0.0005105627520507812,-0.00024628639221191406,-3.981590270996094e-05,0.2320556640625,0.221923828125,0.0203267147296875,0.0202079468203125,-2.2470951080322266e-05,-0.00016307830810546875,0.2673048637625,0.303412303375,0.3036525622,-0.0004763603210449219,0.016693115234375,0.0180816650390625,-1.5020370483398438e-05,0.00024700164794921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.079673767089844e-06,-1.3113021850585938e-06,3.039836883544922e-06,2.980232238769531e-07,80.125,-0.002735137939453125,0.00390625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0221798322515625,0.509765625,0.0,0.0,0.0,0.0,0.0,0.022272310996875,0.51025390625,0.0193328857421875,0.00018513202667236328,0.0205078125,0.137451171875,0.02862548828125,0.1396484375,0.0001499652862548828,0.01570185968203125,-0.0001423358917236328,0.0194854736328125,0.0222320556640625,0.016032580275714112,0.0200972408125,0.03460693359375,0.03240966796875,0.1886329502,0.1966010109,0.00152587890625,0.01398468017578125,-0.00014841556549072266,0.00048030016193847654,-0.0003044605255126953,-3.5881996154785156e-05,0.298583984375,0.285888671875,0.0247167985453125,0.0247361432375,-8.821487426757812e-06,-0.0002014636993408203,0.322419449675,0.3691374213,0.36962199215,-0.0006017684936523438,0.0202789306640625,0.0221710205078125,-3.9517879486083984e-05,0.00029778480529785156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7220458984375e-06,-1.9073486328125e-06,0.0,5.960464477539062e-07,100.125,0.0,-0.0009765625
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0228233205484375,0.515625,0.0,0.0,0.0,0.0,0.0,0.0229300192828125,0.51611328125,0.019805908203125,0.00018513202667236328,0.021759033203125,0.146240234375,0.0290374755859375,0.1458740234375,0.00020551681518554688,0.0157456317890625,-0.00011640787124633789,0.0156707763671875,0.018951416015625,0.01607221734428711,0.02006548275184326,0.035675048828125,0.033416748046875,0.190770492925,0.2009018845375,0.0005693435668945312,0.01430511474609375,-0.00013875961303710938,0.0004682702072998047,-0.00029333431240234376,-1.5735626220703125e-05,0.3076171875,0.295166015625,0.023967287159375,0.0241163687640625,-1.8596649169921875e-05,-0.00017213821411132812,0.3219803721,0.368881303775,0.36887726187500003,-0.0006046295166015625,0.019683837890625,0.021759033203125,-7.855892181396484e-05,0.0002570152282714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.059906005859375e-06,-1.9073486328125e-06,7.62939453125e-06,1.0728836059570312e-06,100.125,0.0,-0.00341796875
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.0231886703984375,0.51953125,0.0,0.0,0.0,0.0,0.0,0.0232941808328125,0.51953125,0.0205230712890625,0.00018513202667236328,0.0234527587890625,0.1561279296875,0.0286865234375,0.1513671875,0.00020933151245117188,0.0155582645546875,-9.626150131225586e-05,0.01268768310546875,0.01666259765625,0.015900829821350097,0.01982758937807617,0.03692626953125,0.034698486328125,0.1910181399875,0.203198839,0.00046896934509277344,0.01462554931640625,-9.340047836303711e-05,0.0004779748958251953,-0.0002495637785400391,3.266334533691406e-05,0.316650390625,0.3046875,0.0238093457578125,0.024118975053125,-3.2067298889160156e-05,-0.0001977682113647461,0.3227308728,0.367400765375,0.3676407225,-0.0005817413330078125,0.019134521484375,0.021331787109375,-0.0001366138458251953,0.00018072128295898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.384185791015625e-06,-2.1457672119140625e-06,-7.62939453125e-06,1.7881393432617188e-06,100.125,-0.0029296875,-0.001953125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0237199168609375,0.5205078125,0.0,0.0,0.0,0.0,0.0,0.0238245337953125,0.5205078125,0.02154541015625,0.00018513202667236328,0.0253143310546875,0.1658935546875,0.0273590087890625,0.1541748046875,0.00019848346710205078,0.01541900634765625,-7.921457290649414e-05,0.011627197265625,0.0162353515625,0.015953267034735107,0.01981899138461914,0.0386962890625,0.03643798828125,0.191137978825,0.204726871075,0.0004055500030517578,0.0147552490234375,-4.6253204345703125e-05,0.0004775151930908203,-0.00020468993975830078,8.422136306762695e-05,0.32666015625,0.31494140625,0.024615255334375,0.025101629509375,-1.2516975402832031e-05,-0.00018918514251708984,0.32532601055,0.367206759775,0.3674467728,-0.0005578994750976562,0.018646240234375,0.0208587646484375,-0.00018966197967529297,0.0001373291015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-2.384185791015625e-06,1.1444091796875e-05,1.6689300537109375e-06,100.125,-0.00341796875,-0.0009765625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.02477093131875,0.517578125,0.0,0.0,0.0,0.0,0.0,0.0248593317640625,0.517578125,0.0228271484375,0.00018525123596191406,0.027069091796875,0.1741943359375,0.0254058837890625,0.15283203125,0.00016295909881591797,0.0152435302734375,-6.604194641113281e-05,0.01273345947265625,0.0180206298828125,0.01609016021724243,0.01989727655620117,0.04083251953125,0.038543701171875,0.1913034207875,0.206301862375,0.0003421306610107422,0.0147552490234375,-2.1517276763916016e-05,0.00046951856249999996,-0.00014838118786621092,0.00013554096221923828,0.3359375,0.32470703125,0.0261094897078125,0.0266047761828125,-7.843971252441406e-05,-0.0002624988555908203,0.3287725523,0.36663167175,0.366871606575,-0.0005364418029785156,0.018707275390625,0.0209808349609375,-0.00024700164794921875,0.0001074075698852539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-2.384185791015625e-06,3.814697265625e-06,3.2186508178710938e-06,100.125,-0.00634765625,0.0048828125
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.026870287065625,0.501953125,0.0,0.0,0.0,0.0,0.0,0.0269880907890625,0.50244140625,0.0247039794921875,0.00018525123596191406,0.028717041015625,0.1802978515625,0.0234375,0.1485595703125,8.958578109741211e-05,0.01525115966796875,-6.240606307983398e-05,0.0177001953125,0.02325439453125,0.016403134884191893,0.020209802283520508,0.043212890625,0.040924072265625,0.1923155188125,0.2080573215625,0.0002956390380859375,0.014862060546875,-4.166364669799805e-05,0.0004889337482910156,-0.00013924318566894533,0.00013637542724609375,0.344482421875,0.33349609375,0.029072150109375,0.0294697260609375,-8.33272933959961e-05,-0.00028204917907714844,0.3337067328,0.36531858895,0.365558445475,-0.0005369186401367188,0.0198516845703125,0.022125244140625,-0.0003056526184082031,0.00013184547424316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.198883056640625e-06,-1.9073486328125e-06,3.814697265625e-06,3.6954879760742188e-06,100.125,-0.0029296875,0.00244140625
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.0309003066125,0.451171875,0.0,0.0,0.0,0.0,0.0,0.0310474196140625,0.451904296875,0.02740478515625,0.00018513202667236328,0.0303497314453125,0.1815185546875,0.0218353271484375,0.143310546875,5.322694778442383e-05,0.0150909423828125,-5.602836608886719e-05,0.0266571044921875,0.0313720703125,0.016626324539117433,0.02038868330539551,0.045196533203125,0.0430908203125,0.1940207388,0.2095124759125,0.0002541542053222656,0.01507568359375,-8.499622344970703e-05,0.0005447845427978516,-0.00010995046654052734,0.00014158113436279297,0.347412109375,0.33740234375,0.03404662165625,0.03407649028125,-0.00010526180267333984,-0.00028204917907714844,0.3410888873,0.363602254525,0.36384204775,-0.0005588531494140625,0.0225067138671875,0.024261474609375,-0.00030922889709472656,0.00023317337036132812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5367431640625e-07,-2.7418136596679688e-06,-5.7220458984375e-06,3.933906555175781e-06,100.1875,-0.00048828125,0.00634765625
00:00:00:12.200,68,0.0,0.0,0.0,0.0,0.0,0.037016789171875,0.304931640625,0.0,0.0,0.0,0.0,0.0,0.037147502684375,0.305419921875,0.03204345703125,0.00018537044525146484,0.031951904296875,0.1768798828125,0.0185394287109375,0.14111328125,0.00010943412780761719,0.01318359375,-4.774332046508789e-05,0.035430908203125,0.039703369140625,0.016992082845983886,0.02077619736003418,0.045440673828125,0.043914794921875,0.1899750279,0.202740266925,0.00019800662994384766,0.0154571533203125,-6.914138793945312e-05,0.0004511696395751953,6.276147409057617e-05,0.00022098687094726562,0.3408203125,0.3330078125,0.039162159915625,0.03862603905625,-0.00015652179718017578,-0.00032782554626464844,0.3607145846,0.36753249545,0.36777189377499997,-0.0003998279571533203,0.0250396728515625,0.0248870849609375,-0.0001875162124633789,0.00020563602447509766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-2.384185791015625e-06,-1.9073486328125e-06,2.9802322387695312e-06,100.25,-0.00390625,0.00341796875
