Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00774412415234375,0.08465576171875,0.0,0.0,0.0,0.0,0.0,0.007783323438671875,0.08477783203125,0.0015478134155273438,3.725290298461914e-05,0.0005860328674316406,0.0084228515625,0.00458526611328125,0.0090179443359375,0.00011032819747924805,0.0029402492701171875,-3.731250762939453e-05,0.0016727447509765625,0.0024127960205078125,0.016547551348632814,0.02043762061063843,0.0031337738037109375,0.0029087066650390625,0.0293182748921875,0.0326803046875,0.0014867782592773438,0.0019426345825195312,4.607439041137695e-05,0.0005191726691467285,3.355741500854492e-05,7.742643356323242e-05,0.020538330078125,0.019195556640625,0.0008729069321899415,0.0005208637128356933,-3.993511199951172e-06,-3.0040740966796875e-05,0.08451333270625,0.08992652599375,0.08998239415,9.262561798095703e-05,0.0033512115478515625,0.004230499267578125,8.940696716308594e-06,4.357099533081055e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5497207641601562e-06,-1.7881393432617188e-07,3.5762786865234375e-07,-4.76837158203125e-07,20.03125,0.0020503997802734375,0.0025386810302734375
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.013435021503125,0.17041015625,0.0,0.0,0.0,0.0,0.0,0.01349212247578125,0.1705322265625,0.0030574798583984375,7.450580596923828e-05,0.0009665489196777344,0.0158843994140625,0.00946044921875,0.01419830322265625,0.00021648406982421875,0.005595118612890625,-7.283687591552734e-05,0.003143310546875,0.004669189453125,0.016379328476226807,0.020354032553790282,0.00628662109375,0.00583648681640625,0.045004343593749996,0.0478859170828125,0.003780364990234375,0.003948211669921875,9.685754776000977e-05,0.0005607537153442383,6.783008575439453e-05,0.00016045570373535156,0.0380859375,0.035369873046875,0.0010455784272460937,0.0005895484885498047,5.7220458984375e-06,-4.83393669128418e-05,0.1251372769625,0.1370030493,0.13712024311249998,0.0002155303955078125,0.006366729736328125,0.0081634521484375,1.1026859283447266e-05,8.738040924072266e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.635883331298828e-06,-7.152557373046875e-07,2.2649765014648438e-06,-7.748603820800781e-07,40.0625,0.00547027587890625,0.00449371337890625
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0190185306578125,0.256591796875,0.0,0.0,0.0,0.0,0.0,0.0190976336140625,0.2568359375,0.0045318603515625,0.00011181831359863281,0.0012121200561523438,0.0218048095703125,0.01483154296875,0.013946533203125,0.0003230571746826172,0.00826416879609375,-0.00010538101196289062,0.004848480224609375,0.00714111328125,0.016179308309289552,0.020195426455413817,0.0094451904296875,0.008758544921875,0.0601865258125,0.062341727359375,0.00719451904296875,0.0060272216796875,0.00016689300537109375,0.0005778451243835449,0.00010776519775390625,0.00025773048400878906,0.050689697265625,0.046722412109375,0.0011781065485595703,0.0006445917109985351,2.3245811462402344e-05,-6.371736526489258e-05,0.16636892412499998,0.18514487895,0.185384739175,0.00038886070251464844,0.0091094970703125,0.01184844970703125,7.3909759521484375e-06,0.0001245737075805664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.424022674560547e-06,-7.152557373046875e-07,2.2649765014648438e-06,-1.1324882507324219e-06,60.0625,0.00820159912109375,0.00732421875
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0245972840671875,0.3427734375,0.0,0.0,0.0,0.0,0.0,0.024721386590625,0.343017578125,0.0059661865234375,0.00014913082122802734,0.001262664794921875,0.025970458984375,0.020660400390625,0.00882720947265625,0.0004324913024902344,0.0109371467546875,-0.00013077259063720703,0.00728607177734375,0.01013946533203125,0.016124026869946288,0.02015127984064331,0.01261138916015625,0.0116729736328125,0.074362554565625,0.07565569686875,0.0122833251953125,0.00820159912109375,0.0002465248107910156,0.0005903137667602539,0.00014722347259521484,0.0003669261932373047,0.057952880859375,0.05267333984375,0.0011893918270080566,0.000629251523071289,1.9252300262451172e-05,-0.00010061264038085938,0.208344902825,0.23383222525,0.2339504137625,0.0006299018859863281,0.01154327392578125,0.0152130126953125,5.960464477539062e-07,0.0001806020736694336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.039836883544922e-06,-1.5497207641601562e-06,-4.589557647705078e-06,-1.9073486328125e-06,80.125,0.01328277587890625,0.01132965087890625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.0304806135015625,0.42724609375,0.0,0.0,0.0,0.0,0.0,0.0305883510359375,0.427734375,0.00730133056640625,0.00018644332885742188,0.0012416839599609375,0.02838134765625,0.026641845703125,0.00177001953125,0.0005273818969726562,0.01364192315859375,-0.0001518726348876953,0.01013946533203125,0.01331329345703125,0.01607901229399414,0.020120486623962403,0.01568603515625,0.0144805908203125,0.0876808017625,0.087958432775,0.01898193359375,0.01045989990234375,0.0003485679626464844,0.0005973636842773437,0.00019168853759765625,0.0004906654357910156,0.061126708984375,0.054290771484375,0.0012289326204772948,0.0006644498170898437,2.4080276489257812e-05,-0.0001404285430908203,0.2519848793625,0.282955780675,0.2833182812125,0.0009355545043945312,0.013641357421875,0.0181121826171875,-1.5735626220703125e-05,0.00021970272064208984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-1.7881393432617188e-06,0.0,-2.1457672119140625e-06,100.1875,0.02294921875,0.01708984375
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0308189260171875,0.425048828125,0.0,0.0,0.0,0.0,0.0,0.030940883540625,0.42529296875,0.007190704345703125,0.00018656253814697266,0.001018524169921875,0.0250244140625,0.0269775390625,0.0009441375732421875,0.0005040168762207031,0.01370858344921875,-0.00014388561248779297,0.01056671142578125,0.01331329345703125,0.016105655550006103,0.02009731163215332,0.0155487060546875,0.0142974853515625,0.08585105933125001,0.08566750953749999,0.0224609375,0.01062774658203125,0.0003643035888671875,0.0005724591263671875,0.0002098480987915039,0.0005207061767578125,0.052337646484375,0.04510498046875,0.0011697622303283692,0.0006749348575073242,-5.185604095458984e-06,-0.00015020370483398438,0.2561844736625,0.2855072803375,0.28574737906250003,0.001056671142578125,0.0128021240234375,0.01715087890625,-9.626150131225586e-05,0.0001531839370727539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.67572021484375e-06,-1.9073486328125e-06,1.9073486328125e-06,-3.0994415283203125e-06,100.1875,0.019775390625,0.02099609375
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.031046946765625,0.425048828125,0.0,0.0,0.0,0.0,0.0,0.0311677159890625,0.42529296875,0.00714874267578125,0.00018656253814697266,0.0009279251098632812,0.022857666015625,0.0267333984375,0.0007700920104980469,0.0004897117614746094,0.0137577274453125,-0.0001417398452758789,0.010894775390625,0.01320648193359375,0.015959540396453857,0.019862994537072753,0.01540374755859375,0.014129638671875,0.0840845462375,0.08369200306249999,0.0250396728515625,0.010711669921875,0.00038695335388183594,0.0005530767482421875,0.00023478356490478516,0.0005402565002441406,0.0462646484375,0.038482666015625,0.001160713231414795,0.0007288011410766602,-1.4960765838623047e-05,-0.00017940998077392578,0.26267227905,0.28903162475,0.289271581875,0.0011625289916992188,0.01214599609375,0.01629638671875,-0.00012159347534179688,0.0001232624053955078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.814697265625e-06,-3.4570693969726562e-06,9.5367431640625e-06,-2.86102294921875e-06,100.1875,0.02587890625,0.02490234375
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.0311967235015625,0.427734375,0.0,0.0,0.0,0.0,0.0,0.0313013404359375,0.42822265625,0.0072021484375,0.00018644332885742188,0.0009202957153320312,0.0213623046875,0.0261383056640625,0.0007104873657226562,0.0005283355712890625,0.01390838623046875,-0.00014328956604003906,0.01032257080078125,0.01219940185546875,0.01600482505246582,0.0198207795239624,0.0152740478515625,0.01395416259765625,0.08298368195,0.0825344882625,0.026580810546875,0.01073455810546875,0.0003986358642578125,0.0005178079329589844,0.0002607031266479492,0.0005478858947753906,0.041595458984375,0.03350830078125,0.00109228227376709,0.000704971565649414,-1.9848346710205078e-05,-0.00017940998077392578,0.272347494925,0.2942087129,0.294448725925,0.001262664794921875,0.01171112060546875,0.0156707763671875,-9.870529174804688e-05,0.00010073184967041016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.291534423828125e-06,-2.7418136596679688e-06,0.0,-3.4570693969726562e-06,100.1875,0.02685546875,0.02197265625
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.031576351240625,0.428955078125,0.0,0.0,0.0,0.0,0.0,0.031710528053125,0.429443359375,0.00734710693359375,0.00018656253814697266,0.0009775161743164062,0.020416259765625,0.02587890625,0.0006957054138183594,0.0005092620849609375,0.0139923095703125,-0.00014698505401611328,0.0086669921875,0.00991058349609375,0.016141420211749267,0.019898468649096678,0.0150909423828125,0.0137176513671875,0.08284394813125,0.08301084675,0.02752685546875,0.01073455810546875,0.0003979206085205078,0.0005036124193115234,0.00028470616107177736,0.0005364418029785156,0.038055419921875,0.029876708984375,0.0010294049070922852,0.0006321714312255859,-5.185604095458984e-06,-0.00017940998077392578,0.2847051694875,0.299981281125,0.299977075325,0.0013523101806640625,0.01174163818359375,0.01548004150390625,-7.736682891845703e-05,7.277727127075195e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.245208740234375e-06,-3.4570693969726562e-06,7.62939453125e-06,-3.4570693969726562e-06,100.1875,0.0263671875,0.01611328125
