Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,-0.0,0.0005064599,-0.0,-0.0,0.0,0.0,0.0006564653,0.0003908759,0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.00772886536328125,0.1046142578125,0.0,0.0,0.0,0.0,0.0,0.007768064649609375,0.1046142578125,0.003185272216796875,3.707408905029297e-05,0.003398895263671875,0.024261474609375,0.007762908935546875,0.0274658203125,6.61611557006836e-05,0.003342699831640625,-1.2636184692382812e-05,6.16312026977539e-05,0.0005860328674316406,0.017198910906738283,0.021405182809277345,0.00514984130859375,0.00464630126953125,0.044378699696874996,0.04848841015625,0.0002574920654296875,0.002742767333984375,-3.8564205169677734e-05,0.0004922909743530273,-7.724761962890625e-05,-3.796815872192383e-05,0.0499267578125,0.04791259765625,0.002991375216796875,0.0027839924703124998,1.800060272216797e-05,-1.7344951629638672e-05,0.09617104755,0.103415295525,0.10347116368125,-6.175041198730469e-05,0.003131866455078125,0.0035152435302734375,-1.8298625946044922e-05,2.4616718292236328e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7285346984863281e-06,5.960464477539063e-08,7.748603820800781e-07,5.960464477539063e-08,20.015625,-0.002147674560546875,-0.0005860328674316406
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.01357997999921875,0.212646484375,0.0,0.0,0.0,0.0,0.0,0.01364471036640625,0.212646484375,0.00652313232421875,7.414817810058594e-05,0.006916046142578125,0.049560546875,0.01529693603515625,0.05633544921875,0.00013768672943115234,0.006434352011328125,-2.1219253540039062e-05,0.0002142190933227539,0.0014410018920898438,0.018749149547851562,0.023435056246875,0.01042938232421875,0.009368896484375,0.07637641390625,0.0806465372,0.0010347366333007812,0.005649566650390625,-6.866455078125e-05,0.0004908970716674804,-0.0001500844955444336,-5.2809715270996094e-05,0.1019287109375,0.09771728515625,0.005772942013671875,0.005750118633203125,2.5272369384765625e-05,-5.710124969482422e-05,0.14826960118125,0.1632481664875,0.16336536029999998,-8.779764175415039e-05,0.0060577392578125,0.00685882568359375,-5.46574592590332e-05,5.53131103515625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.682209014892578e-06,-1.1920928955078125e-07,-1.5497207641601562e-06,2.384185791015625e-07,40.03125,-0.001953125,-0.0007810592651367188
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.01985776405625,0.323486328125,0.0,0.0,0.0,0.0,0.0,0.0199368670125,0.32373046875,0.00997161865234375,0.00011116266250610352,0.011077880859375,0.07574462890625,0.021240234375,0.088623046875,0.0001697540283203125,0.00977478891328125,-4.404783248901367e-05,0.00018358230590820312,0.00142669677734375,0.020806416883203126,0.026463987341796873,0.015716552734375,0.01406097412109375,0.11054052971875,0.1155949011875,0.0003578662872314453,0.0082550048828125,-0.00011235475540161133,0.000507213620324707,-0.00024127960205078125,-0.00010073184967041016,0.1575927734375,0.1510009765625,0.00891884255625,0.008993414304687499,3.93986701965332e-05,-8.052587509155273e-05,0.20067068193749998,0.22323081645,0.2233486063625,-0.0002193450927734375,0.00914764404296875,0.010284423828125,-7.206201553344727e-05,8.952617645263672e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.887580871582031e-06,-8.344650268554688e-07,4.589557647705078e-06,7.748603820800781e-07,60.0,-0.00439453125,-0.00439453125
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.0265046327,0.436279296875,0.0,0.0,0.0,0.0,0.0,0.0265982176453125,0.436767578125,0.0136260986328125,0.0001480579376220703,0.01556396484375,0.10400390625,0.027374267578125,0.12225341796875,0.00021398067474365234,0.0130123420671875,-5.7756900787353516e-05,0.0002701282501220703,0.001956939697265625,0.02485372314375,0.03136106577890625,0.021148681640625,0.0189056396484375,0.145010747925,0.15115618515,0.0004112720489501953,0.011077880859375,-0.00014984607696533203,0.0004976881487792969,-0.00033020973205566406,-0.00014162063598632812,0.2164306640625,0.20703125,0.0125142147296875,0.01273876957421875,8.71419906616211e-05,-8.738040924072266e-05,0.253266777825,0.2831486315,0.283388890325,-0.00031685829162597656,0.0120391845703125,0.01352691650390625,-0.00010383129119873047,0.00011777877807617188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.172325134277344e-06,-1.2516975402832031e-06,-1.5497207641601562e-06,7.748603820800781e-07,80.0,-0.003124237060546875,-0.00742340087890625
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.033639182837500003,0.55126953125,0.0,0.0,0.0,0.0,0.0,0.033746920371875,0.5517578125,0.0174713134765625,0.00018513202667236328,0.02044677734375,0.13427734375,0.033599853515625,0.158203125,0.00028514862060546875,0.01630458185,-6.514787673950195e-05,0.00039124488830566406,0.0026416778564453125,0.03002697600859375,0.0374159663984375,0.0268402099609375,0.0239715576171875,0.1808204502,0.18830022965,0.00048041343688964844,0.0140228271484375,-0.0001875162124633789,0.000483876440625,-0.00042247772216796875,-0.00018155574798583984,0.278076171875,0.266357421875,0.0164160172953125,0.01686260808125,9.340047836303711e-05,-9.828805923461914e-05,0.305817887175,0.3427702338,0.343010664025,-0.0004265308380126953,0.0148162841796875,0.0166778564453125,-0.00012743473052978516,0.00012981891632080078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-2.0265579223632812e-06,-3.814697265625e-06,1.430511474609375e-06,100.0,-0.005859375,-0.00830078125
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.034587846915625,0.556640625,0.0,0.0,0.0,0.0,0.0,0.03469454565,0.55712890625,0.0179443359375,0.00018513202667236328,0.0214996337890625,0.1390380859375,0.033355712890625,0.1634521484375,0.0002777576446533203,0.016371242140625,-5.602836608886719e-05,0.0004181861877441406,0.00276947021484375,0.03277916085625,0.040235813753125,0.0273284912109375,0.0243988037109375,0.1830800632375,0.191990751725,0.0004456043243408203,0.0142364501953125,-0.00018358230590820312,0.0004754227646728516,-0.0004258950423828125,-0.0001862049102783203,0.284912109375,0.272705078125,0.0170550557140625,0.017600865834375,6.866455078125e-05,-0.00013184547424316406,0.305134668975,0.341537553775,0.34177765250000003,-0.0004456043243408203,0.01450347900390625,0.0163726806640625,-0.0001456737518310547,0.00011903047561645508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.152557373046875e-06,-1.3113021850585938e-06,-3.814697265625e-06,1.9073486328125e-06,100.0,-0.005859375,-0.00830078125
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.03559406590625,0.5615234375,0.0,0.0,0.0,0.0,0.0,0.03573009391875,0.56201171875,0.0184173583984375,0.00018525123596191406,0.0226593017578125,0.1444091796875,0.033172607421875,0.1683349609375,0.0003113746643066406,0.0164127567421875,-4.8995018005371094e-05,0.00046944618225097656,0.002948760986328125,0.0350280795390625,0.042384371146875,0.0279083251953125,0.0249481201171875,0.1846704837375,0.194653917125,0.0004305839538574219,0.01442718505859375,-0.0001728534698486328,0.00048536587177734375,-0.0004286161314453125,-0.00020015239715576172,0.29150390625,0.279296875,0.0175227246640625,0.0181527885296875,0.00010281801223754883,-0.00010007619857788086,0.303443763425,0.338592171625,0.33883212875,-0.000457763671875,0.0142059326171875,0.0161590576171875,-0.00016164779663085938,0.00010561943054199219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0013580322265625e-05,-1.430511474609375e-06,1.33514404296875e-05,1.7881393432617188e-06,100.0,-0.0068359375,-0.00830078125
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.036583076040625,0.56494140625,0.0,0.0,0.0,0.0,0.0,0.036687692975,0.5654296875,0.0189208984375,0.00018513202667236328,0.0238494873046875,0.150146484375,0.03289794921875,0.1724853515625,0.00030112266540527344,0.0165557861328125,-4.8041343688964844e-05,0.0004742145538330078,0.003101348876953125,0.03701307815,0.044181078634374996,0.0285491943359375,0.025543212890625,0.1851565335125,0.1963040195125,0.0004036426544189453,0.01454925537109375,-0.0001595020294189453,0.00046774003134765626,-0.0004289226134033203,-0.00021457672119140625,0.297607421875,0.285400390625,0.017901388146875,0.018631902946875,9.733438491821289e-05,-9.518861770629883e-05,0.302132651175,0.335468478525,0.335464350925,-0.0004570484161376953,0.01398468017578125,0.0160064697265625,-0.0001652240753173828,7.444620132446289e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.76837158203125e-06,-1.430511474609375e-06,-5.7220458984375e-06,2.86102294921875e-06,100.0,-0.0087890625,-0.00830078125
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.037435726240625,0.5673828125,0.0,0.0,0.0,0.0,0.0,0.037569903053125,0.568359375,0.0193634033203125,0.00018513202667236328,0.024810791015625,0.1552734375,0.032958984375,0.1748046875,0.00028824806213378906,0.0167236328125,-4.941225051879883e-05,0.0004570484161376953,0.0031490325927734375,0.03811520895,0.0450175348875,0.029144287109375,0.0261077880859375,0.1847116239125,0.196536237375,0.00037741661071777344,0.01464080810546875,-0.00014269351959228516,0.0004769095384521484,-0.0004256619953613281,-0.0002243518829345703,0.30224609375,0.28955078125,0.0183275072859375,0.0190974519640625,9.000301361083984e-05,-0.00010985136032104492,0.30094052105,0.33147542175,0.331715356575,-0.0004413127899169922,0.01389312744140625,0.01605224609375,-0.00016224384307861328,4.392862319946289e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.337860107421875e-06,-1.9073486328125e-06,0.0,2.7418136596679688e-06,100.0,-0.0068359375,-0.00537109375
